slot_person_name,slot_activity,slot_venue,slot_distance_km,slot_distance_km_abs_log1p,slot_speed_offset_1,slot_speed_offset_1_abs_log1p,slot_total_time1_hours,slot_total_time1_hours_abs_log1p,slot_total_time1_hours_frac,slot_total_time1_hours_n_decimals,slot_total_time2_hours,slot_total_time2_hours_abs_log1p,slot_total_time2_hours_frac,slot_total_time2_hours_n_decimals,y
0,0,0,15.0,2.772588722239781,3.0,1.3862943611198906,6.7,2.0412203288596382,0.7000000000000002,1,3.427272727272727,1.4877837572901735,0.4272727272727268,15,342.0
1,0,1,42.0,3.7612001156935624,1.0,0.6931471805599453,6.861538461538462,2.0619823203080676,0.861538461538462,15,6.0,1.9459101490553132,0.0,1,384.0
2,1,0,8.0,2.1972245773362196,2.0,1.0986122886681098,5.933333333333333,1.9363406980391624,0.9333333333333327,15,2.8857142857142857,1.3573068242466384,0.8857142857142857,16,276.0
3,2,2,28.0,3.367295829986474,2.0,1.0986122886681098,8.2,2.2192034840549946,0.1999999999999993,1,5.290909090909091,1.8391055898252533,0.290909090909091,15,432.0
4,0,1,16.0,2.833213344056216,2.0,1.0986122886681098,10.766666666666666,2.4652706752711415,0.7666666666666657,15,4.671428571428571,1.7354410386378314,0.6714285714285708,15,486.0
2,1,3,48.0,3.8918202981106265,2.0,1.0986122886681098,9.327272727272726,2.3347882334886805,0.32727272727272627,15,7.0,2.0794415416798357,0.0,1,516.0
5,3,3,32.0,3.4965075614664802,1.0,0.6931471805599453,9.442857142857143,2.3459182177004196,0.44285714285714306,15,7.4111111111111105,2.1295535831071835,0.41111111111111054,16,498.0
0,0,4,10.0,2.3978952727983707,1.0,0.6931471805599453,6.866666666666667,2.0626344233634546,0.8666666666666671,15,4.2,1.6486586255873816,0.20000000000000018,1,312.0
5,3,2,12.0,2.5649493574615367,1.0,0.6931471805599453,5.3999999999999995,1.856297990365626,0.39999999999999947,16,4.0285714285714285,1.615135933548738,0.02857142857142847,16,276.0
0,2,3,24.0,3.2188758248682006,2.0,1.0986122886681098,7.357142857142857,2.1231166051824975,0.35714285714285676,15,4.863636363636363,1.768769951003356,0.8636363636363633,15,390.0
6,0,0,40.0,3.713572066704308,1.0,0.6931471805599453,8.988888888888889,2.3014733641413554,0.9888888888888889,15,7.372727272727272,2.1249796704628907,0.37272727272727213,15,486.0
1,1,3,49.0,3.912023005428146,3.0,1.3862943611198906,8.238461538461538,2.223375371624401,0.23846153846153761,15,5.8578947368421055,1.925400504964359,0.8578947368421055,16,462.0
2,3,4,10.0,2.3978952727983707,2.0,1.0986122886681098,7.266666666666667,2.112231364502827,0.2666666666666666,15,3.4571428571428573,1.4945079457601234,0.4571428571428573,16,336.0
7,3,4,18.0,2.9444389791664403,3.0,1.3862943611198906,3.472727272727273,1.497998350699892,0.4727272727272731,15,2.3176470588235296,1.1992558144477972,0.3176470588235296,16,192.0
6,0,0,21.0,3.091042453358316,2.0,1.0986122886681098,3.730769230769231,1.5540878173509354,0.7307692307692308,15,2.9705882352941178,1.378914253822268,0.9705882352941178,16,210.0
5,2,4,30.0,3.4339872044851463,3.0,1.3862943611198906,6.766666666666667,2.049841071903545,0.7666666666666666,15,4.1,1.62924053973028,0.09999999999999964,1,366.0
7,3,3,16.0,2.833213344056216,2.0,1.0986122886681098,10.766666666666666,2.4652706752711415,0.7666666666666657,15,4.671428571428571,1.7354410386378314,0.6714285714285708,15,486.0
3,1,2,42.0,3.7612001156935624,1.0,0.6931471805599453,6.961538461538462,2.074622255243887,0.9615384615384617,15,6.1,1.9600947840472698,0.09999999999999964,1,390.0
4,2,1,12.0,2.5649493574615367,1.0,0.6931471805599453,8.6,2.2617630984737906,0.5999999999999996,1,5.3999999999999995,1.856297990365626,0.39999999999999947,16,396.0
7,3,2,12.0,2.5649493574615367,2.0,1.0986122886681098,5.3,1.840549633397487,0.2999999999999998,1,3.1666666666666665,1.4271163556401456,0.16666666666666652,16,270.0
7,3,1,21.0,3.091042453358316,1.0,0.6931471805599453,3.5307692307692307,1.5108917331960043,0.5307692307692307,16,3.0999999999999996,1.410986973710262,0.09999999999999964,16,198.0
4,0,1,10.0,2.3978952727983707,1.0,0.6931471805599453,7.166666666666667,2.1000608288825715,0.16666666666666696,15,4.5,1.7047480922384253,0.5,1,330.0
1,0,2,15.0,2.772588722239781,2.0,1.0986122886681098,3.5333333333333337,1.5114575040738967,0.5333333333333337,16,2.5076923076923077,1.2549583590588036,0.5076923076923077,16,192.0
3,3,0,48.0,3.8918202981106265,2.0,1.0986122886681098,9.127272727272727,2.315232054694813,0.12727272727272698,15,6.800000000000001,2.0541237336955462,0.8000000000000007,15,504.0
4,1,2,8.0,2.1972245773362196,3.0,1.3862943611198906,5.833333333333333,1.9218125974762528,0.833333333333333,15,2.2777777777777777,1.1871656860095547,0.2777777777777777,16,270.0
1,1,4,6.0,1.9459101490553132,1.0,0.6931471805599453,4.3,1.667706820558076,0.2999999999999998,1,2.6999999999999997,1.3083328196501787,0.6999999999999997,16,198.0
5,3,4,10.0,2.3978952727983707,1.0,0.6931471805599453,7.166666666666667,2.1000608288825715,0.16666666666666696,15,4.5,1.7047480922384253,0.5,1,330.0
0,3,3,25.0,3.258096538021482,2.0,1.0986122886681098,5.655555555555555,1.8954519277851842,0.655555555555555,15,3.9461538461538463,1.598610273782037,0.9461538461538463,16,306.0
4,3,4,10.0,2.3978952727983707,3.0,1.3862943611198906,7.066666666666667,2.0877403444945313,0.06666666666666732,15,2.6222222222222222,1.2870877110364425,0.6222222222222222,16,324.0
5,0,4,9.0,2.302585092994046,1.0,0.6931471805599453,3.8000000000000003,1.5686159179138452,0.8000000000000003,16,2.771428571428572,1.3274538610969573,0.7714285714285718,15,192.0
1,2,1,35.0,3.58351893845611,3.0,1.3862943611198906,7.877777777777777,2.1835512754360096,0.8777777777777773,15,4.766666666666667,1.7520942128356236,0.7666666666666666,15,426.0
3,2,1,8.0,2.1972245773362196,3.0,1.3862943611198906,5.633333333333333,1.892107443062337,0.6333333333333329,15,2.0777777777777775,1.1242078358570733,0.0777777777777775,16,258.0
4,0,3,18.0,2.9444389791664403,3.0,1.3862943611198906,3.872727272727273,1.5836537952783858,0.872727272727273,15,2.7176470588235295,1.3130909570965956,0.7176470588235295,16,216.0
0,2,2,16.0,2.833213344056216,2.0,1.0986122886681098,10.866666666666665,2.473733349189875,0.8666666666666654,15,4.771428571428571,1.7529196359117911,0.7714285714285714,15,492.0
3,0,4,48.0,3.8918202981106265,2.0,1.0986122886681098,8.927272727272726,2.295285790512434,0.9272727272727259,15,6.6000000000000005,2.0281482472922856,0.6000000000000005,16,492.0
5,2,3,16.0,2.833213344056216,2.0,1.0986122886681098,11.266666666666666,2.5068855565067754,0.2666666666666657,15,5.171428571428571,1.8199303461947511,0.17142857142857082,15,516.0
1,0,3,36.0,3.6109179126442243,3.0,1.3862943611198906,6.6454545454545455,2.0341112941805317,0.6454545454545455,16,4.3352941176470585,1.6743440130648748,0.3352941176470585,16,366.0
3,0,1,24.0,3.2188758248682006,2.0,1.0986122886681098,7.257142857142857,2.1110786266230184,0.2571428571428571,15,4.763636363636364,1.7515685886448098,0.7636363636363637,15,384.0
0,1,4,15.0,2.772588722239781,1.0,0.6931471805599453,6.5,2.0149030205422647,0.5,1,4.785714285714286,1.75539182505718,0.7857142857142856,15,330.0
1,1,2,21.0,3.091042453358316,1.0,0.6931471805599453,3.5307692307692307,1.5108917331960043,0.5307692307692307,16,3.0999999999999996,1.410986973710262,0.09999999999999964,16,198.0
3,2,0,12.0,2.5649493574615367,3.0,1.3862943611198906,5.3999999999999995,1.856297990365626,0.39999999999999947,16,2.7818181818181817,1.330204894468847,0.7818181818181817,16,276.0
5,1,2,36.0,3.6109179126442243,2.0,1.0986122886681098,7.1454545454545455,2.097460047182514,0.1454545454545455,16,5.3999999999999995,1.856297990365626,0.39999999999999947,16,396.0
6,0,2,25.0,3.258096538021482,3.0,1.3862943611198906,6.055555555555555,1.9538153285624265,0.05555555555555536,15,3.8333333333333335,1.575536360758419,0.8333333333333335,16,330.0
6,3,1,18.0,2.9444389791664403,3.0,1.3862943611198906,3.9727272727272727,1.603968436629565,0.9727272727272727,16,2.817647058823529,1.339634279653828,0.8176470588235292,15,222.0
5,0,4,12.0,2.5649493574615367,2.0,1.0986122886681098,4.0285714285714285,1.615135933548738,0.02857142857142847,16,2.7818181818181817,1.330204894468847,0.7818181818181817,16,216.0
6,2,3,9.0,2.302585092994046,2.0,1.0986122886681098,3.7,1.547562508716013,0.7000000000000002,1,2.1,1.1314021114911006,0.10000000000000009,1,186.0
3,1,4,16.0,2.833213344056216,2.0,1.0986122886681098,4.771428571428571,1.7529196359117911,0.7714285714285714,15,3.1090909090909093,1.413201814039815,0.10909090909090935,16,252.0
2,2,2,25.0,3.258096538021482,2.0,1.0986122886681098,5.7555555555555555,1.910365211635902,0.7555555555555555,16,4.046153846153846,1.6186263384885067,0.04615384615384599,15,312.0
6,0,1,24.0,3.2188758248682006,3.0,1.3862943611198906,10.299999999999999,2.424802725718295,0.29999999999999893,15,5.0636363636363635,1.8023096801232075,0.06363636363636349,16,522.0
4,2,3,6.0,1.9459101490553132,2.0,1.0986122886681098,4.5,1.7047480922384253,0.5,1,2.2142857142857144,1.1676051601550612,0.2142857142857144,16,210.0
2,2,0,30.0,3.4339872044851463,2.0,1.0986122886681098,5.8545454545454545,1.92491200221554,0.8545454545454545,16,4.4,1.6863989535702288,0.40000000000000036,1,324.0
5,0,1,16.0,2.833213344056216,1.0,0.6931471805599453,4.771428571428571,1.7529196359117911,0.7714285714285714,15,3.7555555555555555,1.5593135252515318,0.7555555555555555,16,252.0
7,2,4,24.0,3.2188758248682006,2.0,1.0986122886681098,10.299999999999999,2.424802725718295,0.29999999999999893,15,6.033333333333333,1.9506607518139112,0.033333333333333215,15,522.0
1,1,1,6.0,1.9459101490553132,2.0,1.0986122886681098,4.5,1.7047480922384253,0.5,1,2.2142857142857144,1.1676051601550612,0.2142857142857144,16,210.0
1,3,0,36.0,3.6109179126442243,1.0,0.6931471805599453,6.945454545454546,2.072600009863119,0.9454545454545462,15,5.938461538461539,1.9370800696070414,0.9384615384615387,15,384.0
4,3,2,14.0,2.70805020110221,1.0,0.6931471805599453,9.633333333333335,2.3639937211226894,0.6333333333333346,15,5.8999999999999995,1.9315214116032136,0.8999999999999995,16,438.0
2,3,0,16.0,2.833213344056216,2.0,1.0986122886681098,5.071428571428571,1.8035939268750578,0.07142857142857117,15,3.409090909090909,1.483668525145067,0.40909090909090917,15,270.0
0,1,2,14.0,2.70805020110221,2.0,1.0986122886681098,9.433333333333334,2.345005808877998,0.43333333333333357,15,4.1,1.62924053973028,0.09999999999999964,1,426.0
7,2,4,16.0,2.833213344056216,3.0,1.3862943611198906,4.671428571428571,1.7354410386378314,0.6714285714285708,15,2.5615384615384618,1.2701926036306517,0.5615384615384618,16,246.0
0,0,3,20.0,3.044522437723423,1.0,0.6931471805599453,4.544444444444444,1.7127964254212535,0.5444444444444443,15,3.7363636363636363,1.5552696759609508,0.7363636363636363,16,246.0
4,3,4,12.0,2.5649493574615367,1.0,0.6931471805599453,5.2,1.824549292051046,0.20000000000000018,1,3.8285714285714283,1.5745506534336597,0.8285714285714283,16,264.0
0,3,2,25.0,3.258096538021482,3.0,1.3862943611198906,6.055555555555555,1.9538153285624265,0.05555555555555536,15,3.8333333333333335,1.575536360758419,0.8333333333333335,16,330.0
1,0,3,18.0,2.9444389791664403,2.0,1.0986122886681098,3.872727272727273,1.5836537952783858,0.872727272727273,15,3.0,1.3862943611198906,0.0,1,216.0
6,3,0,24.0,3.2188758248682006,3.0,1.3862943611198906,7.157142857142857,2.098893967606651,0.15714285714285658,15,3.9923076923076923,1.6078982662485075,0.9923076923076923,16,378.0
6,1,3,42.0,3.7612001156935624,3.0,1.3862943611198906,7.161538461538462,2.0994326881584007,0.16153846153846185,15,5.121052631578948,1.8117340803581783,0.12105263157894797,15,402.0
6,0,1,28.0,3.367295829986474,1.0,0.6931471805599453,4.8076923076923075,1.7591832987934422,0.8076923076923075,16,4.233333333333333,1.6550484236861527,0.2333333333333334,15,270.0
2,2,4,14.0,2.70805020110221,2.0,1.0986122886681098,9.433333333333334,2.345005808877998,0.43333333333333357,15,4.1,1.62924053973028,0.09999999999999964,1,426.0
4,3,2,24.0,3.2188758248682006,2.0,1.0986122886681098,4.963636363636363,1.7856804231516727,0.963636363636363,15,3.8000000000000003,1.5686159179138452,0.8000000000000003,16,276.0
3,1,1,42.0,3.7612001156935624,1.0,0.6931471805599453,8.036363636363637,2.2012568408641577,0.03636363636363704,15,6.861538461538462,2.0619823203080676,0.861538461538462,15,444.0
2,2,0,18.0,2.9444389791664403,1.0,0.6931471805599453,3.472727272727273,1.497998350699892,0.4727272727272731,15,2.9692307692307693,1.3785723150259803,0.9692307692307693,16,192.0
6,0,4,15.0,2.772588722239781,2.0,1.0986122886681098,3.4333333333333336,1.4891517465595985,0.43333333333333357,16,2.4076923076923076,1.2260353195895533,0.4076923076923076,16,186.0
0,2,4,48.0,3.8918202981106265,2.0,1.0986122886681098,9.327272727272726,2.3347882334886805,0.32727272727272627,15,7.0,2.0794415416798357,0.0,1,516.0
