slot_x,slot_x_abs_log1p,slot_x_is_even,slot_x_mod3,slot_x_mod5,slot_x_mod7,slot_x_mod10,slot_y,slot_y_abs_log1p,slot_y_is_even,slot_y_mod3,slot_y_mod5,slot_y_mod7,slot_y_mod10,slot_z,slot_z_abs_log1p,slot_z_is_even,slot_z_mod3,slot_z_mod5,slot_z_mod7,slot_z_mod10,gcd_all,n_multiple_pairs,y
49,3.912023005428146,0,1,4,0,9,38,3.6635616461296463,1,2,3,3,8,76,4.343805421853684,1,1,1,6,6,1,1,911581379.0
52,3.970291913552122,1,1,2,3,2,67,4.219507705176107,0,1,2,4,7,31,3.4657359027997265,0,1,1,3,1,1,0,21888.0
74,4.31748811353631,1,2,4,4,4,34,3.5553480614894135,1,1,4,6,4,44,3.8066624897703196,1,2,4,2,4,2,0,16041.0
62,4.143134726391533,1,2,2,6,2,78,4.3694478524670215,1,0,3,1,8,64,4.174387269895637,1,1,4,1,4,2,0,30317.0
38,3.6635616461296463,1,2,3,3,8,33,3.5263605246161616,0,0,3,5,3,30,3.4339872044851463,1,0,0,2,0,1,0,385531.0
11,2.4849066497880004,0,2,1,4,1,35,3.58351893845611,0,2,0,0,5,29,3.4011973816621555,0,2,4,1,9,1,0,1254059.0
64,4.174387269895637,1,1,4,1,4,56,4.04305126783455,1,2,1,0,6,57,4.060443010546419,0,0,2,1,7,1,0,198475.0
46,3.8501476017100584,1,1,1,4,6,61,4.127134385045092,0,1,1,5,1,69,4.248495242049359,0,0,4,6,9,1,0,652003.0
80,4.394449154672439,1,2,0,3,0,86,4.465908118654584,1,2,1,2,6,44,3.8066624897703196,1,2,4,2,4,2,0,45908.0
82,4.418840607796598,1,1,2,5,2,23,3.1780538303479458,0,2,3,2,3,76,4.343805421853684,1,1,1,6,6,1,0,99164185.0
64,4.174387269895637,1,1,4,1,4,50,3.9318256327243257,1,2,0,1,0,39,3.6888794541139363,0,0,4,4,9,1,0,92419.0
31,3.4657359027997265,0,1,1,3,1,69,4.248495242049359,0,0,4,6,9,64,4.174387269895637,1,1,4,1,4,1,0,2323.0
63,4.1588830833596715,0,0,3,0,3,53,3.9889840465642745,0,2,3,4,3,35,3.58351893845611,0,2,0,0,5,1,0,951.0
79,4.382026634673881,0,1,4,2,9,87,4.477336814478207,0,0,2,3,7,22,3.1354942159291497,1,1,2,1,2,1,0,39976.0
89,4.499809670330265,0,2,4,5,9,73,4.30406509320417,0,1,3,3,3,86,4.465908118654584,1,2,1,2,6,1,0,342755097.0
78,4.3694478524670215,1,0,3,1,8,59,4.0943445622221,0,2,4,3,9,85,4.454347296253507,0,1,0,1,5,1,0,64931.0
86,4.465908118654584,1,2,1,2,6,76,4.343805421853684,1,1,1,6,6,53,3.9889840465642745,0,2,3,4,3,1,0,935966589.0
65,4.189654742026425,0,2,0,2,5,87,4.477336814478207,0,0,2,3,7,81,4.406719247264253,0,0,1,4,1,1,0,15169587103.0
29,3.4011973816621555,0,2,4,1,9,34,3.5553480614894135,1,1,4,6,4,22,3.1354942159291497,1,1,2,1,2,1,0,9472921.0
43,3.784189633918261,0,1,3,1,3,68,4.23410650459726,1,2,3,5,8,38,3.6635616461296463,1,2,3,3,8,1,0,84617433.0
33,3.5263605246161616,0,0,3,5,3,69,4.248495242049359,0,0,4,6,9,66,4.204692619390966,1,0,1,3,6,3,1,37327.0
82,4.418840607796598,1,1,2,5,2,56,4.04305126783455,1,2,1,0,6,45,3.828641396489095,0,0,0,3,5,1,0,2438672043.0
53,3.9889840465642745,0,2,3,4,3,47,3.871201010907891,0,2,2,5,7,81,4.406719247264253,0,0,1,4,1,1,0,1180107.0
47,3.871201010907891,0,2,2,5,7,52,3.970291913552122,1,1,2,3,2,59,4.0943445622221,0,2,4,3,9,1,0,15847.0
36,3.6109179126442243,1,0,1,1,6,27,3.332204510175204,0,0,2,6,7,41,3.7376696182833684,0,2,1,6,1,1,0,10222.0
87,4.477336814478207,0,0,2,3,7,41,3.7376696182833684,0,2,1,6,1,88,4.48863636973214,1,1,3,4,8,1,0,22283013.0
63,4.1588830833596715,0,0,3,0,3,14,2.70805020110221,1,2,4,0,4,59,4.0943445622221,0,2,4,3,9,1,0,2851.0
23,3.1780538303479458,0,2,3,2,3,20,3.044522437723423,1,2,0,6,0,17,2.8903717578961645,0,2,2,3,7,1,0,265393.0
50,3.9318256327243257,1,2,0,1,0,76,4.343805421853684,1,1,1,6,6,42,3.7612001156935624,1,0,2,0,2,2,0,363936.0
85,4.454347296253507,0,1,0,1,5,65,4.189654742026425,0,2,0,2,5,41,3.7376696182833684,0,2,1,6,1,1,0,2853778379.0
30,3.4339872044851463,1,0,0,2,0,28,3.367295829986474,1,1,3,0,8,39,3.6888794541139363,0,0,4,4,9,1,0,172892351.0
69,4.248495242049359,0,0,4,6,9,78,4.3694478524670215,1,0,3,1,8,40,3.713572066704308,1,1,0,5,0,1,0,66904409.0
38,3.6635616461296463,1,2,3,3,8,37,3.6375861597263857,0,1,2,2,7,11,2.4849066497880004,0,2,1,4,1,1,0,5923.0
48,3.8918202981106265,1,0,3,6,8,22,3.1354942159291497,1,1,2,1,2,50,3.9318256327243257,1,2,0,1,0,2,0,68355.0
10,2.3978952727983707,1,1,0,3,0,52,3.970291913552122,1,1,2,3,2,59,4.0943445622221,0,2,4,3,9,1,0,21343727.0
43,3.784189633918261,0,1,3,1,3,71,4.276666119016055,0,2,1,1,1,88,4.48863636973214,1,1,3,4,8,1,0,4078698.0
68,4.23410650459726,1,2,3,5,8,86,4.465908118654584,1,2,1,2,6,83,4.430816798843313,0,2,3,6,3,1,0,1900841439.0
17,2.8903717578961645,0,2,2,3,7,35,3.58351893845611,0,2,0,0,5,31,3.4657359027997265,0,1,1,3,1,1,0,22721.0
86,4.465908118654584,1,2,1,2,6,74,4.31748811353631,1,2,4,4,4,27,3.332204510175204,0,0,2,6,7,1,0,14924723.0
75,4.330733340286331,0,0,0,5,5,67,4.219507705176107,0,1,2,4,7,52,3.970291913552122,1,1,2,3,2,1,0,133.0
90,4.51085950651685,1,0,0,6,0,57,4.060443010546419,0,0,2,1,7,82,4.418840607796598,1,1,2,5,2,1,0,9757453.0
18,2.9444389791664403,1,0,3,4,8,35,3.58351893845611,0,2,0,0,5,52,3.970291913552122,1,1,2,3,2,1,0,12176847.0
52,3.970291913552122,1,1,2,3,2,26,3.295836866004329,1,2,1,5,6,41,3.7376696182833684,0,2,1,6,1,1,1,300396587.0
37,3.6375861597263857,0,1,2,2,7,22,3.1354942159291497,1,1,2,1,2,42,3.7612001156935624,1,0,2,0,2,1,0,1920641.0
47,3.871201010907891,0,2,2,5,7,52,3.970291913552122,1,1,2,3,2,83,4.430816798843313,0,2,3,6,3,1,0,511106.0
55,4.02535169073515,0,1,0,6,5,38,3.6635616461296463,1,2,3,3,8,41,3.7376696182833684,0,2,1,6,1,1,0,800325.0
35,3.58351893845611,0,2,0,0,5,16,2.833213344056216,1,1,1,2,6,32,3.4965075614664802,1,2,2,4,2,1,1,47347043.0
74,4.31748811353631,1,2,4,4,4,57,4.060443010546419,0,0,2,1,7,59,4.0943445622221,0,2,4,3,9,1,0,65261.0
49,3.912023005428146,0,1,4,0,9,33,3.5263605246161616,0,0,3,5,3,35,3.58351893845611,0,2,0,0,5,1,0,387952311.0
84,4.442651256490317,1,0,4,0,4,57,4.060443010546419,0,0,2,1,7,30,3.4339872044851463,1,0,0,2,0,3,0,356731.0
21,3.091042453358316,0,0,1,0,1,51,3.9512437185814275,0,0,1,2,1,56,4.04305126783455,1,2,1,0,6,1,0,1126834.0
74,4.31748811353631,1,2,4,4,4,30,3.4339872044851463,1,0,0,2,0,79,4.382026634673881,0,1,4,2,9,1,0,2849631.0
89,4.499809670330265,0,2,4,5,9,72,4.290459441148391,1,0,2,2,2,38,3.6635616461296463,1,2,3,3,8,1,0,36846859.0
67,4.219507705176107,0,1,2,4,7,65,4.189654742026425,0,2,0,2,5,60,4.110873864173311,1,0,0,4,0,1,0,2753103.0
81,4.406719247264253,0,0,1,4,1,42,3.7612001156935624,1,0,2,0,2,58,4.07753744390572,1,1,3,2,8,1,0,2248110503.0
16,2.833213344056216,1,1,1,2,6,65,4.189654742026425,0,2,0,2,5,60,4.110873864173311,1,0,0,4,0,1,0,187296279.0
67,4.219507705176107,0,1,2,4,7,58,4.07753744390572,1,1,3,2,8,71,4.276666119016055,0,2,1,1,1,1,0,2939170.0
62,4.143134726391533,1,2,2,6,2,54,4.007333185232471,1,0,4,5,4,61,4.127134385045092,0,1,1,5,1,1,0,4170374559.0
74,4.31748811353631,1,2,4,4,4,30,3.4339872044851463,1,0,0,2,0,53,3.9889840465642745,0,2,3,4,3,1,0,6911089.0
89,4.499809670330265,0,2,4,5,9,71,4.276666119016055,0,2,1,1,1,85,4.454347296253507,0,1,0,1,5,1,0,813747915.0
63,4.1588830833596715,0,0,3,0,3,59,4.0943445622221,0,2,4,3,9,50,3.9318256327243257,1,2,0,1,0,1,0,18833.0
