slot_first_player,slot_second_player,slot_move1,slot_move1_abs_log1p,slot_move1_is_even,slot_move1_mod3,slot_move1_mod5,slot_move1_mod7,slot_move1_mod10,slot_move2,slot_move2_abs_log1p,slot_move2_is_even,slot_move2_mod3,slot_move2_mod5,slot_move2_mod7,slot_move2_mod10,slot_upper_limit,slot_upper_limit_abs_log1p,slot_upper_limit_is_even,slot_upper_limit_mod3,slot_upper_limit_mod5,slot_upper_limit_mod7,slot_upper_limit_mod10,gcd_all,n_multiple_pairs,y
0,0,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,3619,8.194229304819817,0,1,4,0,9,1,2,1551.0
0,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2256,7.721791776817535,1,0,1,2,6,2,3,752.0
1,2,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1378,7.229113877793302,1,1,3,6,8,2,2,689.0
2,3,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,319,5.768320995793772,0,1,4,4,9,1,1,107.0
3,1,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,4100,8.31898612539206,1,2,0,5,0,1,1,1823.0
1,0,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,4805,8.477620416296414,0,2,0,3,5,1,1,2403.0
2,0,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,2384,7.776954403322442,1,2,4,4,4,2,3,954.0
0,2,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,3850,8.25608813381491,1,1,0,0,0,2,2,1540.0
3,3,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,2254,7.720905251936779,1,1,4,0,4,1,2,1002.0
3,1,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,824,6.715383386334681,1,2,4,5,4,1,2,412.0
2,2,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,3905,8.270269111436624,0,2,0,6,5,1,1,1301.0
2,1,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,1810,7.501634457883413,1,1,0,4,0,1,2,776.0
3,4,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,3177,8.064007347096661,0,0,2,6,7,1,3,1588.0
4,4,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,4542,8.421342865759403,1,0,2,6,2,1,2,2271.0
4,4,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,2720,7.908754738783246,1,2,0,4,0,1,2,1360.0
3,2,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,3003,8.007700012884026,0,0,3,0,3,1,1,1365.0
2,0,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,4250,8.35490952835879,1,2,0,1,0,1,2,2125.0
1,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,4062,8.309676895987726,1,0,2,2,2,1,2,1625.0
2,2,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,2656,7.884952945759814,1,1,1,3,6,1,2,1328.0
1,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,3416,8.136518252115291,1,2,1,0,6,1,3,1138.0
4,2,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,2069,7.635303886259415,0,2,4,4,9,1,1,1035.0
1,3,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,4938,8.504918160540624,1,0,3,3,8,1,2,2469.0
3,4,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,3449,8.146129510025405,0,2,4,5,9,1,2,1724.0
2,2,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,2158,7.677400430514807,1,1,3,2,8,2,2,1079.0
3,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,4377,8.384347278082808,0,0,2,2,7,3,2,1460.0
2,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,2197,7.6953031349635665,0,1,2,6,7,1,0,941.0
1,2,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3852,8.256607344626158,1,0,2,2,2,1,3,1541.0
0,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1594,7.374629015218945,1,1,4,5,4,2,2,531.0
0,4,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3550,8.174984532943087,1,1,0,1,0,1,2,1420.0
4,3,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,2003,7.602900462204755,0,2,3,1,3,1,2,1001.0
3,0,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,705,6.559615237493242,0,0,0,5,5,1,3,352.0
4,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1589,7.371489295214277,0,2,4,0,9,1,0,681.0
4,2,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,1319,7.1853870155804165,0,2,4,3,9,1,0,587.0
2,2,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,587,6.376726947898627,0,2,2,6,7,1,1,235.0
4,2,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,2649,7.882314918980268,0,0,4,3,9,1,3,1324.0
1,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1405,7.2485040723706105,0,1,0,5,5,1,2,562.0
0,2,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1411,7.252762418053187,0,1,1,4,1,1,0,565.0
1,3,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,4950,8.507344855361422,1,0,0,1,0,1,2,1856.0
4,4,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3437,8.142645185942795,0,2,2,0,7,1,2,1375.0
1,0,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,4732,8.462314529906248,1,1,2,0,2,1,2,2366.0
1,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1059,6.966024187106113,0,0,4,2,9,1,2,423.0
4,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,2354,7.764296006450518,1,2,4,2,4,1,2,941.0
2,2,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1133,7.033506484287697,0,2,3,6,3,1,2,453.0
3,3,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,4427,8.395703293828527,0,2,2,3,7,1,1,2213.0
2,3,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,2185,7.689828668736484,0,1,0,1,5,1,1,875.0
1,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,553,6.317164686747284,0,1,3,0,3,1,0,237.0
4,0,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,4849,8.48673398393153,0,1,4,5,9,1,2,2424.0
3,3,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,2097,7.6487397889562425,0,0,2,4,7,1,2,899.0
0,2,3,1.3862943611198906,0,0,3,3,3,9,2.302585092994046,0,0,4,2,9,463,6.139884552226255,0,1,3,1,3,1,1,232.0
2,4,3,1.3862943611198906,0,0,3,3,3,9,2.302585092994046,0,0,4,2,9,4980,8.513385953073284,1,0,0,3,0,3,2,2490.0
3,1,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,4211,8.345692873253865,0,2,1,4,1,1,1,1685.0
2,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,3492,8.158516244806831,1,0,2,6,2,1,3,1164.0
3,4,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1451,7.280697195384741,0,2,1,2,1,1,2,725.0
1,2,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,2274,7.729735331385051,1,0,4,6,4,1,3,974.0
3,3,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,546,6.304448802421981,1,0,1,0,6,1,3,234.0
0,1,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,122,4.812184355372417,1,2,2,3,2,1,2,61.0
2,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1122,7.023758954738443,1,0,2,2,2,1,3,374.0
4,3,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,3220,8.0774471493312,1,1,0,0,0,2,2,1610.0
3,2,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,3747,8.228977643358313,0,0,2,2,7,1,1,1499.0
3,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1676,7.424761761823209,1,2,1,3,6,1,1,671.0
2,3,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,4357,8.379768515504566,0,1,2,3,7,1,0,1937.0
2,4,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,874,6.774223886357614,1,1,4,6,4,1,2,437.0
0,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,355,5.87493073085203,0,1,0,5,5,1,0,142.0
3,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3683,8.211754397375197,0,2,3,1,3,1,0,1473.0
2,1,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,3329,8.110727582974489,0,2,4,4,9,1,2,1427.0
1,4,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,3286,8.097730573664219,1,1,1,3,6,1,0,1232.0
4,3,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,4038,8.303752415563412,1,0,3,6,8,1,2,2019.0
2,3,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1903,7.55171221535131,0,1,3,6,3,1,1,635.0
2,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1203,7.093404625868766,0,0,3,6,3,1,1,481.0
4,4,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,4573,8.428143374582726,0,1,3,2,3,1,0,1960.0
1,0,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,3202,8.071843149609158,1,1,2,3,2,1,2,1601.0
2,3,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,2488,7.819636302367592,1,1,3,3,8,1,2,1244.0
3,2,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1725,7.453561871643373,0,0,0,3,5,1,1,739.0
1,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1735,7.459338895220296,0,1,0,6,5,1,1,743.0
0,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,4847,8.48632152774915,0,2,2,3,7,1,0,2077.0
1,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,284,5.652489180268651,1,2,4,4,4,1,3,113.0
1,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1114,7.016609683894219,1,1,4,1,4,1,3,371.0
3,3,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1366,7.220373836723949,1,1,1,1,6,1,0,586.0
2,1,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,4589,8.431635303054591,0,2,4,4,9,1,2,2294.0
1,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3979,8.289037098278483,0,1,4,3,9,1,0,1591.0
3,2,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,2596,7.862112211662748,1,1,1,6,6,2,2,1298.0
0,3,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1634,7.399398083331354,1,2,4,3,4,1,2,653.0
0,3,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1805,7.498869733976931,0,2,0,6,5,1,1,601.0
2,3,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,112,4.727387818712341,1,1,2,0,2,1,1,45.0
4,4,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,4861,8.48920515487607,0,1,1,3,1,1,1,1945.0
2,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,1817,7.505492274737424,0,2,2,4,7,1,1,605.0
1,4,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,4391,8.387539983189367,0,2,1,2,1,1,0,1757.0
2,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,4004,8.29529885950246,1,2,4,0,4,2,3,1335.0
2,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,2742,7.916807490937603,1,0,2,5,2,1,1,1028.0
2,2,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,3819,8.24800570160062,0,0,4,4,9,1,2,1909.0
2,1,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,3365,8.121480374750751,0,2,0,5,5,1,0,1529.0
2,2,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,3060,8.026496938945412,1,0,0,1,0,1,3,1311.0
0,0,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,219,5.393627546352362,0,0,4,2,9,1,2,87.0
0,3,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,4257,8.356554845453426,0,0,2,1,7,1,1,1935.0
1,4,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,2990,8.003363058629947,1,2,0,1,0,1,1,1329.0
3,1,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,4146,8.330140460246382,1,0,1,2,6,1,2,2073.0
