slot_a_real,slot_a_real_abs_log1p,slot_a_real_is_even,slot_a_real_mod3,slot_a_real_mod5,slot_a_real_mod7,slot_a_real_mod10,slot_a_imag,slot_a_imag_abs_log1p,slot_a_imag_is_even,slot_a_imag_mod3,slot_a_imag_mod5,slot_a_imag_mod7,slot_a_imag_mod10,slot_b_real,slot_b_real_abs_log1p,slot_b_real_sign,slot_b_real_is_even,slot_b_real_mod3,slot_b_real_mod5,slot_b_real_mod7,slot_b_real_mod10,slot_b_imag,slot_b_imag_abs_log1p,slot_b_imag_sign,slot_b_imag_is_even,slot_b_imag_mod3,slot_b_imag_mod5,slot_b_imag_mod7,slot_b_imag_mod10,slot_radius,slot_radius_abs_log1p,slot_radius_is_even,slot_radius_mod3,slot_radius_mod5,slot_radius_mod7,slot_radius_mod10,gcd_all,n_multiple_pairs,y
13,2.6390573296152584,0,1,3,6,3,60,4.110873864173311,1,0,0,4,0,368,5.910796644040527,1,1,2,3,4,8,800,6.68586094706836,1,1,2,0,2,0,2,1.0986122886681098,1,2,2,2,2,1,3,350.0
39,3.6888794541139363,0,0,4,4,9,20,3.044522437723423,1,2,0,6,0,2450,7.804251383528112,1,1,2,0,0,0,-13972,9.544882175080447,-1,1,2,3,0,8,7,2.0794415416798357,0,1,2,0,7,1,2,2225.0
12,2.5649493574615367,1,0,2,5,2,72,4.290459441148391,1,0,2,2,2,828,6.720220155135295,1,1,0,3,2,8,10152,9.225524507301223,1,1,0,2,2,2,9,2.302585092994046,0,0,4,2,9,3,7,520.0
74,4.31748811353631,1,2,4,4,4,108,4.6913478822291435,1,0,3,3,8,976,6.884486652042782,1,1,1,1,3,6,26496,10.184786798018687,1,1,0,1,1,6,8,2.1972245773362196,1,2,3,1,8,2,2,2550.0
135,4.912654885736052,0,0,0,2,5,147,4.997212273764115,0,0,2,0,7,-14408,9.575608290332934,-1,1,1,2,5,2,-10368,9.246575864558277,-1,1,0,2,6,2,8,2.1972245773362196,1,2,3,1,8,1,2,2575.0
10,2.3978952727983707,1,1,0,3,0,38,3.6635616461296463,1,2,3,3,8,-5248,8.5657928612523,-1,1,2,2,2,2,15872,9.672374831572242,1,1,2,2,3,2,8,2.1972245773362196,1,2,3,1,8,2,2,1776.0
31,3.4657359027997265,0,1,1,3,1,135,4.912654885736052,0,0,0,2,5,-1024,6.932447891572509,-1,1,2,1,5,6,10944,9.300638009956963,1,1,0,4,3,4,8,2.1972245773362196,1,2,3,1,8,1,2,312.0
143,4.969813299576001,0,2,3,3,3,101,4.624972813284271,0,2,1,3,1,-4976,8.512582578858554,-1,1,1,4,1,4,-7600,8.936035096566041,-1,1,2,0,2,0,4,1.6094379124341003,1,1,4,4,4,1,2,2400.0
44,3.8066624897703196,1,2,4,2,4,11,2.4849066497880004,0,2,1,4,1,192,5.262690188904886,1,1,0,2,3,2,1856,7.526717561352706,1,1,2,1,1,6,4,1.6094379124341003,1,1,4,4,4,1,4,476.0
91,4.5217885770490405,0,1,1,0,1,107,4.68213122712422,0,2,2,2,7,351,5.863631175598097,1,0,0,1,1,1,-1845,7.520776415062797,-1,0,0,0,3,5,3,1.3862943611198906,0,0,3,3,3,1,2,1014.0
