slot_n_big,slot_n_big_abs_log1p,slot_n_big_is_even,slot_n_big_mod3,slot_n_big_mod5,slot_n_big_mod7,slot_n_big_mod10,slot_R_big,slot_R_big_abs_log1p,slot_R_big_is_even,slot_R_big_mod3,slot_R_big_mod5,slot_R_big_mod7,slot_R_big_mod10,slot_N_small,slot_N_small_abs_log1p,slot_N_small_is_even,slot_N_small_mod3,slot_N_small_mod5,slot_N_small_mod7,slot_N_small_mod10,slot_r_small,slot_r_small_abs_log1p,slot_r_small_is_even,slot_r_small_mod3,slot_r_small_mod5,slot_r_small_mod7,slot_r_small_mod10,gcd_all,n_multiple_pairs,y
3,1.3862943611198906,0,0,3,3,3,14,2.70805020110221,1,2,4,0,4,140,4.948759890378168,1,2,0,0,0,7,2.0794415416798357,0,1,2,0,7,1,3,2053.0
8,2.1972245773362196,1,2,3,1,8,46,3.8501476017100584,1,1,1,4,6,167,5.123963979403259,0,2,2,6,7,25,3.258096538021482,0,1,0,4,5,1,0,31113.0
10,2.3978952727983707,1,1,0,3,0,11,2.4849066497880004,0,2,1,4,1,284,5.652489180268651,1,2,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,1,13089.0
10,2.3978952727983707,1,1,0,3,0,50,3.9318256327243257,1,2,0,1,0,215,5.375278407684165,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,1,20703.0
6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,206,5.332718793265369,1,2,1,3,6,1,0.6931471805599453,0,1,1,1,1,1,4,55.0
5,1.791759469228055,0,2,0,5,5,47,3.871201010907891,0,2,2,5,7,563,6.335054251498059,0,2,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,0,1483.0
9,2.302585092994046,0,0,4,2,9,25,3.258096538021482,0,1,0,4,5,204,5.3230099791384085,1,0,4,1,4,23,3.1780538303479458,0,2,3,2,3,1,0,116594.0
3,1.3862943611198906,0,0,3,3,3,28,3.367295829986474,1,1,3,0,8,150,5.017279836814924,1,0,0,3,0,10,2.3978952727983707,1,1,0,3,0,1,2,7099.0
12,2.5649493574615367,1,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,373,5.924255797414532,0,1,3,2,3,4,1.6094379124341003,1,1,4,4,4,1,2,1681.0
4,1.6094379124341003,1,1,4,4,4,47,3.871201010907891,0,2,2,5,7,322,5.777652323222656,1,1,2,0,2,15,2.772588722239781,0,0,0,1,5,1,0,38144.0
4,1.6094379124341003,1,1,4,4,4,36,3.6109179126442243,1,0,1,1,6,453,6.118097198041348,0,0,3,5,3,20,3.044522437723423,1,2,0,6,0,1,2,83053.0
7,2.0794415416798357,0,1,2,0,7,30,3.4339872044851463,1,0,0,2,0,283,5.648974238161206,0,1,3,3,3,27,3.332204510175204,0,0,2,6,7,1,0,12833.0
3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,369,5.91350300563827,0,0,4,5,9,1,0.6931471805599453,0,1,1,1,1,1,4,486.0
8,2.1972245773362196,1,2,3,1,8,18,2.9444389791664403,1,0,3,4,8,505,6.226536669287466,0,1,0,1,5,13,2.6390573296152584,0,1,3,6,3,1,0,974.0
8,2.1972245773362196,1,2,3,1,8,49,3.912023005428146,0,1,4,0,9,106,4.672828834461906,1,1,1,1,6,34,3.5553480614894135,1,1,4,6,4,1,0,23785.0
10,2.3978952727983707,1,1,0,3,0,21,3.091042453358316,0,0,1,0,1,521,6.257667587882639,0,2,1,3,1,4,1.6094379124341003,1,1,4,4,4,1,0,44815.0
5,1.791759469228055,0,2,0,5,5,43,3.784189633918261,0,1,3,1,3,433,6.073044534100405,0,1,3,6,3,1,0.6931471805599453,0,1,1,1,1,1,3,4666.0
12,2.5649493574615367,1,0,2,5,2,57,4.060443010546419,0,0,2,1,7,78,4.3694478524670215,1,0,3,1,8,34,3.5553480614894135,1,1,4,6,4,1,0,11809.0
10,2.3978952727983707,1,1,0,3,0,38,3.6635616461296463,1,2,3,3,8,164,5.10594547390058,1,2,4,3,4,15,2.772588722239781,0,0,0,1,5,1,0,29961.0
4,1.6094379124341003,1,1,4,4,4,35,3.58351893845611,0,2,0,0,5,398,5.988961416889864,1,2,3,6,8,16,2.833213344056216,1,1,1,2,6,1,1,226887.0
7,2.0794415416798357,0,1,2,0,7,55,4.02535169073515,0,1,0,6,5,253,5.537334267018537,0,1,3,1,3,13,2.6390573296152584,0,1,3,6,3,1,0,29806.0
10,2.3978952727983707,1,1,0,3,0,46,3.8501476017100584,1,1,1,4,6,322,5.777652323222656,1,1,2,0,2,7,2.0794415416798357,0,1,2,0,7,1,2,2623.0
5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,0,1,0,130,4.875197323201151,1,1,0,4,0,23,3.1780538303479458,0,2,3,2,3,1,2,146517.0
11,2.4849066497880004,0,2,1,4,1,16,2.833213344056216,1,1,1,2,6,423,6.049733455231958,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,1,1,10441.0
12,2.5649493574615367,1,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,391,5.971261839790462,0,1,1,6,1,1,0.6931471805599453,0,1,1,1,1,1,4,433.0
10,2.3978952727983707,1,1,0,3,0,58,4.07753744390572,1,1,3,2,8,326,5.7899601708972535,1,2,1,4,6,27,3.332204510175204,0,0,2,6,7,1,0,55901.0
10,2.3978952727983707,1,1,0,3,0,48,3.8918202981106265,1,0,3,6,8,724,6.586171654854675,1,1,4,3,4,1,0.6931471805599453,0,1,1,1,1,1,3,11521.0
8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,57,4.060443010546419,0,0,2,1,7,3,1.3862943611198906,0,0,3,3,3,1,1,164.0
11,2.4849066497880004,0,2,1,4,1,48,3.8918202981106265,1,0,3,6,8,151,5.0238805208462765,0,1,1,4,1,9,2.302585092994046,0,0,4,2,9,1,0,2045.0
5,1.791759469228055,0,2,0,5,5,45,3.828641396489095,0,0,0,3,5,218,5.389071729816501,1,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,1,2,9784.0
3,1.3862943611198906,0,0,3,3,3,45,3.828641396489095,0,0,0,3,5,136,4.919980925828125,1,1,1,3,6,6,1.9459101490553132,1,0,1,6,6,1,2,407.0
4,1.6094379124341003,1,1,4,4,4,17,2.8903717578961645,0,2,2,3,7,500,6.2166061010848646,1,2,0,3,0,8,2.1972245773362196,1,2,3,1,8,1,2,71397.0
5,1.791759469228055,0,2,0,5,5,41,3.7376696182833684,0,2,1,6,1,463,6.139884552226255,0,1,3,1,3,37,3.6375861597263857,0,1,2,2,7,1,0,355858.0
