slot_town_name,slot_total_residents,slot_total_residents_abs_log1p,slot_total_residents_is_even,slot_total_residents_mod3,slot_total_residents_mod5,slot_total_residents_mod7,slot_total_residents_mod10,slot_item_a_name,slot_item_b_name,slot_item_c_name,slot_universal_item_name,slot_count_item_a,slot_count_item_a_abs_log1p,slot_count_item_a_is_even,slot_count_item_a_mod3,slot_count_item_a_mod5,slot_count_item_a_mod7,slot_count_item_a_mod10,slot_count_item_b,slot_count_item_b_abs_log1p,slot_count_item_b_sign,slot_count_item_b_is_even,slot_count_item_b_mod3,slot_count_item_b_mod5,slot_count_item_b_mod7,slot_count_item_b_mod10,slot_count_item_c,slot_count_item_c_abs_log1p,slot_count_item_c_sign,slot_count_item_c_is_even,slot_count_item_c_mod3,slot_count_item_c_mod5,slot_count_item_c_mod7,slot_count_item_c_mod10,slot_count_universal,slot_count_universal_abs_log1p,slot_count_universal_is_even,slot_count_universal_mod3,slot_count_universal_mod5,slot_count_universal_mod7,slot_count_universal_mod10,slot_exactly_two_count,slot_exactly_two_count_abs_log1p,slot_exactly_two_count_sign,slot_exactly_two_count_is_even,slot_exactly_two_count_mod3,slot_exactly_two_count_mod5,slot_exactly_two_count_mod7,slot_exactly_two_count_mod10,slot_exactly_three_count,slot_exactly_three_count_abs_log1p,slot_exactly_three_count_sign,slot_exactly_three_count_is_even,slot_exactly_three_count_mod3,slot_exactly_three_count_mod5,slot_exactly_three_count_mod7,slot_exactly_three_count_mod10,gcd_all,n_multiple_pairs,y
0,1419,7.258412150595307,0,0,4,5,9,0,0,0,0,1419,7.258412150595307,0,0,4,5,9,103,4.6443908991413725,1,0,1,3,5,3,0,0.0,0,1,0,0,0,0,1419,7.258412150595307,0,0,4,5,9,958,6.8658910748834385,1,1,1,3,6,8,21,3.091042453358316,1,0,0,1,0,1,1,3,174.0
1,483,6.182084906716632,0,0,3,0,3,1,1,0,1,483,6.182084906716632,0,0,3,0,3,250,5.5254529391317835,1,1,1,0,5,0,0,0.0,0,1,0,0,0,0,483,6.182084906716632,0,0,3,0,3,320,5.771441123130016,1,1,2,0,5,0,16,2.833213344056216,1,1,1,1,2,6,1,4,127.0
2,1384,7.233455418621439,1,1,4,5,4,2,2,1,2,1384,7.233455418621439,1,1,4,5,4,1155,7.052721049232323,1,0,0,0,0,5,0,0.0,0,1,0,0,0,0,1384,7.233455418621439,1,1,4,5,4,595,6.39024066706535,1,0,1,0,0,5,387,5.961005339623274,1,0,0,2,2,7,1,3,390.0
2,1545,7.343426229147367,0,0,0,5,5,3,3,2,1,1545,7.343426229147367,0,0,0,5,5,187,5.236441962829949,1,0,1,2,5,7,0,0.0,0,1,0,0,0,0,1545,7.343426229147367,0,0,0,5,5,1314,7.181591944611865,1,1,0,4,5,4,191,5.2574953720277815,1,0,2,1,2,1,1,3,12.0
3,1977,7.589841512182657,0,0,2,3,7,4,4,3,3,1977,7.589841512182657,0,0,2,3,7,1618,7.389563953677635,1,1,1,3,1,8,0,0.0,0,1,0,0,0,0,1977,7.589841512182657,0,0,2,3,7,362,5.8944028342648505,1,1,2,2,5,2,1507,7.318539548567902,1,0,1,2,2,7,1,3,73.0
4,321,5.7745515455444085,0,0,1,6,1,5,5,4,4,321,5.7745515455444085,0,0,1,6,1,149,5.0106352940962555,1,0,2,4,2,9,0,0.0,0,1,0,0,0,0,321,5.7745515455444085,0,0,1,6,1,235,5.4638318050256105,1,0,1,0,4,5,17,2.8903717578961645,1,0,2,2,3,7,1,3,67.0
5,1628,7.395721608602045,1,2,3,4,8,6,6,5,4,1628,7.395721608602045,1,2,3,4,8,1628,7.395721608602045,1,1,2,3,4,8,123,4.820281565605037,1,0,0,3,4,3,1628,7.395721608602045,1,2,3,4,8,252,5.53338948872752,1,1,0,2,0,2,398,5.988961416889864,1,1,2,3,6,8,1,6,777.0
1,457,6.126869184114185,0,1,2,2,7,7,2,6,1,434,6.075346031088684,1,2,4,0,4,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,457,6.126869184114185,0,1,2,2,7,331,5.805134968916488,1,0,1,1,2,1,47,3.871201010907891,1,0,2,2,5,7,1,1,3.0
6,595,6.39024066706535,0,1,0,0,5,8,7,6,0,595,6.39024066706535,0,1,0,0,5,540,6.293419278846481,1,1,0,0,1,0,0,0.0,0,1,0,0,0,0,595,6.39024066706535,0,1,0,0,5,277,5.627621113690637,1,0,1,2,4,7,42,3.7612001156935624,1,1,0,2,0,2,1,3,258.0
7,1983,7.592870287844818,0,0,3,2,3,3,7,7,3,1983,7.592870287844818,0,0,3,2,3,1678,7.425953657077541,1,1,1,3,5,8,0,0.0,0,1,0,0,0,0,1983,7.592870287844818,0,0,3,2,3,259,5.560681631015528,1,0,1,4,0,9,1677,7.425357887027151,1,0,0,2,4,7,1,3,16.0
0,1548,7.3453648404168685,1,0,3,1,8,9,8,8,5,1548,7.3453648404168685,1,0,3,1,8,103,4.6443908991413725,1,0,1,3,5,3,0,0.0,0,1,0,0,0,0,1548,7.3453648404168685,1,0,3,1,8,1408,7.25063551189868,1,1,1,3,1,8,15,2.772588722239781,1,0,0,0,1,5,1,3,71.0
4,1340,7.201170883281678,1,2,0,3,0,3,4,2,5,1340,7.201170883281678,1,2,0,3,0,715,6.573680166960646,1,0,1,0,1,5,0,0.0,0,1,0,0,0,0,1340,7.201170883281678,1,2,0,3,0,133,4.897839799950911,1,0,1,3,0,3,655,6.486160788944089,1,0,1,0,4,5,1,3,204.0
4,1945,7.57353126274595,0,1,0,6,5,1,9,3,3,1882,7.5406215286571525,1,1,2,6,2,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,1945,7.57353126274595,0,1,0,6,5,301,5.71042701737487,1,0,1,1,0,1,672,6.511745329644728,1,1,0,2,0,2,1,1,79.0
8,346,5.849324779946859,1,1,1,3,6,4,9,5,1,346,5.849324779946859,1,1,1,3,6,25,3.258096538021482,1,0,1,0,4,5,0,0.0,0,1,0,0,0,0,346,5.849324779946859,1,1,1,3,6,295,5.69035945432406,1,0,1,0,1,5,11,2.4849066497880004,1,0,2,1,4,1,1,3,18.0
