slot_R,slot_R_abs_log1p,slot_R_is_even,slot_R_mod3,slot_R_mod5,slot_R_mod7,slot_R_mod10,slot_r,slot_r_abs_log1p,slot_r_is_even,slot_r_mod3,slot_r_mod5,slot_r_mod7,slot_r_mod10,slot_triangle_name,gcd_all,n_multiple_pairs,y
67,4.219507705176107,0,1,2,4,7,22,3.1354942159291497,1,1,2,1,2,0,1,0,8844.0
89,4.499809670330265,0,2,4,5,9,22,3.1354942159291497,1,1,2,1,2,1,1,0,11748.0
55,4.02535169073515,0,1,0,6,5,26,3.295836866004329,1,2,1,5,6,0,1,0,8580.0
43,3.784189633918261,0,1,3,1,3,4,1.6094379124341003,1,1,4,4,4,2,1,0,1032.0
44,3.8066624897703196,1,2,4,2,4,4,1.6094379124341003,1,1,4,4,4,2,4,1,1056.0
77,4.356708826689592,0,2,2,0,7,30,3.4339872044851463,1,0,0,2,0,0,1,0,13860.0
60,4.110873864173311,1,0,0,4,0,30,3.4339872044851463,1,0,0,2,0,1,30,1,10800.0
73,4.30406509320417,0,1,3,3,3,6,1.9459101490553132,1,0,1,6,6,2,1,0,2628.0
91,4.5217885770490405,0,1,1,0,1,17,2.8903717578961645,0,2,2,3,7,3,1,0,9282.0
92,4.532599493153256,1,2,2,1,2,10,2.3978952727983707,1,1,0,3,0,1,2,0,5520.0
78,4.3694478524670215,1,0,3,1,8,14,2.70805020110221,1,2,4,0,4,3,2,0,6552.0
18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,1,3,1,324.0
60,4.110873864173311,1,0,0,4,0,25,3.258096538021482,0,1,0,4,5,2,5,0,9000.0
68,4.23410650459726,1,2,3,5,8,25,3.258096538021482,0,1,0,4,5,3,1,0,10200.0
87,4.477336814478207,0,0,2,3,7,22,3.1354942159291497,1,1,2,1,2,0,1,0,11484.0
59,4.0943445622221,0,2,4,3,9,16,2.833213344056216,1,1,1,2,6,3,1,0,5664.0
66,4.204692619390966,1,0,1,3,6,7,2.0794415416798357,0,1,2,0,7,3,1,0,2772.0
100,4.61512051684126,1,1,0,2,0,3,1.3862943611198906,0,0,3,3,3,0,1,0,1800.0
