slot_p,slot_p_abs_log1p,slot_p_mod3,slot_p_mod5,slot_p_mod7,slot_p_mod10,slot_t,slot_t_abs_log1p,slot_t_sign,slot_t_is_even,slot_t_mod3,slot_t_mod5,slot_t_mod7,slot_t_mod10,slot_u,slot_u_abs_log1p,slot_u_sign,slot_u_is_even,slot_u_mod3,slot_u_mod5,slot_u_mod7,slot_u_mod10,slot_mod,slot_mod_abs_log1p,slot_mod_is_even,slot_mod_mod3,slot_mod_mod5,slot_mod_mod7,slot_mod_mod10,gcd_all,n_multiple_pairs,y
5,1.791759469228055,2,0,5,5,5,1.791759469228055,1,0,2,0,5,5,-5,1.791759469228055,-1,0,1,0,2,5,10000,9.210440366976517,1,1,0,4,0,5,6,1111.0
19,2.995732273553991,1,4,5,9,2,1.0986122886681098,1,1,2,2,2,2,6,1.9459101490553132,1,1,0,1,6,6,3638,8.19946419761216,1,2,3,5,8,1,2,2659.0
7,2.0794415416798357,1,2,0,7,-3,1.3862943611198906,-1,0,0,2,4,7,-2,1.0986122886681098,-1,1,1,3,5,8,10000,9.210440366976517,1,1,0,4,0,1,1,3571.0
11,2.4849066497880004,2,1,4,1,2,1.0986122886681098,1,1,2,2,2,2,-5,1.791759469228055,-1,0,1,0,2,5,1000,6.90875477931522,1,1,0,6,0,1,2,147.0
19,2.995732273553991,1,4,5,9,-2,1.0986122886681098,-1,1,1,3,5,8,0,0.0,0,1,0,0,0,0,1329,7.1929342212158,0,0,4,6,9,1,0,664.0
19,2.995732273553991,1,4,5,9,4,1.6094379124341003,1,1,1,4,4,4,4,1.6094379124341003,1,1,1,4,4,4,2461,7.808729306744399,0,1,1,4,1,1,1,1453.0
7,2.0794415416798357,1,2,0,7,0,0.0,0,1,0,0,0,0,3,1.3862943611198906,1,0,0,3,3,3,10000,9.210440366976517,1,1,0,4,0,1,0,547.0
17,2.8903717578961645,2,2,3,7,-6,1.9459101490553132,-1,1,0,4,1,4,6,1.9459101490553132,1,1,0,1,6,6,10000,9.210440366976517,1,1,0,4,0,1,1,6901.0
19,2.995732273553991,1,4,5,9,1,0.6931471805599453,1,0,1,1,1,1,4,1.6094379124341003,1,1,1,4,4,4,3374,8.12415060330663,1,2,4,0,4,1,3,2777.0
7,2.0794415416798357,1,2,0,7,4,1.6094379124341003,1,1,1,4,4,4,-1,0.6931471805599453,-1,0,2,4,6,9,10000,9.210440366976517,1,1,0,4,0,1,4,6119.0
5,1.791759469228055,2,0,5,5,3,1.3862943611198906,1,0,0,3,3,3,-2,1.0986122886681098,-1,1,1,3,5,8,1000,6.90875477931522,1,1,0,6,0,1,2,151.0
