slot_threshold_count,slot_threshold_count_abs_log1p,slot_threshold_count_sign,slot_threshold_count_is_even,slot_threshold_count_mod3,slot_threshold_count_mod5,slot_threshold_count_mod7,slot_threshold_count_mod10,slot_base_min,slot_base_min_abs_log1p,slot_base_min_is_even,slot_base_min_mod3,slot_base_min_mod5,slot_base_min_mod7,slot_base_min_mod10,gcd_all,n_multiple_pairs,y
9,2.302585092994046,1,0,0,4,2,9,16,2.833213344056216,1,1,1,2,6,1,0,211.0
20,3.044522437723423,1,1,2,0,6,0,25,3.258096538021482,0,1,0,4,5,5,0,2311.0
34,3.5553480614894135,1,1,1,4,6,4,2709,7.904703913873747,0,0,4,0,9,1,0,30031.0
9,2.302585092994046,1,0,0,4,2,9,196,5.2832037287379885,1,1,1,0,6,1,0,211.0
17,2.8903717578961645,1,0,2,2,3,7,387,5.961005339623274,0,0,2,2,7,1,0,2311.0
32,3.4965075614664802,1,1,2,2,4,2,21007,9.952658596542577,0,1,2,0,7,1,0,30031.0
38,3.6635616461296463,1,1,2,3,3,8,19189,9.862144589001746,0,1,4,2,9,1,0,30031.0
5,1.791759469228055,1,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,5,1,31.0
6,1.9459101490553132,1,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,2,1,31.0
27,3.332204510175204,1,0,0,2,6,7,1543,7.342131730584722,0,1,3,3,3,1,0,2311.0
7,2.0794415416798357,1,0,1,2,0,7,30,3.4339872044851463,1,0,0,2,0,1,0,211.0
13,2.6390573296152584,1,0,1,3,6,3,66,4.204692619390966,1,0,1,3,6,1,0,211.0
30,3.4339872044851463,1,1,0,0,2,0,979,6.887552571664617,0,1,4,6,9,1,0,2311.0
4,1.6094379124341003,1,1,1,4,4,4,14,2.70805020110221,1,2,4,0,4,2,0,31.0
22,3.1354942159291497,1,1,1,2,1,2,227,5.429345628954441,0,2,2,3,7,1,0,2311.0
0,0.0,0,1,0,0,0,0,3,1.3862943611198906,0,0,3,3,3,3,0,3.0
1,0.6931471805599453,1,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,1,7.0
26,3.295836866004329,1,1,2,1,5,6,32,3.4965075614664802,1,2,2,4,2,2,0,2311.0
18,2.9444389791664403,1,1,0,3,4,8,1126,7.027314514039777,1,1,1,6,6,2,0,2311.0
5,1.791759469228055,1,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,1,0,31.0
9,2.302585092994046,1,0,0,4,2,9,109,4.700480365792417,0,1,4,4,9,1,0,211.0
23,3.1780538303479458,1,0,2,3,2,3,393,5.976350909297934,0,0,3,1,3,1,0,2311.0
28,3.367295829986474,1,1,1,3,0,8,1386,7.234898420314831,1,0,1,0,6,14,0,2311.0
5,1.791759469228055,1,0,2,0,5,5,14,2.70805020110221,1,2,4,0,4,1,0,31.0
16,2.833213344056216,1,1,1,1,2,6,311,5.7430031878094825,0,2,1,3,1,1,0,2311.0
20,3.044522437723423,1,1,2,0,6,0,1042,6.949856455000773,1,1,2,6,2,2,0,2311.0
33,3.5263605246161616,1,0,0,3,5,3,44,3.8066624897703196,1,2,4,2,4,11,0,30031.0
9,2.302585092994046,1,0,0,4,2,9,82,4.418840607796598,1,1,2,5,2,1,0,211.0
11,2.4849066497880004,1,0,2,1,4,1,160,5.081404364984463,1,1,0,6,0,1,0,211.0
23,3.1780538303479458,1,0,2,3,2,3,896,6.799055862058796,1,2,1,0,6,1,0,2311.0
16,2.833213344056216,1,1,1,1,2,6,429,6.063785208687608,0,0,4,2,9,1,0,2311.0
29,3.4011973816621555,1,0,2,4,1,9,1039,6.946975992135418,0,1,4,3,9,1,0,2311.0
9,2.302585092994046,1,0,0,4,2,9,25,3.258096538021482,0,1,0,4,5,1,0,211.0
23,3.1780538303479458,1,0,2,3,2,3,124,4.8283137373023015,1,1,4,5,4,1,0,2311.0
26,3.295836866004329,1,1,2,1,5,6,901,6.804614520062624,0,1,1,5,1,1,0,2311.0
28,3.367295829986474,1,1,1,3,0,8,1758,7.472500744737558,1,0,3,1,8,2,0,2311.0
4,1.6094379124341003,1,1,1,4,4,4,24,3.2188758248682006,1,0,4,3,4,4,1,31.0
5,1.791759469228055,1,0,2,0,5,5,29,3.4011973816621555,0,2,4,1,9,1,0,31.0
28,3.367295829986474,1,1,1,3,0,8,2123,7.66105638236183,0,2,3,2,3,1,0,2311.0
27,3.332204510175204,1,0,0,2,6,7,1067,6.97354301952014,0,2,2,3,7,1,0,2311.0
28,3.367295829986474,1,1,1,3,0,8,1837,7.516433302915632,0,1,2,3,7,1,0,2311.0
0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,2,2,2,2,2,0,3.0
25,3.258096538021482,1,0,1,0,4,5,299,5.703782474656201,0,2,4,5,9,1,0,2311.0
16,2.833213344056216,1,1,1,1,2,6,1631,7.397561535524052,0,2,1,0,1,1,0,2311.0
6,1.9459101490553132,1,1,0,1,6,6,29,3.4011973816621555,0,2,4,1,9,1,0,31.0
23,3.1780538303479458,1,0,2,3,2,3,509,6.234410725718371,0,2,4,5,9,1,0,2311.0
27,3.332204510175204,1,0,0,2,6,7,2124,7.661527081358517,1,0,4,3,4,9,0,2311.0
14,2.70805020110221,1,1,2,4,0,4,203,5.318119993844216,0,2,3,0,3,7,0,211.0
19,2.995732273553991,1,0,1,4,5,9,1962,7.5822291942764615,1,0,2,2,2,1,0,2311.0
38,3.6635616461296463,1,1,2,3,3,8,7055,8.861633597686627,0,2,0,6,5,1,0,30031.0
29,3.4011973816621555,1,0,2,4,1,9,1579,7.365180126021013,0,1,4,4,9,1,0,2311.0
39,3.6888794541139363,1,0,0,4,4,9,18766,9.839855287291273,1,1,1,6,6,1,0,30031.0
27,3.332204510175204,1,0,0,2,6,7,625,6.439350371100098,0,1,0,2,5,1,0,2311.0
21,3.091042453358316,1,0,0,1,0,1,1933,7.56734567601324,0,1,3,1,3,1,0,2311.0
35,3.58351893845611,1,0,2,0,0,5,22766,10.033067398072022,1,2,1,2,6,1,0,30031.0
26,3.295836866004329,1,1,2,1,5,6,1347,7.206377291472252,0,0,2,3,7,1,0,2311.0
39,3.6888794541139363,1,0,0,4,4,9,26011,10.166313248989043,0,1,1,6,1,1,0,30031.0
16,2.833213344056216,1,1,1,1,2,6,1291,7.163946684342547,0,1,1,3,1,1,0,2311.0
20,3.044522437723423,1,1,2,0,6,0,1594,7.374629015218945,1,1,4,5,4,2,0,2311.0
2,1.0986122886681098,1,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,2,1,7.0
34,3.5553480614894135,1,1,1,4,6,4,3793,8.24117615049496,0,1,3,6,3,1,0,30031.0
40,3.713572066704308,1,1,1,0,5,0,25945,10.163772734130958,0,1,0,3,5,5,0,30031.0
27,3.332204510175204,1,0,0,2,6,7,1729,7.455876687491824,0,1,4,0,9,1,0,2311.0
28,3.367295829986474,1,1,1,3,0,8,1507,7.318539548567902,0,1,2,2,7,1,0,2311.0
7,2.0794415416798357,1,0,1,2,0,7,72,4.290459441148391,1,0,2,2,2,1,0,211.0
8,2.1972245773362196,1,1,2,3,1,8,129,4.867534450455582,0,0,4,3,9,1,0,211.0
34,3.5553480614894135,1,1,1,4,6,4,19798,9.8933867103567,1,1,3,2,8,2,0,30031.0
5,1.791759469228055,1,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,5,1,31.0
