slot_total_listed,slot_total_listed_abs_log1p,slot_total_listed_is_even,slot_total_listed_mod3,slot_total_listed_mod5,slot_total_listed_mod7,slot_total_listed_mod10,slot_alice_name,slot_bob_name,gcd_all,y
55950,10.932231586681333,1,0,0,6,0,0,0,55950,83.0
166965,12.02554547785669,0,0,0,1,5,1,1,166965,72.0
468941,13.058234372403577,0,2,1,4,1,0,0,468941,121.0
194133,12.176303921256542,0,0,3,2,3,1,2,194133,113.0
130862,11.78190625342459,1,2,2,4,2,1,3,130862,132.0
31937,10.371551802400813,0,2,2,3,7,0,1,31937,81.0
190564,12.157748622699984,1,1,4,3,4,2,4,190564,91.0
36230,10.497670384943484,1,2,0,5,0,2,0,36230,61.0
430448,12.97258412893321,1,2,3,4,8,0,2,430448,93.0
118915,11.686172640488476,0,1,0,6,5,2,2,118915,72.0
97602,11.488663509633708,1,0,2,1,2,3,2,97602,100.0
304528,12.626521599692467,1,1,3,0,8,3,2,304528,82.0
241816,12.395936520729524,1,1,1,1,6,2,3,241816,95.0
81293,11.305827492074487,0,2,3,2,3,2,2,81293,92.0
65596,11.091285242179136,1,1,1,6,6,2,4,65596,35.0
465821,13.05155886588811,0,2,1,6,1,4,3,465821,119.0
484123,13.090096351232685,0,1,3,3,3,0,4,484123,114.0
296205,12.598810437194063,0,0,0,0,5,2,3,296205,63.0
186543,12.136422415173072,0,0,3,0,3,3,0,186543,98.0
365879,12.810060689770301,0,2,4,3,9,0,2,365879,102.0
193675,12.173941938775789,0,1,0,6,5,4,2,193675,102.0
208029,12.245437579052428,0,0,4,3,9,0,4,208029,93.0
279289,12.540005947497095,0,1,4,3,9,1,3,279289,75.0
470834,13.062262993151368,1,2,4,0,4,3,1,470834,123.0
287846,12.570184367954804,1,2,1,6,6,2,4,287846,77.0
58881,10.983290720217184,0,0,1,4,1,3,2,58881,67.0
491156,13.104519111266546,1,2,1,1,6,3,3,491156,145.0
28214,10.24760903040324,1,2,4,4,4,1,2,28214,78.0
302271,12.619082553255788,0,0,1,4,1,3,0,302271,100.0
119739,11.693078004479343,0,0,4,4,9,4,4,119739,106.0
335800,12.724274001584217,1,1,0,3,0,3,4,335800,114.0
400584,12.900681257678569,1,0,4,2,4,0,0,400584,92.0
207830,12.244480528426429,1,2,0,0,0,0,0,207830,105.0
477424,13.076162358503614,1,1,4,3,4,4,0,477424,107.0
68008,11.127395328341542,1,1,3,3,8,0,3,68008,56.0
41013,10.621668750815715,0,0,3,0,3,2,2,41013,45.0
178607,12.092948739254513,0,2,2,2,7,0,4,178607,106.0
354366,12.778088378253427,1,0,1,5,6,4,4,354366,97.0
