slot_tube_radius,slot_tube_radius_abs_log1p,slot_tube_radius_is_even,slot_tube_radius_mod3,slot_tube_radius_mod5,slot_tube_radius_mod7,slot_tube_radius_mod10,slot_axis_distance,slot_axis_distance_abs_log1p,slot_axis_distance_is_even,slot_axis_distance_mod3,slot_axis_distance_mod5,slot_axis_distance_mod7,slot_axis_distance_mod10,slot_sphere_radius,slot_sphere_radius_abs_log1p,slot_sphere_radius_is_even,slot_sphere_radius_mod3,slot_sphere_radius_mod5,slot_sphere_radius_mod7,slot_sphere_radius_mod10,gcd_all,n_multiple_pairs,y
16,2.833213344056216,1,1,1,2,6,9,2.302585092994046,0,0,4,2,9,32,3.4965075614664802,1,2,2,4,2,1,1,13.0
3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,16,2.833213344056216,1,1,1,2,6,1,1,535.0
2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,24,3.2188758248682006,1,0,4,3,4,2,3,335.0
7,2.0794415416798357,0,1,2,0,7,20,3.044522437723423,1,2,0,6,0,28,3.367295829986474,1,1,3,0,8,1,1,35.0
15,2.772588722239781,0,0,0,1,5,11,2.4849066497880004,0,2,1,4,1,29,3.4011973816621555,0,2,4,1,9,1,0,463.0
5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,9,2.302585092994046,0,0,4,2,9,1,2,73.0
5,1.791759469228055,0,2,0,5,5,16,2.833213344056216,1,1,1,2,6,25,3.258096538021482,0,1,0,4,5,1,1,23.0
3,1.3862943611198906,0,0,3,3,3,11,2.4849066497880004,0,2,1,4,1,15,2.772588722239781,0,0,0,1,5,1,1,67.0
6,1.9459101490553132,1,0,1,6,6,17,2.8903717578961645,0,2,2,3,7,33,3.5263605246161616,0,0,3,5,3,1,0,865.0
16,2.833213344056216,1,1,1,2,6,7,2.0794415416798357,0,1,2,0,7,35,3.58351893845611,0,2,0,0,5,1,1,8809.0
6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,0,0,0,1,5,1,1,61.0
3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,1,0,61.0
7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,23,3.1780538303479458,0,2,3,2,3,1,0,191.0
5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,13,2.6390573296152584,0,1,3,6,3,1,0,89.0
6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,9,2.302585092994046,0,0,4,2,9,1,2,17.0
12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,42,3.7612001156935624,1,0,2,0,2,3,2,43.0
9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,15,2.772588722239781,0,0,0,1,5,3,2,53.0
18,2.9444389791664403,1,0,3,4,8,20,3.044522437723423,1,2,0,6,0,44,3.8066624897703196,1,2,4,2,4,2,0,8323.0
16,2.833213344056216,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,19,2.995732273553991,0,1,4,5,9,1,1,1321.0
15,2.772588722239781,0,0,0,1,5,12,2.5649493574615367,1,0,2,5,2,30,3.4339872044851463,1,0,0,2,0,3,1,17.0
14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,24,3.2188758248682006,1,0,4,3,4,1,0,187.0
5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,27,3.332204510175204,0,0,2,6,7,1,2,487.0
17,2.8903717578961645,0,2,2,3,7,3,1.3862943611198906,0,0,3,3,3,28,3.367295829986474,1,1,3,0,8,1,0,1117.0
3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,1,0,2,5,2,32,3.4965075614664802,1,2,2,4,2,1,1,3319.0
5,1.791759469228055,0,2,0,5,5,21,3.091042453358316,0,0,1,0,1,35,3.58351893845611,0,2,0,0,5,1,1,57.0
12,2.5649493574615367,1,0,2,5,2,1,0.6931471805599453,0,1,1,1,1,15,2.772588722239781,0,0,0,1,5,1,2,49.0
15,2.772588722239781,0,0,0,1,5,14,2.70805020110221,1,2,4,0,4,44,3.8066624897703196,1,2,4,2,4,1,0,20191.0
15,2.772588722239781,0,0,0,1,5,1,0.6931471805599453,0,1,1,1,1,34,3.5553480614894135,1,1,4,6,4,1,2,1951.0
19,2.995732273553991,0,1,4,5,9,1,0.6931471805599453,0,1,1,1,1,43,3.784189633918261,0,1,3,1,3,1,2,1561.0
6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,19,2.995732273553991,0,1,4,5,9,1,1,1693.0
14,2.70805020110221,1,2,4,0,4,1,0.6931471805599453,0,1,1,1,1,18,2.9444389791664403,1,0,3,4,8,1,2,79.0
7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,13,2.6390573296152584,0,1,3,6,3,1,0,106.0
14,2.70805020110221,1,2,4,0,4,7,2.0794415416798357,0,1,2,0,7,34,3.5553480614894135,1,1,4,6,4,1,1,953.0
12,2.5649493574615367,1,0,2,5,2,11,2.4849066497880004,0,2,1,4,1,25,3.258096538021482,0,1,0,4,5,1,0,7081.0
5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,17,2.8903717578961645,0,2,2,3,7,1,0,203.0
17,2.8903717578961645,0,2,2,3,7,9,2.302585092994046,0,0,4,2,9,40,3.713572066704308,1,1,0,5,0,1,0,4517.0
3,1.3862943611198906,0,0,3,3,3,14,2.70805020110221,1,2,4,0,4,24,3.2188758248682006,1,0,4,3,4,1,1,41.0
7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,33,3.5263605246161616,0,0,3,5,3,1,0,361.0
17,2.8903717578961645,0,2,2,3,7,8,2.1972245773362196,1,2,3,1,8,41,3.7376696182833684,0,2,1,6,1,1,0,784.0
19,2.995732273553991,0,1,4,5,9,16,2.833213344056216,1,1,1,2,6,43,3.784189633918261,0,1,3,1,3,1,0,1727.0
3,1.3862943611198906,0,0,3,3,3,15,2.772588722239781,0,0,0,1,5,19,2.995732273553991,0,1,4,5,9,1,1,1031.0
5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,33,3.5263605246161616,0,0,3,5,3,1,1,1091.0
4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,1,3,7.0
14,2.70805020110221,1,2,4,0,4,8,2.1972245773362196,1,2,3,1,8,34,3.5553480614894135,1,1,4,6,4,2,0,134.0
9,2.302585092994046,0,0,4,2,9,23,3.1780538303479458,0,2,3,2,3,37,3.6375861597263857,0,1,2,2,7,1,0,361.0
18,2.9444389791664403,1,0,3,4,8,13,2.6390573296152584,0,1,3,6,3,44,3.8066624897703196,1,2,4,2,4,1,0,427.0
7,2.0794415416798357,0,1,2,0,7,13,2.6390573296152584,0,1,3,6,3,24,3.2188758248682006,1,0,4,3,4,1,0,4895.0
10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,0,6,0,31,3.4657359027997265,0,1,1,3,1,1,1,13261.0
8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,13,2.6390573296152584,0,1,3,6,3,1,0,243.0
2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,1,0,257.0
17,2.8903717578961645,0,2,2,3,7,12,2.5649493574615367,1,0,2,5,2,38,3.6635616461296463,1,2,3,3,8,1,0,5553.0
12,2.5649493574615367,1,0,2,5,2,13,2.6390573296152584,0,1,3,6,3,32,3.4965075614664802,1,2,2,4,2,1,0,679.0
13,2.6390573296152584,0,1,3,6,3,6,1.9459101490553132,1,0,1,6,6,41,3.7376696182833684,0,2,1,6,1,1,0,659.0
7,2.0794415416798357,0,1,2,0,7,13,2.6390573296152584,0,1,3,6,3,23,3.1780538303479458,0,2,3,2,3,1,0,2333.0
5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,24,3.2188758248682006,1,0,4,3,4,1,1,1991.0
11,2.4849066497880004,0,2,1,4,1,1,0.6931471805599453,0,1,1,1,1,14,2.70805020110221,1,2,4,0,4,1,2,383.0
5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,24,3.2188758248682006,1,0,4,3,4,1,1,3431.0
15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,41,3.7376696182833684,0,2,1,6,1,1,1,3803.0
9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,16,2.833213344056216,1,1,1,2,6,1,2,463.0
13,2.6390573296152584,0,1,3,6,3,1,0.6931471805599453,0,1,1,1,1,16,2.833213344056216,1,1,1,2,6,1,2,503.0
19,2.995732273553991,0,1,4,5,9,13,2.6390573296152584,0,1,3,6,3,45,3.828641396489095,0,0,0,3,5,1,0,919.0
8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,14,2.70805020110221,1,2,4,0,4,1,0,313.0
12,2.5649493574615367,1,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,32,3.4965075614664802,1,2,2,4,2,2,1,343.0
6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,30,3.4339872044851463,1,0,0,2,0,1,1,47.0
20,3.044522437723423,1,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,29,3.4011973816621555,0,2,4,1,9,1,0,2467.0
17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,0,5,5,35,3.58351893845611,0,2,0,0,5,1,1,3443.0
16,2.833213344056216,1,1,1,2,6,13,2.6390573296152584,0,1,3,6,3,30,3.4339872044851463,1,0,0,2,0,1,0,3281.0
11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,41,3.7376696182833684,0,2,1,6,1,1,0,711.0
19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,47,3.871201010907891,0,2,2,5,7,1,0,1124.0
12,2.5649493574615367,1,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,29,3.4011973816621555,0,2,4,1,9,1,1,4873.0
6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,16,2.833213344056216,1,1,1,2,6,2,1,343.0
12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,25,3.258096538021482,0,1,0,4,5,1,1,2881.0
11,2.4849066497880004,0,2,1,4,1,12,2.5649493574615367,1,0,2,5,2,41,3.7376696182833684,0,2,1,6,1,1,0,516.0
3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,0,0,0,1,5,1,1,11.0
2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,24,3.2188758248682006,1,0,4,3,4,1,1,37.0
8,2.1972245773362196,1,2,3,1,8,24,3.2188758248682006,1,0,4,3,4,35,3.58351893845611,0,2,0,0,5,1,1,4867.0
10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,18,2.9444389791664403,1,0,3,4,8,2,1,149.0
