slot_rows,slot_rows_abs_log1p,slot_rows_is_even,slot_rows_mod3,slot_rows_mod5,slot_rows_mod7,slot_rows_mod10,slot_cols,slot_cols_abs_log1p,slot_cols_is_even,slot_cols_mod3,slot_cols_mod5,slot_cols_mod7,slot_cols_mod10,slot_color1,slot_color2,slot_supply1,slot_supply1_abs_log1p,slot_supply1_is_even,slot_supply1_mod3,slot_supply1_mod5,slot_supply1_mod7,slot_supply1_mod10,slot_supply2,slot_supply2_abs_log1p,slot_supply2_is_even,slot_supply2_mod3,slot_supply2_mod5,slot_supply2_mod7,slot_supply2_mod10,gcd_all,n_multiple_pairs,y
1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,0,0,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,4,2.0
7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,1,0,65,4.189654742026425,0,2,0,2,5,75,4.330733340286331,0,0,0,5,5,1,0,7814.0
7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,1,0,8,2.1972245773362196,1,2,3,1,8,14,2.70805020110221,1,2,4,0,4,1,4,2.0
1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,2,1,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,4,2.0
4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,3,2,32,3.4965075614664802,1,2,2,4,2,31,3.4657359027997265,0,1,1,3,1,1,3,198.0
4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,3,2,30,3.4339872044851463,1,0,0,2,0,32,3.4965075614664802,1,2,2,4,2,2,3,198.0
1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,0,3,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,4,2.0
2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,4,4,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,1,4,2.0
5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,5,5,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,1,4,2.0
4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,6,2,37,3.6375861597263857,0,1,2,2,7,33,3.5263605246161616,0,0,3,5,3,1,0,422.0
6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,6,1,44,3.8066624897703196,1,2,4,2,4,44,3.8066624897703196,1,2,4,2,4,2,3,870.0
