slot_buyer_name,slot_store_type,slot_unit_name,slot_item1_name,slot_item2_name,slot_item3_name,slot_q1,slot_q1_abs_log1p,slot_q1_is_even,slot_q1_mod3,slot_q1_mod5,slot_q1_mod7,slot_q1_mod10,slot_q2,slot_q2_abs_log1p,slot_q2_is_even,slot_q2_mod3,slot_q2_mod5,slot_q2_mod7,slot_q2_mod10,slot_q3,slot_q3_abs_log1p,slot_q3_is_even,slot_q3_mod3,slot_q3_mod5,slot_q3_mod7,slot_q3_mod10,slot_p1,slot_p1_abs_log1p,slot_p1_is_even,slot_p1_mod3,slot_p1_mod5,slot_p1_mod7,slot_p1_mod10,slot_p2,slot_p2_abs_log1p,slot_p2_is_even,slot_p2_mod3,slot_p2_mod5,slot_p2_mod7,slot_p2_mod10,slot_p3,slot_p3_abs_log1p,slot_p3_is_even,slot_p3_mod3,slot_p3_mod5,slot_p3_mod7,slot_p3_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
0,0,0,0,0,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,75,4.330733340286331,0,0,0,5,5,188,5.241747015059643,1,2,3,6,8,130,4.875197323201151,1,1,0,4,0,0,1,2,2393.0
1,1,1,1,0,1,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,27,3.332204510175204,0,0,2,6,7,42,3.7612001156935624,1,0,2,0,2,49,3.912023005428146,0,1,4,0,9,0,1,10,664.0
2,2,2,2,1,2,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,170,5.14166355650266,1,2,0,2,0,195,5.278114659230517,0,0,0,6,5,133,4.897839799950911,0,1,3,0,3,1,1,4,3145.0
3,1,2,3,2,3,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,10,2.3978952727983707,1,1,0,3,0,92,4.532599493153256,1,2,2,1,2,115,4.7535901911063645,0,1,0,3,5,138,4.9344739331306915,1,0,3,5,8,2,1,2,3312.0
1,3,1,4,3,1,7,2.0794415416798357,0,1,2,0,7,11,2.4849066497880004,0,2,1,4,1,7,2.0794415416798357,0,1,2,0,7,87,4.477336814478207,0,0,2,3,7,67,4.219507705176107,0,1,2,4,7,136,4.919980925828125,1,1,1,3,6,0,1,1,2298.0
4,1,3,0,4,4,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,11,2.4849066497880004,0,2,1,4,1,45,3.828641396489095,0,0,0,3,5,157,5.062595033026967,0,1,2,3,7,152,5.030437921392435,1,2,2,5,2,1,1,6,2502.0
5,0,4,3,5,5,8,2.1972245773362196,1,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,19,2.995732273553991,0,1,4,5,9,30,3.4339872044851463,1,0,0,2,0,29,3.4011973816621555,0,2,4,1,9,0,1,2,568.0
1,4,4,4,6,5,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,107,4.68213122712422,0,2,2,2,7,200,5.303304908059076,1,2,0,4,0,131,4.882801922586371,0,2,1,5,1,1,1,2,2483.0
3,5,2,5,1,6,8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,185,5.225746673713202,0,2,0,3,5,160,5.081404364984463,1,1,0,6,0,177,5.181783550292085,0,0,2,2,7,0,1,2,3839.0
6,6,0,6,2,7,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,103,4.6443908991413725,0,1,3,5,3,176,5.176149732573829,1,2,1,1,6,140,4.948759890378168,1,2,0,0,0,0,1,6,2666.0
