slot_person_name,slot_item,slot_container_singular,slot_container_plural,slot_servings_per_container,slot_servings_per_container_abs_log1p,slot_servings_per_container_is_even,slot_servings_per_container_mod3,slot_servings_per_container_mod5,slot_servings_per_container_mod7,slot_servings_per_container_mod10,slot_servings_per_day,slot_servings_per_day_abs_log1p,slot_servings_per_day_is_even,slot_servings_per_day_mod3,slot_servings_per_day_mod5,slot_servings_per_day_mod7,slot_servings_per_day_mod10,slot_days,slot_days_abs_log1p,slot_days_is_even,slot_days_mod3,slot_days_mod5,slot_days_mod7,slot_days_mod10,slot_price_per_container,slot_price_per_container_abs_log1p,slot_price_per_container_is_even,slot_price_per_container_mod3,slot_price_per_container_mod5,slot_price_per_container_mod7,slot_price_per_container_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
0,0,0,0,35,3.58351893845611,0,2,0,0,5,4,1.6094379124341003,1,1,4,4,4,70,4.2626798770413155,1,1,0,0,0,11,2.4849066497880004,0,2,1,4,1,0,1,1,88.0
1,1,1,1,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,42,3.7612001156935624,1,0,2,0,2,6,1.9459101490553132,1,0,1,6,6,0,1,3,42.0
2,2,2,2,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,1,3,6,54.0
3,3,3,3,35,3.58351893845611,0,2,0,0,5,1,0.6931471805599453,0,1,1,1,1,70,4.2626798770413155,1,1,0,0,0,4,1.6094379124341003,1,1,4,4,4,2,1,4,8.0
2,3,4,4,13,2.6390573296152584,0,1,3,6,3,1,0.6931471805599453,0,1,1,1,1,169,5.135798437050262,0,1,4,1,9,7,2.0794415416798357,0,1,2,0,7,0,1,4,91.0
1,0,0,0,31,3.4657359027997265,0,1,1,3,1,4,1.6094379124341003,1,1,4,4,4,155,5.049856007249537,0,2,0,1,5,10,2.3978952727983707,1,1,0,3,0,1,1,1,200.0
4,1,1,1,43,3.784189633918261,0,1,3,1,3,2,1.0986122886681098,1,2,2,2,2,86,4.465908118654584,1,2,1,2,6,6,1.9459101490553132,1,0,1,6,6,1,1,3,24.0
5,1,1,1,31,3.4657359027997265,0,1,1,3,1,4,1.6094379124341003,1,1,4,4,4,124,4.8283137373023015,1,1,4,5,4,2,1.0986122886681098,1,2,2,2,2,2,1,4,32.0
6,3,5,5,22,3.1354942159291497,1,1,2,1,2,5,1.791759469228055,0,2,0,5,5,66,4.204692619390966,1,0,1,3,6,5,1.791759469228055,0,2,0,5,5,2,1,2,75.0
4,3,3,3,48,3.8918202981106265,1,0,3,6,8,4,1.6094379124341003,1,1,4,4,4,48,3.8918202981106265,1,0,3,6,8,5,1.791759469228055,0,2,0,5,5,2,1,3,20.0
