slot_person_name,slot_activity,slot_total_minutes,slot_total_minutes_abs_log1p,slot_total_minutes_mod3,slot_total_minutes_mod5,slot_total_minutes_mod7,slot_total_minutes_mod10,slot_segment_minutes,slot_segment_minutes_abs_log1p,slot_segment_minutes_is_even,slot_segment_minutes_mod3,slot_segment_minutes_mod5,slot_segment_minutes_mod7,slot_segment_minutes_mod10,slot_first_points,slot_first_points_abs_log1p,slot_first_points_is_even,slot_first_points_mod3,slot_first_points_mod5,slot_first_points_mod7,slot_first_points_mod10,slot_percent_increase,slot_percent_increase_abs_log1p,slot_percent_increase_is_even,slot_percent_increase_mod3,slot_percent_increase_mod7,slot_percent_increase_mod10,gcd_all,n_multiple_pairs,y
0,0,70,4.2626798770413155,1,0,0,0,35,3.58351893845611,0,2,0,0,5,12,2.5649493574615367,1,0,2,5,2,25,3.258096538021482,0,1,4,5,1,1,27.0
0,0,20,3.044522437723423,2,0,6,0,10,2.3978952727983707,1,1,0,3,0,15,2.772588722239781,0,0,0,1,5,20,3.044522437723423,1,2,6,0,5,3,33.0
1,0,30,3.4339872044851463,0,0,2,0,15,2.772588722239781,0,0,0,1,5,20,3.044522437723423,1,2,0,6,0,20,3.044522437723423,1,2,6,0,5,2,44.0
2,0,50,3.9318256327243257,2,0,1,0,25,3.258096538021482,0,1,0,4,5,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,6,0,5,3,22.0
3,1,40,3.713572066704308,1,0,5,0,20,3.044522437723423,1,2,0,6,0,60,4.110873864173311,1,0,0,4,0,5,1.791759469228055,0,2,5,5,5,5,123.0
4,1,80,4.394449154672439,2,0,3,0,40,3.713572066704308,1,1,0,5,0,240,5.484796933490655,1,0,0,2,0,5,1.791759469228055,0,2,5,5,5,6,492.0
0,1,20,3.044522437723423,2,0,6,0,10,2.3978952727983707,1,1,0,3,0,40,3.713572066704308,1,1,0,5,0,20,3.044522437723423,1,2,6,0,10,6,88.0
0,2,36,3.6109179126442243,0,1,1,6,18,2.9444389791664403,1,0,3,4,8,180,5.198497031265826,1,0,0,5,0,5,1.791759469228055,0,2,5,5,1,4,369.0
0,3,20,3.044522437723423,2,0,6,0,10,2.3978952727983707,1,1,0,3,0,120,4.795790545596741,1,0,0,1,0,10,2.3978952727983707,1,1,3,0,10,6,252.0
5,0,36,3.6109179126442243,0,1,1,6,18,2.9444389791664403,1,0,3,4,8,28,3.367295829986474,1,1,3,0,8,25,3.258096538021482,0,1,4,5,1,1,63.0
4,0,20,3.044522437723423,2,0,6,0,10,2.3978952727983707,1,1,0,3,0,15,2.772588722239781,0,0,0,1,5,20,3.044522437723423,1,2,6,0,5,3,33.0
4,4,70,4.2626798770413155,1,0,0,0,35,3.58351893845611,0,2,0,0,5,110,4.709530201312334,1,2,0,5,0,10,2.3978952727983707,1,1,3,0,5,3,231.0
2,0,70,4.2626798770413155,1,0,0,0,35,3.58351893845611,0,2,0,0,5,140,4.948759890378168,1,2,0,0,0,5,1.791759469228055,0,2,5,5,5,6,287.0
1,2,24,3.2188758248682006,0,4,3,4,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,25,3.258096538021482,0,1,4,5,1,3,9.0
4,1,20,3.044522437723423,2,0,6,0,10,2.3978952727983707,1,1,0,3,0,60,4.110873864173311,1,0,0,4,0,5,1.791759469228055,0,2,5,5,5,6,123.0
6,4,20,3.044522437723423,2,0,6,0,10,2.3978952727983707,1,1,0,3,0,140,4.948759890378168,1,2,0,0,0,5,1.791759469228055,0,2,5,5,5,6,287.0
1,1,24,3.2188758248682006,0,4,3,4,12,2.5649493574615367,1,0,2,5,2,18,2.9444389791664403,1,0,3,4,8,50,3.9318256327243257,1,2,1,0,2,1,45.0
6,2,36,3.6109179126442243,0,1,1,6,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,1,0,2,4,5.0
7,3,70,4.2626798770413155,1,0,0,0,35,3.58351893845611,0,2,0,0,5,16,2.833213344056216,1,1,1,2,6,75,4.330733340286331,0,0,5,5,1,1,44.0
1,4,50,3.9318256327243257,2,0,1,0,25,3.258096538021482,0,1,0,4,5,44,3.8066624897703196,1,2,4,2,4,25,3.258096538021482,0,1,4,5,1,3,99.0
4,5,40,3.713572066704308,1,0,5,0,20,3.044522437723423,1,2,0,6,0,50,3.9318256327243257,1,2,0,1,0,10,2.3978952727983707,1,1,3,0,10,4,105.0
1,0,50,3.9318256327243257,2,0,1,0,25,3.258096538021482,0,1,0,4,5,40,3.713572066704308,1,1,0,5,0,20,3.044522437723423,1,2,6,0,5,2,88.0
6,0,48,3.8918202981106265,0,3,6,8,24,3.2188758248682006,1,0,4,3,4,240,5.484796933490655,1,0,0,2,0,5,1.791759469228055,0,2,5,5,1,4,492.0
8,1,50,3.9318256327243257,2,0,1,0,25,3.258096538021482,0,1,0,4,5,24,3.2188758248682006,1,0,4,3,4,50,3.9318256327243257,1,2,1,0,1,3,60.0
9,3,36,3.6109179126442243,0,1,1,6,18,2.9444389791664403,1,0,3,4,8,60,4.110873864173311,1,0,0,4,0,5,1.791759469228055,0,2,5,5,1,2,123.0
5,0,80,4.394449154672439,2,0,3,0,40,3.713572066704308,1,1,0,5,0,80,4.394449154672439,1,2,0,3,0,5,1.791759469228055,0,2,5,5,5,6,164.0
0,1,60,4.110873864173311,0,0,4,0,30,3.4339872044851463,1,0,0,2,0,28,3.367295829986474,1,1,3,0,8,25,3.258096538021482,0,1,4,5,1,1,63.0
1,3,80,4.394449154672439,2,0,3,0,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,100,4.61512051684126,1,1,2,0,2,4,6.0
5,1,24,3.2188758248682006,0,4,3,4,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,100,4.61512051684126,1,1,2,0,4,4,12.0
2,2,20,3.044522437723423,2,0,6,0,10,2.3978952727983707,1,1,0,3,0,36,3.6109179126442243,1,0,1,1,6,75,4.330733340286331,0,0,5,5,1,1,99.0
4,4,70,4.2626798770413155,1,0,0,0,35,3.58351893845611,0,2,0,0,5,16,2.833213344056216,1,1,1,2,6,50,3.9318256327243257,1,2,1,0,1,1,40.0
8,3,40,3.713572066704308,1,0,5,0,20,3.044522437723423,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,50,3.9318256327243257,1,2,1,0,2,3,10.0
1,0,80,4.394449154672439,2,0,3,0,40,3.713572066704308,1,1,0,5,0,4,1.6094379124341003,1,1,4,4,4,25,3.258096538021482,0,1,4,5,1,3,9.0
1,2,30,3.4339872044851463,0,0,2,0,15,2.772588722239781,0,0,0,1,5,80,4.394449154672439,1,2,0,3,0,5,1.791759469228055,0,2,5,5,5,4,164.0
4,4,20,3.044522437723423,2,0,6,0,10,2.3978952727983707,1,1,0,3,0,90,4.51085950651685,1,0,0,6,0,10,2.3978952727983707,1,1,3,0,10,5,189.0
6,1,24,3.2188758248682006,0,4,3,4,12,2.5649493574615367,1,0,2,5,2,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,5,5,1,2,41.0
8,0,40,3.713572066704308,1,0,5,0,20,3.044522437723423,1,2,0,6,0,40,3.713572066704308,1,1,0,5,0,25,3.258096538021482,0,1,4,5,5,3,90.0
3,3,50,3.9318256327243257,2,0,1,0,25,3.258096538021482,0,1,0,4,5,8,2.1972245773362196,1,2,3,1,8,25,3.258096538021482,0,1,4,5,1,3,18.0
9,0,36,3.6109179126442243,0,1,1,6,18,2.9444389791664403,1,0,3,4,8,12,2.5649493574615367,1,0,2,5,2,100,4.61512051684126,1,1,2,0,2,2,36.0
0,4,24,3.2188758248682006,0,4,3,4,12,2.5649493574615367,1,0,2,5,2,20,3.044522437723423,1,2,0,6,0,10,2.3978952727983707,1,1,3,0,2,2,42.0
9,2,70,4.2626798770413155,1,0,0,0,35,3.58351893845611,0,2,0,0,5,40,3.713572066704308,1,1,0,5,0,25,3.258096538021482,0,1,4,5,5,1,90.0
2,0,70,4.2626798770413155,1,0,0,0,35,3.58351893845611,0,2,0,0,5,60,4.110873864173311,1,0,0,4,0,20,3.044522437723423,1,2,6,0,5,2,132.0
5,0,30,3.4339872044851463,0,0,2,0,15,2.772588722239781,0,0,0,1,5,50,3.9318256327243257,1,2,0,1,0,10,2.3978952727983707,1,1,3,0,5,3,105.0
0,3,36,3.6109179126442243,0,1,1,6,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,0,5,5,100,4.61512051684126,1,1,2,0,1,2,15.0
0,4,36,3.6109179126442243,0,1,1,6,18,2.9444389791664403,1,0,3,4,8,40,3.713572066704308,1,1,0,5,0,5,1.791759469228055,0,2,5,5,1,2,82.0
6,5,80,4.394449154672439,2,0,3,0,40,3.713572066704308,1,1,0,5,0,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,6,0,10,6,22.0
1,2,24,3.2188758248682006,0,4,3,4,12,2.5649493574615367,1,0,2,5,2,8,2.1972245773362196,1,2,3,1,8,75,4.330733340286331,0,0,5,5,1,2,22.0
7,2,40,3.713572066704308,1,0,5,0,20,3.044522437723423,1,2,0,6,0,20,3.044522437723423,1,2,0,6,0,10,2.3978952727983707,1,1,3,0,10,6,42.0
2,1,60,4.110873864173311,0,0,4,0,30,3.4339872044851463,1,0,0,2,0,4,1.6094379124341003,1,1,4,4,4,25,3.258096538021482,0,1,4,5,1,2,9.0
9,5,36,3.6109179126442243,0,1,1,6,18,2.9444389791664403,1,0,3,4,8,36,3.6109179126442243,1,0,1,1,6,75,4.330733340286331,0,0,5,5,3,3,99.0
0,2,40,3.713572066704308,1,0,5,0,20,3.044522437723423,1,2,0,6,0,200,5.303304908059076,1,2,0,4,0,5,1.791759469228055,0,2,5,5,5,6,410.0
4,5,48,3.8918202981106265,0,3,6,8,24,3.2188758248682006,1,0,4,3,4,50,3.9318256327243257,1,2,0,1,0,20,3.044522437723423,1,2,6,0,2,1,110.0
8,4,36,3.6109179126442243,0,1,1,6,18,2.9444389791664403,1,0,3,4,8,32,3.4965075614664802,1,2,2,4,2,25,3.258096538021482,0,1,4,5,1,1,72.0
5,5,50,3.9318256327243257,2,0,1,0,25,3.258096538021482,0,1,0,4,5,4,1.6094379124341003,1,1,4,4,4,100,4.61512051684126,1,1,2,0,1,4,12.0
4,4,48,3.8918202981106265,0,3,6,8,24,3.2188758248682006,1,0,4,3,4,40,3.713572066704308,1,1,0,5,0,75,4.330733340286331,0,0,5,5,1,1,110.0
2,3,20,3.044522437723423,2,0,6,0,10,2.3978952727983707,1,1,0,3,0,50,3.9318256327243257,1,2,0,1,0,10,2.3978952727983707,1,1,3,0,10,5,105.0
1,4,70,4.2626798770413155,1,0,0,0,35,3.58351893845611,0,2,0,0,5,80,4.394449154672439,1,2,0,3,0,10,2.3978952727983707,1,1,3,0,5,3,168.0
5,1,80,4.394449154672439,2,0,3,0,40,3.713572066704308,1,1,0,5,0,60,4.110873864173311,1,0,0,4,0,10,2.3978952727983707,1,1,3,0,10,4,126.0
6,3,24,3.2188758248682006,0,4,3,4,12,2.5649493574615367,1,0,2,5,2,9,2.302585092994046,0,0,4,2,9,100,4.61512051684126,1,1,2,0,1,1,27.0
