slot_person_name,slot_sold_item,slot_bought_item,slot_initial_qty,slot_initial_qty_abs_log1p,slot_initial_qty_is_even,slot_initial_qty_mod3,slot_initial_qty_mod5,slot_initial_qty_mod7,slot_initial_qty_mod10,slot_sell_price,slot_sell_price_abs_log1p,slot_sell_price_is_even,slot_sell_price_mod3,slot_sell_price_mod7,slot_sell_price_mod10,slot_buy_qty,slot_buy_qty_abs_log1p,slot_buy_qty_is_even,slot_buy_qty_mod3,slot_buy_qty_mod5,slot_buy_qty_mod7,slot_buy_qty_mod10,slot_buy_price,slot_buy_price_abs_log1p,slot_buy_price_is_even,slot_buy_price_mod3,slot_buy_price_mod7,slot_buy_price_mod10,slot_leftover_cash,slot_leftover_cash_abs_log1p,slot_leftover_cash_sign,slot_leftover_cash_is_even,slot_leftover_cash_mod3,slot_leftover_cash_mod7,slot_leftover_cash_mod10,gcd_all,n_multiple_pairs,y
0,0,0,27,3.332204510175204,0,0,2,6,7,20,3.044522437723423,1,2,6,0,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,5,5,325,5.786897381366708,1,0,1,3,5,1,2,8.0
0,0,1,19,2.995732273553991,0,1,4,5,9,35,3.58351893845611,0,2,0,5,24,3.2188758248682006,1,0,4,3,4,15,2.772588722239781,0,0,1,5,270,5.602118820879701,1,1,0,4,0,1,1,1.0
1,1,2,10,2.3978952727983707,1,1,0,3,0,10,2.3978952727983707,1,1,3,0,1,0.6931471805599453,0,1,1,1,1,60,4.110873864173311,1,0,4,0,30,3.4339872044851463,1,1,0,2,0,1,10,1.0
2,1,3,25,3.258096538021482,0,1,0,4,5,60,4.110873864173311,1,0,4,0,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,6,0,860,6.7580945044277305,1,1,2,6,0,5,6,9.0
0,0,2,34,3.5553480614894135,1,1,4,6,4,30,3.4339872044851463,1,0,2,0,12,2.5649493574615367,1,0,2,5,2,20,3.044522437723423,1,2,6,0,660,6.493753839851686,1,1,0,2,0,2,3,4.0
3,0,4,31,3.4657359027997265,0,1,1,3,1,50,3.9318256327243257,1,2,1,0,10,2.3978952727983707,1,1,0,3,0,45,3.828641396489095,0,0,3,5,850,6.7464121285733745,1,1,1,3,0,1,3,5.0
3,2,3,30,3.4339872044851463,1,0,0,2,0,15,2.772588722239781,0,0,1,5,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,3,0,385,5.955837369464831,1,0,1,0,5,5,6,1.0
2,3,5,30,3.4339872044851463,1,0,0,2,0,50,3.9318256327243257,1,2,1,0,18,2.9444389791664403,1,0,3,4,8,10,2.3978952727983707,1,1,3,0,1220,7.107425474110705,1,1,2,2,0,2,3,2.0
3,2,3,25,3.258096538021482,0,1,0,4,5,50,3.9318256327243257,1,2,1,0,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,5,5,780,6.660575149839686,1,1,0,3,0,1,4,8.0
4,4,6,21,3.091042453358316,0,0,1,0,1,15,2.772588722239781,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,35,3.58351893845611,0,2,0,5,155,5.049856007249537,1,0,2,1,5,1,0,6.0
5,2,6,34,3.5553480614894135,1,1,4,6,4,30,3.4339872044851463,1,0,2,0,4,1.6094379124341003,1,1,4,4,4,40,3.713572066704308,1,1,5,0,590,6.3818160174060985,1,1,2,2,0,2,1,9.0
6,5,4,10,2.3978952727983707,1,1,0,3,0,45,3.828641396489095,0,0,3,5,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,3,0,85,4.454347296253507,1,0,1,1,5,5,5,7.0
7,6,6,25,3.258096538021482,0,1,0,4,5,20,3.044522437723423,1,2,6,0,1,0.6931471805599453,0,1,1,1,1,60,4.110873864173311,1,0,4,0,340,5.831882477283517,1,1,1,4,0,1,6,5.0
4,7,5,32,3.4965075614664802,1,2,2,4,2,35,3.58351893845611,0,2,0,5,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,5,5,1010,6.918695219020472,1,1,2,2,0,1,6,3.0
8,5,3,19,2.995732273553991,0,1,4,5,9,10,2.3978952727983707,1,1,3,0,1,0.6931471805599453,0,1,1,1,1,55,4.02535169073515,0,1,6,5,45,3.828641396489095,1,0,0,3,5,1,4,9.0
9,5,2,22,3.1354942159291497,1,1,2,1,2,15,2.772588722239781,0,0,1,5,1,0.6931471805599453,0,1,1,1,1,30,3.4339872044851463,1,0,2,0,225,5.420534999272286,1,0,0,1,5,1,6,5.0
9,1,2,32,3.4965075614664802,1,2,2,4,2,30,3.4339872044851463,1,0,2,0,6,1.9459101490553132,1,0,1,6,6,35,3.58351893845611,0,2,0,5,540,6.293419278846481,1,1,0,1,0,1,3,7.0
7,3,0,20,3.044522437723423,1,2,0,6,0,40,3.713572066704308,1,1,5,0,4,1.6094379124341003,1,1,4,4,4,40,3.713572066704308,1,1,5,0,400,5.993961427306569,1,1,1,1,0,4,10,6.0
6,2,7,15,2.772588722239781,0,0,0,1,5,25,3.258096538021482,0,1,4,5,5,1.791759469228055,0,2,0,5,5,55,4.02535169073515,0,1,6,5,25,3.258096538021482,1,0,1,4,5,5,5,3.0
9,1,2,27,3.332204510175204,0,0,2,6,7,45,3.828641396489095,0,0,3,5,16,2.833213344056216,1,1,1,2,6,40,3.713572066704308,1,1,5,0,530,6.274762021241939,1,1,2,5,0,1,0,1.0
0,7,0,13,2.6390573296152584,0,1,3,6,3,35,3.58351893845611,0,2,0,5,2,1.0986122886681098,1,2,2,2,2,60,4.110873864173311,1,0,4,0,230,5.442417710521793,1,1,2,6,0,1,2,3.0
2,6,0,6,1.9459101490553132,1,0,1,6,6,55,4.02535169073515,0,1,6,5,2,1.0986122886681098,1,2,2,2,2,60,4.110873864173311,1,0,4,0,100,4.61512051684126,1,1,1,2,0,1,4,2.0
9,6,4,14,2.70805020110221,1,2,4,0,4,30,3.4339872044851463,1,0,2,0,2,1.0986122886681098,1,2,2,2,2,60,4.110873864173311,1,0,4,0,90,4.51085950651685,1,1,0,6,0,2,6,7.0
0,5,1,25,3.258096538021482,0,1,0,4,5,40,3.713572066704308,1,1,5,0,20,3.044522437723423,1,2,0,6,0,30,3.4339872044851463,1,0,2,0,280,5.638354669333745,1,1,1,0,0,5,3,3.0
9,3,1,16,2.833213344056216,1,1,1,2,6,60,4.110873864173311,1,0,4,0,4,1.6094379124341003,1,1,4,4,4,15,2.772588722239781,0,0,1,5,480,6.175867270105761,1,1,0,4,0,1,7,7.0
0,1,6,30,3.4339872044851463,1,0,0,2,0,10,2.3978952727983707,1,1,3,0,6,1.9459101490553132,1,0,1,6,6,45,3.828641396489095,0,0,3,5,10,2.3978952727983707,1,1,1,3,0,1,4,2.0
5,6,5,31,3.4657359027997265,0,1,1,3,1,50,3.9318256327243257,1,2,1,0,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,5,5,975,6.883462586413092,1,0,0,2,5,1,4,10.0
0,5,5,34,3.5553480614894135,1,1,4,6,4,30,3.4339872044851463,1,0,2,0,17,2.8903717578961645,0,2,2,3,7,15,2.772588722239781,0,0,1,5,555,6.320768294250582,1,0,0,2,5,1,3,7.0
1,1,7,27,3.332204510175204,0,0,2,6,7,10,2.3978952727983707,1,1,3,0,3,1.3862943611198906,0,0,3,3,3,15,2.772588722239781,0,0,1,5,175,5.170483995038151,1,0,1,0,5,1,2,5.0
1,4,1,9,2.302585092994046,0,0,4,2,9,55,4.02535169073515,0,1,6,5,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,1,0,180,5.198497031265826,1,1,0,5,0,1,3,3.0
1,2,2,24,3.2188758248682006,1,0,4,3,4,40,3.713572066704308,1,1,5,0,4,1.6094379124341003,1,1,4,4,4,35,3.58351893845611,0,2,0,5,780,6.660575149839686,1,1,0,3,0,1,3,1.0
0,4,0,27,3.332204510175204,0,0,2,6,7,10,2.3978952727983707,1,1,3,0,4,1.6094379124341003,1,1,4,4,4,55,4.02535169073515,0,1,6,5,40,3.713572066704308,1,1,1,5,0,1,2,1.0
9,3,0,27,3.332204510175204,0,0,2,6,7,30,3.4339872044851463,1,0,2,0,17,2.8903717578961645,0,2,2,3,7,30,3.4339872044851463,1,0,2,0,300,5.707110264748875,1,1,0,6,0,1,3,0.0
3,3,4,6,1.9459101490553132,1,0,1,6,6,60,4.110873864173311,1,0,4,0,2,1.0986122886681098,1,2,2,2,2,55,4.02535169073515,0,1,6,5,70,4.2626798770413155,1,1,1,0,0,1,4,3.0
0,4,2,17,2.8903717578961645,0,2,2,3,7,50,3.9318256327243257,1,2,1,0,4,1.6094379124341003,1,1,4,4,4,20,3.044522437723423,1,2,6,0,720,6.580639137284949,1,1,0,6,0,1,3,1.0
8,7,1,12,2.5649493574615367,1,0,2,5,2,20,3.044522437723423,1,2,6,0,7,2.0794415416798357,0,1,2,0,7,15,2.772588722239781,0,0,1,5,15,2.772588722239781,1,0,0,1,5,1,1,6.0
5,2,0,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,3,0,1,0.6931471805599453,0,1,1,1,1,15,2.772588722239781,0,0,1,5,5,1.791759469228055,1,0,2,5,5,1,7,0.0
3,6,7,21,3.091042453358316,0,0,1,0,1,40,3.713572066704308,1,1,5,0,12,2.5649493574615367,1,0,2,5,2,25,3.258096538021482,0,1,4,5,260,5.564520407322694,1,1,2,1,0,1,0,7.0
2,4,5,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,4,5,2,1.0986122886681098,1,2,2,2,2,35,3.58351893845611,0,2,0,5,5,1.791759469228055,1,0,2,5,5,1,5,2.0
2,1,0,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,3,0,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,5,5,5,1.791759469228055,1,0,2,5,5,1,3,2.0
8,0,7,11,2.4849066497880004,0,2,1,4,1,55,4.02535169073515,0,1,6,5,6,1.9459101490553132,1,0,1,6,6,55,4.02535169073515,0,1,6,5,55,4.02535169073515,1,0,1,6,5,1,6,4.0
2,4,0,34,3.5553480614894135,1,1,4,6,4,25,3.258096538021482,0,1,4,5,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,4,5,675,6.516193076042964,1,0,0,3,5,1,4,4.0
1,3,7,11,2.4849066497880004,0,2,1,4,1,20,3.044522437723423,1,2,6,0,10,2.3978952727983707,1,1,0,3,0,10,2.3978952727983707,1,1,3,0,100,4.61512051684126,1,1,1,2,0,1,6,1.0
8,6,3,33,3.5263605246161616,0,0,3,5,3,50,3.9318256327243257,1,2,1,0,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,5,5,1200,7.0909098220799835,1,1,0,3,0,1,5,7.0
8,3,7,33,3.5263605246161616,0,0,3,5,3,15,2.772588722239781,0,0,1,5,7,2.0794415416798357,0,1,2,0,7,60,4.110873864173311,1,0,4,0,30,3.4339872044851463,1,1,0,2,0,1,3,3.0
1,1,1,26,3.295836866004329,1,2,1,5,6,25,3.258096538021482,0,1,4,5,8,2.1972245773362196,1,2,3,1,8,50,3.9318256327243257,1,2,1,0,100,4.61512051684126,1,1,1,2,0,1,3,6.0
