slot_owner_name,slot_animal,slot_daily_eggs,slot_daily_eggs_abs_log1p,slot_daily_eggs_is_even,slot_daily_eggs_mod3,slot_daily_eggs_mod5,slot_daily_eggs_mod7,slot_daily_eggs_mod10,slot_pack_name,slot_group_size,slot_group_size_abs_log1p,slot_group_size_is_even,slot_group_size_mod3,slot_group_size_mod5,slot_group_size_mod7,slot_group_size_mod10,slot_price_per_pack,slot_price_per_pack_abs_log1p,slot_price_per_pack_is_even,slot_price_per_pack_mod3,slot_price_per_pack_mod5,slot_price_per_pack_mod7,slot_price_per_pack_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
0,0,792,6.675823221634848,1,0,2,1,2,0,24,3.2188758248682006,1,0,4,3,4,14,2.70805020110221,1,2,4,0,4,0,2,1,3234.0
1,0,372,5.921578419643816,1,0,2,1,2,1,12,2.5649493574615367,1,0,2,5,2,14,2.70805020110221,1,2,4,0,4,0,2,1,3038.0
2,0,384,5.953243334287785,1,0,4,6,4,0,12,2.5649493574615367,1,0,2,5,2,20,3.044522437723423,1,2,0,6,0,0,4,1,4480.0
2,1,696,6.546785410760524,1,0,1,3,6,2,24,3.2188758248682006,1,0,4,3,4,8,2.1972245773362196,1,2,3,1,8,0,8,3,1624.0
0,2,588,6.3784261836515865,1,0,3,0,8,3,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,1,1,1,1715.0
3,2,780,6.660575149839686,1,0,0,3,0,0,30,3.4339872044851463,1,0,0,2,0,1,0.6931471805599453,0,1,1,1,1,1,1,3,182.0
0,2,620,6.431331081933479,1,2,0,4,0,1,20,3.044522437723423,1,2,0,6,0,19,2.995732273553991,0,1,4,5,9,2,1,1,4123.0
4,3,300,5.707110264748875,1,0,0,6,0,2,30,3.4339872044851463,1,0,0,2,0,20,3.044522437723423,1,2,0,6,0,1,10,2,1400.0
0,2,330,5.802118375377063,1,0,0,1,0,1,6,1.9459101490553132,1,0,1,6,6,14,2.70805020110221,1,2,4,0,4,2,2,1,5390.0
5,2,210,5.351858133476067,1,0,0,0,0,1,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,2,2,1,1960.0
5,3,720,6.580639137284949,1,0,0,6,0,0,30,3.4339872044851463,1,0,0,2,0,17,2.8903717578961645,0,2,2,3,7,1,1,1,2856.0
6,1,444,6.09807428216624,1,0,4,3,4,0,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,2,4,3,1036.0
1,1,320,5.771441123130016,1,2,0,5,0,1,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,1,2,1,1344.0
0,0,270,5.602118820879701,1,0,0,4,0,0,15,2.772588722239781,0,0,0,1,5,11,2.4849066497880004,0,2,1,4,1,1,1,1,1386.0
1,1,840,6.734591659972948,1,0,0,0,0,2,30,3.4339872044851463,1,0,0,2,0,8,2.1972245773362196,1,2,3,1,8,2,2,2,1568.0
0,2,528,6.270988431858299,1,0,3,3,8,3,12,2.5649493574615367,1,0,2,5,2,18,2.9444389791664403,1,0,3,4,8,1,6,1,5544.0
2,1,360,5.8888779583328805,1,0,0,3,0,0,30,3.4339872044851463,1,0,0,2,0,3,1.3862943611198906,0,0,3,3,3,1,3,3,252.0
3,1,132,4.890349128221754,1,0,2,6,2,4,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,2,2,1,1540.0
1,2,408,6.013715156042802,1,0,3,2,8,1,12,2.5649493574615367,1,0,2,5,2,16,2.833213344056216,1,1,1,2,6,2,4,1,3808.0
2,0,90,4.51085950651685,1,0,0,6,0,1,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,0,2,3,126.0
1,0,612,6.418364935936212,1,0,2,3,2,4,18,2.9444389791664403,1,0,3,4,8,7,2.0794415416798357,0,1,2,0,7,2,1,1,1666.0
4,1,420,6.042632833682381,1,0,0,0,0,2,15,2.772588722239781,0,0,0,1,5,13,2.6390573296152584,0,1,3,6,3,2,1,1,2548.0
1,1,400,5.993961427306569,1,1,0,1,0,1,20,3.044522437723423,1,2,0,6,0,9,2.302585092994046,0,0,4,2,9,1,1,1,1260.0
1,0,465,6.144185634125646,0,0,0,3,5,2,15,2.772588722239781,0,0,0,1,5,19,2.995732273553991,0,1,4,5,9,2,1,1,4123.0
1,1,300,5.707110264748875,1,0,0,6,0,1,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,0,1,2,315.0
6,0,252,5.53338948872752,1,0,2,0,2,4,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,2,1,2,2058.0
4,2,300,5.707110264748875,1,0,0,6,0,3,12,2.5649493574615367,1,0,2,5,2,20,3.044522437723423,1,2,0,6,0,2,4,2,3500.0
0,1,240,5.484796933490655,1,0,0,2,0,5,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,1,6,3,1680.0
4,2,900,6.803505257608338,1,0,0,4,0,0,30,3.4339872044851463,1,0,0,2,0,17,2.8903717578961645,0,2,2,3,7,2,1,1,3570.0
5,1,300,5.707110264748875,1,0,0,6,0,0,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,1,5,3,700.0
6,2,290,5.673323267171493,1,2,0,3,0,1,10,2.3978952727983707,1,1,0,3,0,7,2.0794415416798357,0,1,2,0,7,1,1,1,1421.0
0,0,180,5.198497031265826,1,0,0,5,0,0,20,3.044522437723423,1,2,0,6,0,11,2.4849066497880004,0,2,1,4,1,0,1,1,693.0
1,1,324,5.783825182329737,1,0,4,2,4,5,6,1.9459101490553132,1,0,1,6,6,18,2.9444389791664403,1,0,3,4,8,0,6,3,6804.0
1,3,756,6.6293632534374485,1,0,1,0,6,4,18,2.9444389791664403,1,0,3,4,8,15,2.772588722239781,0,0,0,1,5,1,3,1,4410.0
0,0,360,5.8888779583328805,1,0,0,3,0,4,6,1.9459101490553132,1,0,1,6,6,16,2.833213344056216,1,1,1,2,6,0,2,1,6720.0
2,0,360,5.8888779583328805,1,0,0,3,0,4,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,0,2,3,280.0
0,1,300,5.707110264748875,1,0,0,6,0,4,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,2,1,3,210.0
6,2,336,5.820082930352362,1,0,1,0,6,3,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,1,4,3,784.0
1,2,855,6.752270376141742,0,0,0,1,5,0,15,2.772588722239781,0,0,0,1,5,20,3.044522437723423,1,2,0,6,0,0,5,1,7980.0
2,1,216,5.37989735354046,1,0,1,6,6,5,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,2,1,3,252.0
2,0,240,5.484796933490655,1,0,0,2,0,0,20,3.044522437723423,1,2,0,6,0,20,3.044522437723423,1,2,0,6,0,1,20,3,1680.0
3,1,860,6.7580945044277305,1,2,0,6,0,0,20,3.044522437723423,1,2,0,6,0,13,2.6390573296152584,0,1,3,6,3,1,1,1,3913.0
7,0,666,6.502790045915623,1,0,1,1,6,4,18,2.9444389791664403,1,0,3,4,8,17,2.8903717578961645,0,2,2,3,7,2,1,1,4403.0
7,2,510,6.236369590203704,1,0,0,6,0,0,30,3.4339872044851463,1,0,0,2,0,13,2.6390573296152584,0,1,3,6,3,0,1,1,1547.0
5,1,126,4.844187086458591,1,0,1,0,6,1,6,1.9459101490553132,1,0,1,6,6,13,2.6390573296152584,0,1,3,6,3,1,1,1,1911.0
4,0,192,5.262690188904886,1,0,2,3,2,2,24,3.2188758248682006,1,0,4,3,4,5,1.791759469228055,0,2,0,5,5,1,1,1,280.0
5,3,180,5.198497031265826,1,0,0,5,0,4,18,2.9444389791664403,1,0,3,4,8,16,2.833213344056216,1,1,1,2,6,1,2,1,1120.0
