slot_buyer,slot_item,slot_pack_a_size,slot_pack_a_size_abs_log1p,slot_pack_a_size_is_even,slot_pack_a_size_mod3,slot_pack_a_size_mod5,slot_pack_a_size_mod7,slot_pack_a_size_mod10,slot_pack_a_price,slot_pack_a_price_abs_log1p,slot_pack_a_price_frac,slot_pack_a_price_n_decimals,slot_pack_b_size,slot_pack_b_size_abs_log1p,slot_pack_b_size_is_even,slot_pack_b_size_mod3,slot_pack_b_size_mod5,slot_pack_b_size_mod7,slot_pack_b_size_mod10,slot_pack_b_price,slot_pack_b_price_abs_log1p,slot_pack_b_price_frac,slot_pack_b_price_n_decimals,slot_total_items,slot_total_items_abs_log1p,slot_total_items_is_even,slot_total_items_mod3,slot_total_items_mod5,slot_total_items_mod7,slot_total_items_mod10,slot_currency,gcd_all,n_multiple_pairs,y
0,0,2,1.0986122886681098,1,2,2,2,2,4.0,1.6094379124341003,0.0,1,4,1.6094379124341003,1,1,4,4,4,4.0,1.6094379124341003,0.0,1,24,3.2188758248682006,1,0,4,3,4,0,2,3,24.0
1,1,4,1.6094379124341003,1,1,4,4,4,1.0,0.6931471805599453,0.0,1,8,2.1972245773362196,1,2,3,1,8,8.0,2.1972245773362196,0.0,1,16,2.833213344056216,1,1,1,2,6,0,4,3,12.0
2,2,3,1.3862943611198906,0,0,3,3,3,5.25,1.8325814637483102,0.25,2,4,1.6094379124341003,1,1,4,4,4,1.0,0.6931471805599453,0.0,1,96,4.574710978503383,1,0,1,5,6,0,1,2,144.0
3,2,3,1.3862943611198906,0,0,3,3,3,0.75,0.5596157879354227,0.75,2,8,2.1972245773362196,1,2,3,1,8,20.0,3.044522437723423,0.0,1,144,4.976733742420574,1,0,4,4,4,1,1,2,324.0
3,3,7,2.0794415416798357,0,1,2,0,7,19.25,3.0081547935525483,0.25,2,4,1.6094379124341003,1,1,4,4,4,12.0,2.5649493574615367,0.0,1,56,4.04305126783455,1,2,1,0,6,2,1,2,14.0
2,4,4,1.6094379124341003,1,1,4,4,4,3.0,1.3862943611198906,0.0,1,2,1.0986122886681098,1,2,2,2,2,3.5,1.5040773967762742,0.5,1,24,3.2188758248682006,1,0,4,3,4,1,2,3,24.0
4,4,4,1.6094379124341003,1,1,4,4,4,4.0,1.6094379124341003,0.0,1,8,2.1972245773362196,1,2,3,1,8,4.0,1.6094379124341003,0.0,1,24,3.2188758248682006,1,0,4,3,4,1,4,3,12.0
0,5,2,1.0986122886681098,1,2,2,2,2,5.5,1.8718021769015913,0.5,1,6,1.9459101490553132,1,0,1,6,6,9.0,2.302585092994046,0.0,1,54,4.007333185232471,1,0,4,5,4,0,2,3,67.5
5,4,7,2.0794415416798357,0,1,2,0,7,8.75,2.277267285009756,0.75,2,6,1.9459101490553132,1,0,1,6,6,3.0,1.3862943611198906,0.0,1,336,5.820082930352362,1,0,1,0,6,1,1,2,252.0
6,1,5,1.791759469228055,0,2,0,5,5,8.75,2.277267285009756,0.75,2,4,1.6094379124341003,1,1,4,4,4,12.0,2.5649493574615367,0.0,1,40,3.713572066704308,1,1,0,5,0,2,1,2,50.0
