slot_total_games,slot_total_games_abs_log1p,slot_total_games_is_even,slot_total_games_mod3,slot_total_games_mod5,slot_total_games_mod7,slot_total_games_mod10,slot_diff_more,slot_diff_more_abs_log1p,slot_diff_more_is_even,slot_diff_more_mod3,slot_diff_more_mod5,slot_diff_more_mod7,slot_diff_more_mod10,slot_team_name,gcd_all,n_multiple_pairs,y
22,3.1354942159291497,1,1,2,1,2,14,2.70805020110221,1,2,4,0,4,0,2,0,18.0
74,4.31748811353631,1,2,4,4,4,60,4.110873864173311,1,0,0,4,0,1,2,0,67.0
7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,2,1,0,6.0
65,4.189654742026425,0,2,0,2,5,7,2.0794415416798357,0,1,2,0,7,3,1,0,36.0
52,3.970291913552122,1,1,2,3,2,30,3.4339872044851463,1,0,0,2,0,4,2,0,41.0
43,3.784189633918261,0,1,3,1,3,33,3.5263605246161616,0,0,3,5,3,3,1,0,38.0
26,3.295836866004329,1,2,1,5,6,2,1.0986122886681098,1,2,2,2,2,4,2,1,14.0
19,2.995732273553991,0,1,4,5,9,7,2.0794415416798357,0,1,2,0,7,5,1,0,13.0
111,4.718498871295094,0,0,1,6,1,89,4.499809670330265,0,2,4,5,9,0,1,0,100.0
15,2.772588722239781,0,0,0,1,5,11,2.4849066497880004,0,2,1,4,1,6,1,0,13.0
66,4.204692619390966,1,0,1,3,6,62,4.143134726391533,1,2,2,6,2,7,2,0,64.0
59,4.0943445622221,0,2,4,3,9,31,3.4657359027997265,0,1,1,3,1,1,1,0,45.0
28,3.367295829986474,1,1,3,0,8,14,2.70805020110221,1,2,4,0,4,8,14,1,21.0
47,3.871201010907891,0,2,2,5,7,39,3.6888794541139363,0,0,4,4,9,9,1,0,43.0
62,4.143134726391533,1,2,2,6,2,46,3.8501476017100584,1,1,1,4,6,7,2,0,54.0
23,3.1780538303479458,0,2,3,2,3,19,2.995732273553991,0,1,4,5,9,1,1,0,21.0
54,4.007333185232471,1,0,4,5,4,38,3.6635616461296463,1,2,3,3,8,7,2,0,46.0
70,4.2626798770413155,1,1,0,0,0,60,4.110873864173311,1,0,0,4,0,6,10,0,65.0
108,4.6913478822291435,1,0,3,3,8,22,3.1354942159291497,1,1,2,1,2,7,2,0,65.0
24,3.2188758248682006,1,0,4,3,4,22,3.1354942159291497,1,1,2,1,2,4,2,0,23.0
37,3.6375861597263857,0,1,2,2,7,27,3.332204510175204,0,0,2,6,7,6,1,0,32.0
17,2.8903717578961645,0,2,2,3,7,11,2.4849066497880004,0,2,1,4,1,4,1,0,14.0
11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,6,1,0,8.0
52,3.970291913552122,1,1,2,3,2,2,1.0986122886681098,1,2,2,2,2,4,2,1,27.0
53,3.9889840465642745,0,2,3,4,3,51,3.9512437185814275,0,0,1,2,1,8,1,0,52.0
89,4.499809670330265,0,2,4,5,9,5,1.791759469228055,0,2,0,5,5,6,1,0,47.0
118,4.77912349311153,1,1,3,6,8,74,4.31748811353631,1,2,4,4,4,0,2,0,96.0
81,4.406719247264253,0,0,1,4,1,73,4.30406509320417,0,1,3,3,3,1,1,0,77.0
56,4.04305126783455,1,2,1,0,6,22,3.1354942159291497,1,1,2,1,2,9,2,0,39.0
41,3.7376696182833684,0,2,1,6,1,19,2.995732273553991,0,1,4,5,9,3,1,0,30.0
8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,0,2,0,7.0
31,3.4657359027997265,0,1,1,3,1,5,1.791759469228055,0,2,0,5,5,2,1,0,18.0
110,4.709530201312334,1,2,0,5,0,8,2.1972245773362196,1,2,3,1,8,4,2,0,59.0
100,4.61512051684126,1,1,0,2,0,2,1.0986122886681098,1,2,2,2,2,1,2,1,51.0
55,4.02535169073515,0,1,0,6,5,47,3.871201010907891,0,2,2,5,7,2,1,0,51.0
61,4.127134385045092,0,1,1,5,1,61,4.127134385045092,0,1,1,5,1,9,61,1,61.0
85,4.454347296253507,0,1,0,1,5,79,4.382026634673881,0,1,4,2,9,3,1,0,82.0
92,4.532599493153256,1,2,2,1,2,24,3.2188758248682006,1,0,4,3,4,5,4,0,58.0
105,4.663439094112067,0,0,0,0,5,75,4.330733340286331,0,0,0,5,5,3,15,0,90.0
24,3.2188758248682006,1,0,4,3,4,4,1.6094379124341003,1,1,4,4,4,2,4,1,14.0
119,4.787491742782046,0,2,4,0,9,91,4.5217885770490405,0,1,1,0,1,5,7,0,105.0
103,4.6443908991413725,0,1,3,5,3,5,1.791759469228055,0,2,0,5,5,8,1,0,54.0
59,4.0943445622221,0,2,4,3,9,25,3.258096538021482,0,1,0,4,5,7,1,0,42.0
66,4.204692619390966,1,0,1,3,6,4,1.6094379124341003,1,1,4,4,4,0,2,0,35.0
71,4.276666119016055,0,2,1,1,1,49,3.912023005428146,0,1,4,0,9,9,1,0,60.0
70,4.2626798770413155,1,1,0,0,0,64,4.174387269895637,1,1,4,1,4,6,2,0,67.0
38,3.6635616461296463,1,2,3,3,8,22,3.1354942159291497,1,1,2,1,2,5,2,0,30.0
79,4.382026634673881,0,1,4,2,9,9,2.302585092994046,0,0,4,2,9,0,1,0,44.0
85,4.454347296253507,0,1,0,1,5,85,4.454347296253507,0,1,0,1,5,6,85,1,85.0
24,3.2188758248682006,1,0,4,3,4,22,3.1354942159291497,1,1,2,1,2,5,2,0,23.0
93,4.543294782270004,0,0,3,2,3,59,4.0943445622221,0,2,4,3,9,2,1,0,76.0
77,4.356708826689592,0,2,2,0,7,77,4.356708826689592,0,2,2,0,7,1,77,1,77.0
50,3.9318256327243257,1,2,0,1,0,40,3.713572066704308,1,1,0,5,0,8,10,0,45.0
34,3.5553480614894135,1,1,4,6,4,30,3.4339872044851463,1,0,0,2,0,7,2,0,32.0
91,4.5217885770490405,0,1,1,0,1,63,4.1588830833596715,0,0,3,0,3,0,7,0,77.0
43,3.784189633918261,0,1,3,1,3,33,3.5263605246161616,0,0,3,5,3,4,1,0,38.0
64,4.174387269895637,1,1,4,1,4,8,2.1972245773362196,1,2,3,1,8,2,8,1,36.0
112,4.727387818712341,1,1,2,0,2,50,3.9318256327243257,1,2,0,1,0,0,2,0,81.0
59,4.0943445622221,0,2,4,3,9,55,4.02535169073515,0,1,0,6,5,5,1,0,57.0
27,3.332204510175204,0,0,2,6,7,5,1.791759469228055,0,2,0,5,5,9,1,0,16.0
100,4.61512051684126,1,1,0,2,0,90,4.51085950651685,1,0,0,6,0,0,10,0,95.0
90,4.51085950651685,1,0,0,6,0,82,4.418840607796598,1,1,2,5,2,6,2,0,86.0
43,3.784189633918261,0,1,3,1,3,27,3.332204510175204,0,0,2,6,7,5,1,0,35.0
54,4.007333185232471,1,0,4,5,4,14,2.70805020110221,1,2,4,0,4,9,2,0,34.0
9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,6,3,1,6.0
61,4.127134385045092,0,1,1,5,1,3,1.3862943611198906,0,0,3,3,3,1,1,0,32.0
98,4.59511985013459,1,2,3,0,8,76,4.343805421853684,1,1,1,6,6,2,2,0,87.0
117,4.770684624465665,0,0,2,5,7,35,3.58351893845611,0,2,0,0,5,2,1,0,76.0
75,4.330733340286331,0,0,0,5,5,69,4.248495242049359,0,0,4,6,9,7,3,0,72.0
17,2.8903717578961645,0,2,2,3,7,9,2.302585092994046,0,0,4,2,9,4,1,0,13.0
114,4.74493212836325,1,0,4,2,4,84,4.442651256490317,1,0,4,0,4,6,6,0,99.0
77,4.356708826689592,0,2,2,0,7,19,2.995732273553991,0,1,4,5,9,2,1,0,48.0
43,3.784189633918261,0,1,3,1,3,39,3.6888794541139363,0,0,4,4,9,1,1,0,41.0
9,2.302585092994046,0,0,4,2,9,7,2.0794415416798357,0,1,2,0,7,8,1,0,8.0
112,4.727387818712341,1,1,2,0,2,18,2.9444389791664403,1,0,3,4,8,1,2,0,65.0
36,3.6109179126442243,1,0,1,1,6,6,1.9459101490553132,1,0,1,6,6,5,6,1,21.0
13,2.6390573296152584,0,1,3,6,3,13,2.6390573296152584,0,1,3,6,3,1,13,1,13.0
85,4.454347296253507,0,1,0,1,5,43,3.784189633918261,0,1,3,1,3,8,1,0,64.0
56,4.04305126783455,1,2,1,0,6,30,3.4339872044851463,1,0,0,2,0,5,2,0,43.0
104,4.653960350157523,1,2,4,6,4,54,4.007333185232471,1,0,4,5,4,9,2,0,79.0
94,4.553876891600541,1,1,4,3,4,38,3.6635616461296463,1,2,3,3,8,4,2,0,66.0
6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,6,6,1,6.0
34,3.5553480614894135,1,1,4,6,4,14,2.70805020110221,1,2,4,0,4,3,2,0,24.0
118,4.77912349311153,1,1,3,6,8,54,4.007333185232471,1,0,4,5,4,9,2,0,86.0
59,4.0943445622221,0,2,4,3,9,51,3.9512437185814275,0,0,1,2,1,0,1,0,55.0
82,4.418840607796598,1,1,2,5,2,64,4.174387269895637,1,1,4,1,4,1,2,0,73.0
33,3.5263605246161616,0,0,3,5,3,21,3.091042453358316,0,0,1,0,1,7,3,0,27.0
11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,8,1,0,8.0
72,4.290459441148391,1,0,2,2,2,20,3.044522437723423,1,2,0,6,0,4,4,0,46.0
104,4.653960350157523,1,2,4,6,4,44,3.8066624897703196,1,2,4,2,4,8,4,0,74.0
89,4.499809670330265,0,2,4,5,9,29,3.4011973816621555,0,2,4,1,9,0,1,0,59.0
76,4.343805421853684,1,1,1,6,6,16,2.833213344056216,1,1,1,2,6,0,4,0,46.0
28,3.367295829986474,1,1,3,0,8,14,2.70805020110221,1,2,4,0,4,0,14,1,21.0
12,2.5649493574615367,1,0,2,5,2,8,2.1972245773362196,1,2,3,1,8,8,4,0,10.0
23,3.1780538303479458,0,2,3,2,3,21,3.091042453358316,0,0,1,0,1,7,1,0,22.0
9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,4,3,1,6.0
67,4.219507705176107,0,1,2,4,7,15,2.772588722239781,0,0,0,1,5,8,1,0,41.0
83,4.430816798843313,0,2,3,6,3,21,3.091042453358316,0,0,1,0,1,9,1,0,52.0
25,3.258096538021482,0,1,0,4,5,21,3.091042453358316,0,0,1,0,1,6,1,0,23.0
51,3.9512437185814275,0,0,1,2,1,51,3.9512437185814275,0,0,1,2,1,0,51,1,51.0
104,4.653960350157523,1,2,4,6,4,88,4.48863636973214,1,1,3,4,8,5,8,0,96.0
88,4.48863636973214,1,1,3,4,8,20,3.044522437723423,1,2,0,6,0,4,4,0,54.0
101,4.624972813284271,0,2,1,3,1,29,3.4011973816621555,0,2,4,1,9,8,1,0,65.0
95,4.564348191467836,0,2,0,4,5,51,3.9512437185814275,0,0,1,2,1,8,1,0,73.0
76,4.343805421853684,1,1,1,6,6,50,3.9318256327243257,1,2,0,1,0,5,2,0,63.0
21,3.091042453358316,0,0,1,0,1,9,2.302585092994046,0,0,4,2,9,2,3,0,15.0
96,4.574710978503383,1,0,1,5,6,36,3.6109179126442243,1,0,1,1,6,3,12,0,66.0
68,4.23410650459726,1,2,3,5,8,6,1.9459101490553132,1,0,1,6,6,0,2,0,37.0
35,3.58351893845611,0,2,0,0,5,33,3.5263605246161616,0,0,3,5,3,8,1,0,34.0
49,3.912023005428146,0,1,4,0,9,35,3.58351893845611,0,2,0,0,5,1,7,0,42.0
56,4.04305126783455,1,2,1,0,6,24,3.2188758248682006,1,0,4,3,4,8,8,0,40.0
89,4.499809670330265,0,2,4,5,9,31,3.4657359027997265,0,1,1,3,1,8,1,0,60.0
60,4.110873864173311,1,0,0,4,0,38,3.6635616461296463,1,2,3,3,8,6,2,0,49.0
21,3.091042453358316,0,0,1,0,1,17,2.8903717578961645,0,2,2,3,7,9,1,0,19.0
64,4.174387269895637,1,1,4,1,4,14,2.70805020110221,1,2,4,0,4,0,2,0,39.0
102,4.634728988229636,1,0,2,4,2,50,3.9318256327243257,1,2,0,1,0,1,2,0,76.0
104,4.653960350157523,1,2,4,6,4,38,3.6635616461296463,1,2,3,3,8,2,2,0,71.0
41,3.7376696182833684,0,2,1,6,1,7,2.0794415416798357,0,1,2,0,7,3,1,0,24.0
44,3.8066624897703196,1,2,4,2,4,38,3.6635616461296463,1,2,3,3,8,9,2,0,41.0
96,4.574710978503383,1,0,1,5,6,82,4.418840607796598,1,1,2,5,2,1,2,0,89.0
27,3.332204510175204,0,0,2,6,7,3,1.3862943611198906,0,0,3,3,3,0,3,1,15.0
