slot_person1,slot_person2,slot_factor,slot_factor_abs_log1p,slot_factor_is_even,slot_factor_mod3,slot_factor_mod5,slot_factor_mod7,slot_factor_mod10,slot_total,slot_total_abs_log1p,slot_total_is_even,slot_total_mod3,slot_total_mod5,slot_total_mod7,slot_total_mod10,slot_item,gcd_all,n_multiple_pairs,y
0,0,3,1.3862943611198906,0,0,3,3,3,1760000,14.38082493519599,1,2,0,4,0,0,1,0,440000.0
1,1,11,2.4849066497880004,0,2,1,4,1,738000,13.511700458595241,1,0,0,4,0,1,1,0,61500.0
2,2,7,2.0794415416798357,0,1,2,0,7,53520000,17.795565992468852,1,0,0,2,0,1,1,0,6690000.0
3,3,4,1.6094379124341003,1,1,4,4,4,1865,7.531552381407289,0,2,0,3,5,2,1,0,373.0
3,4,9,2.302585092994046,0,0,4,2,9,674000,13.420986873572868,1,2,0,5,0,3,1,0,67400.0
1,5,9,2.302585092994046,0,0,4,2,9,8650,9.065430200180375,1,1,0,5,0,1,1,0,865.0
4,5,3,1.3862943611198906,0,0,3,3,3,1600,7.3783837129967145,1,1,0,4,0,2,1,0,400.0
5,6,9,2.302585092994046,0,0,4,2,9,1800,7.496097345175956,1,0,0,1,0,0,9,1,180.0
2,4,11,2.4849066497880004,0,2,1,4,1,4416000,15.300745093388318,1,0,0,1,0,4,1,0,368000.0
6,4,2,1.0986122886681098,1,2,2,2,2,1770,7.479299637782834,1,0,0,6,0,5,2,1,590.0
7,7,8,2.1972245773362196,1,2,3,1,8,6192000,15.638768855750396,1,0,0,3,0,6,8,1,688000.0
8,2,11,2.4849066497880004,0,2,1,4,1,3300000,15.009433329466965,1,0,0,4,0,7,11,1,275000.0
7,8,7,2.0794415416798357,0,1,2,0,7,30400,10.322230781590136,1,1,0,6,0,3,1,0,3800.0
4,9,10,2.3978952727983707,1,1,0,3,0,3520,8.166500319155052,1,1,0,6,0,8,10,1,320.0
9,10,9,2.302585092994046,0,0,4,2,9,158000,11.970356641102999,1,2,0,3,0,9,1,0,15800.0
2,5,7,2.0794415416798357,0,1,2,0,7,268000,12.498745990829315,1,1,0,5,0,5,1,0,33500.0
10,11,9,2.302585092994046,0,0,4,2,9,18300000,16.722411672456456,1,0,0,5,0,10,3,0,1830000.0
0,11,7,2.0794415416798357,0,1,2,0,7,31760,10.36599440101149,1,2,0,1,0,0,1,0,3970.0
3,12,9,2.302585092994046,0,0,4,2,9,821000,13.61827960646062,1,2,0,5,0,11,1,0,82100.0
5,8,12,2.5649493574615367,1,0,2,5,2,55380000,17.82972909376415,1,0,0,4,0,0,12,1,4260000.0
4,1,9,2.302585092994046,0,0,4,2,9,76900000,18.158016447479774,1,1,0,2,0,8,1,0,7690000.0
5,13,7,2.0794415416798357,0,1,2,0,7,5864,8.676757761087575,1,2,4,5,4,12,1,0,733.0
10,3,10,2.3978952727983707,1,1,0,3,0,344300,12.749271553766196,1,2,0,5,0,10,10,1,31300.0
11,14,9,2.302585092994046,0,0,4,2,9,48800000,17.70324089131518,1,2,0,4,0,2,1,0,4880000.0
5,15,4,1.6094379124341003,1,1,4,4,4,650,6.478509642208569,1,2,0,6,0,13,2,0,130.0
12,8,11,2.4849066497880004,0,2,1,4,1,496800,13.115944822481827,1,0,0,3,0,13,1,0,41400.0
2,15,11,2.4849066497880004,0,2,1,4,1,5544000,15.52822700022704,1,0,0,0,0,8,11,1,462000.0
8,14,4,1.6094379124341003,1,1,4,4,4,253500,12.44312304677877,1,0,0,2,0,2,4,1,50700.0
4,16,7,2.0794415416798357,0,1,2,0,7,1200,7.0909098220799835,1,0,0,3,0,2,1,0,150.0
3,10,8,2.1972245773362196,1,2,3,1,8,23760,10.075800860133013,1,0,0,2,0,14,8,1,2640.0
13,17,3,1.3862943611198906,0,0,3,3,3,11920,9.386056829718001,1,1,0,6,0,9,1,0,2980.0
7,8,6,1.9459101490553132,1,0,1,6,6,7210,8.88336291691676,1,1,0,0,0,8,2,0,1030.0
14,18,12,2.5649493574615367,1,0,2,5,2,777400,13.563711583738511,1,1,0,1,0,1,4,0,59800.0
2,9,10,2.3978952727983707,1,1,0,3,0,4895,8.496173824192162,0,2,0,2,5,10,5,0,445.0
1,7,8,2.1972245773362196,1,2,3,1,8,4050,8.30671904320269,1,0,0,4,0,10,2,0,450.0
8,18,9,2.302585092994046,0,0,4,2,9,5600000,15.53827733427679,1,2,0,0,0,1,1,0,560000.0
3,2,5,1.791759469228055,0,2,0,5,5,5100,8.537191877922927,1,0,0,4,0,8,5,1,850.0
9,12,3,1.3862943611198906,0,0,3,3,3,1888,7.543802867501509,1,1,3,5,8,5,1,0,472.0
13,5,8,2.1972245773362196,1,2,3,1,8,58500,10.97679912709094,1,0,0,1,0,11,4,0,6500.0
2,15,9,2.302585092994046,0,0,4,2,9,6560000,15.696501313359285,1,2,0,6,0,11,1,0,656000.0
7,11,4,1.6094379124341003,1,1,4,4,4,5650000,15.547166280113759,1,1,0,6,0,4,4,1,1130000.0
15,17,9,2.302585092994046,0,0,4,2,9,683000,13.434251602680698,1,2,0,3,0,0,1,0,68300.0
2,0,7,2.0794415416798357,0,1,2,0,7,3864000,15.167213733113684,1,0,0,0,0,10,7,1,483000.0
16,2,11,2.4849066497880004,0,2,1,4,1,23400,10.060534035475412,1,0,0,6,0,13,1,0,1950.0
9,7,4,1.6094379124341003,1,1,4,4,4,4170,8.335911094196945,1,0,0,5,0,0,2,0,834.0
