slot_person,slot_a,slot_a_abs_log1p,slot_a_is_even,slot_a_mod3,slot_a_mod5,slot_a_mod7,slot_a_mod10,slot_d,slot_d_abs_log1p,slot_d_is_even,slot_d_mod3,slot_d_mod5,slot_d_mod7,slot_d_mod10,slot_item_a,slot_item_b,slot_super_category,slot_occasion,gcd_all,n_multiple_pairs,y
0,59,4.0943445622221,0,2,4,3,9,10,2.3978952727983707,1,1,0,3,0,0,0,0,0,1,0,128.0
1,35,3.58351893845611,0,2,0,0,5,21,3.091042453358316,0,0,1,0,1,1,1,1,1,7,0,91.0
2,72,4.290459441148391,1,0,2,2,2,14,2.70805020110221,1,2,4,0,4,2,2,2,1,2,0,158.0
3,37,3.6375861597263857,0,1,2,2,7,18,2.9444389791664403,1,0,3,4,8,3,3,2,0,1,0,92.0
3,101,4.624972813284271,0,2,1,3,1,22,3.1354942159291497,1,1,2,1,2,4,4,3,2,1,0,224.0
1,96,4.574710978503383,1,0,1,5,6,4,1.6094379124341003,1,1,4,4,4,5,5,1,2,4,1,196.0
4,45,3.828641396489095,0,0,0,3,5,25,3.258096538021482,0,1,0,4,5,4,4,3,0,5,0,115.0
2,54,4.007333185232471,1,0,4,5,4,23,3.1780538303479458,0,2,3,2,3,6,6,3,3,1,0,131.0
5,104,4.653960350157523,1,2,4,6,4,9,2.302585092994046,0,0,4,2,9,7,7,0,4,1,0,217.0
6,92,4.532599493153256,1,2,2,1,2,24,3.2188758248682006,1,0,4,3,4,8,1,1,3,4,0,208.0
1,59,4.0943445622221,0,2,4,3,9,5,1.791759469228055,0,2,0,5,5,9,8,4,2,1,0,123.0
2,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,10,9,5,5,1,0,23.0
7,32,3.4965075614664802,1,2,2,4,2,25,3.258096538021482,0,1,0,4,5,11,10,5,5,1,0,89.0
8,104,4.653960350157523,1,2,4,6,4,17,2.8903717578961645,0,2,2,3,7,4,11,3,2,1,0,225.0
9,75,4.330733340286331,0,0,0,5,5,22,3.1354942159291497,1,1,2,1,2,12,12,6,1,1,0,172.0
10,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,9,13,4,4,2,0,22.0
11,16,2.833213344056216,1,1,1,2,6,25,3.258096538021482,0,1,0,4,5,13,0,0,6,1,0,57.0
5,88,4.48863636973214,1,1,3,4,8,14,2.70805020110221,1,2,4,0,4,14,14,6,4,2,0,190.0
7,93,4.543294782270004,0,0,3,2,3,23,3.1780538303479458,0,2,3,2,3,15,10,5,5,1,0,209.0
1,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,16,15,2,0,5,1,35.0
11,112,4.727387818712341,1,1,2,0,2,5,1.791759469228055,0,2,0,5,5,5,1,1,6,1,0,229.0
4,44,3.8066624897703196,1,2,4,2,4,12,2.5649493574615367,1,0,2,5,2,5,16,1,6,4,0,100.0
5,46,3.8501476017100584,1,1,1,4,6,4,1.6094379124341003,1,1,4,4,4,8,5,1,2,2,0,96.0
12,50,3.9318256327243257,1,2,0,1,0,12,2.5649493574615367,1,0,2,5,2,17,15,2,2,2,0,112.0
13,82,4.418840607796598,1,1,2,5,2,2,1.0986122886681098,1,2,2,2,2,16,2,2,0,2,1,166.0
5,57,4.060443010546419,0,0,2,1,7,25,3.258096538021482,0,1,0,4,5,14,17,6,5,1,0,139.0
12,75,4.330733340286331,0,0,0,5,5,12,2.5649493574615367,1,0,2,5,2,12,14,6,2,3,0,162.0
8,105,4.663439094112067,0,0,0,0,5,21,3.091042453358316,0,0,1,0,1,15,10,5,6,21,1,231.0
11,14,2.70805020110221,1,2,4,0,4,8,2.1972245773362196,1,2,3,1,8,17,15,2,0,2,0,36.0
12,15,2.772588722239781,0,0,0,1,5,20,3.044522437723423,1,2,0,6,0,18,0,0,0,5,0,50.0
4,51,3.9512437185814275,0,0,1,2,1,16,2.833213344056216,1,1,1,2,6,19,18,4,0,1,0,118.0
12,71,4.276666119016055,0,2,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,16,1,3,1,0,146.0
