slot_adult_price,slot_adult_price_abs_log1p,slot_adult_price_is_even,slot_adult_price_mod3,slot_adult_price_mod5,slot_adult_price_mod7,slot_adult_price_mod10,slot_child_price,slot_child_price_abs_log1p,slot_child_price_is_even,slot_child_price_mod3,slot_child_price_mod5,slot_child_price_mod7,slot_child_price_mod10,slot_change,slot_change_abs_log1p,slot_change_sign,slot_change_is_even,slot_change_mod3,slot_change_mod5,slot_change_mod7,slot_change_mod10,slot_buyer_name,slot_venue,n_multiple_pairs,y
16,2.833213344056216,1,1,1,2,6,9,2.302585092994046,0,0,4,2,9,9,2.302585092994046,1,0,0,4,2,9,0,0,8,34.0
21,3.091042453358316,0,0,1,0,1,13,2.6390573296152584,0,1,3,6,3,14,2.70805020110221,1,1,2,4,0,4,1,1,7,48.0
15,2.772588722239781,0,0,0,1,5,12,2.5649493574615367,1,0,2,5,2,15,2.772588722239781,1,0,0,0,1,5,1,2,8,42.0
23,3.1780538303479458,0,2,3,2,3,11,2.4849066497880004,0,2,1,4,1,30,3.4339872044851463,1,1,0,0,2,0,0,2,7,64.0
34,3.5553480614894135,1,1,4,6,4,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,1,0,0,4,2,9,0,3,7,48.0
36,3.6109179126442243,1,0,1,1,6,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,1,2,0,6,0,0,4,8,66.0
10,2.3978952727983707,1,1,0,3,0,9,2.302585092994046,0,0,4,2,9,7,2.0794415416798357,1,0,1,2,0,7,2,4,7,26.0
17,2.8903717578961645,0,2,2,3,7,12,2.5649493574615367,1,0,2,5,2,19,2.995732273553991,1,0,1,4,5,9,2,5,7,48.0
29,3.4011973816621555,0,2,4,1,9,21,3.091042453358316,0,0,1,0,1,8,2.1972245773362196,1,1,2,3,1,8,0,4,7,58.0
31,3.4657359027997265,0,1,1,3,1,16,2.833213344056216,1,1,1,2,6,27,3.332204510175204,1,0,0,2,6,7,3,3,7,74.0
16,2.833213344056216,1,1,1,2,6,16,2.833213344056216,1,1,1,2,6,13,2.6390573296152584,1,0,1,3,6,3,3,0,8,45.0
