slot_provider_name,slot_cost_cents,slot_cost_cents_abs_log1p,slot_cost_cents_is_even,slot_cost_cents_mod3,slot_cost_cents_mod7,slot_cost_cents_mod10,slot_c1,slot_c1_abs_log1p,slot_c1_sign,slot_c1_is_even,slot_c1_mod3,slot_c1_mod5,slot_c1_mod7,slot_c1_mod10,slot_u1,slot_u1_abs_log1p,slot_u1_is_even,slot_u1_mod3,slot_u1_mod5,slot_u1_mod7,slot_u1_mod10,slot_c2,slot_c2_abs_log1p,slot_c2_sign,slot_c2_is_even,slot_c2_mod3,slot_c2_mod5,slot_c2_mod7,slot_c2_mod10,slot_u2,slot_u2_abs_log1p,slot_u2_is_even,slot_u2_mod3,slot_u2_mod5,slot_u2_mod7,slot_u2_mod10,slot_c3,slot_c3_abs_log1p,slot_c3_sign,slot_c3_is_even,slot_c3_mod3,slot_c3_mod5,slot_c3_mod7,slot_c3_mod10,slot_u3,slot_u3_abs_log1p,slot_u3_is_even,slot_u3_mod3,slot_u3_mod5,slot_u3_mod7,slot_u3_mod10,gcd_all,n_multiple_pairs,y
0,40,3.713572066704308,1,1,5,0,13,2.6390573296152584,1,0,1,3,6,3,1,0.6931471805599453,0,1,1,1,1,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,1,12,9.2
1,25,3.258096538021482,0,1,4,5,14,2.70805020110221,1,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,9,11.0
2,40,3.713572066704308,1,1,5,0,6,1.9459101490553132,1,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,1,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,1,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,12,12.8
3,40,3.713572066704308,1,1,5,0,20,3.044522437723423,1,1,2,0,6,0,1,0.6931471805599453,0,1,1,1,1,13,2.6390573296152584,1,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,18,2.9444389791664403,1,1,0,3,4,8,1,0.6931471805599453,0,1,1,1,1,1,15,25.6
3,35,3.58351893845611,0,2,0,5,18,2.9444389791664403,1,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,1,0,0,0,1,5,1,0.6931471805599453,0,1,1,1,1,12,2.5649493574615367,1,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,1,10,34.65
2,15,2.772588722239781,0,0,1,5,11,2.4849066497880004,1,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,18,2.9444389791664403,1,1,0,3,4,8,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,12,9.9
3,15,2.772588722239781,0,0,1,5,20,3.044522437723423,1,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,14,10.2
3,50,3.9318256327243257,1,2,1,0,19,2.995732273553991,1,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,18,2.9444389791664403,1,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,1,10,60.0
2,35,3.58351893845611,0,2,0,5,14,2.70805020110221,1,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,15,2.772588722239781,1,0,0,0,1,5,1,0.6931471805599453,0,1,1,1,1,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,2,2,2,2,1,7,24.85
3,30,3.4339872044851463,1,0,2,0,18,2.9444389791664403,1,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,19,2.995732273553991,1,0,1,4,5,9,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,15,27.3
0,5,1.791759469228055,0,2,5,5,7,2.0794415416798357,1,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,1,0,2,5,2,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,1,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,10,2.5
4,10,2.3978952727983707,1,1,3,0,7,2.0794415416798357,1,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,18,2.9444389791664403,1,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,1,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,1,5,10.9
2,5,1.791759469228055,0,2,5,5,17,2.8903717578961645,1,0,2,2,3,7,1,0.6931471805599453,0,1,1,1,1,11,2.4849066497880004,1,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,1,13,2.45
5,35,3.58351893845611,0,2,0,5,6,1.9459101490553132,1,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,1,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,18,2.9444389791664403,1,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,1,17,25.55
6,30,3.4339872044851463,1,0,2,0,7,2.0794415416798357,1,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,16,2.833213344056216,1,1,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,14,2.70805020110221,1,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,1,7,31.2
4,20,3.044522437723423,1,2,6,0,7,2.0794415416798357,1,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,1,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,11,2.4849066497880004,1,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,1,4,14.8
0,5,1.791759469228055,0,2,5,5,1,0.6931471805599453,1,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,18,2.9444389791664403,1,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,1,17,3.75
0,25,3.258096538021482,0,1,4,5,17,2.8903717578961645,1,0,2,2,3,7,1,0.6931471805599453,0,1,1,1,1,9,2.302585092994046,1,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,1,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,1,12,11.75
7,35,3.58351893845611,0,2,0,5,16,2.833213344056216,1,1,1,1,2,6,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,1,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,11,14.0
4,40,3.713572066704308,1,1,5,0,4,1.6094379124341003,1,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,1,20,23.2
2,5,1.791759469228055,0,2,5,5,17,2.8903717578961645,1,0,2,2,3,7,1,0.6931471805599453,0,1,1,1,1,9,2.302585092994046,1,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,1,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,8,2.75
3,30,3.4339872044851463,1,0,2,0,14,2.70805020110221,1,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,15,2.772588722239781,1,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,1,12,27.0
2,25,3.258096538021482,0,1,4,5,16,2.833213344056216,1,1,1,1,2,6,1,0.6931471805599453,0,1,1,1,1,10,2.3978952727983707,1,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,1,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,1,10,16.0
6,20,3.044522437723423,1,2,6,0,10,2.3978952727983707,1,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,1,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,10,2.3978952727983707,1,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,1,15,10.6
1,25,3.258096538021482,0,1,4,5,12,2.5649493574615367,1,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,14,16.0
0,40,3.713572066704308,1,1,5,0,0,0.0,0,1,0,0,0,0,1,0.6931471805599453,0,1,1,1,1,15,2.772588722239781,1,0,0,0,1,5,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,1,10,15.6
2,40,3.713572066704308,1,1,5,0,18,2.9444389791664403,1,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,1,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,1,7,45.6
2,20,3.044522437723423,1,2,6,0,20,3.044522437723423,1,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,14,2.70805020110221,1,1,2,4,0,4,1,0.6931471805599453,0,1,1,1,1,11,2.4849066497880004,1,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,1,13,19.6
5,40,3.713572066704308,1,1,5,0,6,1.9459101490553132,1,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,2,2,2,2,14,2.70805020110221,1,1,2,4,0,4,1,0.6931471805599453,0,1,1,1,1,1,9,12.8
0,40,3.713572066704308,1,1,5,0,13,2.6390573296152584,1,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,1,14,17.6
1,5,1.791759469228055,0,2,5,5,15,2.772588722239781,1,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,1,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,1,0,2,5,2,1,0.6931471805599453,0,1,1,1,1,1,15,3.8
2,30,3.4339872044851463,1,0,2,0,16,2.833213344056216,1,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,17,2.8903717578961645,1,0,2,2,3,7,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,1,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,1,10,32.1
3,25,3.258096538021482,0,1,4,5,2,1.0986122886681098,1,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,1,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,17,2.8903717578961645,1,0,2,2,3,7,2,1.0986122886681098,1,2,2,2,2,1,4,12.25
4,5,1.791759469228055,0,2,5,5,3,1.3862943611198906,1,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,13,2.6390573296152584,1,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,4,2.2
4,25,3.258096538021482,0,1,4,5,10,2.3978952727983707,1,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,17,2.8903717578961645,1,0,2,2,3,7,4,1.6094379124341003,1,1,4,4,4,1,4,28.0
