slot_person_name,slot_snack_plural,slot_dave_eaten,slot_dave_eaten_abs_log1p,slot_dave_eaten_is_even,slot_dave_eaten_mod3,slot_dave_eaten_mod5,slot_dave_eaten_mod7,slot_dave_eaten_mod10,slot_bird1_species,slot_frac1_num,slot_frac1_num_abs_log1p,slot_frac1_num_is_even,slot_frac1_num_mod3,slot_frac1_num_mod5,slot_frac1_num_mod7,slot_frac1_num_mod10,slot_frac1_den,slot_frac1_den_abs_log1p,slot_frac1_den_is_even,slot_frac1_den_mod3,slot_frac1_den_mod5,slot_frac1_den_mod7,slot_frac1_den_mod10,slot_bird2_species_plural,slot_bird2_count,slot_bird2_count_abs_log1p,slot_bird2_count_is_even,slot_bird2_count_mod3,slot_bird2_count_mod5,slot_bird2_count_mod7,slot_bird2_count_mod10,slot_bird2_each,slot_bird2_each_abs_log1p,slot_bird2_each_is_even,slot_bird2_each_mod3,slot_bird2_each_mod5,slot_bird2_each_mod7,slot_bird2_each_mod10,slot_mammal_species,slot_rac_fraction_num,slot_rac_fraction_num_abs_log1p,slot_rac_fraction_num_is_even,slot_rac_fraction_num_mod3,slot_rac_fraction_num_mod5,slot_rac_fraction_num_mod7,slot_rac_fraction_num_mod10,slot_rac_fraction_den,slot_rac_fraction_den_abs_log1p,slot_rac_fraction_den_is_even,slot_rac_fraction_den_mod3,slot_rac_fraction_den_mod5,slot_rac_fraction_den_mod7,slot_rac_fraction_den_mod10,slot_insect_species_plural,slot_insect_take,slot_insect_take_abs_log1p,slot_insect_take_is_even,slot_insect_take_mod3,slot_insect_take_mod5,slot_insect_take_mod7,slot_insect_take_mod10,slot_final_left,slot_final_left_abs_log1p,slot_final_left_is_even,slot_final_left_mod3,slot_final_left_mod5,slot_final_left_mod7,slot_final_left_mod10,gcd_all,n_multiple_pairs,y
0,0,45,3.828641396489095,0,0,0,3,5,0,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,0,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,0,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,0,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,1,23,82.0
1,1,40,3.713572066704308,1,1,0,5,0,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,0,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,16,2.833213344056216,1,1,1,2,6,11,2.4849066497880004,0,2,1,4,1,1,29,112.0
2,2,70,4.2626798770413155,1,1,0,0,0,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,1,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,2,18,2.9444389791664403,1,0,3,4,8,9,2.302585092994046,0,0,4,2,9,1,11,220.0
1,3,50,3.9318256327243257,1,2,0,1,0,1,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,2,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,2,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,3,10,2.3978952727983707,1,1,0,3,0,12,2.5649493574615367,1,0,2,5,2,1,21,147.0
3,3,32,3.4965075614664802,1,2,2,4,2,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,2,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,3,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,1,24,70.0
1,2,54,4.007333185232471,1,0,4,5,4,2,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,4,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,4,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,1,16,131.0
2,0,34,3.5553480614894135,1,1,4,6,4,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,3,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,3,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,1,24,75.0
4,0,102,4.634728988229636,1,0,2,4,2,4,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,4,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,3,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,5,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,16,244.0
2,4,16,2.833213344056216,1,1,1,2,6,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,3,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,3,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,4,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,0,1,6,6,1,22,57.0
5,3,95,4.564348191467836,0,2,0,4,5,3,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,0,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,0,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,1,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,1,13,223.0
4,5,20,3.044522437723423,1,2,0,6,0,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,4,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,0,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,1,39,3.6888794541139363,0,0,4,4,9,38,3.6635616461296463,1,2,3,3,8,1,21,154.0
4,1,12,2.5649493574615367,1,0,2,5,2,5,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,5,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,3,17,2.8903717578961645,0,2,2,3,7,7,2.0794415416798357,0,1,2,0,7,1,18,69.0
2,0,55,4.02535169073515,0,1,0,6,5,4,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,0,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,5,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,1,15,108.0
5,3,21,3.091042453358316,0,0,1,0,1,3,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,5,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,1,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,2,10,2.3978952727983707,1,1,0,3,0,22,3.1354942159291497,1,1,2,1,2,1,15,107.0
3,6,21,3.091042453358316,0,0,1,0,1,6,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,4,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,5,13,2.6390573296152584,0,1,3,6,3,15,2.772588722239781,0,0,0,1,5,1,18,82.0
5,3,27,3.332204510175204,0,0,2,6,7,1,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,5,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,4,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,22,64.0
6,3,40,3.713572066704308,1,1,0,5,0,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,5,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,23,76.0
