slot_buyer_name,slot_item1,slot_item2,slot_item3,slot_qty1,slot_qty1_abs_log1p,slot_qty1_is_even,slot_qty1_mod3,slot_qty1_mod5,slot_qty1_mod7,slot_qty1_mod10,slot_qty2,slot_qty2_abs_log1p,slot_qty2_is_even,slot_qty2_mod3,slot_qty2_mod5,slot_qty2_mod7,slot_qty2_mod10,slot_qty3,slot_qty3_abs_log1p,slot_qty3_is_even,slot_qty3_mod3,slot_qty3_mod5,slot_qty3_mod7,slot_qty3_mod10,slot_price1,slot_price1_abs_log1p,slot_price1_frac,slot_price1_n_decimals,slot_price2,slot_price2_abs_log1p,slot_price2_frac,slot_price2_n_decimals,slot_price3,slot_price3_abs_log1p,slot_price3_frac,slot_price3_n_decimals,slot_currency_symbol,gcd_all,n_multiple_pairs,y
0,0,0,0,8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,23.25,3.188416617383492,0.25,2,13.0,2.6390573296152584,0.0,1,16.25,2.847812143477369,0.25,2,0,1,0,358.25
1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,46.25,3.855452653939752,0.25,2,47.75,3.886705197443856,0.75,2,66.5,4.212127597878484,0.5,1,1,1,2,545.0
2,2,2,2,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,12.5,2.6026896854443837,0.5,1,46.75,3.865979066926739,0.75,2,68.25,4.237723145067448,0.25,2,2,1,3,236.75
3,1,0,3,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,48.25,3.8969093676180977,0.25,2,38.25,3.6699514442284173,0.25,2,68.75,4.244917420701475,0.75,2,3,1,3,270.0
4,1,3,2,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,12.5,2.6026896854443837,0.5,1,49.0,3.912023005428146,0.0,1,48.5,3.901972669574645,0.5,1,3,1,1,502.0
5,3,0,2,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,25.5,3.2771447329921766,0.5,1,3.5,1.5040773967762742,0.5,1,53.5,3.9982007016691985,0.5,1,0,1,0,467.0
6,1,1,3,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,6.0,1.9459101490553132,0.0,1,47.75,3.886705197443856,0.75,2,77.75,4.366278277705742,0.75,2,2,1,1,322.75
7,0,4,1,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,32.75,3.518980417318539,0.75,2,42.0,3.7612001156935624,0.0,1,10.0,2.3978952727983707,0.0,1,3,1,1,428.0
3,4,2,1,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,30.5,3.449987545831587,0.5,1,5.75,1.9095425048844386,0.75,2,82.25,4.421848128860553,0.25,2,0,1,2,383.75
5,0,4,3,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,2.5,1.252762968495368,0.5,1,50.0,3.9318256327243257,0.0,1,60.25,4.114963849424837,0.25,2,1,1,1,711.25
8,5,0,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,35.75,3.6041382256588457,0.75,2,22.5,3.1570004211501135,0.5,1,91.5,4.52720864451838,0.5,1,0,1,1,413.5
9,3,3,3,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,8.25,2.224623551524334,0.25,2,42.75,3.7784916128036232,0.75,2,92.5,4.537961436294641,0.5,1,0,1,1,471.75
5,6,3,3,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,6.75,2.0476928433652555,0.75,2,28.5,3.3843902633457743,0.5,1,5.0,1.791759469228055,0.0,1,2,1,1,151.0
10,3,4,4,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,17.5,2.917770732084279,0.5,1,20.5,3.068052935133617,0.5,1,73.5,4.310799125385514,0.5,1,0,1,1,524.5
8,1,2,3,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,49.5,3.9219733362813143,0.5,1,43.5,3.7954891891721947,0.5,1,38.5,3.676300671907076,0.5,1,1,1,1,642.0
11,5,1,1,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,2.5,1.252762968495368,0.5,1,7.75,2.169053700369523,0.75,2,52.5,3.979681653901961,0.5,1,1,1,2,116.75
7,2,1,2,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,34.75,3.5765502691400166,0.75,2,31.25,3.4735180432417816,0.25,2,24.0,3.2188758248682006,0.0,1,3,1,0,315.5
1,1,3,5,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,14.75,2.7568403652716422,0.75,2,26.25,3.305053521109253,0.25,2,69.25,4.2520603082138555,0.25,2,0,1,1,404.5
12,0,0,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,5.5,1.8718021769015913,0.5,1,44.0,3.8066624897703196,0.0,1,53.0,3.9889840465642745,0.0,1,0,1,2,289.5
12,3,2,5,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,28.5,3.3843902633457743,0.5,1,42.25,3.7669972333778885,0.25,2,31.75,3.488902962081261,0.75,2,1,1,1,484.0
