slot_person_name,slot_item1,slot_item2,slot_item3,slot_min1,slot_min1_abs_log1p,slot_min1_is_even,slot_min1_mod3,slot_min1_mod7,slot_min1_mod10,slot_min2,slot_min2_abs_log1p,slot_min2_is_even,slot_min2_mod3,slot_min2_mod7,slot_min2_mod10,slot_min3,slot_min3_abs_log1p,slot_min3_is_even,slot_min3_mod3,slot_min3_mod7,slot_min3_mod10,slot_extra_percent,slot_extra_percent_abs_log1p,slot_extra_percent_is_even,slot_extra_percent_mod3,slot_extra_percent_mod7,slot_extra_percent_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
0,0,0,0,1320,7.186144304522325,1,0,4,0,785,6.666956792429207,0,2,1,5,1620,7.390798521735676,1,0,3,0,150,5.017279836814924,1,0,3,0,0,5,0,111750.0
1,1,1,1,135,4.912654885736052,0,0,2,5,70,4.2626798770413155,1,1,0,0,1420,7.259116128097101,1,1,6,0,125,4.836281906951478,0,2,6,5,0,5,0,43875.0
2,0,0,0,455,6.1224928095143865,0,2,0,5,1255,7.135687347028144,0,1,2,5,2515,7.830425617820331,0,1,2,5,175,5.170483995038151,0,1,0,5,1,5,0,139425.0
3,2,2,2,520,6.255750041753367,1,1,2,0,800,6.68586094706836,1,2,2,0,730,6.594413459749778,1,1,2,0,150,5.017279836814924,1,0,3,0,0,10,0,61500.0
4,3,3,3,1535,7.336936913707618,0,2,2,5,1660,7.415175109613295,1,1,1,0,1355,7.212294468500341,0,2,4,5,75,4.330733340286331,0,0,5,5,0,5,0,95550.0
1,4,3,4,55,4.02535169073515,0,1,6,5,1545,7.343426229147367,0,0,5,5,1050,6.957497370876951,1,0,0,0,25,3.258096538021482,0,1,4,5,2,5,1,39750.0
5,5,4,3,1670,7.421177528595393,1,2,4,0,1175,7.069874128458572,0,2,6,5,80,4.394449154672439,1,2,3,0,75,4.330733340286331,0,0,5,5,3,5,0,61425.0
3,2,3,2,1435,7.269616749608169,0,1,0,5,745,6.61472560020376,0,1,3,5,2170,7.682943169878292,1,1,0,0,100,4.61512051684126,1,1,2,0,3,5,0,104400.0
6,6,2,3,540,6.293419278846481,1,0,1,0,425,6.054439346269371,0,2,5,5,385,5.955837369464831,0,1,0,5,125,4.836281906951478,0,2,6,5,3,5,0,36450.0
7,6,0,1,765,6.641182169740591,0,0,2,5,600,6.398594934535208,1,0,5,0,560,6.329720905522696,1,2,0,0,125,4.836281906951478,0,2,6,5,3,5,0,51975.0
6,3,3,5,1050,6.957497370876951,1,0,0,0,645,6.470799503782602,0,0,1,5,2455,7.806289289267033,0,1,5,5,25,3.258096538021482,0,1,4,5,1,5,1,62250.0
8,5,2,6,645,6.470799503782602,0,0,1,5,160,5.081404364984463,1,1,6,0,2095,7.647786045440933,0,1,2,5,25,3.258096538021482,0,1,4,5,3,5,0,43500.0
7,2,2,7,80,4.394449154672439,1,2,3,0,1765,7.476472381163905,0,1,1,5,2155,7.6760099320288875,0,1,6,5,175,5.170483995038151,0,1,0,5,1,5,0,132000.0
3,7,4,1,875,6.775366090936392,0,2,0,5,530,6.274762021241939,1,2,5,0,145,4.983606621708336,0,1,5,5,100,4.61512051684126,1,1,2,0,0,5,0,37200.0
9,4,5,2,420,6.042632833682381,1,0,0,0,1180,7.074116816197362,1,1,4,0,2700,7.901377353792616,1,0,5,0,175,5.170483995038151,0,1,0,5,0,5,0,141900.0
10,0,3,4,590,6.3818160174060985,1,2,2,0,1230,7.115582126184454,1,0,5,0,1780,7.484930283289661,1,1,2,0,50,3.9318256327243257,1,2,1,0,1,10,0,64800.0
1,1,5,0,1160,7.057036981697891,1,2,5,0,95,4.564348191467836,0,2,4,5,145,4.983606621708336,0,1,5,5,75,4.330733340286331,0,0,5,5,3,5,1,29400.0
0,0,1,3,1500,7.313886831633462,1,0,2,0,695,6.54534966033442,0,2,2,5,2955,7.991592282068092,0,0,1,5,75,4.330733340286331,0,0,5,5,2,5,1,108150.0
8,3,0,4,60,4.110873864173311,1,0,4,0,1140,7.039660349862076,1,0,6,0,125,4.836281906951478,0,2,6,5,100,4.61512051684126,1,1,2,0,3,5,1,31800.0
4,1,6,7,120,4.795790545596741,1,0,1,0,1190,7.0825485693553,1,2,0,0,1265,7.143617602704121,0,2,5,5,125,4.836281906951478,0,2,6,5,1,5,0,69525.0
1,0,3,4,340,5.831882477283517,1,1,4,0,1060,6.966967138613983,1,1,3,0,550,6.311734809152915,1,1,4,0,150,5.017279836814924,1,0,3,0,3,10,0,58500.0
10,6,5,0,395,5.981414211254481,0,2,3,5,795,6.679599185844383,0,0,4,5,760,6.634633357861686,1,1,4,0,175,5.170483995038151,0,1,0,5,3,5,0,64350.0
11,5,5,7,320,5.771441123130016,1,2,5,0,1630,7.396948602621014,1,1,6,0,2125,7.661997558901893,0,1,4,5,150,5.017279836814924,1,0,3,0,1,5,0,122250.0
12,3,2,1,1485,7.303843225277705,0,0,1,5,1700,7.438971592395862,1,2,6,0,2940,7.9865049385539955,1,0,0,0,25,3.258096538021482,0,1,4,5,1,5,1,91875.0
3,5,3,7,1655,7.412160334945205,0,2,3,5,1815,7.504391559161238,0,0,2,5,2105,7.652545692693921,0,2,5,5,125,4.836281906951478,0,2,6,5,3,5,0,150525.0
3,3,1,7,1880,7.53955882930103,1,2,4,0,1515,7.323830566202317,0,0,3,5,505,6.226536669287466,0,1,1,5,25,3.258096538021482,0,1,4,5,0,5,1,58500.0
4,7,4,5,1730,7.456454555176209,1,2,1,0,665,6.501289670540389,0,2,0,5,1430,7.266128779556451,1,2,2,0,75,4.330733340286331,0,0,5,5,2,5,0,80325.0
6,0,7,2,260,5.564520407322694,1,2,1,0,585,6.373319789577012,0,0,4,5,2780,7.930565854233965,1,2,1,0,75,4.330733340286331,0,0,5,5,2,5,0,76125.0
3,1,4,6,1540,7.340186835320115,1,1,0,0,310,5.739792912179234,1,1,2,0,1450,7.280008252884188,1,1,1,0,50,3.9318256327243257,1,2,1,0,1,10,1,59400.0
1,1,0,6,620,6.431331081933479,1,2,4,0,180,5.198497031265826,1,0,5,0,1950,7.576097340623111,1,0,4,0,25,3.258096538021482,0,1,4,5,2,5,1,41250.0
13,7,3,6,470,6.154858094016418,1,2,1,0,1795,7.493317248862145,0,1,3,5,960,6.8679744089702925,1,0,1,0,125,4.836281906951478,0,2,6,5,0,5,0,87075.0
14,0,0,6,1410,7.252053951852814,1,0,3,0,1300,7.170888478512505,1,1,5,0,2990,8.003363058629947,1,2,1,0,125,4.836281906951478,0,2,6,5,2,5,0,153900.0
0,0,5,0,975,6.883462586413092,0,0,2,5,960,6.8679744089702925,1,0,1,0,1815,7.504391559161238,0,0,2,5,150,5.017279836814924,1,0,3,0,2,15,0,112500.0
0,4,0,6,1135,7.035268599281097,0,1,1,5,235,5.4638318050256105,0,1,4,5,705,6.559615237493242,0,0,5,5,175,5.170483995038151,0,1,0,5,3,5,1,68475.0
13,0,0,2,1795,7.493317248862145,0,1,3,5,1365,7.2196420401307355,0,0,0,5,1065,6.97166860472579,0,0,1,5,125,4.836281906951478,0,2,6,5,0,5,0,114075.0
2,4,3,0,1810,7.501634457883413,1,1,4,0,655,6.486160788944089,0,1,4,5,2860,7.95892649305011,1,1,4,0,150,5.017279836814924,1,0,3,0,0,5,0,159750.0
13,0,6,3,1370,7.223295679562314,1,2,5,0,450,6.111467339502679,1,0,2,0,730,6.594413459749778,1,1,2,0,100,4.61512051684126,1,1,2,0,3,10,0,61200.0
9,6,3,2,1820,7.507141079727608,1,2,0,0,655,6.486160788944089,0,1,4,5,625,6.439350371100098,0,1,2,5,100,4.61512051684126,1,1,2,0,3,5,0,74400.0
4,5,6,3,1835,7.515344571180436,0,2,1,5,325,5.786897381366708,0,1,3,5,2990,8.003363058629947,1,2,1,0,175,5.170483995038151,0,1,0,5,2,5,0,169950.0
7,6,3,3,220,5.3981627015177525,1,1,3,0,585,6.373319789577012,0,0,4,5,2395,7.78155595923534,0,1,1,5,125,4.836281906951478,0,2,6,5,0,5,0,86400.0
