slot_actor,slot_thing,slot_add_per_year,slot_add_per_year_abs_log1p,slot_add_per_year_is_even,slot_add_per_year_mod3,slot_add_per_year_mod5,slot_add_per_year_mod7,slot_add_per_year_mod10,slot_remove_per_year,slot_remove_per_year_abs_log1p,slot_remove_per_year_sign,slot_remove_per_year_is_even,slot_remove_per_year_mod3,slot_remove_per_year_mod5,slot_remove_per_year_mod7,slot_remove_per_year_mod10,slot_initial,slot_initial_abs_log1p,slot_initial_sign,slot_initial_is_even,slot_initial_mod3,slot_initial_mod5,slot_initial_mod7,slot_initial_mod10,slot_years,slot_years_abs_log1p,slot_years_is_even,slot_years_mod3,slot_years_mod5,slot_years_mod7,slot_years_mod10,slot_die_percent,slot_die_percent_abs_log1p,slot_die_percent_is_even,slot_die_percent_mod3,slot_die_percent_mod7,slot_die_percent_mod10,gcd_all,n_multiple_pairs,y
0,0,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,1,2,2,2,2,4,1.6094379124341003,1,1,1,4,4,4,18,2.9444389791664403,1,0,3,4,8,15,2.772588722239781,0,0,1,5,1,4,340.0
1,1,39,3.6888794541139363,0,0,4,4,9,17,2.8903717578961645,1,0,2,2,3,7,140,4.948759890378168,1,1,2,0,0,0,10,2.3978952727983707,1,1,0,3,0,40,3.713572066704308,1,1,5,0,1,2,216.0
2,1,14,2.70805020110221,1,2,4,0,4,6,1.9459101490553132,1,1,0,1,6,6,80,4.394449154672439,1,1,2,0,3,0,10,2.3978952727983707,1,1,0,3,0,15,2.772588722239781,0,0,1,5,1,1,136.0
0,0,23,3.1780538303479458,0,2,3,2,3,22,3.1354942159291497,1,1,1,2,1,2,63,4.1588830833596715,1,0,0,3,0,3,17,2.8903717578961645,0,2,2,3,7,25,3.258096538021482,0,1,4,5,1,0,60.0
3,0,38,3.6635616461296463,1,2,3,3,8,0,0.0,0,1,0,0,0,0,32,3.4965075614664802,1,1,2,2,4,2,8,2.1972245773362196,1,2,3,1,8,25,3.258096538021482,0,1,4,5,1,1,252.0
3,1,6,1.9459101490553132,1,0,1,6,6,0,0.0,0,1,0,0,0,0,46,3.8501476017100584,1,1,1,1,4,6,11,2.4849066497880004,0,2,1,4,1,50,3.9318256327243257,1,2,1,0,1,0,56.0
0,2,20,3.044522437723423,1,2,0,6,0,19,2.995732273553991,1,0,1,4,5,9,124,4.8283137373023015,1,1,1,4,5,4,16,2.833213344056216,1,1,1,2,6,15,2.772588722239781,0,0,1,5,1,0,119.0
0,3,29,3.4011973816621555,0,2,4,1,9,17,2.8903717578961645,1,0,2,2,3,7,4,1.6094379124341003,1,1,1,4,4,4,19,2.995732273553991,0,1,4,5,9,75,4.330733340286331,0,0,5,5,1,0,58.0
0,4,11,2.4849066497880004,0,2,1,4,1,1,0.6931471805599453,1,0,1,1,1,1,100,4.61512051684126,1,1,1,0,2,0,8,2.1972245773362196,1,2,3,1,8,10,2.3978952727983707,1,1,3,0,1,5,162.0
4,1,26,3.295836866004329,1,2,1,5,6,12,2.5649493574615367,1,1,0,2,5,2,60,4.110873864173311,1,1,0,0,4,0,12,2.5649493574615367,1,0,2,5,2,25,3.258096538021482,0,1,4,5,1,3,171.0
5,2,11,2.4849066497880004,0,2,1,4,1,9,2.302585092994046,1,0,0,4,2,9,37,3.6375861597263857,1,0,1,2,2,7,19,2.995732273553991,0,1,4,5,9,60,4.110873864173311,1,0,4,0,1,0,30.0
6,1,20,3.044522437723423,1,2,0,6,0,18,2.9444389791664403,1,1,0,3,4,8,308,5.733341276897746,1,1,2,3,0,8,16,2.833213344056216,1,1,1,2,6,30,3.4339872044851463,1,0,2,0,2,0,238.0
5,2,8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,1,0,1,2,0,7,114,4.74493212836325,1,1,0,4,2,4,11,2.4849066497880004,0,2,1,4,1,40,3.713572066704308,1,1,5,0,1,1,75.0
5,0,11,2.4849066497880004,0,2,1,4,1,10,2.3978952727983707,1,1,1,0,3,0,9,2.302585092994046,1,0,0,4,2,9,7,2.0794415416798357,0,1,2,0,7,50,3.9318256327243257,1,2,1,0,1,1,8.0
2,1,40,3.713572066704308,1,1,0,5,0,31,3.4657359027997265,1,0,1,1,3,1,98,4.59511985013459,1,1,2,3,0,8,8,2.1972245773362196,1,2,3,1,8,20,3.044522437723423,1,2,6,0,1,2,136.0
6,3,33,3.5263605246161616,0,0,3,5,3,29,3.4011973816621555,1,0,2,4,1,9,145,4.983606621708336,1,0,1,0,5,5,20,3.044522437723423,1,2,0,6,0,20,3.044522437723423,1,2,6,0,1,2,180.0
2,4,39,3.6888794541139363,0,0,4,4,9,38,3.6635616461296463,1,1,2,3,3,8,20,3.044522437723423,1,1,2,0,6,0,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,6,0,1,3,24.0
7,2,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,1,2,2,2,2,136,4.919980925828125,1,1,1,1,3,6,16,2.833213344056216,1,1,1,2,6,40,3.713572066704308,1,1,5,0,2,4,120.0
2,3,25,3.258096538021482,0,1,0,4,5,16,2.833213344056216,1,1,1,1,2,6,372,5.921578419643816,1,1,0,2,1,2,12,2.5649493574615367,1,0,2,5,2,15,2.772588722239781,0,0,1,5,1,1,408.0
