slot_walker_name,slot_rect_label,slot_length,slot_length_abs_log1p,slot_length_frac,slot_width,slot_width_abs_log1p,slot_width_frac,slot_distance_unit,slot_speed,slot_speed_abs_log1p,slot_speed_unit,y
0,0,18.5,2.970414465569701,0.5,5.5,1.8718021769015913,0.5,0,6.0,1.9459101490553132,0,8.0
1,1,10.5,2.4423470353692043,0.5,16.5,2.8622008809294686,0.5,1,2.0,1.0986122886681098,1,27.0
2,1,17.0,2.8903717578961645,0.0,15.0,2.772588722239781,0.0,2,64.0,4.174387269895637,2,1.0
3,2,12.0,2.5649493574615367,0.0,4.5,1.7047480922384253,0.5,3,1.0,0.6931471805599453,3,33.0
3,0,3.0,1.3862943611198906,0.0,20.0,3.044522437723423,0.0,0,1.0,0.6931471805599453,3,46.0
4,3,12.0,2.5649493574615367,0.0,18.5,2.970414465569701,0.5,3,1.0,0.6931471805599453,3,61.0
5,2,1.5,0.9162907318741551,0.5,14.0,2.70805020110221,0.0,0,31.0,3.4657359027997265,0,1.0
1,4,10.5,2.4423470353692043,0.5,18.5,2.970414465569701,0.5,0,1.0,0.6931471805599453,0,58.0
4,5,7.0,2.0794415416798357,0.0,16.0,2.833213344056216,0.0,2,2.0,1.0986122886681098,2,23.0
6,6,5.5,1.8718021769015913,0.5,11.5,2.5257286443082556,0.5,1,2.0,1.0986122886681098,1,17.0
3,5,17.5,2.917770732084279,0.5,15.0,2.772588722239781,0.0,2,5.0,1.791759469228055,2,13.0
3,2,12.5,2.6026896854443837,0.5,13.5,2.6741486494265287,0.5,0,4.0,1.6094379124341003,3,13.0
3,5,18.0,2.9444389791664403,0.0,10.5,2.4423470353692043,0.5,2,1.0,0.6931471805599453,1,57.0
6,2,16.0,2.833213344056216,0.0,1.0,0.6931471805599453,0.0,3,34.0,3.5553480614894135,3,1.0
6,5,10.0,2.3978952727983707,0.0,16.0,2.833213344056216,0.0,2,13.0,2.6390573296152584,2,4.0
4,7,1.5,0.9162907318741551,0.5,8.5,2.2512917986064953,0.5,2,2.0,1.0986122886681098,1,10.0
3,1,15.5,2.803360380906535,0.5,1.5,0.9162907318741551,0.5,0,17.0,2.8903717578961645,0,2.0
6,5,13.0,2.6390573296152584,0.0,15.0,2.772588722239781,0.0,0,8.0,2.1972245773362196,3,7.0
5,2,18.5,2.970414465569701,0.5,8.5,2.2512917986064953,0.5,3,9.0,2.302585092994046,0,6.0
4,1,9.0,2.302585092994046,0.0,3.5,1.5040773967762742,0.5,3,1.0,0.6931471805599453,0,25.0
4,1,12.0,2.5649493574615367,0.0,16.0,2.833213344056216,0.0,1,4.0,1.6094379124341003,1,14.0
5,4,2.5,1.252762968495368,0.5,5.5,1.8718021769015913,0.5,1,4.0,1.6094379124341003,1,4.0
6,1,16.0,2.833213344056216,0.0,1.0,0.6931471805599453,0.0,2,1.0,0.6931471805599453,2,34.0
3,6,8.0,2.1972245773362196,0.0,8.5,2.2512917986064953,0.5,1,33.0,3.5263605246161616,1,1.0
0,4,7.0,2.0794415416798357,0.0,7.5,2.1400661634962708,0.5,1,1.0,0.6931471805599453,2,29.0
4,5,1.0,0.6931471805599453,0.0,1.0,0.6931471805599453,0.0,1,1.0,0.6931471805599453,1,4.0
1,1,19.0,2.995732273553991,0.0,8.5,2.2512917986064953,0.5,1,5.0,1.791759469228055,2,11.0
7,4,14.5,2.740840023925201,0.5,9.0,2.302585092994046,0.0,1,47.0,3.871201010907891,2,1.0
2,7,13.0,2.6390573296152584,0.0,1.5,0.9162907318741551,0.5,3,1.0,0.6931471805599453,0,29.0
1,6,15.0,2.772588722239781,0.0,17.0,2.8903717578961645,0.0,2,8.0,2.1972245773362196,2,8.0
5,2,20.0,3.044522437723423,0.0,17.0,2.8903717578961645,0.0,1,37.0,3.6375861597263857,1,2.0
4,6,7.5,2.1400661634962708,0.5,6.5,2.0149030205422647,0.5,1,1.0,0.6931471805599453,2,28.0
0,7,1.0,0.6931471805599453,0.0,19.0,2.995732273553991,0.0,0,5.0,1.791759469228055,0,8.0
1,7,16.0,2.833213344056216,0.0,15.5,2.803360380906535,0.5,2,21.0,3.091042453358316,2,3.0
3,6,5.0,1.791759469228055,0.0,2.0,1.0986122886681098,0.0,1,14.0,2.70805020110221,1,1.0
2,5,17.5,2.917770732084279,0.5,7.5,2.1400661634962708,0.5,3,50.0,3.9318256327243257,0,1.0
7,4,16.0,2.833213344056216,0.0,11.0,2.4849066497880004,0.0,0,18.0,2.9444389791664403,0,3.0
7,1,6.5,2.0149030205422647,0.5,7.5,2.1400661634962708,0.5,2,2.0,1.0986122886681098,2,14.0
1,7,1.5,0.9162907318741551,0.5,11.0,2.4849066497880004,0.0,2,5.0,1.791759469228055,2,5.0
6,1,17.5,2.917770732084279,0.5,16.5,2.8622008809294686,0.5,3,2.0,1.0986122886681098,3,34.0
0,5,3.5,1.5040773967762742,0.5,12.0,2.5649493574615367,0.0,1,31.0,3.4657359027997265,1,1.0
3,1,1.0,0.6931471805599453,0.0,6.5,2.0149030205422647,0.5,2,5.0,1.791759469228055,1,3.0
7,1,6.0,1.9459101490553132,0.0,10.0,2.3978952727983707,0.0,0,2.0,1.0986122886681098,0,16.0
5,4,11.5,2.5257286443082556,0.5,13.0,2.6390573296152584,0.0,1,7.0,2.0794415416798357,1,7.0
2,6,13.5,2.6741486494265287,0.5,8.0,2.1972245773362196,0.0,2,43.0,3.784189633918261,2,1.0
1,1,17.5,2.917770732084279,0.5,15.5,2.803360380906535,0.5,2,33.0,3.5263605246161616,1,2.0
0,6,13.0,2.6390573296152584,0.0,12.5,2.6026896854443837,0.5,2,17.0,2.8903717578961645,2,3.0
1,6,16.0,2.833213344056216,0.0,3.5,1.5040773967762742,0.5,2,3.0,1.3862943611198906,1,13.0
0,5,5.0,1.791759469228055,0.0,5.0,1.791759469228055,0.0,1,10.0,2.3978952727983707,1,2.0
1,0,2.0,1.0986122886681098,0.0,6.0,1.9459101490553132,0.0,2,16.0,2.833213344056216,2,1.0
5,6,8.5,2.2512917986064953,0.5,2.0,1.0986122886681098,0.0,0,1.0,0.6931471805599453,3,21.0
5,7,2.0,1.0986122886681098,0.0,15.5,2.803360380906535,0.5,1,1.0,0.6931471805599453,2,35.0
3,6,6.5,2.0149030205422647,0.5,7.5,2.1400661634962708,0.5,3,2.0,1.0986122886681098,3,14.0
7,1,16.5,2.8622008809294686,0.5,9.0,2.302585092994046,0.0,0,1.0,0.6931471805599453,0,51.0
0,2,8.0,2.1972245773362196,0.0,11.5,2.5257286443082556,0.5,1,1.0,0.6931471805599453,2,39.0
4,4,19.0,2.995732273553991,0.0,11.0,2.4849066497880004,0.0,0,20.0,3.044522437723423,3,3.0
3,3,16.0,2.833213344056216,0.0,2.0,1.0986122886681098,0.0,2,9.0,2.302585092994046,1,4.0
7,6,15.5,2.803360380906535,0.5,6.0,1.9459101490553132,0.0,2,1.0,0.6931471805599453,2,43.0
2,6,18.5,2.970414465569701,0.5,11.0,2.4849066497880004,0.0,1,59.0,4.0943445622221,2,1.0
6,2,18.0,2.9444389791664403,0.0,9.5,2.3513752571634776,0.5,2,5.0,1.791759469228055,1,11.0
5,3,1.5,0.9162907318741551,0.5,17.5,2.917770732084279,0.5,0,19.0,2.995732273553991,3,2.0
7,4,18.5,2.970414465569701,0.5,6.5,2.0149030205422647,0.5,2,5.0,1.791759469228055,1,10.0
6,5,8.5,2.2512917986064953,0.5,19.0,2.995732273553991,0.0,2,5.0,1.791759469228055,2,11.0
2,6,4.0,1.6094379124341003,0.0,20.0,3.044522437723423,0.0,0,48.0,3.8918202981106265,0,1.0
3,7,6.5,2.0149030205422647,0.5,15.0,2.772588722239781,0.0,1,43.0,3.784189633918261,2,1.0
2,3,8.5,2.2512917986064953,0.5,17.5,2.917770732084279,0.5,3,26.0,3.295836866004329,3,2.0
6,7,7.0,2.0794415416798357,0.0,10.5,2.4423470353692043,0.5,2,7.0,2.0794415416798357,2,5.0
3,2,13.5,2.6741486494265287,0.5,18.0,2.9444389791664403,0.0,0,21.0,3.091042453358316,0,3.0
7,5,8.5,2.2512917986064953,0.5,16.0,2.833213344056216,0.0,3,49.0,3.912023005428146,0,1.0
5,0,13.0,2.6390573296152584,0.0,5.0,1.791759469228055,0.0,0,3.0,1.3862943611198906,0,12.0
1,3,11.5,2.5257286443082556,0.5,19.0,2.995732273553991,0.0,0,61.0,4.127134385045092,3,1.0
5,7,20.0,3.044522437723423,0.0,7.0,2.0794415416798357,0.0,2,54.0,4.007333185232471,2,1.0
5,7,15.5,2.803360380906535,0.5,19.0,2.995732273553991,0.0,2,3.0,1.3862943611198906,2,23.0
1,6,1.5,0.9162907318741551,0.5,12.0,2.5649493574615367,0.0,1,3.0,1.3862943611198906,1,9.0
6,7,1.0,0.6931471805599453,0.0,5.5,1.8718021769015913,0.5,1,1.0,0.6931471805599453,2,13.0
6,0,8.0,2.1972245773362196,0.0,14.5,2.740840023925201,0.5,2,3.0,1.3862943611198906,2,15.0
3,4,10.5,2.4423470353692043,0.5,3.0,1.3862943611198906,0.0,1,3.0,1.3862943611198906,1,9.0
3,6,20.0,3.044522437723423,0.0,19.5,3.0204248861443626,0.5,1,1.0,0.6931471805599453,2,79.0
7,6,4.5,1.7047480922384253,0.5,12.5,2.6026896854443837,0.5,3,2.0,1.0986122886681098,0,17.0
0,2,13.0,2.6390573296152584,0.0,16.5,2.8622008809294686,0.5,3,59.0,4.0943445622221,3,1.0
3,7,18.5,2.970414465569701,0.5,7.0,2.0794415416798357,0.0,1,1.0,0.6931471805599453,1,51.0
7,3,2.5,1.252762968495368,0.5,14.0,2.70805020110221,0.0,1,1.0,0.6931471805599453,2,33.0
6,6,2.0,1.0986122886681098,0.0,4.5,1.7047480922384253,0.5,1,1.0,0.6931471805599453,1,13.0
7,4,10.5,2.4423470353692043,0.5,2.0,1.0986122886681098,0.0,2,1.0,0.6931471805599453,2,25.0
6,4,14.0,2.70805020110221,0.0,16.0,2.833213344056216,0.0,3,4.0,1.6094379124341003,3,15.0
6,0,13.0,2.6390573296152584,0.0,4.5,1.7047480922384253,0.5,1,1.0,0.6931471805599453,2,35.0
5,3,7.5,2.1400661634962708,0.5,18.0,2.9444389791664403,0.0,1,51.0,3.9512437185814275,1,1.0
2,4,11.0,2.4849066497880004,0.0,5.0,1.791759469228055,0.0,1,16.0,2.833213344056216,2,2.0
7,5,14.5,2.740840023925201,0.5,1.0,0.6931471805599453,0.0,1,31.0,3.4657359027997265,1,1.0
1,0,11.0,2.4849066497880004,0.0,12.0,2.5649493574615367,0.0,3,2.0,1.0986122886681098,0,23.0
4,7,5.0,1.791759469228055,0.0,14.0,2.70805020110221,0.0,2,19.0,2.995732273553991,2,2.0
2,4,15.5,2.803360380906535,0.5,2.5,1.252762968495368,0.5,1,6.0,1.9459101490553132,2,6.0
0,6,5.5,1.8718021769015913,0.5,7.0,2.0794415416798357,0.0,2,1.0,0.6931471805599453,1,25.0
7,6,15.0,2.772588722239781,0.0,3.5,1.5040773967762742,0.5,0,1.0,0.6931471805599453,3,37.0
6,3,10.0,2.3978952727983707,0.0,14.0,2.70805020110221,0.0,0,4.0,1.6094379124341003,3,12.0
5,1,6.0,1.9459101490553132,0.0,13.0,2.6390573296152584,0.0,3,1.0,0.6931471805599453,3,38.0
5,3,3.0,1.3862943611198906,0.0,1.5,0.9162907318741551,0.5,3,1.0,0.6931471805599453,0,9.0
3,3,14.0,2.70805020110221,0.0,6.5,2.0149030205422647,0.5,2,1.0,0.6931471805599453,2,41.0
4,4,18.0,2.9444389791664403,0.0,8.0,2.1972245773362196,0.0,0,4.0,1.6094379124341003,3,13.0
5,5,3.0,1.3862943611198906,0.0,2.5,1.252762968495368,0.5,2,1.0,0.6931471805599453,2,11.0
7,6,18.5,2.970414465569701,0.5,13.0,2.6390573296152584,0.0,1,63.0,4.1588830833596715,1,1.0
2,4,16.0,2.833213344056216,0.0,19.5,3.0204248861443626,0.5,0,1.0,0.6931471805599453,3,71.0
7,7,14.5,2.740840023925201,0.5,1.0,0.6931471805599453,0.0,3,31.0,3.4657359027997265,3,1.0
5,1,15.5,2.803360380906535,0.5,15.0,2.772588722239781,0.0,2,61.0,4.127134385045092,2,1.0
0,3,12.5,2.6026896854443837,0.5,16.5,2.8622008809294686,0.5,0,2.0,1.0986122886681098,0,29.0
5,5,3.5,1.5040773967762742,0.5,18.0,2.9444389791664403,0.0,0,1.0,0.6931471805599453,0,43.0
2,2,17.0,2.8903717578961645,0.0,15.5,2.803360380906535,0.5,3,5.0,1.791759469228055,3,13.0
3,1,6.5,2.0149030205422647,0.5,4.0,1.6094379124341003,0.0,1,1.0,0.6931471805599453,1,21.0
4,1,4.5,1.7047480922384253,0.5,4.5,1.7047480922384253,0.5,2,1.0,0.6931471805599453,2,18.0
5,3,17.5,2.917770732084279,0.5,14.5,2.740840023925201,0.5,0,4.0,1.6094379124341003,0,16.0
5,0,8.5,2.2512917986064953,0.5,20.0,3.044522437723423,0.0,2,19.0,2.995732273553991,2,3.0
1,5,11.5,2.5257286443082556,0.5,3.0,1.3862943611198906,0.0,1,1.0,0.6931471805599453,1,29.0
1,1,15.0,2.772588722239781,0.0,3.5,1.5040773967762742,0.5,2,1.0,0.6931471805599453,1,37.0
1,0,1.0,0.6931471805599453,0.0,17.0,2.8903717578961645,0.0,2,2.0,1.0986122886681098,1,18.0
1,2,4.5,1.7047480922384253,0.5,17.0,2.8903717578961645,0.0,1,1.0,0.6931471805599453,1,43.0
4,2,9.0,2.302585092994046,0.0,18.0,2.9444389791664403,0.0,0,6.0,1.9459101490553132,0,9.0
0,2,7.5,2.1400661634962708,0.5,15.0,2.772588722239781,0.0,1,9.0,2.302585092994046,2,5.0
5,7,13.0,2.6390573296152584,0.0,13.0,2.6390573296152584,0.0,1,52.0,3.970291913552122,2,1.0
4,4,12.5,2.6026896854443837,0.5,16.0,2.833213344056216,0.0,3,19.0,2.995732273553991,0,3.0
6,5,14.0,2.70805020110221,0.0,11.0,2.4849066497880004,0.0,2,2.0,1.0986122886681098,1,25.0
7,2,14.5,2.740840023925201,0.5,5.0,1.791759469228055,0.0,3,13.0,2.6390573296152584,3,3.0
5,2,18.5,2.970414465569701,0.5,2.0,1.0986122886681098,0.0,2,1.0,0.6931471805599453,1,41.0
3,2,5.0,1.791759469228055,0.0,11.5,2.5257286443082556,0.5,2,11.0,2.4849066497880004,2,3.0
3,3,8.0,2.1972245773362196,0.0,9.0,2.302585092994046,0.0,0,2.0,1.0986122886681098,0,17.0
3,1,15.0,2.772588722239781,0.0,15.0,2.772588722239781,0.0,0,15.0,2.772588722239781,3,4.0
6,6,1.0,0.6931471805599453,0.0,17.5,2.917770732084279,0.5,0,1.0,0.6931471805599453,0,37.0
2,3,1.0,0.6931471805599453,0.0,1.0,0.6931471805599453,0.0,3,4.0,1.6094379124341003,0,1.0
4,5,19.0,2.995732273553991,0.0,3.5,1.5040773967762742,0.5,0,45.0,3.828641396489095,3,1.0
2,5,16.0,2.833213344056216,0.0,4.0,1.6094379124341003,0.0,2,5.0,1.791759469228055,1,8.0
5,2,6.5,2.0149030205422647,0.5,10.0,2.3978952727983707,0.0,1,33.0,3.5263605246161616,2,1.0
7,1,20.0,3.044522437723423,0.0,6.0,1.9459101490553132,0.0,1,4.0,1.6094379124341003,1,13.0
2,6,15.5,2.803360380906535,0.5,5.5,1.8718021769015913,0.5,1,3.0,1.3862943611198906,1,14.0
0,7,9.5,2.3513752571634776,0.5,2.0,1.0986122886681098,0.0,0,23.0,3.1780538303479458,3,1.0
7,7,17.0,2.8903717578961645,0.0,19.0,2.995732273553991,0.0,0,3.0,1.3862943611198906,3,24.0
7,2,15.0,2.772588722239781,0.0,17.0,2.8903717578961645,0.0,3,16.0,2.833213344056216,3,4.0
4,1,1.0,0.6931471805599453,0.0,6.0,1.9459101490553132,0.0,2,2.0,1.0986122886681098,2,7.0
0,6,8.0,2.1972245773362196,0.0,17.0,2.8903717578961645,0.0,3,2.0,1.0986122886681098,3,25.0
1,1,2.0,1.0986122886681098,0.0,4.5,1.7047480922384253,0.5,0,1.0,0.6931471805599453,0,13.0
5,6,19.5,3.0204248861443626,0.5,14.0,2.70805020110221,0.0,0,1.0,0.6931471805599453,0,67.0
4,2,5.5,1.8718021769015913,0.5,5.0,1.791759469228055,0.0,0,1.0,0.6931471805599453,0,21.0
7,1,11.0,2.4849066497880004,0.0,15.5,2.803360380906535,0.5,0,1.0,0.6931471805599453,3,53.0
2,5,1.0,0.6931471805599453,0.0,11.0,2.4849066497880004,0.0,0,3.0,1.3862943611198906,3,8.0
1,5,15.5,2.803360380906535,0.5,16.5,2.8622008809294686,0.5,2,4.0,1.6094379124341003,2,16.0
2,5,2.0,1.0986122886681098,0.0,19.5,3.0204248861443626,0.5,2,1.0,0.6931471805599453,2,43.0
0,1,12.0,2.5649493574615367,0.0,17.5,2.917770732084279,0.5,1,1.0,0.6931471805599453,1,59.0
7,2,19.5,3.0204248861443626,0.5,6.0,1.9459101490553132,0.0,2,51.0,3.9512437185814275,1,1.0
5,0,17.0,2.8903717578961645,0.0,14.0,2.70805020110221,0.0,2,31.0,3.4657359027997265,1,2.0
6,5,16.5,2.8622008809294686,0.5,11.0,2.4849066497880004,0.0,2,11.0,2.4849066497880004,2,5.0
4,4,1.5,0.9162907318741551,0.5,4.5,1.7047480922384253,0.5,0,6.0,1.9459101490553132,0,2.0
7,6,14.5,2.740840023925201,0.5,2.0,1.0986122886681098,0.0,1,1.0,0.6931471805599453,1,33.0
3,1,2.5,1.252762968495368,0.5,3.0,1.3862943611198906,0.0,1,11.0,2.4849066497880004,1,1.0
6,5,4.5,1.7047480922384253,0.5,8.0,2.1972245773362196,0.0,3,5.0,1.791759469228055,3,5.0
3,2,3.5,1.5040773967762742,0.5,20.0,3.044522437723423,0.0,1,47.0,3.871201010907891,2,1.0
3,6,10.0,2.3978952727983707,0.0,10.5,2.4423470353692043,0.5,2,1.0,0.6931471805599453,1,41.0
1,5,1.0,0.6931471805599453,0.0,4.0,1.6094379124341003,0.0,1,10.0,2.3978952727983707,1,1.0
7,2,18.5,2.970414465569701,0.5,15.5,2.803360380906535,0.5,1,17.0,2.8903717578961645,1,4.0
0,7,4.5,1.7047480922384253,0.5,11.0,2.4849066497880004,0.0,3,31.0,3.4657359027997265,3,1.0
5,6,15.5,2.803360380906535,0.5,19.0,2.995732273553991,0.0,2,1.0,0.6931471805599453,1,69.0
3,6,9.5,2.3513752571634776,0.5,16.0,2.833213344056216,0.0,3,3.0,1.3862943611198906,3,17.0
0,7,8.5,2.2512917986064953,0.5,18.0,2.9444389791664403,0.0,1,1.0,0.6931471805599453,2,53.0
2,1,18.0,2.9444389791664403,0.0,12.0,2.5649493574615367,0.0,2,60.0,4.110873864173311,1,1.0
3,3,16.5,2.8622008809294686,0.5,17.5,2.917770732084279,0.5,3,68.0,4.23410650459726,0,1.0
0,0,18.0,2.9444389791664403,0.0,4.0,1.6094379124341003,0.0,3,44.0,3.8066624897703196,3,1.0
7,3,12.0,2.5649493574615367,0.0,18.5,2.970414465569701,0.5,2,61.0,4.127134385045092,2,1.0
2,6,20.0,3.044522437723423,0.0,17.0,2.8903717578961645,0.0,3,1.0,0.6931471805599453,3,74.0
1,4,9.0,2.302585092994046,0.0,18.0,2.9444389791664403,0.0,0,18.0,2.9444389791664403,0,3.0
3,1,12.0,2.5649493574615367,0.0,17.5,2.917770732084279,0.5,1,1.0,0.6931471805599453,2,59.0
4,0,12.5,2.6026896854443837,0.5,15.0,2.772588722239781,0.0,0,1.0,0.6931471805599453,3,55.0
5,2,7.5,2.1400661634962708,0.5,7.0,2.0794415416798357,0.0,1,1.0,0.6931471805599453,2,29.0
7,4,16.5,2.8622008809294686,0.5,2.5,1.252762968495368,0.5,1,2.0,1.0986122886681098,1,19.0
0,6,10.5,2.4423470353692043,0.5,5.0,1.791759469228055,0.0,3,1.0,0.6931471805599453,3,31.0
3,5,15.0,2.772588722239781,0.0,19.0,2.995732273553991,0.0,3,4.0,1.6094379124341003,3,17.0
7,0,9.5,2.3513752571634776,0.5,6.5,2.0149030205422647,0.5,0,32.0,3.4965075614664802,0,1.0
0,7,5.5,1.8718021769015913,0.5,8.5,2.2512917986064953,0.5,3,1.0,0.6931471805599453,0,28.0
1,3,13.0,2.6390573296152584,0.0,6.5,2.0149030205422647,0.5,2,13.0,2.6390573296152584,2,3.0
2,7,12.5,2.6026896854443837,0.5,10.0,2.3978952727983707,0.0,0,9.0,2.302585092994046,3,5.0
7,1,9.0,2.302585092994046,0.0,19.0,2.995732273553991,0.0,0,4.0,1.6094379124341003,3,14.0
6,1,6.5,2.0149030205422647,0.5,4.5,1.7047480922384253,0.5,3,1.0,0.6931471805599453,0,22.0
5,6,17.0,2.8903717578961645,0.0,10.5,2.4423470353692043,0.5,3,11.0,2.4849066497880004,3,5.0
4,6,6.5,2.0149030205422647,0.5,9.0,2.302585092994046,0.0,3,1.0,0.6931471805599453,3,31.0
4,4,3.0,1.3862943611198906,0.0,13.5,2.6741486494265287,0.5,3,33.0,3.5263605246161616,3,1.0
4,6,16.5,2.8622008809294686,0.5,3.5,1.5040773967762742,0.5,3,1.0,0.6931471805599453,3,40.0
6,7,5.0,1.791759469228055,0.0,6.5,2.0149030205422647,0.5,2,23.0,3.1780538303479458,2,1.0
4,0,13.0,2.6390573296152584,0.0,5.0,1.791759469228055,0.0,3,4.0,1.6094379124341003,3,9.0
4,1,16.0,2.833213344056216,0.0,18.0,2.9444389791664403,0.0,0,1.0,0.6931471805599453,3,68.0
7,5,16.0,2.833213344056216,0.0,12.5,2.6026896854443837,0.5,2,3.0,1.3862943611198906,1,19.0
6,0,19.5,3.0204248861443626,0.5,9.5,2.3513752571634776,0.5,0,2.0,1.0986122886681098,0,29.0
0,6,10.0,2.3978952727983707,0.0,14.0,2.70805020110221,0.0,1,8.0,2.1972245773362196,2,6.0
6,1,7.0,2.0794415416798357,0.0,10.0,2.3978952727983707,0.0,2,2.0,1.0986122886681098,1,17.0
7,3,9.0,2.302585092994046,0.0,19.5,3.0204248861443626,0.5,3,19.0,2.995732273553991,0,3.0
3,0,1.0,0.6931471805599453,0.0,11.5,2.5257286443082556,0.5,2,1.0,0.6931471805599453,2,25.0
3,6,4.0,1.6094379124341003,0.0,13.5,2.6741486494265287,0.5,2,35.0,3.58351893845611,2,1.0
