slot_person1,slot_person2,slot_item1,slot_item2,slot_currency_symbol,slot_rate1,slot_rate1_abs_log1p,slot_rate1_is_even,slot_rate1_mod3,slot_rate1_mod5,slot_rate1_mod7,slot_rate1_mod10,slot_rate2,slot_rate2_abs_log1p,slot_rate2_is_even,slot_rate2_mod3,slot_rate2_mod5,slot_rate2_mod7,slot_rate2_mod10,slot_hours1,slot_hours1_abs_log1p,slot_hours1_is_even,slot_hours1_mod3,slot_hours1_mod5,slot_hours1_mod7,slot_hours1_mod10,slot_hours2,slot_hours2_abs_log1p,slot_hours2_is_even,slot_hours2_mod3,slot_hours2_mod5,slot_hours2_mod7,slot_hours2_mod10,gcd_all,n_multiple_pairs,y
0,0,0,0,0,30,3.4339872044851463,1,0,0,2,0,45,3.828641396489095,0,0,0,3,5,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,1,3,165.0
1,1,1,1,1,25,3.258096538021482,0,1,0,4,5,12,2.5649493574615367,1,0,2,5,2,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,1,3,212.0
2,2,2,1,2,50,3.9318256327243257,1,2,0,1,0,30,3.4339872044851463,1,0,0,2,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,2,1,440.0
3,3,3,1,3,50,3.9318256327243257,1,2,0,1,0,50,3.9318256327243257,1,2,0,1,0,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,2,2,600.0
4,4,4,2,2,40,3.713572066704308,1,1,0,5,0,40,3.713572066704308,1,1,0,5,0,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,1,1,400.0
5,5,5,2,3,20,3.044522437723423,1,2,0,6,0,50,3.9318256327243257,1,2,0,1,0,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,1,0,540.0
6,0,6,3,3,25,3.258096538021482,0,1,0,4,5,12,2.5649493574615367,1,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,1,0,271.0
3,6,1,4,1,22,3.1354942159291497,1,1,2,1,2,55,4.02535169073515,0,1,0,6,5,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,1,3,121.0
2,3,2,5,2,60,4.110873864173311,1,0,0,4,0,35,3.58351893845611,0,2,0,0,5,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,1,2,425.0
6,3,2,6,3,25,3.258096538021482,0,1,0,4,5,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,2,197.0
