slot_seller_name,slot_unit_desc,slot_target,slot_target_abs_log1p,slot_target_is_even,slot_target_mod3,slot_target_mod5,slot_target_mod7,slot_target_mod10,slot_closed_day1,slot_closed_day2,slot_weekend_sales,slot_weekend_sales_abs_log1p,slot_weekend_sales_is_even,slot_weekend_sales_mod3,slot_weekend_sales_mod5,slot_weekend_sales_mod7,slot_weekend_sales_mod10,slot_d1_label,slot_d2_label,slot_d3_label,slot_d1_sales,slot_d1_sales_abs_log1p,slot_d1_sales_is_even,slot_d1_sales_mod3,slot_d1_sales_mod5,slot_d1_sales_mod7,slot_d1_sales_mod10,slot_d2_sales,slot_d2_sales_abs_log1p,slot_d2_sales_is_even,slot_d2_sales_mod3,slot_d2_sales_mod5,slot_d2_sales_mod7,slot_d2_sales_mod10,slot_d3_sales,slot_d3_sales_abs_log1p,slot_d3_sales_is_even,slot_d3_sales_mod3,slot_d3_sales_mod5,slot_d3_sales_mod7,slot_d3_sales_mod10,gcd_all,n_multiple_pairs,y
0,0,116,4.762173934797756,1,2,1,4,6,0,0,28,3.367295829986474,1,1,3,0,8,0,0,0,38,3.6635616461296463,1,2,3,3,8,9,2.302585092994046,0,0,4,2,9,14,2.70805020110221,1,2,4,0,4,1,1,27.0
1,0,130,4.875197323201151,1,1,0,4,0,1,1,12,2.5649493574615367,1,0,2,5,2,1,1,1,42,3.7612001156935624,1,0,2,0,2,32,3.4965075614664802,1,2,2,4,2,16,2.833213344056216,1,1,1,2,6,2,1,28.0
2,1,300,5.707110264748875,1,0,0,6,0,2,0,78,4.3694478524670215,1,0,3,1,8,2,0,2,43,3.784189633918261,0,1,3,1,3,56,4.04305126783455,1,2,1,0,6,17,2.8903717578961645,0,2,2,3,7,1,0,106.0
1,2,203,5.318119993844216,0,2,3,0,3,3,2,33,3.5263605246161616,0,0,3,5,3,0,1,1,23,3.1780538303479458,0,2,3,2,3,28,3.367295829986474,1,1,3,0,8,51,3.9512437185814275,0,0,1,2,1,1,0,68.0
3,3,243,5.497168225293202,0,0,3,5,3,1,3,15,2.772588722239781,0,0,0,1,5,1,1,2,51,3.9512437185814275,0,0,1,2,1,41,3.7376696182833684,0,2,1,6,1,25,3.258096538021482,0,1,0,4,5,1,0,111.0
2,4,211,5.356586274672012,0,1,1,1,1,0,1,38,3.6635616461296463,1,2,3,3,8,3,2,3,28,3.367295829986474,1,1,3,0,8,16,2.833213344056216,1,1,1,2,6,39,3.6888794541139363,0,0,4,4,9,1,0,90.0
4,5,188,5.241747015059643,1,2,3,6,8,1,0,76,4.343805421853684,1,1,1,6,6,0,3,0,27,3.332204510175204,0,0,2,6,7,22,3.1354942159291497,1,1,2,1,2,31,3.4657359027997265,0,1,1,3,1,1,0,32.0
1,6,192,5.262690188904886,1,0,2,3,2,0,2,18,2.9444389791664403,1,0,3,4,8,3,4,4,16,2.833213344056216,1,1,1,2,6,23,3.1780538303479458,0,2,3,2,3,48,3.8918202981106265,1,0,3,6,8,1,3,87.0
2,7,296,5.6937321388027,1,2,1,2,6,2,1,77,4.356708826689592,0,2,2,0,7,2,2,3,19,2.995732273553991,0,1,4,5,9,44,3.8066624897703196,1,2,4,2,4,40,3.713572066704308,1,1,0,5,0,1,0,116.0
4,7,253,5.537334267018537,0,1,3,1,3,1,4,72,4.290459441148391,1,0,2,2,2,2,4,4,9,2.302585092994046,0,0,4,2,9,46,3.8501476017100584,1,1,1,4,6,43,3.784189633918261,0,1,3,1,3,1,1,83.0
1,5,174,5.1647859739235145,1,0,4,6,4,4,2,6,1.9459101490553132,1,0,1,6,6,3,2,1,12,2.5649493574615367,1,0,2,5,2,58,4.07753744390572,1,1,3,2,8,32,3.4965075614664802,1,2,2,4,2,2,3,66.0
0,3,227,5.429345628954441,0,2,2,3,7,4,4,11,2.4849066497880004,0,2,1,4,1,2,0,4,33,3.5263605246161616,0,0,3,5,3,39,3.6888794541139363,0,0,4,4,9,47,3.871201010907891,0,2,2,5,7,1,1,97.0
4,6,124,4.8283137373023015,1,1,4,5,4,3,3,21,3.091042453358316,0,0,1,0,1,4,1,2,14,2.70805020110221,1,2,4,0,4,7,2.0794415416798357,0,1,2,0,7,45,3.828641396489095,0,0,0,3,5,1,2,37.0
2,7,109,4.700480365792417,0,1,4,4,9,3,4,12,2.5649493574615367,1,0,2,5,2,2,4,3,57,4.060443010546419,0,0,2,1,7,7,2.0794415416798357,0,1,2,0,7,17,2.8903717578961645,0,2,2,3,7,1,0,16.0
5,4,222,5.407171771460119,1,0,2,5,2,1,0,61,4.127134385045092,0,1,1,5,1,0,1,1,51,3.9512437185814275,0,0,1,2,1,9,2.302585092994046,0,0,4,2,9,34,3.5553480614894135,1,1,4,6,4,1,0,67.0
1,1,167,5.123963979403259,0,2,2,6,7,2,1,52,3.970291913552122,1,1,2,3,2,4,2,1,46,3.8501476017100584,1,1,1,4,6,13,2.6390573296152584,0,1,3,6,3,14,2.70805020110221,1,2,4,0,4,1,1,42.0
5,5,219,5.393627546352362,0,0,4,2,9,4,4,72,4.290459441148391,1,0,2,2,2,1,0,1,56,4.04305126783455,1,2,1,0,6,42,3.7612001156935624,1,0,2,0,2,48,3.8918202981106265,1,0,3,6,8,1,0,1.0
6,7,192,5.262690188904886,1,0,2,3,2,0,2,20,3.044522437723423,1,2,0,6,0,1,4,0,38,3.6635616461296463,1,2,3,3,8,58,4.07753744390572,1,1,3,2,8,40,3.713572066704308,1,1,0,5,0,2,1,36.0
0,4,192,5.262690188904886,1,0,2,3,2,0,0,44,3.8066624897703196,1,2,4,2,4,0,0,0,24,3.2188758248682006,1,0,4,3,4,21,3.091042453358316,0,0,1,0,1,12,2.5649493574615367,1,0,2,5,2,1,3,91.0
2,6,265,5.583496308781699,0,1,0,6,5,2,3,40,3.713572066704308,1,1,0,5,0,1,0,2,25,3.258096538021482,0,1,0,4,5,44,3.8066624897703196,1,2,4,2,4,56,4.04305126783455,1,2,1,0,6,1,0,100.0
5,4,207,5.337538079701318,0,0,2,4,7,2,3,15,2.772588722239781,0,0,0,1,5,0,0,4,20,3.044522437723423,1,2,0,6,0,50,3.9318256327243257,1,2,0,1,0,35,3.58351893845611,0,2,0,0,5,1,0,87.0
4,1,141,4.955827057601261,0,0,1,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,2,1,4,30,3.4339872044851463,1,0,0,2,0,24,3.2188758248682006,1,0,4,3,4,17,2.8903717578961645,0,2,2,3,7,1,1,62.0
6,7,214,5.3706380281276624,1,1,4,4,4,2,3,76,4.343805421853684,1,1,1,6,6,1,0,2,13,2.6390573296152584,0,1,3,6,3,7,2.0794415416798357,0,1,2,0,7,23,3.1780538303479458,0,2,3,2,3,1,0,95.0
7,5,221,5.402677381872279,0,2,1,4,1,1,1,44,3.8066624897703196,1,2,4,2,4,1,1,1,40,3.713572066704308,1,1,0,5,0,39,3.6888794541139363,0,0,4,4,9,27,3.332204510175204,0,0,2,6,7,1,0,71.0
2,2,273,5.6131281063880705,0,0,3,0,3,3,4,41,3.7376696182833684,0,2,1,6,1,2,4,3,55,4.02535169073515,0,1,0,6,5,50,3.9318256327243257,1,2,0,1,0,47,3.871201010907891,0,2,2,5,7,1,0,80.0
1,6,275,5.62040086571715,0,2,0,2,5,2,0,65,4.189654742026425,0,2,0,2,5,2,4,3,21,3.091042453358316,0,0,1,0,1,45,3.828641396489095,0,0,0,3,5,27,3.332204510175204,0,0,2,6,7,1,0,117.0
3,6,190,5.25227342804663,1,1,0,1,0,2,3,61,4.127134385045092,0,1,1,5,1,4,4,4,51,3.9512437185814275,0,0,1,2,1,59,4.0943445622221,0,2,4,3,9,9,2.302585092994046,0,0,4,2,9,1,0,10.0
