slot_person1,slot_person2,slot_country,slot_years_ago,slot_years_ago_abs_log1p,slot_years_ago_is_even,slot_years_ago_mod3,slot_years_ago_mod5,slot_years_ago_mod7,slot_years_ago_mod10,slot_person2_current_age,slot_person2_current_age_abs_log1p,slot_person2_current_age_is_even,slot_person2_current_age_mod3,slot_person2_current_age_mod5,slot_person2_current_age_mod7,slot_person2_current_age_mod10,slot_ratio_num,slot_ratio_num_abs_log1p,slot_ratio_num_is_even,slot_ratio_num_mod3,slot_ratio_num_mod5,slot_ratio_num_mod7,slot_ratio_num_mod10,slot_ratio_den,slot_ratio_den_abs_log1p,slot_ratio_den_is_even,slot_ratio_den_mod3,slot_ratio_den_mod5,slot_ratio_den_mod7,slot_ratio_den_mod10,slot_pop_scale_k,slot_pop_scale_k_abs_log1p,slot_pop_scale_k_mod3,slot_pop_scale_k_mod7,slot_current_to_past_factor,slot_current_to_past_factor_abs_log1p,slot_current_to_past_factor_is_even,slot_current_to_past_factor_mod3,slot_current_to_past_factor_mod5,slot_current_to_past_factor_mod7,slot_current_to_past_factor_mod10,n_multiple_pairs,y
0,0,0,4,1.6094379124341003,1,1,4,4,4,156,5.056245805348308,1,0,1,2,6,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,7400,8.909370405197466,2,1,6,1.9459101490553132,1,0,1,6,6,11,1687200.0
1,1,1,9,2.302585092994046,0,0,4,2,9,97,4.584967478670572,0,1,2,6,7,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,3400,8.131824785007195,1,5,3,1.3862943611198906,0,0,3,3,3,4,673200.0
2,2,2,8,2.1972245773362196,1,2,3,1,8,74,4.31748811353631,1,2,4,4,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,6300,8.748463629942055,0,0,4,1.6094379124341003,1,1,4,4,4,7,1108800.0
1,3,3,3,1.3862943611198906,0,0,3,3,3,43,3.784189633918261,0,1,3,1,3,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,6800,8.824824939175638,2,3,3,1.3862943611198906,0,0,3,3,3,4,612000.0
3,4,4,3,1.3862943611198906,0,0,3,3,3,83,4.430816798843313,0,2,3,6,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,4100,8.31898612539206,2,5,6,1.9459101490553132,1,0,1,6,6,8,984000.0
4,5,3,7,2.0794415416798357,0,1,2,0,7,55,4.02535169073515,0,1,0,6,5,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,6600,8.79497643168877,0,6,6,1.9459101490553132,1,0,1,6,6,8,475200.0
3,0,2,3,1.3862943611198906,0,0,3,3,3,33,3.5263605246161616,0,0,3,5,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,5100,8.537191877922927,0,4,5,1.791759469228055,0,2,0,5,5,9,382500.0
3,6,3,3,1.3862943611198906,0,0,3,3,3,63,4.1588830833596715,0,0,3,0,3,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,6000,8.699681400989514,0,1,6,1.9459101490553132,1,0,1,6,6,10,1440000.0
5,0,2,11,2.4849066497880004,0,2,1,4,1,95,4.564348191467836,0,2,0,4,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,7200,8.881975184248867,0,4,2,1.0986122886681098,1,2,2,2,2,4,806400.0
4,3,4,11,2.4849066497880004,0,2,1,4,1,74,4.31748811353631,1,2,4,4,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,6300,8.748463629942055,0,0,6,1.9459101490553132,1,0,1,6,6,6,1587600.0
