slot_name_a,slot_name_b,slot_name_c,slot_base_count,slot_base_count_abs_log1p,slot_base_count_mod3,slot_base_count_mod5,slot_base_count_mod7,slot_base_count_mod10,slot_multiplier,slot_multiplier_abs_log1p,slot_multiplier_is_even,slot_multiplier_mod3,slot_multiplier_mod5,slot_multiplier_mod7,slot_multiplier_mod10,slot_item_plural,n_multiple_pairs,y
0,0,0,2,1.0986122886681098,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,0,6,2.0
1,1,1,6,1.9459101490553132,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,1,5,6.0
2,2,2,34,3.5553480614894135,1,4,6,4,3,1.3862943611198906,0,0,3,3,3,0,4,17.0
2,3,3,14,2.70805020110221,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,2,5,14.0
3,4,4,6,1.9459101490553132,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,3,5,18.0
4,5,5,2,1.0986122886681098,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,4,4,1.0
5,6,0,40,3.713572066704308,1,0,5,0,9,2.302585092994046,0,0,4,2,9,3,4,140.0
3,3,6,26,3.295836866004329,2,1,5,6,5,1.791759469228055,0,2,0,5,5,1,4,39.0
0,7,2,38,3.6635616461296463,2,3,3,8,8,2.1972245773362196,1,2,3,1,8,5,5,114.0
6,7,2,30,3.4339872044851463,0,0,2,0,8,2.1972245773362196,1,2,3,1,8,2,5,90.0
5,2,0,50,3.9318256327243257,2,0,1,0,9,2.302585092994046,0,0,4,2,9,0,4,175.0
7,1,5,4,1.6094379124341003,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,6,5,8.0
8,8,7,4,1.6094379124341003,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,7,4,10.0
3,9,0,34,3.5553480614894135,1,4,6,4,3,1.3862943611198906,0,0,3,3,3,6,4,17.0
1,1,2,4,1.6094379124341003,1,4,4,4,5,1.791759469228055,0,2,0,5,5,8,4,6.0
9,4,7,14,2.70805020110221,2,4,0,4,7,2.0794415416798357,0,1,2,0,7,5,5,35.0
4,3,4,42,3.7612001156935624,0,2,0,2,6,1.9459101490553132,1,0,1,6,6,4,6,84.0
9,9,8,30,3.4339872044851463,0,0,2,0,7,2.0794415416798357,0,1,2,0,7,6,4,75.0
6,7,9,4,1.6094379124341003,1,4,4,4,5,1.791759469228055,0,2,0,5,5,3,4,6.0
10,0,9,30,3.4339872044851463,0,0,2,0,5,1.791759469228055,0,2,0,5,5,9,5,45.0
4,0,1,42,3.7612001156935624,0,2,0,2,6,1.9459101490553132,1,0,1,6,6,6,6,84.0
7,5,1,46,3.8501476017100584,1,1,4,6,8,2.1972245773362196,1,2,3,1,8,1,5,138.0
0,7,2,40,3.713572066704308,1,0,5,0,7,2.0794415416798357,0,1,2,0,7,1,4,100.0
3,6,0,20,3.044522437723423,2,0,6,0,5,1.791759469228055,0,2,0,5,5,7,5,30.0
7,10,4,6,1.9459101490553132,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,0,6,12.0
10,5,0,24,3.2188758248682006,0,4,3,4,8,2.1972245773362196,1,2,3,1,8,4,6,72.0
1,0,0,4,1.6094379124341003,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,0,6,4.0
4,10,7,28,3.367295829986474,1,3,0,8,6,1.9459101490553132,1,0,1,6,6,2,5,56.0
5,4,6,32,3.4965075614664802,2,2,4,2,8,2.1972245773362196,1,2,3,1,8,3,6,96.0
10,5,0,48,3.8918202981106265,0,3,6,8,5,1.791759469228055,0,2,0,5,5,5,4,72.0
11,8,0,56,4.04305126783455,2,1,0,6,4,1.6094379124341003,1,1,4,4,4,5,6,56.0
6,8,5,28,3.367295829986474,1,3,0,8,5,1.791759469228055,0,2,0,5,5,2,4,42.0
1,3,5,28,3.367295829986474,1,3,0,8,9,2.302585092994046,0,0,4,2,9,5,4,98.0
3,11,9,10,2.3978952727983707,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,1,5,20.0
9,9,0,40,3.713572066704308,1,0,5,0,6,1.9459101490553132,1,0,1,6,6,2,5,80.0
4,0,1,56,4.04305126783455,2,1,0,6,5,1.791759469228055,0,2,0,5,5,0,4,84.0
9,11,8,28,3.367295829986474,1,3,0,8,4,1.6094379124341003,1,1,4,4,4,9,6,28.0
10,10,1,48,3.8918202981106265,0,3,6,8,3,1.3862943611198906,0,0,3,3,3,1,5,24.0
8,1,8,52,3.970291913552122,1,2,3,2,3,1.3862943611198906,0,0,3,3,3,6,4,26.0
