slot_old_item,slot_new_item,slot_old_units_per_day,slot_old_units_per_day_abs_log1p,slot_old_units_per_day_is_even,slot_old_units_per_day_mod3,slot_old_units_per_day_mod5,slot_old_units_per_day_mod7,slot_old_units_per_day_mod10,slot_old_unit_profit,slot_old_unit_profit_abs_log1p,slot_old_unit_profit_mod3,slot_old_unit_profit_mod7,slot_new_units_per_day,slot_new_units_per_day_abs_log1p,slot_new_units_per_day_is_even,slot_new_units_per_day_mod3,slot_new_units_per_day_mod5,slot_new_units_per_day_mod7,slot_new_units_per_day_mod10,slot_new_unit_profit,slot_new_unit_profit_abs_log1p,slot_new_unit_profit_is_even,slot_new_unit_profit_mod3,slot_new_unit_profit_mod5,slot_new_unit_profit_mod7,slot_new_unit_profit_mod10,slot_currency,gcd_all,n_multiple_pairs,y
0,0,19,2.995732273553991,0,1,4,5,9,300,5.707110264748875,0,6,15,2.772588722239781,0,0,0,1,5,570,6.3473892096560105,1,0,0,3,0,0,1,3,50.0
1,1,11,2.4849066497880004,0,2,1,4,1,260,5.564520407322694,2,1,29,3.4011973816621555,0,2,4,1,9,143,4.969813299576001,0,2,3,3,3,1,1,1,45.0
2,2,8,2.1972245773362196,1,2,3,1,8,220,5.3981627015177525,1,3,2,1.0986122886681098,1,2,2,2,2,1232,7.117205503164344,1,2,2,0,2,2,2,4,40.0
3,3,12,2.5649493574615367,1,0,2,5,2,160,5.081404364984463,1,6,1,0.6931471805599453,0,1,1,1,1,2208,7.700295203420117,1,0,3,3,8,3,1,4,15.0
0,4,9,2.302585092994046,0,0,4,2,9,160,5.081404364984463,1,6,12,2.5649493574615367,1,0,2,5,2,150,5.017279836814924,1,0,0,3,0,3,1,0,25.0
4,5,11,2.4849066497880004,0,2,1,4,1,440,6.089044875446846,2,6,1,0.6931471805599453,0,1,1,1,1,5566,8.624611588183507,1,1,1,1,6,3,1,5,15.0
4,0,13,2.6390573296152584,0,1,3,6,3,200,5.303304908059076,2,4,1,0.6931471805599453,0,1,1,1,1,3770,8.235095497258357,1,2,0,4,0,1,1,4,45.0
5,6,20,3.044522437723423,1,2,0,6,0,460,6.133398042996649,1,5,1,0.6931471805599453,0,1,1,1,1,11500,9.350189267092581,1,1,0,6,0,2,1,6,25.0
2,1,10,2.3978952727983707,1,1,0,3,0,100,4.61512051684126,1,2,10,2.3978952727983707,1,1,0,3,0,115,4.7535901911063645,0,1,0,3,5,0,5,3,15.0
4,2,7,2.0794415416798357,0,1,2,0,7,100,4.61512051684126,1,2,1,0.6931471805599453,0,1,1,1,1,1015,6.923628628138427,0,1,0,0,5,3,1,4,45.0
6,7,6,1.9459101490553132,1,0,1,6,6,300,5.707110264748875,0,6,9,2.302585092994046,0,0,4,2,9,260,5.564520407322694,1,2,0,1,0,1,1,1,30.0
0,1,18,2.9444389791664403,1,0,3,4,8,480,6.175867270105761,0,4,9,2.302585092994046,0,0,4,2,9,1440,7.273092595999522,1,0,0,5,0,2,3,4,50.0
5,8,20,3.044522437723423,1,2,0,6,0,360,5.8888779583328805,0,3,24,3.2188758248682006,1,0,4,3,4,315,5.755742213586912,0,0,0,0,5,3,1,2,5.0
7,6,5,1.791759469228055,0,2,0,5,5,400,5.993961427306569,1,1,24,3.2188758248682006,1,0,4,3,4,125,4.836281906951478,0,2,0,6,5,2,1,2,50.0
8,2,14,2.70805020110221,1,2,4,0,4,500,6.2166061010848646,2,3,14,2.70805020110221,1,2,4,0,4,650,6.478509642208569,1,2,0,6,0,0,2,1,30.0
6,6,12,2.5649493574615367,1,0,2,5,2,200,5.303304908059076,2,4,2,1.0986122886681098,1,2,2,2,2,1800,7.496097345175956,1,0,0,1,0,1,2,5,50.0
