slot_dist_first_to_second,slot_dist_first_to_second_abs_log1p,slot_dist_first_to_second_is_even,slot_dist_first_to_second_mod3,slot_dist_first_to_second_mod5,slot_dist_first_to_second_mod7,slot_dist_first_to_second_mod10,slot_dist_second_to_third,slot_dist_second_to_third_abs_log1p,slot_dist_second_to_third_is_even,slot_dist_second_to_third_mod3,slot_dist_second_to_third_mod5,slot_dist_second_to_third_mod7,slot_dist_second_to_third_mod10,slot_reduction_from_combined,slot_reduction_from_combined_abs_log1p,slot_reduction_from_combined_is_even,slot_reduction_from_combined_mod3,slot_reduction_from_combined_mod5,slot_reduction_from_combined_mod7,slot_reduction_from_combined_mod10,slot_loops_per_day,slot_loops_per_day_abs_log1p,slot_loops_per_day_is_even,slot_loops_per_day_mod3,slot_loops_per_day_mod5,slot_loops_per_day_mod7,slot_loops_per_day_mod10,slot_service_interval_distance,slot_service_interval_distance_abs_log1p,slot_service_interval_distance_is_even,slot_service_interval_distance_mod3,slot_service_interval_distance_mod5,slot_service_interval_distance_mod7,slot_service_interval_distance_mod10,slot_unit,slot_vehicle,slot_location_label,gcd_all,n_multiple_pairs,y
47,3.871201010907891,0,2,2,5,7,363,5.8971538676367405,0,0,3,6,3,403,6.0014148779611505,0,1,3,4,3,3,1.3862943611198906,0,0,3,3,3,58797,10.981863119702801,0,0,2,4,7,0,0,0,1,3,47.0
306,5.726847747587197,1,0,1,5,6,352,5.8664680569332965,1,1,2,2,2,48,3.8918202981106265,1,0,3,6,8,5,1.791759469228055,0,2,0,5,5,190200,12.155836686703159,1,0,0,3,0,1,1,1,1,1,30.0
187,5.236441962829949,0,1,2,5,7,266,5.58724865840025,1,2,1,0,6,44,3.8066624897703196,1,2,4,2,4,7,2.0794415416798357,0,1,2,0,7,84476,11.344234586945909,1,2,1,0,6,0,2,2,1,2,14.0
58,4.07753744390572,1,1,3,2,8,310,5.739792912179234,1,1,0,2,0,275,5.62040086571715,0,2,0,2,5,1,0.6931471805599453,0,1,1,1,1,5993,8.69851424787661,0,2,3,1,3,0,3,1,1,4,13.0
105,4.663439094112067,0,0,0,0,5,155,5.049856007249537,0,2,0,1,5,141,4.955827057601261,0,0,1,1,1,3,1.3862943611198906,0,0,3,3,3,53439,10.886314808210527,0,0,4,1,9,0,3,3,1,4,47.0
54,4.007333185232471,1,0,4,5,4,61,4.127134385045092,0,1,1,5,1,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,88592,11.391808126699964,1,2,2,0,2,1,1,4,1,2,56.0
88,4.48863636973214,1,1,3,4,8,382,5.948034989180646,1,1,2,4,2,440,6.089044875446846,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,80000,11.289794413577894,1,2,0,4,0,1,3,5,1,3,32.0
238,5.476463551931511,1,1,3,0,8,254,5.541263545158426,1,2,4,2,4,255,5.545177444479562,0,0,0,3,5,8,2.1972245773362196,1,2,3,1,8,69984,11.156036212354746,1,0,4,5,4,0,3,3,1,1,12.0
388,5.963579343618446,1,1,3,3,8,127,4.852030263919617,0,1,2,1,7,72,4.290459441148391,1,0,2,2,2,7,2.0794415416798357,0,1,2,0,7,140826,11.855287465685855,1,0,1,0,6,1,4,6,1,1,21.0
237,5.472270673671475,0,0,2,6,7,129,4.867534450455582,0,0,4,3,9,350,5.860786223465865,1,2,0,0,0,7,2.0794415416798357,0,1,2,0,7,40110,10.599405889891859,1,0,0,0,0,1,5,0,1,2,15.0
396,5.983936280687191,1,0,1,4,6,42,3.7612001156935624,1,0,2,0,2,32,3.4965075614664802,1,2,2,4,2,3,1.3862943611198906,0,0,3,3,3,116472,11.665414765470821,1,0,2,6,2,0,1,6,1,3,46.0
201,5.308267697401205,0,0,1,5,1,244,5.501258210544727,1,1,4,6,4,299,5.703782474656201,0,2,4,5,9,2,1.0986122886681098,1,2,2,2,2,47280,10.763863802448526,1,0,0,2,0,0,4,7,1,2,40.0
326,5.7899601708972535,1,2,1,4,6,307,5.730099782973574,0,1,2,6,7,84,4.442651256490317,1,0,4,0,4,7,2.0794415416798357,0,1,2,0,7,124110,11.72893160545957,1,0,0,0,0,0,5,3,1,2,15.0
92,4.532599493153256,1,2,2,1,2,39,3.6888794541139363,0,0,4,4,9,100,4.61512051684126,1,1,0,2,0,6,1.9459101490553132,1,0,1,6,6,44712,10.708019566059964,1,0,2,3,2,1,6,1,1,2,46.0
390,5.968707559985366,1,0,0,5,0,379,5.940171252720432,0,1,4,1,9,68,4.23410650459726,1,2,3,5,8,8,2.1972245773362196,1,2,3,1,8,399840,12.898822247066052,1,0,0,0,0,0,7,1,1,2,34.0
257,5.552959584921617,0,2,2,5,7,337,5.823045895483019,0,1,2,1,7,380,5.942799375126701,1,2,0,2,0,3,1.3862943611198906,0,0,3,3,3,26664,10.191107123034703,1,0,4,1,4,1,3,7,1,1,11.0
217,5.384495062789089,0,1,2,0,7,266,5.58724865840025,1,2,1,0,6,18,2.9444389791664403,1,0,3,4,8,8,2.1972245773362196,1,2,3,1,8,121344,11.706393007174437,1,0,4,6,4,0,2,0,1,1,16.0
185,5.225746673713202,0,2,0,3,5,350,5.860786223465865,1,2,0,0,0,272,5.60947179518496,1,2,2,6,2,6,1.9459101490553132,1,0,1,6,6,71820,11.181932191381275,1,0,0,0,0,1,2,6,1,1,15.0
298,5.700443573390687,1,1,3,4,8,118,4.77912349311153,1,1,3,6,8,338,5.82600010738045,1,2,3,2,8,8,2.1972245773362196,1,2,3,1,8,23712,10.073778699946109,1,0,2,3,2,1,5,8,2,1,6.0
68,4.23410650459726,1,2,3,5,8,393,5.976350909297934,0,0,3,1,3,175,5.170483995038151,0,1,0,0,5,4,1.6094379124341003,1,1,4,4,4,125496,11.74003713288579,1,0,1,0,6,1,5,6,1,2,42.0
382,5.948034989180646,1,1,2,4,2,73,4.30406509320417,0,1,3,3,3,105,4.663439094112067,0,0,0,0,5,2,1.0986122886681098,1,2,2,2,2,45080,10.716216150693835,1,2,0,0,0,0,5,4,1,2,28.0
282,5.645446897643238,1,0,2,2,2,253,5.537334267018537,0,1,3,1,3,474,6.163314804034641,1,0,4,5,4,1,0.6931471805599453,0,1,1,1,1,19072,9.856029001376427,1,1,2,4,2,0,5,1,1,4,32.0
297,5.697093486505405,0,0,2,3,7,41,3.7376696182833684,0,2,1,6,1,180,5.198497031265826,1,0,0,5,0,5,1.791759469228055,0,2,0,5,5,96720,11.479585824358468,1,0,0,1,0,1,6,3,1,2,39.0
