slot_company_name,slot_sector,slot_month1_name,slot_month2_name,slot_employees_hired,slot_employees_hired_abs_log1p,slot_employees_hired_is_even,slot_employees_hired_mod3,slot_employees_hired_mod5,slot_employees_hired_mod7,slot_employees_hired_mod10,slot_hourly_wage,slot_hourly_wage_abs_log1p,slot_hourly_wage_is_even,slot_hourly_wage_mod3,slot_hourly_wage_mod5,slot_hourly_wage_mod7,slot_hourly_wage_mod10,slot_hours_per_week,slot_hours_per_week_abs_log1p,slot_hours_per_week_is_even,slot_hours_per_week_mod3,slot_hours_per_week_mod5,slot_hours_per_week_mod7,slot_hours_per_week_mod10,slot_weeks_in_month,slot_weeks_in_month_abs_log1p,slot_weeks_in_month_is_even,slot_weeks_in_month_mod3,slot_weeks_in_month_mod5,slot_weeks_in_month_mod7,slot_weeks_in_month_mod10,slot_expired_num,slot_expired_num_abs_log1p,slot_expired_num_is_even,slot_expired_num_mod3,slot_expired_num_mod5,slot_expired_num_mod7,slot_expired_num_mod10,slot_expired_den,slot_expired_den_abs_log1p,slot_expired_den_is_even,slot_expired_den_mod3,slot_expired_den_mod5,slot_expired_den_mod7,slot_expired_den_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
0,0,0,0,36,3.6109179126442243,1,0,1,1,6,36,3.6109179126442243,1,0,1,1,6,31,3.4657359027997265,0,1,1,3,1,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,0,1,9,267840.0
1,0,1,1,15,2.772588722239781,0,0,0,1,5,13,2.6390573296152584,0,1,3,6,3,45,3.828641396489095,0,0,0,3,5,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,1,8,58500.0
2,1,2,2,168,5.1298987149230735,1,0,3,0,8,22,3.1354942159291497,1,1,2,1,2,41,3.7376696182833684,0,2,1,6,1,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,0,1,6,1010240.0
0,2,3,3,204,5.3230099791384085,1,0,4,1,4,30,3.4339872044851463,1,0,0,2,0,46,3.8501476017100584,1,1,1,4,6,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,1,0,2,5,2,2,1,5,2463300.0
1,1,4,4,27,3.332204510175204,0,0,2,6,7,10,2.3978952727983707,1,1,0,3,0,48,3.8918202981106265,1,0,3,6,8,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,3,1,8,86400.0
3,3,5,5,52,3.970291913552122,1,1,2,3,2,32,3.4965075614664802,1,2,2,4,2,37,3.6375861597263857,0,1,2,2,7,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,3,1,10,369408.0
0,4,6,6,40,3.713572066704308,1,1,0,5,0,19,2.995732273553991,0,1,4,5,9,38,3.6635616461296463,1,2,3,3,8,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,2,1,4,187720.0
4,5,2,2,78,4.3694478524670215,1,0,3,1,8,29,3.4011973816621555,0,2,4,1,9,38,3.6635616461296463,1,2,3,3,8,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,4,1,2,458432.0
2,4,2,2,156,5.056245805348308,1,0,1,2,6,33,3.5263605246161616,0,0,3,5,3,39,3.6888794541139363,0,0,4,4,9,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,1,1,7,1472328.0
5,4,0,0,115,4.7535901911063645,0,1,0,3,5,39,3.6888794541139363,0,0,4,4,9,32,3.4965075614664802,1,2,2,4,2,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,0,1,3,803712.0
5,4,7,7,80,4.394449154672439,1,2,0,3,0,35,3.58351893845611,0,2,0,0,5,38,3.6635616461296463,1,2,3,3,8,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,0,1,6,731500.0
3,4,3,3,92,4.532599493153256,1,2,2,1,2,17,2.8903717578961645,0,2,2,3,7,43,3.784189633918261,0,1,3,1,3,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,5,1,3,336260.0
5,1,2,2,56,4.04305126783455,1,2,1,0,6,12,2.5649493574615367,1,0,2,5,2,36,3.6109179126442243,1,0,1,1,6,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,5,1,9,181440.0
0,6,5,5,72,4.290459441148391,1,0,2,2,2,32,3.4965075614664802,1,2,2,4,2,33,3.5263605246161616,0,0,3,5,3,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,5,1,6,456192.0
6,5,8,8,60,4.110873864173311,1,0,0,4,0,38,3.6635616461296463,1,2,3,3,8,42,3.7612001156935624,1,0,2,0,2,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,1,10,574560.0
5,0,4,4,30,3.4339872044851463,1,0,0,2,0,16,2.833213344056216,1,1,1,2,6,48,3.8918202981106265,1,0,3,6,8,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,1,10,172800.0
0,3,8,8,104,4.653960350157523,1,2,4,6,4,39,3.6888794541139363,0,0,4,4,9,46,3.8501476017100584,1,1,1,4,6,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,0,1,4,932880.0
4,4,5,5,84,4.442651256490317,1,0,4,0,4,10,2.3978952727983707,1,1,0,3,0,46,3.8501476017100584,1,1,1,4,6,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,3,2,8,231840.0
6,6,5,5,216,5.37989735354046,1,0,1,6,6,27,3.332204510175204,0,0,2,6,7,32,3.4965075614664802,1,2,2,4,2,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,0,1,11,1399680.0
5,1,6,6,90,4.51085950651685,1,0,0,6,0,36,3.6109179126442243,1,0,1,1,6,38,3.6635616461296463,1,2,3,3,8,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,10,2.3978952727983707,1,1,0,3,0,3,1,2,640224.0
6,2,5,5,90,4.51085950651685,1,0,0,6,0,14,2.70805020110221,1,2,4,0,4,32,3.4965075614664802,1,2,2,4,2,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3,1,6,215040.0
0,1,6,6,15,2.772588722239781,0,0,0,1,5,16,2.833213344056216,1,1,1,2,6,31,3.4657359027997265,0,1,1,3,1,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,5,1,4,39680.0
7,4,2,2,57,4.060443010546419,0,0,2,1,7,15,2.772588722239781,0,0,0,1,5,40,3.713572066704308,1,1,0,5,0,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,1,5,228000.0
6,5,9,9,176,5.176149732573829,1,2,1,1,6,20,3.044522437723423,1,2,0,6,0,41,3.7376696182833684,0,2,1,6,1,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,4,1,5,1082400.0
0,4,10,10,55,4.02535169073515,0,1,0,6,5,12,2.5649493574615367,1,0,2,5,2,38,3.6635616461296463,1,2,3,3,8,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,1,4,175560.0
6,0,10,10,16,2.833213344056216,1,1,1,2,6,40,3.713572066704308,1,1,0,5,0,36,3.6109179126442243,1,0,1,1,6,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,4,4,11,138240.0
3,5,3,3,72,4.290459441148391,1,0,2,2,2,31,3.4657359027997265,0,1,1,3,1,48,3.8918202981106265,1,0,3,6,8,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,12,2.5649493574615367,1,0,2,5,2,1,1,8,571392.0
