slot_person,slot_source1,slot_source2,slot_currency_word,slot_initial,slot_initial_abs_log1p,slot_initial_mod3,slot_initial_mod7,slot_first_amount,slot_first_amount_abs_log1p,slot_first_amount_mod3,slot_first_amount_mod7,slot_ratio,slot_ratio_abs_log1p,slot_ratio_is_even,slot_ratio_mod3,slot_ratio_mod5,slot_ratio_mod7,slot_ratio_mod10,gcd_all,n_multiple_pairs,y
0,0,0,0,12800,9.45727857185611,2,4,13500,9.510519035757246,0,4,2,1.0986122886681098,1,2,2,2,2,2,2,53300.0
1,0,1,1,8400,9.036106025364846,0,0,12000,9.392745258631441,0,2,6,1.9459101490553132,1,0,1,6,6,6,2,92400.0
2,1,2,2,3000,8.006700845440367,0,4,2600,7.8636512654486515,2,3,2,1.0986122886681098,1,2,2,2,2,2,2,10800.0
1,1,0,3,14700,9.595670797663967,0,0,12800,9.45727857185611,2,4,4,1.6094379124341003,1,1,4,4,4,4,2,78700.0
0,2,3,0,8500,9.04793908261736,1,2,11900,9.38437770918244,2,0,2,1.0986122886681098,1,2,2,2,2,2,2,44200.0
3,3,1,2,7400,8.909370405197466,2,1,10300,9.239996256883693,1,3,3,1.3862943611198906,0,0,3,3,3,1,0,48600.0
2,4,4,4,2200,7.696667081526462,1,2,1100,7.00397413672268,2,1,4,1.6094379124341003,1,1,4,4,4,4,3,7700.0
0,4,3,4,9500,9.15915233520675,2,1,5100,8.537191877922927,0,4,6,1.9459101490553132,1,0,1,6,6,2,1,45200.0
4,5,0,1,11100,9.314790473332646,0,5,2700,7.901377353792616,0,5,2,1.0986122886681098,1,2,2,2,2,2,2,19200.0
5,6,5,4,12200,9.409273194575334,2,6,1100,7.00397413672268,2,1,7,2.0794415416798357,0,1,2,0,7,1,0,21000.0
3,7,5,3,5900,8.682877107057168,2,6,1200,7.0909098220799835,0,3,7,2.0794415416798357,0,1,2,0,7,1,0,15500.0
0,5,6,2,7500,8.922791623969637,0,3,11500,9.350189267092581,1,6,3,1.3862943611198906,0,0,3,3,3,1,1,53500.0
4,4,7,5,9900,9.200391041122515,0,2,5400,8.594339400592892,0,3,2,1.0986122886681098,1,2,2,2,2,2,2,26100.0
6,3,7,2,3100,8.03947991910045,1,6,4700,8.45553053102413,2,3,4,1.6094379124341003,1,1,4,4,4,4,2,26600.0
4,6,6,4,13700,9.525224101853109,2,1,4100,8.31898612539206,2,5,6,1.9459101490553132,1,0,1,6,6,2,0,42400.0
6,3,8,3,2500,7.824445930877619,1,1,6500,8.77971129020447,2,4,7,2.0794415416798357,0,1,2,0,7,1,0,54500.0
7,7,9,3,11500,9.350189267092581,1,6,14700,9.595670797663967,0,0,3,1.3862943611198906,0,0,3,3,3,1,1,70300.0
