slot_observer_name,slot_host_length_ft,slot_host_length_ft_abs_log1p,slot_host_length_ft_is_even,slot_host_length_ft_mod3,slot_host_length_ft_mod5,slot_host_length_ft_mod7,slot_host_length_ft_mod10,slot_num_parasites,slot_num_parasites_abs_log1p,slot_num_parasites_is_even,slot_num_parasites_mod3,slot_num_parasites_mod5,slot_num_parasites_mod7,slot_num_parasites_mod10,slot_parasite_length_in,slot_parasite_length_in_abs_log1p,slot_parasite_length_in_mod5,slot_parasite_length_in_mod7,slot_parasite_length_in_mod10,slot_host_species,slot_parasite_species,gcd_all,n_multiple_pairs,y
0,16,2.833213344056216,1,1,1,2,6,1,0.6931471805599453,0,1,1,1,1,48,3.8918202981106265,3,6,8,0,0,1,3,25.0
1,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,36,3.6109179126442243,1,1,6,1,0,3,3,25.0
2,16,2.833213344056216,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,48,3.8918202981106265,3,6,8,2,1,2,3,50.0
1,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,36,3.6109179126442243,1,1,6,3,2,2,2,25.0
3,30,3.4339872044851463,1,0,0,2,0,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,2,5,2,2,1,3,2,10.0
4,27,3.332204510175204,0,0,2,6,7,1,0.6931471805599453,0,1,1,1,1,36,3.6109179126442243,1,1,6,0,0,1,2,11.11
5,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,48,3.8918202981106265,3,6,8,1,0,2,2,20.0
6,16,2.833213344056216,1,1,1,2,6,1,0.6931471805599453,0,1,1,1,1,24,3.2188758248682006,4,3,4,2,2,1,2,12.5
6,24,3.2188758248682006,1,0,4,3,4,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,2,5,2,1,0,6,3,25.0
4,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,24,3.2188758248682006,4,3,4,4,1,2,2,10.0
6,54,4.007333185232471,1,0,4,5,4,3,1.3862943611198906,0,0,3,3,3,36,3.6109179126442243,1,1,6,5,1,3,2,16.67
2,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,36,3.6109179126442243,1,1,6,3,2,3,3,50.0
4,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,36,3.6109179126442243,1,1,6,4,0,1,1,50.0
0,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,2,5,2,4,3,2,3,100.0
6,80,4.394449154672439,1,2,0,3,0,5,1.791759469228055,0,2,0,5,5,48,3.8918202981106265,3,6,8,4,3,1,1,25.0
0,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,2,5,2,2,2,1,1,50.0
0,216,5.37989735354046,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,48,3.8918202981106265,3,6,8,2,1,6,2,11.11
2,60,4.110873864173311,1,0,0,4,0,5,1.791759469228055,0,2,0,5,5,48,3.8918202981106265,3,6,8,6,3,1,1,33.33
4,24,3.2188758248682006,1,0,4,3,4,3,1.3862943611198906,0,0,3,3,3,24,3.2188758248682006,4,3,4,0,1,3,3,25.0
3,24,3.2188758248682006,1,0,4,3,4,6,1.9459101490553132,1,0,1,6,6,24,3.2188758248682006,4,3,4,0,2,6,3,50.0
1,40,3.713572066704308,1,1,0,5,0,4,1.6094379124341003,1,1,4,4,4,24,3.2188758248682006,4,3,4,4,1,4,2,20.0
2,108,4.6913478822291435,1,0,3,3,8,4,1.6094379124341003,1,1,4,4,4,36,3.6109179126442243,1,1,6,3,3,4,3,11.11
3,96,4.574710978503383,1,0,1,5,6,6,1.9459101490553132,1,0,1,6,6,24,3.2188758248682006,4,3,4,6,1,6,3,12.5
4,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,24,3.2188758248682006,4,3,4,6,3,1,3,50.0
0,56,4.04305126783455,1,2,1,0,6,4,1.6094379124341003,1,1,4,4,4,24,3.2188758248682006,4,3,4,6,0,4,2,14.29
6,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,36,3.6109179126442243,1,1,6,5,1,2,2,25.0
0,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,2,5,2,6,3,3,2,16.67
4,48,3.8918202981106265,1,0,3,6,8,6,1.9459101490553132,1,0,1,6,6,48,3.8918202981106265,3,6,8,2,0,6,3,50.0
5,60,4.110873864173311,1,0,0,4,0,3,1.3862943611198906,0,0,3,3,3,48,3.8918202981106265,3,6,8,0,3,3,2,20.0
4,120,4.795790545596741,1,0,0,1,0,3,1.3862943611198906,0,0,3,3,3,48,3.8918202981106265,3,6,8,5,3,3,2,10.0
4,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,36,3.6109179126442243,1,1,6,5,1,2,3,100.0
0,108,4.6913478822291435,1,0,3,3,8,4,1.6094379124341003,1,1,4,4,4,36,3.6109179126442243,1,1,6,2,1,4,3,11.11
2,120,4.795790545596741,1,0,0,1,0,6,1.9459101490553132,1,0,1,6,6,24,3.2188758248682006,4,3,4,5,0,6,3,10.0
3,12,2.5649493574615367,1,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,2,5,2,6,0,6,3,50.0
0,16,2.833213344056216,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,24,3.2188758248682006,4,3,4,2,3,2,2,25.0
1,75,4.330733340286331,0,0,0,5,5,5,1.791759469228055,0,2,0,5,5,36,3.6109179126442243,1,1,6,2,3,1,1,20.0
6,48,3.8918202981106265,1,0,3,6,8,2,1.0986122886681098,1,2,2,2,2,36,3.6109179126442243,1,1,6,3,0,2,2,12.5
2,60,4.110873864173311,1,0,0,4,0,6,1.9459101490553132,1,0,1,6,6,24,3.2188758248682006,4,3,4,3,1,6,2,20.0
1,40,3.713572066704308,1,1,0,5,0,1,0.6931471805599453,0,1,1,1,1,48,3.8918202981106265,3,6,8,5,2,1,2,10.0
1,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,2,5,2,4,0,3,2,20.0
7,24,3.2188758248682006,1,0,4,3,4,4,1.6094379124341003,1,1,4,4,4,24,3.2188758248682006,4,3,4,0,0,4,3,33.33
3,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,24,3.2188758248682006,4,3,4,4,2,1,3,50.0
0,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,24,3.2188758248682006,4,3,4,5,3,4,2,50.0
6,112,4.727387818712341,1,1,2,0,2,4,1.6094379124341003,1,1,4,4,4,48,3.8918202981106265,3,6,8,0,2,4,2,14.29
6,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,36,3.6109179126442243,1,1,6,0,1,3,3,50.0
2,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,2,5,2,4,3,3,2,16.67
