slot_person1,slot_person2,slot_item1,slot_item2,slot_multiplier,slot_multiplier_abs_log1p,slot_multiplier_is_even,slot_multiplier_mod3,slot_multiplier_mod5,slot_multiplier_mod7,slot_multiplier_mod10,slot_count1_person2,slot_count1_person2_abs_log1p,slot_count1_person2_is_even,slot_count1_person2_mod3,slot_count1_person2_mod5,slot_count1_person2_mod7,slot_count1_person2_mod10,slot_count2_person2,slot_count2_person2_abs_log1p,slot_count2_person2_is_even,slot_count2_person2_mod3,slot_count2_person2_mod5,slot_count2_person2_mod7,slot_count2_person2_mod10,gcd_all,n_multiple_pairs,y
0,0,0,0,7,2.0794415416798357,0,1,2,0,7,203,5.318119993844216,0,2,3,0,3,77,4.356708826689592,0,2,2,0,7,7,2,40.0
0,1,1,1,6,1.9459101490553132,1,0,1,6,6,90,4.51085950651685,1,0,0,6,0,102,4.634728988229636,1,0,2,4,2,6,2,32.0
1,2,2,2,4,1.6094379124341003,1,1,4,4,4,96,4.574710978503383,1,0,1,5,6,48,3.8918202981106265,1,0,3,6,8,4,3,36.0
2,3,3,3,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,40,3.713572066704308,1,1,0,5,0,5,3,9.0
0,1,4,4,6,1.9459101490553132,1,0,1,6,6,192,5.262690188904886,1,0,2,3,2,210,5.351858133476067,1,0,0,0,0,6,2,67.0
1,4,0,4,7,2.0794415416798357,0,1,2,0,7,175,5.170483995038151,0,1,0,0,5,91,4.5217885770490405,0,1,1,0,1,7,2,38.0
3,1,5,5,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,100,4.61512051684126,1,1,0,2,0,4,2,27.0
4,5,1,6,2,1.0986122886681098,1,2,2,2,2,24,3.2188758248682006,1,0,4,3,4,40,3.713572066704308,1,1,0,5,0,2,2,32.0
2,2,6,2,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,0,2,5,2,124,4.8283137373023015,1,1,4,5,4,4,2,34.0
5,4,3,0,9,2.302585092994046,0,0,4,2,9,81,4.406719247264253,0,0,1,4,1,153,5.0369526024136295,0,0,3,6,3,9,2,26.0
6,4,5,7,7,2.0794415416798357,0,1,2,0,7,189,5.247024072160486,0,0,4,0,9,28,3.367295829986474,1,1,3,0,8,7,2,31.0
7,4,3,0,9,2.302585092994046,0,0,4,2,9,297,5.697093486505405,0,0,2,3,7,189,5.247024072160486,0,0,4,0,9,9,2,54.0
8,3,2,0,6,1.9459101490553132,1,0,1,6,6,156,5.056245805348308,1,0,1,2,6,240,5.484796933490655,1,0,0,2,0,6,2,66.0
8,2,6,1,8,2.1972245773362196,1,2,3,1,8,232,5.4510384535657,1,1,2,1,2,272,5.60947179518496,1,2,2,6,2,8,2,63.0
9,5,5,7,9,2.302585092994046,0,0,4,2,9,333,5.811140992976701,0,0,3,4,3,9,2.302585092994046,0,0,4,2,9,9,3,38.0
7,2,5,7,2,1.0986122886681098,1,2,2,2,2,34,3.5553480614894135,1,1,4,6,4,18,2.9444389791664403,1,0,3,4,8,2,2,26.0
9,0,1,4,9,2.302585092994046,0,0,4,2,9,243,5.497168225293202,0,0,3,5,3,234,5.459585514144159,1,0,4,3,4,9,2,53.0
1,1,7,0,7,2.0794415416798357,0,1,2,0,7,280,5.638354669333745,1,1,0,0,0,217,5.384495062789089,0,1,2,0,7,7,2,71.0
4,1,5,4,8,2.1972245773362196,1,2,3,1,8,192,5.262690188904886,1,0,2,3,2,80,4.394449154672439,1,2,0,3,0,8,2,34.0
0,6,5,0,6,1.9459101490553132,1,0,1,6,6,72,4.290459441148391,1,0,2,2,2,138,4.9344739331306915,1,0,3,5,8,6,2,35.0
8,5,4,0,6,1.9459101490553132,1,0,1,6,6,216,5.37989735354046,1,0,1,6,6,186,5.231108616854587,1,0,1,4,6,6,2,67.0
0,6,3,1,2,1.0986122886681098,1,2,2,2,2,68,4.23410650459726,1,2,3,5,8,64,4.174387269895637,1,1,4,1,4,2,2,66.0
4,7,6,4,6,1.9459101490553132,1,0,1,6,6,198,5.293304824724492,1,0,3,2,8,138,4.9344739331306915,1,0,3,5,8,6,2,56.0
2,2,0,3,6,1.9459101490553132,1,0,1,6,6,168,5.1298987149230735,1,0,3,0,8,132,4.890349128221754,1,0,2,6,2,6,2,50.0
9,6,1,5,3,1.3862943611198906,0,0,3,3,3,105,4.663439094112067,0,0,0,0,5,75,4.330733340286331,0,0,0,5,5,3,2,60.0
9,8,2,4,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,0,6,0,5,3,5.0
2,8,2,1,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,0,1,0,46,3.8501476017100584,1,1,1,4,6,2,2,48.0
0,6,7,8,8,2.1972245773362196,1,2,3,1,8,48,3.8918202981106265,1,0,3,6,8,240,5.484796933490655,1,0,0,2,0,8,3,36.0
7,3,0,2,3,1.3862943611198906,0,0,3,3,3,81,4.406719247264253,0,0,1,4,1,36,3.6109179126442243,1,0,1,1,6,3,2,39.0
3,7,4,2,5,1.791759469228055,0,2,0,5,5,140,4.948759890378168,1,2,0,0,0,40,3.713572066704308,1,1,0,5,0,5,2,36.0
7,8,0,7,6,1.9459101490553132,1,0,1,6,6,162,5.093750200806762,1,0,2,1,2,30,3.4339872044851463,1,0,0,2,0,6,2,32.0
3,4,0,5,8,2.1972245773362196,1,2,3,1,8,320,5.771441123130016,1,2,0,5,0,24,3.2188758248682006,1,0,4,3,4,8,2,43.0
1,6,5,8,3,1.3862943611198906,0,0,3,3,3,54,4.007333185232471,1,0,4,5,4,114,4.74493212836325,1,0,4,2,4,3,2,56.0
0,2,8,7,5,1.791759469228055,0,2,0,5,5,200,5.303304908059076,1,2,0,4,0,95,4.564348191467836,0,2,0,4,5,5,2,59.0
0,1,9,5,7,2.0794415416798357,0,1,2,0,7,126,4.844187086458591,1,0,1,0,6,224,5.41610040220442,1,2,4,0,4,7,2,50.0
6,8,0,1,3,1.3862943611198906,0,0,3,3,3,96,4.574710978503383,1,0,1,5,6,60,4.110873864173311,1,0,0,4,0,3,2,52.0
0,7,1,7,6,1.9459101490553132,1,0,1,6,6,132,4.890349128221754,1,0,2,6,2,222,5.407171771460119,1,0,2,5,2,6,2,59.0
7,8,3,9,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,102,4.634728988229636,1,0,2,4,2,6,3,18.0
1,6,9,4,2,1.0986122886681098,1,2,2,2,2,38,3.6635616461296463,1,2,3,3,8,62,4.143134726391533,1,2,2,6,2,2,2,50.0
5,1,8,0,7,2.0794415416798357,0,1,2,0,7,161,5.087596335232384,0,2,1,0,1,182,5.209486152841421,1,2,2,0,2,7,2,49.0
0,8,9,2,4,1.6094379124341003,1,1,4,4,4,88,4.48863636973214,1,1,3,4,8,4,1.6094379124341003,1,1,4,4,4,4,3,23.0
5,1,9,7,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,66,4.204692619390966,1,0,1,3,6,2,3,34.0
0,9,0,2,3,1.3862943611198906,0,0,3,3,3,93,4.543294782270004,0,0,3,2,3,3,1.3862943611198906,0,0,3,3,3,3,3,32.0
5,6,6,0,6,1.9459101490553132,1,0,1,6,6,168,5.1298987149230735,1,0,3,0,8,126,4.844187086458591,1,0,1,0,6,6,2,49.0
2,2,2,4,7,2.0794415416798357,0,1,2,0,7,133,4.897839799950911,0,1,3,0,3,189,5.247024072160486,0,0,4,0,9,7,2,46.0
8,1,9,2,7,2.0794415416798357,0,1,2,0,7,112,4.727387818712341,1,1,2,0,2,175,5.170483995038151,0,1,0,0,5,7,2,41.0
7,1,1,0,2,1.0986122886681098,1,2,2,2,2,48,3.8918202981106265,1,0,3,6,8,42,3.7612001156935624,1,0,2,0,2,2,2,45.0
8,9,5,6,5,1.791759469228055,0,2,0,5,5,75,4.330733340286331,0,0,0,5,5,65,4.189654742026425,0,2,0,2,5,5,2,28.0
2,7,0,3,6,1.9459101490553132,1,0,1,6,6,228,5.43372200355424,1,0,3,4,8,30,3.4339872044851463,1,0,0,2,0,6,2,43.0
0,9,2,5,5,1.791759469228055,0,2,0,5,5,120,4.795790545596741,1,0,0,1,0,70,4.2626798770413155,1,1,0,0,0,5,2,38.0
3,0,9,0,5,1.791759469228055,0,2,0,5,5,100,4.61512051684126,1,1,0,2,0,165,5.111987788356544,0,0,0,4,5,5,2,53.0
9,5,8,3,5,1.791759469228055,0,2,0,5,5,140,4.948759890378168,1,2,0,0,0,40,3.713572066704308,1,1,0,5,0,5,2,36.0
1,2,9,5,5,1.791759469228055,0,2,0,5,5,155,5.049856007249537,0,2,0,1,5,40,3.713572066704308,1,1,0,5,0,5,2,39.0
5,6,7,9,8,2.1972245773362196,1,2,3,1,8,104,4.653960350157523,1,2,4,6,4,88,4.48863636973214,1,1,3,4,8,8,2,24.0
8,8,6,4,9,2.302585092994046,0,0,4,2,9,18,2.9444389791664403,1,0,3,4,8,288,5.666426688112432,1,0,3,1,8,9,3,34.0
2,6,5,3,9,2.302585092994046,0,0,4,2,9,180,5.198497031265826,1,0,0,5,0,54,4.007333185232471,1,0,4,5,4,9,2,26.0
8,0,3,1,7,2.0794415416798357,0,1,2,0,7,210,5.351858133476067,1,0,0,0,0,56,4.04305126783455,1,2,1,0,6,7,2,38.0
3,7,9,2,3,1.3862943611198906,0,0,3,3,3,39,3.6888794541139363,0,0,4,4,9,81,4.406719247264253,0,0,1,4,1,3,2,40.0
2,3,8,8,2,1.0986122886681098,1,2,2,2,2,38,3.6635616461296463,1,2,3,3,8,4,1.6094379124341003,1,1,4,4,4,2,2,21.0
3,0,9,5,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,60,4.110873864173311,1,0,0,4,0,2,3,36.0
2,6,3,1,5,1.791759469228055,0,2,0,5,5,95,4.564348191467836,0,2,0,4,5,75,4.330733340286331,0,0,0,5,5,5,2,34.0
8,1,5,7,4,1.6094379124341003,1,1,4,4,4,140,4.948759890378168,1,2,0,0,0,100,4.61512051684126,1,1,0,2,0,4,2,60.0
1,6,2,6,5,1.791759469228055,0,2,0,5,5,195,5.278114659230517,0,0,0,6,5,110,4.709530201312334,1,2,0,5,0,5,2,61.0
7,7,3,6,6,1.9459101490553132,1,0,1,6,6,72,4.290459441148391,1,0,2,2,2,24,3.2188758248682006,1,0,4,3,4,6,3,16.0
0,1,9,4,2,1.0986122886681098,1,2,2,2,2,38,3.6635616461296463,1,2,3,3,8,8,2.1972245773362196,1,2,3,1,8,2,2,23.0
9,3,3,0,2,1.0986122886681098,1,2,2,2,2,18,2.9444389791664403,1,0,3,4,8,18,2.9444389791664403,1,0,3,4,8,2,3,18.0
8,8,9,9,7,2.0794415416798357,0,1,2,0,7,112,4.727387818712341,1,1,2,0,2,238,5.476463551931511,1,1,3,0,8,7,2,50.0
2,5,3,8,3,1.3862943611198906,0,0,3,3,3,33,3.5263605246161616,0,0,3,5,3,87,4.477336814478207,0,0,2,3,7,3,2,40.0
1,4,5,8,8,2.1972245773362196,1,2,3,1,8,64,4.174387269895637,1,1,4,1,4,88,4.48863636973214,1,1,3,4,8,8,2,19.0
