slot_num_people,slot_num_people_abs_log1p,slot_num_people_is_even,slot_num_people_mod3,slot_num_people_mod5,slot_num_people_mod7,slot_num_people_mod10,slot_payer_name,slot_currency,slot_total_bill,slot_total_bill_abs_log1p,slot_total_bill_mod3,slot_total_bill_mod7,slot_tip_percent,slot_tip_percent_abs_log1p,slot_tip_percent_is_even,slot_tip_percent_mod3,slot_tip_percent_mod5,slot_tip_percent_mod7,slot_tip_percent_mod10,gcd_all,n_multiple_pairs,y
2,1.0986122886681098,1,2,2,2,2,0,0,320,5.771441123130016,2,5,22,3.1354942159291497,1,1,2,1,2,2,2,230.4
6,1.9459101490553132,1,0,1,6,6,1,1,660,6.493753839851686,0,2,5,1.791759469228055,0,2,0,5,5,1,2,143.0
5,1.791759469228055,0,2,0,5,5,2,0,780,6.660575149839686,0,3,22,3.1354942159291497,1,1,2,1,2,1,1,327.6
6,1.9459101490553132,1,0,1,6,6,2,2,1800,7.496097345175956,0,1,25,3.258096538021482,0,1,0,4,5,1,2,750.0
5,1.791759469228055,0,2,0,5,5,3,1,660,6.493753839851686,0,2,15,2.772588722239781,0,0,0,1,5,5,3,231.0
6,1.9459101490553132,1,0,1,6,6,4,3,1200,7.0909098220799835,0,3,20,3.044522437723423,1,2,0,6,0,2,2,440.0
6,1.9459101490553132,1,0,1,6,6,5,1,840,6.734591659972948,0,0,5,1.791759469228055,0,2,0,5,5,1,2,182.0
5,1.791759469228055,0,2,0,5,5,5,2,160,5.081404364984463,1,6,25,3.258096538021482,0,1,0,4,5,5,2,72.0
5,1.791759469228055,0,2,0,5,5,6,2,120,4.795790545596741,0,1,15,2.772588722239781,0,0,0,1,5,5,3,42.0
6,1.9459101490553132,1,0,1,6,6,4,2,1740,7.462214939768189,0,4,10,2.3978952727983707,1,1,0,3,0,2,2,464.0
3,1.3862943611198906,0,0,3,3,3,5,2,480,6.175867270105761,0,4,25,3.258096538021482,0,1,0,4,5,1,1,280.0
6,1.9459101490553132,1,0,1,6,6,6,2,1320,7.186144304522325,0,4,18,2.9444389791664403,1,0,3,4,8,6,2,457.6
6,1.9459101490553132,1,0,1,6,6,2,0,1560,7.353081920515432,0,6,22,3.1354942159291497,1,1,2,1,2,2,1,603.2
5,1.791759469228055,0,2,0,5,5,1,2,120,4.795790545596741,0,1,15,2.772588722239781,0,0,0,1,5,5,3,42.0
5,1.791759469228055,0,2,0,5,5,4,3,240,5.484796933490655,0,2,22,3.1354942159291497,1,1,2,1,2,1,1,100.8
6,1.9459101490553132,1,0,1,6,6,3,1,360,5.8888779583328805,0,3,30,3.4339872044851463,1,0,0,2,0,6,3,168.0
2,1.0986122886681098,1,2,2,2,2,6,3,420,6.042632833682381,0,0,25,3.258096538021482,0,1,0,4,5,1,1,315.0
5,1.791759469228055,0,2,0,5,5,7,3,280,5.638354669333745,1,0,30,3.4339872044851463,1,0,0,2,0,5,2,140.0
4,1.6094379124341003,1,1,4,4,4,3,2,260,5.564520407322694,2,1,10,2.3978952727983707,1,1,0,3,0,2,2,91.0
3,1.3862943611198906,0,0,3,3,3,4,3,300,5.707110264748875,0,6,30,3.4339872044851463,1,0,0,2,0,3,3,190.0
2,1.0986122886681098,1,2,2,2,2,1,3,280,5.638354669333745,1,0,18,2.9444389791664403,1,0,3,4,8,2,2,190.4
5,1.791759469228055,0,2,0,5,5,7,0,480,6.175867270105761,0,4,15,2.772588722239781,0,0,0,1,5,5,3,168.0
6,1.9459101490553132,1,0,1,6,6,2,3,2160,7.6783263565068856,0,4,30,3.4339872044851463,1,0,0,2,0,6,3,1008.0
2,1.0986122886681098,1,2,2,2,2,1,0,100,4.61512051684126,1,2,5,1.791759469228055,0,2,0,5,5,1,2,55.0
3,1.3862943611198906,0,0,3,3,3,1,0,900,6.803505257608338,0,4,30,3.4339872044851463,1,0,0,2,0,3,3,570.0
5,1.791759469228055,0,2,0,5,5,2,3,260,5.564520407322694,2,1,30,3.4339872044851463,1,0,0,2,0,5,2,130.0
5,1.791759469228055,0,2,0,5,5,6,2,380,5.942799375126701,2,2,22,3.1354942159291497,1,1,2,1,2,1,1,159.6
