slot_name_r,slot_name_m,slot_name_a,slot_s_r,slot_s_r_abs_log1p,slot_s_r_is_even,slot_s_r_mod3,slot_s_r_mod5,slot_s_r_mod7,slot_s_r_mod10,slot_diff_m,slot_diff_m_abs_log1p,slot_diff_m_is_even,slot_diff_m_mod3,slot_diff_m_mod5,slot_diff_m_mod7,slot_diff_m_mod10,slot_diff_a,slot_diff_a_abs_log1p,slot_diff_a_is_even,slot_diff_a_mod3,slot_diff_a_mod5,slot_diff_a_mod7,slot_diff_a_mod10,slot_item_plural,slot_context,gcd_all,n_multiple_pairs,y
0,0,0,154,5.043425116919247,1,1,4,0,4,17,2.8903717578961645,0,2,2,3,7,148,5.003946305945459,1,1,3,1,8,0,0,1,0,297.0
1,1,1,179,5.19295685089021,0,2,4,4,9,63,4.1588830833596715,0,0,3,0,3,5,1.791759469228055,0,2,0,5,5,1,0,1,0,469.0
2,2,2,91,4.5217885770490405,0,1,1,0,1,57,4.060443010546419,0,0,2,1,7,53,3.9889840465642745,0,2,3,4,3,2,1,1,0,163.0
3,3,2,172,5.153291594497779,1,1,2,4,2,109,4.700480365792417,0,1,4,4,9,170,5.14166355650266,1,2,0,2,0,3,2,1,0,237.0
4,4,3,138,4.9344739331306915,1,0,3,5,8,134,4.90527477843843,1,2,4,1,4,92,4.532599493153256,1,2,2,1,2,3,3,2,0,188.0
5,5,4,103,4.6443908991413725,0,1,3,5,3,101,4.624972813284271,0,2,1,3,1,66,4.204692619390966,1,0,1,3,6,0,0,1,0,142.0
6,6,5,200,5.303304908059076,1,2,0,4,0,43,3.784189633918261,0,1,3,1,3,26,3.295836866004329,1,2,1,5,6,1,1,1,0,531.0
6,7,6,149,5.0106352940962555,0,2,4,2,9,98,4.59511985013459,1,2,3,0,8,20,3.044522437723423,1,2,0,6,0,4,1,1,0,329.0
7,8,7,199,5.298317366548036,0,1,4,3,9,6,1.9459101490553132,1,0,1,6,6,113,4.736198448394496,0,2,3,1,3,5,4,1,0,478.0
5,9,8,100,4.61512051684126,1,1,0,2,0,49,3.912023005428146,0,1,4,0,9,75,4.330733340286331,0,0,0,5,5,0,1,1,0,176.0
8,10,8,33,3.5263605246161616,0,0,3,5,3,12,2.5649493574615367,1,0,2,5,2,19,2.995732273553991,0,1,4,5,9,0,5,1,0,68.0
9,11,7,114,4.74493212836325,1,0,4,2,4,48,3.8918202981106265,1,0,3,6,8,20,3.044522437723423,1,2,0,6,0,4,6,2,0,274.0
10,12,9,85,4.454347296253507,0,1,0,1,5,38,3.6635616461296463,1,2,3,3,8,40,3.713572066704308,1,1,0,5,0,6,7,1,0,177.0
2,9,10,134,4.90527477843843,1,2,4,1,4,67,4.219507705176107,0,1,2,4,7,86,4.465908118654584,1,2,1,2,6,4,2,1,1,249.0
11,8,11,94,4.553876891600541,1,1,4,3,4,49,3.912023005428146,0,1,4,0,9,39,3.6888794541139363,0,0,4,4,9,6,6,1,0,194.0
