slot_person_name,slot_container_count,slot_container_count_abs_log1p,slot_container_count_is_even,slot_container_count_mod3,slot_container_count_mod5,slot_container_count_mod7,slot_container_count_mod10,slot_items_per_container,slot_items_per_container_abs_log1p,slot_items_per_container_is_even,slot_items_per_container_mod3,slot_items_per_container_mod5,slot_items_per_container_mod7,slot_items_per_container_mod10,slot_pieces_per_unit,slot_pieces_per_unit_abs_log1p,slot_pieces_per_unit_is_even,slot_pieces_per_unit_mod3,slot_pieces_per_unit_mod5,slot_pieces_per_unit_mod7,slot_pieces_per_unit_mod10,slot_unit_name,slot_small_piece_item_name,slot_container_name,slot_heat_device,slot_price_per_unit,slot_price_per_unit_abs_log1p,slot_price_per_unit_frac,slot_price_per_unit_n_decimals,slot_currency_symbol,gcd_all,n_multiple_pairs,y
0,10,2.3978952727983707,1,1,0,3,0,63,4.1588830833596715,0,0,3,0,3,7,2.0794415416798357,0,1,2,0,7,0,0,0,0,7.0,2.0794415416798357,0.0,1,0,1,1,630.0
1,7,2.0794415416798357,0,1,2,0,7,48,3.8918202981106265,1,0,3,6,8,12,2.5649493574615367,1,0,2,5,2,1,1,1,1,5.25,1.8325814637483102,0.25,2,1,1,1,147.0
2,6,1.9459101490553132,1,0,1,6,6,63,4.1588830833596715,0,0,3,0,3,7,2.0794415416798357,0,1,2,0,7,2,0,2,0,6.75,2.0476928433652555,0.75,2,0,1,1,364.5
1,12,2.5649493574615367,1,0,2,5,2,98,4.59511985013459,1,2,3,0,8,7,2.0794415416798357,0,1,2,0,7,3,2,3,2,1.25,0.8109302162163288,0.25,2,0,1,1,210.0
3,10,2.3978952727983707,1,1,0,3,0,56,4.04305126783455,1,2,1,0,6,8,2.1972245773362196,1,2,3,1,8,4,0,4,0,3.25,1.4469189829363254,0.25,2,0,2,1,227.5
4,12,2.5649493574615367,1,0,2,5,2,72,4.290459441148391,1,0,2,2,2,9,2.302585092994046,0,0,4,2,9,2,3,3,2,6.0,1.9459101490553132,0.0,1,2,3,2,576.0
4,8,2.1972245773362196,1,2,3,1,8,48,3.8918202981106265,1,0,3,6,8,8,2.1972245773362196,1,2,3,1,8,0,4,2,0,1.5,0.9162907318741551,0.5,1,1,8,3,72.0
4,6,1.9459101490553132,1,0,1,6,6,28,3.367295829986474,1,1,3,0,8,4,1.6094379124341003,1,1,4,4,4,3,3,5,3,1.25,0.8109302162163288,0.25,2,3,2,1,52.5
4,11,2.4849066497880004,0,2,1,4,1,168,5.1298987149230735,1,0,3,0,8,12,2.5649493574615367,1,0,2,5,2,0,1,1,3,3.75,1.55814461804655,0.75,2,1,1,1,577.5
5,12,2.5649493574615367,1,0,2,5,2,24,3.2188758248682006,1,0,4,3,4,6,1.9459101490553132,1,0,1,6,6,5,5,4,1,8.25,2.224623551524334,0.25,2,2,6,3,396.0
