slot_person_name,slot_room_name,slot_length_ft,slot_length_ft_abs_log1p,slot_length_ft_is_even,slot_length_ft_mod3,slot_length_ft_mod5,slot_length_ft_mod7,slot_length_ft_mod10,slot_width_ft,slot_width_ft_abs_log1p,slot_width_ft_is_even,slot_width_ft_mod3,slot_width_ft_mod5,slot_width_ft_mod7,slot_width_ft_mod10,slot_cost_material_per_sqft,slot_cost_material_per_sqft_abs_log1p,slot_cost_material_per_sqft_is_even,slot_cost_material_per_sqft_mod3,slot_cost_material_per_sqft_mod5,slot_cost_material_per_sqft_mod7,slot_cost_material_per_sqft_mod10,slot_cost_padding_per_sqft,slot_cost_padding_per_sqft_abs_log1p,slot_cost_padding_per_sqft_sign,slot_cost_padding_per_sqft_is_even,slot_cost_padding_per_sqft_mod3,slot_cost_padding_per_sqft_mod5,slot_cost_padding_per_sqft_mod7,slot_cost_padding_per_sqft_mod10,slot_cost_removal_per_sqft,slot_cost_removal_per_sqft_abs_log1p,slot_cost_removal_per_sqft_sign,slot_cost_removal_per_sqft_is_even,slot_cost_removal_per_sqft_mod3,slot_cost_removal_per_sqft_mod5,slot_cost_removal_per_sqft_mod7,slot_cost_removal_per_sqft_mod10,slot_cost_install_per_sqft,slot_cost_install_per_sqft_abs_log1p,slot_cost_install_per_sqft_is_even,slot_cost_install_per_sqft_mod3,slot_cost_install_per_sqft_mod5,slot_cost_install_per_sqft_mod7,slot_cost_install_per_sqft_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
0,0,30,3.4339872044851463,1,0,0,2,0,12,2.5649493574615367,1,0,2,5,2,20,3.044522437723423,1,2,0,6,0,7,2.0794415416798357,1,0,1,2,0,7,7,2.0794415416798357,1,0,1,2,0,7,18,2.9444389791664403,1,0,3,4,8,0,1,1,18720.0
1,1,23,3.1780538303479458,0,2,3,2,3,26,3.295836866004329,1,2,1,5,6,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,1,0,2,0,5,5,4,1.6094379124341003,1,1,1,4,4,4,40,3.713572066704308,1,1,0,5,0,1,1,2,34684.0
2,2,13,2.6390573296152584,0,1,3,6,3,17,2.8903717578961645,0,2,2,3,7,31,3.4657359027997265,0,1,1,3,1,5,1.791759469228055,1,0,2,0,5,5,8,2.1972245773362196,1,1,2,3,1,8,27,3.332204510175204,0,0,2,6,7,2,1,0,15691.0
2,1,30,3.4339872044851463,1,0,0,2,0,12,2.5649493574615367,1,0,2,5,2,18,2.9444389791664403,1,0,3,4,8,0,0.0,0,1,0,0,0,0,5,1.791759469228055,1,0,2,0,5,5,44,3.8066624897703196,1,2,4,2,4,1,1,1,24120.0
3,3,25,3.258096538021482,0,1,0,4,5,10,2.3978952727983707,1,1,0,3,0,23,3.1780538303479458,0,2,3,2,3,0,0.0,0,1,0,0,0,0,4,1.6094379124341003,1,1,1,4,4,4,13,2.6390573296152584,0,1,3,6,3,0,1,0,10000.0
4,1,30,3.4339872044851463,1,0,0,2,0,25,3.258096538021482,0,1,0,4,5,30,3.4339872044851463,1,0,0,2,0,7,2.0794415416798357,1,0,1,2,0,7,3,1.3862943611198906,1,0,0,3,3,3,48,3.8918202981106265,1,0,3,6,8,2,1,4,66000.0
5,4,12,2.5649493574615367,1,0,2,5,2,30,3.4339872044851463,1,0,0,2,0,30,3.4339872044851463,1,0,0,2,0,4,1.6094379124341003,1,1,1,4,4,4,0,0.0,0,1,0,0,0,0,24,3.2188758248682006,1,0,4,3,4,0,2,4,20880.0
6,0,20,3.044522437723423,1,2,0,6,0,19,2.995732273553991,0,1,4,5,9,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,1,0,2,0,5,5,7,2.0794415416798357,1,0,1,2,0,7,45,3.828641396489095,0,0,0,3,5,2,1,2,24700.0
7,2,27,3.332204510175204,0,0,2,6,7,29,3.4011973816621555,0,2,4,1,9,13,2.6390573296152584,0,1,3,6,3,5,1.791759469228055,1,0,2,0,5,5,2,1.0986122886681098,1,1,2,2,2,2,43,3.784189633918261,0,1,3,1,3,1,1,0,49329.0
7,4,25,3.258096538021482,0,1,0,4,5,18,2.9444389791664403,1,0,3,4,8,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,1,0,1,1,1,1,0,0.0,0,1,0,0,0,0,12,2.5649493574615367,1,0,2,5,2,0,1,4,10350.0
