slot_first_item,slot_second_item,slot_third_item,slot_fourth_item,slot_place,slot_base_weight,slot_base_weight_abs_log1p,slot_base_weight_is_even,slot_base_weight_mod3,slot_base_weight_mod5,slot_base_weight_mod7,slot_base_weight_mod10,slot_m1,slot_m1_abs_log1p,slot_m1_is_even,slot_m1_mod3,slot_m1_mod5,slot_m1_mod7,slot_m1_mod10,slot_frac_num,slot_frac_num_abs_log1p,slot_frac_num_is_even,slot_frac_num_mod3,slot_frac_num_mod5,slot_frac_num_mod7,slot_frac_num_mod10,slot_frac_den,slot_frac_den_abs_log1p,slot_frac_den_is_even,slot_frac_den_mod3,slot_frac_den_mod5,slot_frac_den_mod7,slot_frac_den_mod10,slot_m3,slot_m3_abs_log1p,slot_m3_is_even,slot_m3_mod3,slot_m3_mod5,slot_m3_mod7,slot_m3_mod10,slot_unit,gcd_all,n_multiple_pairs,y
0,0,0,0,0,162,5.093750200806762,1,0,2,1,2,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,0,1,4,6750.0
1,1,1,1,1,24,3.2188758248682006,1,0,4,3,4,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,38,3.6635616461296463,1,2,3,3,8,1,1,1,2660.0
2,0,2,2,2,30,3.4339872044851463,1,0,0,2,0,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,45,3.828641396489095,0,0,0,3,5,0,1,4,7200.0
3,2,2,1,3,72,4.290459441148391,1,0,2,2,2,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,49,3.912023005428146,0,1,4,0,9,2,1,4,12348.0
4,3,3,3,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,43,3.784189633918261,0,1,3,1,3,0,1,7,172.0
2,4,0,2,4,44,3.8066624897703196,1,2,4,2,4,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,52,3.970291913552122,1,1,2,3,2,3,1,3,1248.0
2,1,4,4,3,95,4.564348191467836,0,2,0,4,5,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,48,3.8918202981106265,1,0,3,6,8,2,1,4,7296.0
5,5,3,1,2,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,46,3.8501476017100584,1,1,1,4,6,0,2,7,1840.0
2,4,2,5,5,224,5.41610040220442,1,2,4,0,4,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,26,3.295836866004329,1,2,1,5,6,1,1,7,5824.0
0,3,0,5,4,58,4.07753744390572,1,1,3,2,8,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,30,3.4339872044851463,1,0,0,2,0,0,1,4,7830.0
5,4,5,2,2,145,4.983606621708336,0,1,0,5,5,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,38,3.6635616461296463,1,2,3,3,8,0,1,1,17632.0
