slot_person,slot_place,slot_unit,slot_day1,slot_day2,slot_day3,slot_base_amount,slot_base_amount_abs_log1p,slot_base_amount_is_even,slot_base_amount_mod3,slot_base_amount_mod5,slot_base_amount_mod7,slot_base_amount_mod10,slot_mult_day2,slot_mult_day2_abs_log1p,slot_mult_day2_is_even,slot_mult_day2_mod3,slot_mult_day2_mod5,slot_mult_day2_mod7,slot_mult_day2_mod10,slot_mult_day3,slot_mult_day3_abs_log1p,slot_mult_day3_is_even,slot_mult_day3_mod3,slot_mult_day3_mod5,slot_mult_day3_mod7,slot_mult_day3_mod10,slot_initial_total,slot_initial_total_abs_log1p,slot_initial_total_is_even,slot_initial_total_mod3,slot_initial_total_mod5,slot_initial_total_mod7,slot_initial_total_mod10,gcd_all,n_multiple_pairs,y
0,0,0,0,0,0,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,68,4.23410650459726,1,2,3,5,8,1,2,20.0
1,1,1,0,0,0,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,359,5.886104031450156,0,2,4,2,9,1,0,23.0
1,2,0,1,1,1,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,92,4.532599493153256,1,2,2,1,2,1,1,7.0
2,3,2,2,2,2,19,2.995732273553991,0,1,4,5,9,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,198,5.293304824724492,1,0,3,2,8,1,2,8.0
2,2,3,3,3,3,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,105,4.663439094112067,0,0,0,0,5,1,2,1.0
3,2,0,4,4,4,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,85,4.454347296253507,0,1,0,1,5,1,2,20.0
4,4,3,3,3,3,19,2.995732273553991,0,1,4,5,9,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,288,5.666426688112432,1,0,3,1,8,1,1,41.0
0,5,2,3,3,3,18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,237,5.472270673671475,0,0,2,6,7,1,2,3.0
2,2,4,0,0,0,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,108,4.6913478822291435,1,0,3,3,8,1,3,31.0
3,1,4,2,2,2,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,145,4.983606621708336,0,1,0,5,5,1,2,37.0
1,6,4,1,1,1,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,63,4.1588830833596715,0,0,3,0,3,1,2,42.0
5,7,3,3,3,3,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,132,4.890349128221754,1,0,2,6,2,1,1,15.0
5,7,0,3,3,3,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,431,6.068425588244111,0,2,1,4,1,1,1,32.0
0,1,0,0,0,0,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,99,4.605170185988092,0,0,4,1,9,1,0,8.0
6,2,0,0,0,0,19,2.995732273553991,0,1,4,5,9,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,226,5.424950017481403,1,1,1,2,6,1,1,36.0
5,4,4,3,3,3,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,79,4.382026634673881,0,1,4,2,9,1,1,2.0
