slot_person,slot_object,slot_length,slot_length_abs_log1p,slot_length_is_even,slot_length_mod3,slot_length_mod5,slot_length_mod7,slot_length_mod10,slot_width,slot_width_abs_log1p,slot_width_is_even,slot_width_mod3,slot_width_mod5,slot_width_mod7,slot_width_mod10,slot_depth,slot_depth_abs_log1p,slot_depth_is_even,slot_depth_mod3,slot_depth_mod5,slot_depth_mod7,slot_depth_mod10,slot_time_per_cubic,slot_time_per_cubic_abs_log1p,slot_time_per_cubic_is_even,slot_time_per_cubic_mod3,slot_time_per_cubic_mod5,slot_time_per_cubic_mod7,slot_time_per_cubic_mod10,slot_length_unit,slot_time_unit,gcd_all,n_multiple_pairs,y
0,0,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,0,0,1,1,1260.0
1,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,1,0,1,3,768.0
2,1,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,1,1,2,300.0
1,2,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,0,2,2,3,1728.0
3,2,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,1,0,1,1,960.0
4,3,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,1,2,4,288.0
5,4,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,0,0,1,6,16.0
6,2,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,1,0,1,1,1008.0
0,2,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,0,0,1,3,324.0
1,0,11,2.4849066497880004,0,2,1,4,1,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,2,0,1,1,1650.0
7,3,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,0,1,1,3,360.0
7,4,8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,2,0,1,3,1792.0
