slot_person_name,slot_base_monthly_salary,slot_base_monthly_salary_abs_log1p,slot_base_monthly_salary_mod3,slot_base_monthly_salary_mod7,slot_raise_percent,slot_raise_percent_abs_log1p,slot_raise_percent_is_even,slot_raise_percent_mod3,slot_raise_percent_mod5,slot_raise_percent_mod7,slot_raise_percent_mod10,slot_bonus_months_num,slot_bonus_months_num_abs_log1p,slot_bonus_months_num_is_even,slot_bonus_months_num_mod3,slot_bonus_months_num_mod5,slot_bonus_months_num_mod7,slot_bonus_months_num_mod10,slot_bonus_months_den,slot_bonus_months_den_abs_log1p,slot_bonus_months_den_mod3,slot_bonus_months_den_mod5,slot_bonus_months_den_mod7,slot_bonus_months_den_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
0,50000,10.819798284210286,2,6,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,4,4,4,0,1,3,707625.0
1,23200,10.05195066017375,1,2,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,4,4,4,1,1,3,328338.0
2,43200,10.673618922112436,0,3,19,2.995732273553991,0,1,4,5,9,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,2,2,2,2,2,1,5,694008.0
3,45600,10.727684925086583,0,2,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,0,2,10,581400.0
0,6400,8.764209507142004,1,2,19,2.995732273553991,0,1,4,5,9,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,2,2,2,2,1,1,3,102816.0
2,49200,10.803669227477098,0,4,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,4,4,4,3,1,10,608727.0
2,36800,10.513280297700861,2,1,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,2,1,9,478400.0
3,18400,9.820160289946374,1,4,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,1,2,8,257600.0
3,28000,10.239995502805316,1,0,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,4,4,4,0,1,7,360150.0
4,6000,8.699681400989514,0,1,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,4,4,4,3,1,8,80850.0
5,48000,10.778977123006351,0,1,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,2,2,2,2,0,1,9,654480.0
1,27200,10.211009016314167,2,5,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,1,2,7,374000.0
1,9200,9.127067452782361,2,2,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,4,2,9,117300.0
0,4000,8.294299608857235,1,3,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,2,2,2,2,3,1,6,60480.0
5,40400,10.606609816118151,2,3,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,3,2,6,595900.0
2,14400,9.575052927597383,0,1,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,1,1,8,189000.0
6,34000,10.434145214930487,1,1,20,3.044522437723423,1,2,0,6,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,4,1,8,510000.0
1,16000,9.680406499268875,1,5,11,2.4849066497880004,0,2,1,4,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,4,4,4,4,1,6,217560.0
3,14000,9.546884034617925,2,0,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,1,1,7,183750.0
2,44800,10.709985739582528,1,0,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,2,2,2,2,0,1,4,695520.0
2,24800,10.118639253920785,2,6,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,3,1,7,319300.0
7,43600,10.682835364853922,1,4,13,2.6390573296152584,0,1,3,6,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,1,1,6,615850.0
4,30800,10.335302435967074,2,0,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,4,1,6,404250.0
0,34000,10.434145214930487,1,1,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,3,1,9,433500.0
8,18000,9.798182590890704,0,3,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,2,2,2,2,3,1,8,252720.0
6,32800,10.39821428171237,1,5,12,2.5649493574615367,1,0,2,5,2,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,4,4,4,0,1,8,450016.0
9,10000,9.210440366976517,1,4,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,4,1,8,135000.0
7,38400,10.555838779903407,0,5,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,4,4,4,2,1,9,508032.0
2,31600,10.360944044643913,1,2,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,0,1,6,414750.0
5,43200,10.673618922112436,0,3,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,1,1,10,561600.0
0,25600,10.150386692204734,1,1,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,1,1,7,336000.0
3,41600,10.635879484421974,2,6,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,2,2,2,2,3,1,4,612144.0
4,22800,10.034559673629849,0,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,2,2,2,2,4,1,8,313956.0
6,17200,9.75272280064639,1,1,16,2.833213344056216,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,2,2,2,2,1,2,8,259376.0
1,37600,10.534785924769006,1,3,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,4,4,4,2,1,5,575280.0
2,11200,9.32375833901174,1,0,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,2,2,2,2,4,1,5,158704.0
0,4000,8.294299608857235,1,3,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,4,1,6,51500.0
2,26800,10.196194479235656,1,4,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,2,2,2,2,2,1,7,365418.0
3,36400,10.502351525774941,1,0,19,2.995732273553991,0,1,4,5,9,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,3,1,6,541450.0
