slot_buyer_name,slot_item1_name,slot_item2_name,slot_item3_name,slot_n_item1,slot_n_item1_abs_log1p,slot_n_item1_is_even,slot_n_item1_mod3,slot_n_item1_mod5,slot_n_item1_mod7,slot_n_item1_mod10,slot_n_item2,slot_n_item2_abs_log1p,slot_n_item2_is_even,slot_n_item2_mod3,slot_n_item2_mod5,slot_n_item2_mod7,slot_n_item2_mod10,slot_item3_per_item1,slot_item3_per_item1_abs_log1p,slot_item3_per_item1_is_even,slot_item3_per_item1_mod3,slot_item3_per_item1_mod5,slot_item3_per_item1_mod7,slot_item3_per_item1_mod10,slot_cost_item1,slot_cost_item1_abs_log1p,slot_cost_item1_mod3,slot_cost_item1_mod7,slot_ratio_num,slot_ratio_num_abs_log1p,slot_ratio_num_is_even,slot_ratio_num_mod3,slot_ratio_num_mod5,slot_ratio_num_mod7,slot_ratio_num_mod10,slot_ratio_den,slot_ratio_den_abs_log1p,slot_ratio_den_is_even,slot_ratio_den_mod3,slot_ratio_den_mod5,slot_ratio_den_mod7,slot_ratio_den_mod10,slot_cost_item3,slot_cost_item3_abs_log1p,slot_cost_item3_is_even,slot_cost_item3_mod3,slot_cost_item3_mod7,slot_cost_item3_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
0,0,0,0,21,3.091042453358316,0,0,1,0,1,20,3.044522437723423,1,2,0,6,0,1,0.6931471805599453,0,1,1,1,1,2100,7.650168700845001,0,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,220,5.3981627015177525,1,1,3,0,0,1,14,76720.0
0,1,1,1,20,3.044522437723423,1,2,0,6,0,25,3.258096538021482,0,1,0,4,5,1,0.6931471805599453,0,1,1,1,1,2960,7.993282328101591,2,6,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,75,4.330733340286331,0,0,5,5,0,1,9,125450.0
1,1,1,1,30,3.4339872044851463,1,0,0,2,0,24,3.2188758248682006,1,0,4,3,4,1,0.6931471805599453,0,1,1,1,1,3440,8.14351740579748,2,3,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,270,5.602118820879701,1,0,4,0,1,1,9,183540.0
2,2,2,2,28,3.367295829986474,1,1,3,0,8,27,3.332204510175204,0,0,2,6,7,2,1.0986122886681098,1,2,2,2,2,3400,8.131824785007195,1,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,140,4.948759890378168,1,2,0,0,1,1,14,148940.0
3,0,0,0,9,2.302585092994046,0,0,4,2,9,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,11000,9.305741456739435,2,3,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,270,5.602118820879701,1,0,4,0,1,1,6,210150.0
4,3,3,3,26,3.295836866004329,1,2,1,5,6,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,0,5,5,6200,8.732465848349879,2,5,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,390,5.968707559985366,1,0,5,0,0,1,5,290950.0
5,1,1,1,4,1.6094379124341003,1,1,4,4,4,24,3.2188758248682006,1,0,4,3,4,3,1.3862943611198906,0,0,3,3,3,6000,8.699681400989514,0,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,190,5.25227342804663,1,1,1,0,0,1,12,122280.0
6,1,1,1,28,3.367295829986474,1,1,3,0,8,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,11600,9.358846580275406,2,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,4,5,2,1,12,368900.0
7,0,0,0,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,3300,8.101980731853192,0,3,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,120,4.795790545596741,1,0,1,0,2,1,10,45740.0
7,3,3,3,6,1.9459101490553132,1,0,1,6,6,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,8200,9.012011377036412,1,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,145,4.983606621708336,0,1,5,5,2,1,12,118280.0
1,4,4,4,4,1.6094379124341003,1,1,4,4,4,24,3.2188758248682006,1,0,4,3,4,3,1.3862943611198906,0,0,3,3,3,25900,10.16203685698089,1,0,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,200,5.303304908059076,1,2,4,0,1,1,7,550000.0
7,5,5,5,25,3.258096538021482,0,1,0,4,5,29,3.4011973816621555,0,2,4,1,9,2,1.0986122886681098,1,2,2,2,2,1080,6.985641817639208,0,2,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,80,4.394449154672439,1,2,3,0,0,1,9,38830.0
3,2,2,2,6,1.9459101490553132,1,0,1,6,6,25,3.258096538021482,0,1,0,4,5,2,1.0986122886681098,1,2,2,2,2,2960,7.993282328101591,2,6,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,85,4.454347296253507,0,1,1,5,1,1,10,37280.0
0,0,0,0,7,2.0794415416798357,0,1,2,0,7,24,3.2188758248682006,1,0,4,3,4,6,1.9459101490553132,1,0,1,6,6,3600,8.188966863648876,0,2,7,2.0794415416798357,0,1,2,0,7,9,2.302585092994046,0,0,4,2,9,90,4.51085950651685,1,0,6,0,1,1,8,96180.0
8,2,2,2,21,3.091042453358316,0,0,1,0,1,23,3.1780538303479458,0,2,3,2,3,5,1.791759469228055,0,2,0,5,5,1520,7.327123292259293,2,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,180,5.198497031265826,1,0,5,0,0,1,10,68300.0
6,3,3,3,19,2.995732273553991,0,1,4,5,9,13,2.6390573296152584,0,1,3,6,3,6,1.9459101490553132,1,0,1,6,6,5200,8.556606193773073,1,6,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,75,4.330733340286331,0,0,5,5,0,1,4,149600.0
7,5,5,5,6,1.9459101490553132,1,0,1,6,6,20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,1680,7.427144133408616,0,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,85,4.454347296253507,0,1,1,5,1,1,11,33500.0
1,3,3,3,28,3.367295829986474,1,1,3,0,8,30,3.4339872044851463,1,0,0,2,0,3,1.3862943611198906,0,0,3,3,3,2000,7.601402334583733,2,5,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,210,5.351858133476067,1,0,0,0,1,1,8,121640.0
3,5,5,5,23,3.1780538303479458,0,2,3,2,3,26,3.295836866004329,1,2,1,5,6,1,0.6931471805599453,0,1,1,1,1,6800,8.824824939175638,2,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,55,4.02535169073515,0,1,6,5,1,1,13,246065.0
0,3,3,3,23,3.1780538303479458,0,2,3,2,3,13,2.6390573296152584,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,10800,9.287394001418473,0,6,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,270,5.602118820879701,1,0,4,0,2,1,7,323220.0
1,2,2,2,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,3240,8.083637203141548,0,6,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,400,5.993961427306569,1,1,1,0,2,1,13,22120.0
0,2,2,2,29,3.4011973816621555,0,2,4,1,9,25,3.258096538021482,0,1,0,4,5,6,1.9459101490553132,1,0,1,6,6,6600,8.79497643168877,0,6,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,185,5.225746673713202,0,2,3,5,3,1,6,264840.0
4,4,4,4,3,1.3862943611198906,0,0,3,3,3,14,2.70805020110221,1,2,4,0,4,6,1.9459101490553132,1,0,1,6,6,17150,9.749811759932081,2,0,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,165,5.111987788356544,0,0,4,5,3,1,7,225920.0
6,2,2,2,22,3.1354942159291497,1,1,2,1,2,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,3500,8.160803920954665,2,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,120,4.795790545596741,1,0,1,0,3,1,12,109450.0
9,5,5,5,15,2.772588722239781,0,0,0,1,5,26,3.295836866004329,1,2,1,5,6,2,1.0986122886681098,1,2,2,2,2,100,4.61512051684126,1,2,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,360,5.8888779583328805,1,0,3,0,1,1,9,13600.0
3,1,1,1,7,2.0794415416798357,0,1,2,0,7,24,3.2188758248682006,1,0,4,3,4,6,1.9459101490553132,1,0,1,6,6,6600,8.79497643168877,0,6,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,145,4.983606621708336,0,1,5,5,3,1,11,91890.0
5,3,3,3,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1440,7.273092595999522,0,5,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,30,3.4339872044851463,1,0,2,0,0,1,11,38200.0
5,5,5,5,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,7280,8.893023494394711,2,0,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,30,3.4339872044851463,1,0,2,0,2,1,10,83680.0
3,4,4,4,29,3.4011973816621555,0,2,4,1,9,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,6300,8.748463629942055,0,0,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,210,5.351858133476067,1,0,0,0,1,1,6,263060.0
8,4,4,4,13,2.6390573296152584,0,1,3,6,3,23,3.1780538303479458,0,2,3,2,3,5,1.791759469228055,0,2,0,5,5,1760,7.473637108496206,2,3,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,95,4.564348191467836,0,2,4,5,1,1,3,49295.0
9,2,2,2,13,2.6390573296152584,0,1,3,6,3,21,3.091042453358316,0,0,1,0,1,6,1.9459101490553132,1,0,1,6,6,100,4.61512051684126,1,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,270,5.602118820879701,1,0,4,0,2,1,10,23410.0
6,5,5,5,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,2,1.0986122886681098,1,2,2,2,2,5100,8.537191877922927,0,4,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,100,4.61512051684126,1,1,2,0,1,1,14,69000.0
9,4,4,4,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,20000,9.90353755128617,2,1,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,300,5.707110264748875,1,0,6,0,0,1,11,113600.0
