slot_owner_name,slot_fast_entity,slot_slow_entity,slot_ratio,slot_ratio_abs_log1p,slot_ratio_is_even,slot_ratio_mod3,slot_ratio_mod5,slot_ratio_mod7,slot_ratio_mod10,slot_fast_speed,slot_fast_speed_abs_log1p,slot_fast_speed_is_even,slot_fast_speed_mod3,slot_fast_speed_mod5,slot_fast_speed_mod7,slot_fast_speed_mod10,slot_dist_unit,slot_time_unit_singular,slot_time_unit_plural,slot_time_duration,slot_time_duration_abs_log1p,slot_time_duration_is_even,slot_time_duration_mod3,slot_time_duration_mod5,slot_time_duration_mod7,slot_time_duration_mod10,gcd_all,n_multiple_pairs,y
0,0,0,5,1.791759469228055,0,2,0,5,5,105,4.663439094112067,0,0,0,0,5,0,0,0,159,5.075173815233827,0,0,4,5,9,1,1,3339.0
1,1,1,6,1.9459101490553132,1,0,1,6,6,54,4.007333185232471,1,0,4,5,4,1,1,1,94,4.553876891600541,1,1,4,3,4,2,1,846.0
2,2,2,3,1.3862943611198906,0,0,3,3,3,69,4.248495242049359,0,0,4,6,9,2,1,1,171,5.147494476813453,0,0,1,3,1,3,2,3933.0
1,3,3,4,1.6094379124341003,1,1,4,4,4,124,4.8283137373023015,1,1,4,5,4,3,2,2,49,3.912023005428146,0,1,4,0,9,1,1,1519.0
1,4,4,7,2.0794415416798357,0,1,2,0,7,245,5.5053315359323625,0,2,0,0,5,1,0,0,140,4.948759890378168,1,2,0,0,0,7,2,4900.0
3,5,5,7,2.0794415416798357,0,1,2,0,7,35,3.58351893845611,0,2,0,0,5,4,2,2,53,3.9889840465642745,0,2,3,4,3,1,1,265.0
0,2,2,5,1.791759469228055,0,2,0,5,5,110,4.709530201312334,1,2,0,5,0,5,0,0,80,4.394449154672439,1,2,0,3,0,5,2,1760.0
4,3,3,6,1.9459101490553132,1,0,1,6,6,30,3.4339872044851463,1,0,0,2,0,3,1,1,40,3.713572066704308,1,1,0,5,0,2,1,200.0
5,4,4,9,2.302585092994046,0,0,4,2,9,315,5.755742213586912,0,0,0,0,5,3,1,1,124,4.8283137373023015,1,1,4,5,4,1,1,4340.0
6,4,4,3,1.3862943611198906,0,0,3,3,3,75,4.330733340286331,0,0,0,5,5,0,1,1,98,4.59511985013459,1,2,3,0,8,1,1,2450.0
3,2,2,4,1.6094379124341003,1,1,4,4,4,48,3.8918202981106265,1,0,3,6,8,1,1,1,67,4.219507705176107,0,1,2,4,7,1,1,804.0
5,5,5,7,2.0794415416798357,0,1,2,0,7,266,5.58724865840025,1,2,1,0,6,0,1,1,53,3.9889840465642745,0,2,3,4,3,1,1,2014.0
1,1,1,5,1.791759469228055,0,2,0,5,5,165,5.111987788356544,0,0,0,4,5,2,2,2,94,4.553876891600541,1,1,4,3,4,1,1,3102.0
3,6,6,7,2.0794415416798357,0,1,2,0,7,189,5.247024072160486,0,0,4,0,9,1,0,0,136,4.919980925828125,1,1,1,3,6,1,1,3672.0
6,7,7,5,1.791759469228055,0,2,0,5,5,85,4.454347296253507,0,1,0,1,5,4,2,2,164,5.10594547390058,1,2,4,3,4,1,1,2788.0
1,0,0,6,1.9459101490553132,1,0,1,6,6,132,4.890349128221754,1,0,2,6,2,5,2,2,151,5.0238805208462765,0,1,1,4,1,1,1,3322.0
4,6,6,9,2.302585092994046,0,0,4,2,9,54,4.007333185232471,1,0,4,5,4,1,2,2,145,4.983606621708336,0,1,0,5,5,1,1,870.0
0,0,0,4,1.6094379124341003,1,1,4,4,4,72,4.290459441148391,1,0,2,2,2,4,1,1,145,4.983606621708336,0,1,0,5,5,1,1,2610.0
0,6,6,7,2.0794415416798357,0,1,2,0,7,203,5.318119993844216,0,2,3,0,3,5,1,1,68,4.23410650459726,1,2,3,5,8,1,1,1972.0
3,1,1,4,1.6094379124341003,1,1,4,4,4,108,4.6913478822291435,1,0,3,3,8,5,2,2,82,4.418840607796598,1,1,2,5,2,2,1,2214.0
5,6,6,4,1.6094379124341003,1,1,4,4,4,48,3.8918202981106265,1,0,3,6,8,5,1,1,145,4.983606621708336,0,1,0,5,5,1,1,1740.0
4,4,4,6,1.9459101490553132,1,0,1,6,6,132,4.890349128221754,1,0,2,6,2,5,2,2,176,5.176149732573829,1,2,1,1,6,2,1,3872.0
1,0,0,2,1.0986122886681098,1,2,2,2,2,60,4.110873864173311,1,0,0,4,0,0,2,2,115,4.7535901911063645,0,1,0,3,5,1,1,3450.0
6,7,7,9,2.302585092994046,0,0,4,2,9,225,5.420534999272286,0,0,0,1,5,3,2,2,106,4.672828834461906,1,1,1,1,6,1,1,2650.0
7,3,3,5,1.791759469228055,0,2,0,5,5,180,5.198497031265826,1,0,0,5,0,5,1,1,53,3.9889840465642745,0,2,3,4,3,1,1,1908.0
8,3,3,3,1.3862943611198906,0,0,3,3,3,45,3.828641396489095,0,0,0,3,5,5,2,2,138,4.9344739331306915,1,0,3,5,8,3,2,2070.0
3,8,8,6,1.9459101490553132,1,0,1,6,6,48,3.8918202981106265,1,0,3,6,8,3,1,1,21,3.091042453358316,0,0,1,0,1,3,1,168.0
3,3,3,3,1.3862943611198906,0,0,3,3,3,93,4.543294782270004,0,0,3,2,3,3,1,1,76,4.343805421853684,1,1,1,6,6,1,1,2356.0
8,4,4,5,1.791759469228055,0,2,0,5,5,65,4.189654742026425,0,2,0,2,5,0,0,0,167,5.123963979403259,0,2,2,6,7,1,1,2171.0
2,2,2,9,2.302585092994046,0,0,4,2,9,99,4.605170185988092,0,0,4,1,9,3,1,1,168,5.1298987149230735,1,0,3,0,8,3,1,1848.0
4,4,4,9,2.302585092994046,0,0,4,2,9,117,4.770684624465665,0,0,2,5,7,4,2,2,112,4.727387818712341,1,1,2,0,2,1,1,1456.0
