slot_person,slot_qty1,slot_qty1_abs_log1p,slot_qty1_is_even,slot_qty1_mod3,slot_qty1_mod5,slot_qty1_mod7,slot_qty1_mod10,slot_brand1,slot_qty2,slot_qty2_abs_log1p,slot_qty2_is_even,slot_qty2_mod3,slot_qty2_mod5,slot_qty2_mod7,slot_qty2_mod10,slot_brand2,slot_last_week_qty,slot_last_week_qty_abs_log1p,slot_last_week_qty_is_even,slot_last_week_qty_mod3,slot_last_week_qty_mod5,slot_last_week_qty_mod7,slot_last_week_qty_mod10,slot_unit,slot_category,gcd_all,n_multiple_pairs,y
0,6,1.9459101490553132,1,0,1,6,6,0,12,2.5649493574615367,1,0,2,5,2,0,10,2.3978952727983707,1,1,0,3,0,0,0,2,1,8.0
1,12,2.5649493574615367,1,0,2,5,2,1,5,1.791759469228055,0,2,0,5,5,1,13,2.6390573296152584,0,1,3,6,3,1,1,1,0,4.0
2,19,2.995732273553991,0,1,4,5,9,2,18,2.9444389791664403,1,0,3,4,8,2,18,2.9444389791664403,1,0,3,4,8,2,1,1,1,19.0
0,10,2.3978952727983707,1,1,0,3,0,3,5,1.791759469228055,0,2,0,5,5,3,9,2.302585092994046,0,0,4,2,9,3,2,1,1,6.0
3,6,1.9459101490553132,1,0,1,6,6,4,6,1.9459101490553132,1,0,1,6,6,4,11,2.4849066497880004,0,2,1,4,1,3,2,1,1,1.0
4,8,2.1972245773362196,1,2,3,1,8,5,2,1.0986122886681098,1,2,2,2,2,5,4,1.6094379124341003,1,1,4,4,4,3,3,2,3,6.0
2,11,2.4849066497880004,0,2,1,4,1,3,14,2.70805020110221,1,2,4,0,4,6,22,3.1354942159291497,1,1,2,1,2,3,2,1,1,3.0
5,7,2.0794415416798357,0,1,2,0,7,6,11,2.4849066497880004,0,2,1,4,1,7,17,2.8903717578961645,0,2,2,3,7,3,4,1,0,1.0
0,9,2.302585092994046,0,0,4,2,9,7,6,1.9459101490553132,1,0,1,6,6,8,2,1.0986122886681098,1,2,2,2,2,0,5,1,1,13.0
4,12,2.5649493574615367,1,0,2,5,2,8,14,2.70805020110221,1,2,4,0,4,9,22,3.1354942159291497,1,1,2,1,2,3,3,2,0,4.0
