slot_person_name,slot_item_plural,slot_target_color,slot_other_color,slot_shade_a,slot_shade_b,slot_target_count_a,slot_target_count_a_abs_log1p,slot_target_count_a_is_even,slot_target_count_a_mod3,slot_target_count_a_mod5,slot_target_count_a_mod7,slot_target_count_a_mod10,slot_target_count_b,slot_target_count_b_abs_log1p,slot_target_count_b_is_even,slot_target_count_b_mod3,slot_target_count_b_mod5,slot_target_count_b_mod7,slot_target_count_b_mod10,slot_other_count_a,slot_other_count_a_abs_log1p,slot_other_count_a_is_even,slot_other_count_a_mod3,slot_other_count_a_mod5,slot_other_count_a_mod7,slot_other_count_a_mod10,slot_other_count_b,slot_other_count_b_abs_log1p,slot_other_count_b_is_even,slot_other_count_b_mod3,slot_other_count_b_mod5,slot_other_count_b_mod7,slot_other_count_b_mod10,gcd_all,n_multiple_pairs,y
0,0,0,0,0,0,20,3.044522437723423,1,2,0,6,0,32,3.4965075614664802,1,2,2,4,2,44,3.8066624897703196,1,2,4,2,4,8,2.1972245773362196,1,2,3,1,8,4,1,50.0
0,1,1,1,1,1,74,4.31748811353631,1,2,4,4,4,64,4.174387269895637,1,1,4,1,4,116,4.762173934797756,1,2,1,4,6,22,3.1354942159291497,1,1,2,1,2,2,0,50.0
0,2,2,2,0,0,114,4.74493212836325,1,0,4,2,4,3,1.3862943611198906,0,0,3,3,3,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,1,2,90.0
1,3,3,3,2,0,5,1.791759469228055,0,2,0,5,5,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,2,70.0
2,4,4,2,3,2,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,37,3.6375861597263857,0,1,2,2,7,89,4.499809670330265,0,2,4,5,9,1,1,25.0
3,5,2,4,4,3,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,56,4.04305126783455,1,2,1,0,6,35,3.58351893845611,0,2,0,0,5,1,4,9.0
0,2,0,5,0,4,52,3.970291913552122,1,1,2,3,2,52,3.970291913552122,1,1,2,3,2,130,4.875197323201151,1,1,0,4,0,26,3.295836866004329,1,2,1,5,6,26,4,40.0
2,6,3,5,5,5,145,4.983606621708336,0,1,0,5,5,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,0,5,5,49,3.912023005428146,0,1,4,0,9,1,1,75.0
4,0,5,0,5,6,21,3.091042453358316,0,0,1,0,1,63,4.1588830833596715,0,0,3,0,3,8,2.1972245773362196,1,2,3,1,8,20,3.044522437723423,1,2,0,6,0,1,1,75.0
2,1,6,0,6,3,32,3.4965075614664802,1,2,2,4,2,32,3.4965075614664802,1,2,2,4,2,55,4.02535169073515,0,1,0,6,5,9,2.302585092994046,0,0,4,2,9,1,1,50.0
2,5,3,0,3,5,33,3.5263605246161616,0,0,3,5,3,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,1,1,80.0
4,2,0,6,0,6,21,3.091042453358316,0,0,1,0,1,35,3.58351893845611,0,2,0,0,5,21,3.091042453358316,0,0,1,0,1,35,3.58351893845611,0,2,0,0,5,7,2,50.0
5,7,4,7,5,6,98,4.59511985013459,1,2,3,0,8,43,3.784189633918261,0,1,3,1,3,25,3.258096538021482,0,1,0,4,5,116,4.762173934797756,1,2,1,4,6,1,0,50.0
6,1,2,1,7,7,60,4.110873864173311,1,0,0,4,0,19,2.995732273553991,0,1,4,5,9,41,3.7376696182833684,0,2,1,6,1,38,3.6635616461296463,1,2,3,3,8,1,1,50.0
7,7,2,0,6,8,1,0.6931471805599453,0,1,1,1,1,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,10,2.3978952727983707,1,1,0,3,0,1,6,50.0
6,5,0,0,2,8,43,3.784189633918261,0,1,3,1,3,31,3.4657359027997265,0,1,1,3,1,160,5.081404364984463,1,1,0,6,0,62,4.143134726391533,1,2,2,6,2,1,1,25.0
3,1,4,1,8,3,33,3.5263605246161616,0,0,3,5,3,116,4.762173934797756,1,2,1,4,6,146,4.990432586778736,1,2,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,1,50.0
0,4,3,3,5,7,35,3.58351893845611,0,2,0,0,5,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,1,80.0
1,7,3,5,9,0,12,2.5649493574615367,1,0,2,5,2,54,4.007333185232471,1,0,4,5,4,78,4.3694478524670215,1,0,3,1,8,21,3.091042453358316,0,0,1,0,1,3,0,40.0
1,6,7,6,0,4,12,2.5649493574615367,1,0,2,5,2,131,4.882801922586371,0,2,1,5,1,11,2.4849066497880004,0,2,1,4,1,132,4.890349128221754,1,0,2,6,2,1,2,50.0
3,6,7,7,1,2,3,1.3862943611198906,0,0,3,3,3,140,4.948759890378168,1,2,0,0,0,67,4.219507705176107,0,1,2,4,7,76,4.343805421853684,1,1,1,6,6,1,0,50.0
4,6,6,8,8,7,33,3.5263605246161616,0,0,3,5,3,14,2.70805020110221,1,2,4,0,4,44,3.8066624897703196,1,2,4,2,4,3,1.3862943611198906,0,0,3,3,3,1,1,50.0
8,8,4,2,4,0,65,4.189654742026425,0,2,0,2,5,58,4.07753744390572,1,1,3,2,8,1,0.6931471805599453,0,1,1,1,1,40,3.713572066704308,1,1,0,5,0,1,3,75.0
9,6,4,6,8,8,15,2.772588722239781,0,0,0,1,5,56,4.04305126783455,1,2,1,0,6,37,3.6375861597263857,0,1,2,2,7,34,3.5553480614894135,1,1,4,6,4,1,0,50.0
2,4,2,2,4,4,12,2.5649493574615367,1,0,2,5,2,16,2.833213344056216,1,1,1,2,6,78,4.3694478524670215,1,0,3,1,8,6,1.9459101490553132,1,0,1,6,6,2,2,25.0
5,7,8,1,5,0,41,3.7376696182833684,0,2,1,6,1,2,1.0986122886681098,1,2,2,2,2,19,2.995732273553991,0,1,4,5,9,24,3.2188758248682006,1,0,4,3,4,1,1,50.0
0,6,3,5,1,2,4,1.6094379124341003,1,1,4,4,4,13,2.6390573296152584,0,1,3,6,3,7,2.0794415416798357,0,1,2,0,7,10,2.3978952727983707,1,1,0,3,0,1,0,50.0
