slot_person,slot_equal_item1,slot_equal_item2,slot_equal_weight,slot_equal_weight_abs_log1p,slot_equal_weight_is_even,slot_equal_weight_mod3,slot_equal_weight_mod5,slot_equal_weight_mod7,slot_equal_weight_mod10,slot_other_subject,slot_other_weight,slot_other_weight_abs_log1p,slot_other_weight_is_even,slot_other_weight_mod3,slot_other_weight_mod5,slot_other_weight_mod7,slot_other_weight_mod10,slot_base_subject,slot_base_weight,slot_base_weight_abs_log1p,slot_base_weight_is_even,slot_base_weight_mod3,slot_base_weight_mod5,slot_base_weight_mod7,slot_base_weight_mod10,slot_multiplied_subject,slot_multiplier,slot_multiplier_abs_log1p,slot_multiplier_is_even,slot_multiplier_mod3,slot_multiplier_mod5,slot_multiplier_mod7,slot_multiplier_mod10,slot_unit,gcd_all,n_multiple_pairs,y
0,0,0,1,0.6931471805599453,0,1,1,1,1,0,4,1.6094379124341003,1,1,4,4,4,0,3,1.3862943611198906,0,0,3,3,3,0,2,1.0986122886681098,1,2,2,2,2,0,1,4,15.0
1,0,0,3,1.3862943611198906,0,0,3,3,3,1,6,1.9459101490553132,1,0,1,6,6,0,2,1.0986122886681098,1,2,2,2,2,1,4,1.6094379124341003,1,1,4,4,4,0,1,3,22.0
1,1,1,3,1.3862943611198906,0,0,3,3,3,2,2,1.0986122886681098,1,2,2,2,2,1,5,1.791759469228055,0,2,0,5,5,2,2,1.0986122886681098,1,2,2,2,2,1,1,1,23.0
2,2,0,3,1.3862943611198906,0,0,3,3,3,2,7,2.0794415416798357,0,1,2,0,7,2,5,1.791759469228055,0,2,0,5,5,0,4,1.6094379124341003,1,1,4,4,4,1,1,0,38.0
0,1,1,3,1.3862943611198906,0,0,3,3,3,0,4,1.6094379124341003,1,1,4,4,4,3,2,1.0986122886681098,1,2,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,0,1,3,20.0
3,3,1,3,1.3862943611198906,0,0,3,3,3,2,7,2.0794415416798357,0,1,2,0,7,4,5,1.791759469228055,0,2,0,5,5,0,3,1.3862943611198906,0,0,3,3,3,1,1,1,33.0
4,4,2,6,1.9459101490553132,1,0,1,6,6,3,2,1.0986122886681098,1,2,2,2,2,1,6,1.9459101490553132,1,0,1,6,6,3,2,1.0986122886681098,1,2,2,2,2,1,2,6,32.0
5,5,1,1,0.6931471805599453,0,1,1,1,1,0,8,2.1972245773362196,1,2,3,1,8,3,5,1.791759469228055,0,2,0,5,5,4,2,1.0986122886681098,1,2,2,2,2,1,1,4,25.0
5,0,1,2,1.0986122886681098,1,2,2,2,2,4,5,1.791759469228055,0,2,0,5,5,2,5,1.791759469228055,0,2,0,5,5,4,4,1.6094379124341003,1,1,4,4,4,0,1,2,34.0
2,3,2,4,1.6094379124341003,1,1,4,4,4,0,4,1.6094379124341003,1,1,4,4,4,1,4,1.6094379124341003,1,1,4,4,4,5,3,1.3862943611198906,0,0,3,3,3,0,1,3,28.0
6,6,3,4,1.6094379124341003,1,1,4,4,4,5,2,1.0986122886681098,1,2,2,2,2,4,6,1.9459101490553132,1,0,1,6,6,3,3,1.3862943611198906,0,0,3,3,3,1,1,3,34.0
6,6,3,3,1.3862943611198906,0,0,3,3,3,5,5,1.791759469228055,0,2,0,5,5,1,6,1.9459101490553132,1,0,1,6,6,2,3,1.3862943611198906,0,0,3,3,3,1,1,3,35.0
3,1,3,3,1.3862943611198906,0,0,3,3,3,5,6,1.9459101490553132,1,0,1,6,6,4,1,0.6931471805599453,0,1,1,1,1,0,2,1.0986122886681098,1,2,2,2,2,0,1,5,15.0
2,5,1,2,1.0986122886681098,1,2,2,2,2,4,6,1.9459101490553132,1,0,1,6,6,4,4,1.6094379124341003,1,1,4,4,4,2,3,1.3862943611198906,0,0,3,3,3,0,1,3,26.0
6,3,2,4,1.6094379124341003,1,1,4,4,4,5,5,1.791759469228055,0,2,0,5,5,3,6,1.9459101490553132,1,0,1,6,6,1,2,1.0986122886681098,1,2,2,2,2,1,1,2,31.0
1,4,0,5,1.791759469228055,0,2,0,5,5,4,2,1.0986122886681098,1,2,2,2,2,0,1,0.6931471805599453,0,1,1,1,1,0,4,1.6094379124341003,1,1,4,4,4,1,1,4,17.0
6,1,4,5,1.791759469228055,0,2,0,5,5,5,4,1.6094379124341003,1,1,4,4,4,1,4,1.6094379124341003,1,1,4,4,4,4,4,1.6094379124341003,1,1,4,4,4,0,1,3,34.0
1,1,1,2,1.0986122886681098,1,2,2,2,2,0,3,1.3862943611198906,0,0,3,3,3,0,6,1.9459101490553132,1,0,1,6,6,3,3,1.3862943611198906,0,0,3,3,3,0,1,4,31.0
6,4,5,1,0.6931471805599453,0,1,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,2,5,1.791759469228055,0,2,0,5,5,4,4,1.6094379124341003,1,1,4,4,4,1,1,4,29.0
1,5,5,5,1.791759469228055,0,2,0,5,5,5,8,2.1972245773362196,1,2,3,1,8,4,3,1.3862943611198906,0,0,3,3,3,2,3,1.3862943611198906,0,0,3,3,3,0,1,1,30.0
4,3,1,3,1.3862943611198906,0,0,3,3,3,4,8,2.1972245773362196,1,2,3,1,8,3,3,1.3862943611198906,0,0,3,3,3,3,2,1.0986122886681098,1,2,2,2,2,0,1,2,23.0
2,2,5,6,1.9459101490553132,1,0,1,6,6,4,3,1.3862943611198906,0,0,3,3,3,2,3,1.3862943611198906,0,0,3,3,3,0,2,1.0986122886681098,1,2,2,2,2,1,1,4,24.0
2,2,4,6,1.9459101490553132,1,0,1,6,6,1,8,2.1972245773362196,1,2,3,1,8,2,1,0.6931471805599453,0,1,1,1,1,2,3,1.3862943611198906,0,0,3,3,3,0,1,4,24.0
7,4,3,5,1.791759469228055,0,2,0,5,5,5,5,1.791759469228055,0,2,0,5,5,4,2,1.0986122886681098,1,2,2,2,2,0,4,1.6094379124341003,1,1,4,4,4,1,1,2,25.0
4,0,5,5,1.791759469228055,0,2,0,5,5,0,2,1.0986122886681098,1,2,2,2,2,4,1,0.6931471805599453,0,1,1,1,1,2,3,1.3862943611198906,0,0,3,3,3,1,1,3,16.0
2,3,4,3,1.3862943611198906,0,0,3,3,3,0,4,1.6094379124341003,1,1,4,4,4,3,2,1.0986122886681098,1,2,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,0,1,2,18.0
