slot_items_per_container,slot_items_per_container_abs_log1p,slot_items_per_container_is_even,slot_items_per_container_mod3,slot_items_per_container_mod5,slot_items_per_container_mod7,slot_items_per_container_mod10,slot_num_containers,slot_num_containers_abs_log1p,slot_num_containers_is_even,slot_num_containers_mod3,slot_num_containers_mod5,slot_num_containers_mod7,slot_num_containers_mod10,slot_duration_per_item,slot_duration_per_item_abs_log1p,slot_duration_per_item_is_even,slot_duration_per_item_mod3,slot_duration_per_item_mod5,slot_duration_per_item_mod7,slot_duration_per_item_mod10,slot_time_unit,slot_person_name,slot_item_noun_plural,slot_container_noun_singular,slot_container_noun_plural,gcd_all,n_multiple_pairs,y
768,6.645090969505644,1,0,3,5,8,12,2.5649493574615367,1,0,2,5,2,8,2.1972245773362196,1,2,3,1,8,0,0,0,0,0,4,2,73728.0
537,6.2878585601617845,0,0,2,5,7,22,3.1354942159291497,1,1,2,1,2,2,1.0986122886681098,1,2,2,2,2,0,1,1,1,1,1,1,23628.0
565,6.338594078203183,0,1,0,5,5,34,3.5553480614894135,1,1,4,6,4,2,1.0986122886681098,1,2,2,2,2,0,2,2,2,2,1,1,38420.0
611,6.416732282512326,0,2,1,2,1,53,3.9889840465642745,0,2,3,4,3,5,1.791759469228055,0,2,0,5,5,0,3,3,3,3,1,0,161915.0
293,5.683579767338681,0,2,3,6,3,44,3.8066624897703196,1,2,4,2,4,4,1.6094379124341003,1,1,4,4,4,0,1,2,4,4,1,1,51568.0
74,4.31748811353631,1,2,4,4,4,26,3.295836866004329,1,2,1,5,6,8,2.1972245773362196,1,2,3,1,8,0,4,3,5,5,2,0,15392.0
467,6.148468295917647,0,2,2,5,7,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,0,5,4,0,0,1,0,11208.0
455,6.1224928095143865,0,2,0,0,5,45,3.828641396489095,0,0,0,3,5,36,3.6109179126442243,1,0,1,1,6,1,0,2,3,3,1,0,737100.0
773,6.651571873589727,0,2,3,3,3,27,3.332204510175204,0,0,2,6,7,5,1.791759469228055,0,2,0,5,5,0,4,0,5,5,1,0,104355.0
115,4.7535901911063645,0,1,0,3,5,5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,0,4,3,1,1,1,1,6900.0
314,5.752572638825633,1,2,4,6,4,57,4.060443010546419,0,0,2,1,7,3,1.3862943611198906,0,0,3,3,3,0,2,3,0,0,1,1,53694.0
136,4.919980925828125,1,1,1,3,6,25,3.258096538021482,0,1,0,4,5,11,2.4849066497880004,0,2,1,4,1,0,6,4,0,0,1,0,37400.0
174,5.1647859739235145,1,0,4,6,4,38,3.6635616461296463,1,2,3,3,8,178,5.187385805840755,1,1,3,3,8,1,2,0,3,3,2,0,1176936.0
594,6.38856140554563,1,0,4,6,4,8,2.1972245773362196,1,2,3,1,8,14,2.70805020110221,1,2,4,0,4,1,0,2,4,4,2,0,66528.0
300,5.707110264748875,1,0,0,6,0,60,4.110873864173311,1,0,0,4,0,7,2.0794415416798357,0,1,2,0,7,0,5,0,0,0,1,1,126000.0
228,5.43372200355424,1,0,3,4,8,32,3.4965075614664802,1,2,2,4,2,3,1.3862943611198906,0,0,3,3,3,0,1,0,1,1,1,1,21888.0
341,5.834810737062605,0,2,1,5,1,38,3.6635616461296463,1,2,3,3,8,100,4.61512051684126,1,1,0,2,0,1,1,2,5,5,1,0,1295800.0
348,5.855071922202427,1,0,3,5,8,30,3.4339872044851463,1,0,0,2,0,6,1.9459101490553132,1,0,1,6,6,0,1,5,3,3,6,2,62640.0
778,6.658011045870748,1,1,3,1,8,19,2.995732273553991,0,1,4,5,9,9,2.302585092994046,0,0,4,2,9,0,5,4,4,4,1,0,133038.0
605,6.406879986069314,0,2,0,3,5,11,2.4849066497880004,0,2,1,4,1,6,1.9459101490553132,1,0,1,6,6,0,0,3,4,4,1,1,39930.0
290,5.673323267171493,1,2,0,3,0,35,3.58351893845611,0,2,0,0,5,2,1.0986122886681098,1,2,2,2,2,0,2,0,2,2,1,1,20300.0
206,5.332718793265369,1,2,1,3,6,58,4.07753744390572,1,1,3,2,8,12,2.5649493574615367,1,0,2,5,2,0,2,1,4,4,2,0,143376.0
767,6.643789733147672,0,2,2,4,7,9,2.302585092994046,0,0,4,2,9,95,4.564348191467836,0,2,0,4,5,1,5,3,0,0,1,0,655785.0
250,5.5254529391317835,1,1,0,5,0,43,3.784189633918261,0,1,3,1,3,27,3.332204510175204,0,0,2,6,7,1,2,0,2,2,1,0,290250.0
423,6.049733455231958,0,0,3,3,3,52,3.970291913552122,1,1,2,3,2,8,2.1972245773362196,1,2,3,1,8,0,7,1,4,4,1,0,175968.0
24,3.2188758248682006,1,0,4,3,4,59,4.0943445622221,0,2,4,3,9,104,4.653960350157523,1,2,4,6,4,1,1,1,0,0,1,0,147264.0
613,6.419994928147142,0,1,3,4,3,19,2.995732273553991,0,1,4,5,9,11,2.4849066497880004,0,2,1,4,1,0,1,3,3,3,1,0,128117.0
82,4.418840607796598,1,1,2,5,2,58,4.07753744390572,1,1,3,2,8,3,1.3862943611198906,0,0,3,3,3,1,3,1,5,5,1,0,14268.0
786,6.668228248417403,1,0,1,2,6,31,3.4657359027997265,0,1,1,3,1,40,3.713572066704308,1,1,0,5,0,1,3,3,4,4,1,0,974640.0
614,6.421622267806518,1,2,4,5,4,25,3.258096538021482,0,1,0,4,5,28,3.367295829986474,1,1,3,0,8,1,0,1,1,1,1,0,429800.0
751,6.62273632394984,0,1,1,2,1,41,3.7376696182833684,0,2,1,6,1,135,4.912654885736052,0,0,0,2,5,1,6,1,1,1,1,0,4156785.0
