slot_person_name,slot_base_item,slot_other_item,slot_base_count,slot_base_count_abs_log1p,slot_base_count_mod3,slot_base_count_mod7,slot_percent_more,slot_percent_more_abs_log1p,slot_percent_more_is_even,slot_percent_more_mod3,slot_percent_more_mod7,slot_percent_more_mod10,gcd_all,n_multiple_pairs,y
0,0,0,380,5.942799375126701,2,2,65,4.189654742026425,0,2,2,5,5,0,1007.0
1,1,1,440,6.089044875446846,2,6,40,3.713572066704308,1,1,5,0,40,1,1056.0
2,1,1,800,6.68586094706836,2,2,85,4.454347296253507,0,1,1,5,5,0,2280.0
3,1,1,760,6.634633357861686,1,4,65,4.189654742026425,0,2,2,5,5,0,2014.0
2,2,2,1000,6.90875477931522,1,6,55,4.02535169073515,0,1,6,5,5,0,2550.0
3,3,3,700,6.55250788703459,1,0,95,4.564348191467836,0,2,4,5,5,0,2065.0
4,4,4,780,6.660575149839686,0,3,5,1.791759469228055,0,2,5,5,5,1,1599.0
5,1,1,600,6.398594934535208,0,5,85,4.454347296253507,0,1,1,5,5,0,1710.0
2,5,5,560,6.329720905522696,2,0,10,2.3978952727983707,1,1,3,0,10,1,1176.0
0,0,0,940,6.846943139585379,1,2,75,4.330733340286331,0,0,5,5,5,0,2585.0
6,4,4,440,6.089044875446846,2,6,5,1.791759469228055,0,2,5,5,5,1,902.0
2,6,6,900,6.803505257608338,0,4,85,4.454347296253507,0,1,1,5,5,0,2565.0
0,4,4,300,5.707110264748875,0,6,70,4.2626798770413155,1,1,0,0,10,0,810.0
5,3,3,600,6.398594934535208,0,5,75,4.330733340286331,0,0,5,5,75,1,1650.0
4,5,5,980,6.8885724595653635,2,0,75,4.330733340286331,0,0,5,5,5,0,2695.0
2,7,7,60,4.110873864173311,0,4,75,4.330733340286331,0,0,5,5,15,0,165.0
2,2,2,980,6.8885724595653635,2,0,50,3.9318256327243257,1,2,1,0,10,0,2450.0
1,8,8,1000,6.90875477931522,1,6,45,3.828641396489095,0,0,3,5,5,0,2450.0
2,8,8,520,6.255750041753367,1,2,95,4.564348191467836,0,2,4,5,5,0,1534.0
7,6,6,140,4.948759890378168,2,0,40,3.713572066704308,1,1,5,0,20,0,336.0
4,7,7,340,5.831882477283517,1,4,70,4.2626798770413155,1,1,0,0,10,0,918.0
5,6,6,820,6.710523109452428,1,1,75,4.330733340286331,0,0,5,5,5,0,2255.0
1,7,7,720,6.580639137284949,0,6,40,3.713572066704308,1,1,5,0,40,1,1728.0
5,5,5,540,6.293419278846481,0,1,30,3.4339872044851463,1,0,2,0,30,1,1242.0
3,2,2,180,5.198497031265826,0,5,20,3.044522437723423,1,2,6,0,20,1,396.0
4,8,8,820,6.710523109452428,1,1,15,2.772588722239781,0,0,1,5,5,0,1763.0
8,4,4,400,5.993961427306569,1,1,70,4.2626798770413155,1,1,0,0,10,0,1080.0
4,3,3,460,6.133398042996649,1,5,35,3.58351893845611,0,2,0,5,5,0,1081.0
4,0,0,920,6.825460036255307,2,3,65,4.189654742026425,0,2,2,5,5,0,2438.0
0,8,8,140,4.948759890378168,2,0,45,3.828641396489095,0,0,3,5,5,0,343.0
9,8,8,620,6.431331081933479,2,4,50,3.9318256327243257,1,2,1,0,10,0,1550.0
2,3,3,640,6.46302945692067,1,3,60,4.110873864173311,1,0,4,0,20,0,1664.0
7,0,0,660,6.493753839851686,0,2,55,4.02535169073515,0,1,6,5,55,1,1683.0
2,2,2,420,6.042632833682381,0,0,60,4.110873864173311,1,0,4,0,60,1,1092.0
0,8,8,920,6.825460036255307,2,3,60,4.110873864173311,1,0,4,0,20,0,2392.0
5,2,2,320,5.771441123130016,2,5,65,4.189654742026425,0,2,2,5,5,0,848.0
4,1,1,400,5.993961427306569,1,1,50,3.9318256327243257,1,2,1,0,50,1,1000.0
4,0,0,220,5.3981627015177525,1,3,55,4.02535169073515,0,1,6,5,55,1,561.0
0,0,0,240,5.484796933490655,0,2,10,2.3978952727983707,1,1,3,0,10,1,504.0
4,5,5,80,4.394449154672439,2,3,95,4.564348191467836,0,2,4,5,5,0,236.0
9,2,2,600,6.398594934535208,0,5,90,4.51085950651685,1,0,6,0,30,0,1740.0
0,0,0,380,5.942799375126701,2,2,35,3.58351893845611,0,2,0,5,5,0,893.0
1,7,7,920,6.825460036255307,2,3,50,3.9318256327243257,1,2,1,0,10,0,2300.0
2,5,5,380,5.942799375126701,2,2,95,4.564348191467836,0,2,4,5,95,1,1121.0
6,7,7,560,6.329720905522696,2,0,85,4.454347296253507,0,1,1,5,5,0,1596.0
0,5,5,620,6.431331081933479,2,4,70,4.2626798770413155,1,1,0,0,10,0,1674.0
3,2,2,580,6.364750756851911,1,6,75,4.330733340286331,0,0,5,5,5,0,1595.0
6,0,0,140,4.948759890378168,2,0,15,2.772588722239781,0,0,1,5,5,0,301.0
5,1,1,500,6.2166061010848646,2,3,70,4.2626798770413155,1,1,0,0,10,0,1350.0
0,1,1,480,6.175867270105761,0,4,60,4.110873864173311,1,0,4,0,60,1,1248.0
7,8,8,440,6.089044875446846,2,6,75,4.330733340286331,0,0,5,5,5,0,1210.0
0,3,3,280,5.638354669333745,1,0,85,4.454347296253507,0,1,1,5,5,0,798.0
8,2,2,500,6.2166061010848646,2,3,40,3.713572066704308,1,1,5,0,20,0,1200.0
1,1,1,740,6.608000625296087,2,5,15,2.772588722239781,0,0,1,5,5,0,1591.0
9,4,4,560,6.329720905522696,2,0,15,2.772588722239781,0,0,1,5,5,0,1204.0
