slot_item,slot_price,slot_price_abs_log1p,slot_price_mod3,slot_price_mod7,slot_discount_percent,slot_discount_percent_abs_log1p,slot_discount_percent_is_even,slot_discount_percent_mod3,slot_discount_percent_mod7,slot_discount_percent_mod10,slot_currency_symbol,slot_store,gcd_all,n_multiple_pairs,y
0,3840,8.253488028345904,0,4,5,1.791759469228055,0,2,5,5,0,0,5,1,3648.0
1,1100,7.00397413672268,2,1,85,4.454347296253507,0,1,1,5,1,1,5,0,165.0
0,2380,7.7752758464868625,1,0,25,3.258096538021482,0,1,4,5,0,1,5,0,1785.0
2,3020,8.013343181386672,2,3,70,4.2626798770413155,1,1,0,0,2,2,10,0,906.0
3,820,6.710523109452428,1,1,25,3.258096538021482,0,1,4,5,2,3,5,0,615.0
3,840,6.734591659972948,0,0,50,3.9318256327243257,1,2,1,0,3,2,10,0,420.0
4,280,5.638354669333745,1,0,20,3.044522437723423,1,2,6,0,3,4,20,1,224.0
2,2120,7.659642954564682,2,6,85,4.454347296253507,0,1,1,5,3,0,5,0,318.0
1,1660,7.415175109613295,1,1,35,3.58351893845611,0,2,0,5,2,5,5,0,1079.0
5,4160,8.333510708982942,2,2,45,3.828641396489095,0,0,3,5,0,6,5,0,2288.0
6,320,5.771441123130016,2,5,90,4.51085950651685,1,0,6,0,2,7,10,0,32.0
7,1820,7.507141079727608,2,0,40,3.713572066704308,1,1,5,0,1,3,20,0,1092.0
0,2780,7.930565854233965,2,1,85,4.454347296253507,0,1,1,5,1,5,5,0,417.0
6,1660,7.415175109613295,1,1,65,4.189654742026425,0,2,2,5,0,0,5,0,581.0
8,2420,7.791935956938058,2,5,10,2.3978952727983707,1,1,3,0,0,5,10,1,2178.0
9,4320,8.371242135931933,0,1,85,4.454347296253507,0,1,1,5,1,8,5,0,648.0
7,1600,7.3783837129967145,1,4,45,3.828641396489095,0,0,3,5,2,7,5,0,880.0
2,740,6.608000625296087,2,5,20,3.044522437723423,1,2,6,0,3,3,20,1,592.0
9,4800,8.476579508530941,0,5,30,3.4339872044851463,1,0,2,0,1,7,30,1,3360.0
1,4440,8.398634855292102,0,2,45,3.828641396489095,0,0,3,5,1,5,15,0,2442.0
2,900,6.803505257608338,0,4,60,4.110873864173311,1,0,4,0,0,8,60,1,360.0
9,1780,7.484930283289661,1,2,25,3.258096538021482,0,1,4,5,1,9,5,0,1335.0
0,2420,7.791935956938058,2,5,30,3.4339872044851463,1,0,2,0,3,0,10,0,1694.0
8,2940,7.9865049385539955,0,0,60,4.110873864173311,1,0,4,0,3,10,60,1,1176.0
8,4520,8.416488487294606,2,5,5,1.791759469228055,0,2,5,5,3,7,5,1,4294.0
6,1200,7.0909098220799835,0,3,55,4.02535169073515,0,1,6,5,2,10,5,0,540.0
0,1220,7.107425474110705,2,2,50,3.9318256327243257,1,2,1,0,2,4,10,0,610.0
8,1940,7.57095858316901,2,1,75,4.330733340286331,0,0,5,5,1,7,5,0,485.0
1,4440,8.398634855292102,0,2,30,3.4339872044851463,1,0,2,0,3,4,30,1,3108.0
7,3560,8.177796683277778,2,4,15,2.772588722239781,0,0,1,5,0,9,5,0,3026.0
0,2940,7.9865049385539955,0,0,90,4.51085950651685,1,0,6,0,1,0,30,0,294.0
9,3920,8.27410200229233,2,0,55,4.02535169073515,0,1,6,5,3,4,5,0,1764.0
0,820,6.710523109452428,1,1,20,3.044522437723423,1,2,6,0,0,7,20,1,656.0
1,2060,7.630946580890459,2,2,10,2.3978952727983707,1,1,3,0,2,7,10,1,1854.0
5,1520,7.327123292259293,2,1,30,3.4339872044851463,1,0,2,0,3,8,10,0,1064.0
9,3380,8.125926802707886,2,6,85,4.454347296253507,0,1,1,5,2,10,5,0,507.0
4,4040,8.304247465078474,2,1,60,4.110873864173311,1,0,4,0,2,0,20,0,1616.0
0,560,6.329720905522696,2,0,35,3.58351893845611,0,2,0,5,3,4,35,1,364.0
4,4480,8.407601514786142,1,0,45,3.828641396489095,0,0,3,5,3,1,5,0,2464.0
1,1960,7.581209826196346,1,0,25,3.258096538021482,0,1,4,5,1,7,5,0,1470.0
6,4240,8.352554369474591,1,5,30,3.4339872044851463,1,0,2,0,2,6,10,0,2968.0
7,920,6.825460036255307,2,3,30,3.4339872044851463,1,0,2,0,1,7,10,0,644.0
8,1780,7.484930283289661,1,2,25,3.258096538021482,0,1,4,5,2,8,5,0,1335.0
3,2640,7.878912912297133,0,1,15,2.772588722239781,0,0,1,5,3,2,15,1,2244.0
6,560,6.329720905522696,2,0,70,4.2626798770413155,1,1,0,0,1,10,70,1,168.0
1,4700,8.45553053102413,2,3,30,3.4339872044851463,1,0,2,0,1,7,10,0,3290.0
8,240,5.484796933490655,0,2,70,4.2626798770413155,1,1,0,0,2,8,10,0,72.0
4,600,6.398594934535208,0,5,45,3.828641396489095,0,0,3,5,2,6,15,0,330.0
1,3200,8.071218539969863,2,1,90,4.51085950651685,1,0,6,0,3,0,10,0,320.0
1,700,6.55250788703459,1,0,60,4.110873864173311,1,0,4,0,1,3,20,0,280.0
4,1560,7.353081920515432,0,6,45,3.828641396489095,0,0,3,5,2,9,15,0,858.0
8,920,6.825460036255307,2,3,5,1.791759469228055,0,2,5,5,1,9,5,1,874.0
4,4480,8.407601514786142,1,0,60,4.110873864173311,1,0,4,0,2,1,20,0,1792.0
7,2800,7.937731775260109,1,0,45,3.828641396489095,0,0,3,5,0,1,5,0,1540.0
9,2320,7.749753406274437,1,3,80,4.394449154672439,1,2,3,0,1,2,80,1,464.0
4,1540,7.340186835320115,1,0,55,4.02535169073515,0,1,6,5,3,3,55,1,693.0
0,3980,8.289288323000317,2,4,15,2.772588722239781,0,0,1,5,2,7,5,0,3383.0
1,1580,7.365812837209472,2,5,25,3.258096538021482,0,1,4,5,3,4,5,0,1185.0
7,3780,8.237743803890933,0,0,60,4.110873864173311,1,0,4,0,2,9,60,1,1512.0
5,4580,8.429672593886743,2,2,20,3.044522437723423,1,2,6,0,1,2,20,1,3664.0
7,200,5.303304908059076,2,4,75,4.330733340286331,0,0,5,5,1,1,25,0,50.0
6,520,6.255750041753367,1,2,80,4.394449154672439,1,2,3,0,2,9,40,0,104.0
4,280,5.638354669333745,1,0,5,1.791759469228055,0,2,5,5,2,6,5,1,266.0
9,3480,8.15507488781144,0,1,90,4.51085950651685,1,0,6,0,1,0,30,0,348.0
4,300,5.707110264748875,0,6,5,1.791759469228055,0,2,5,5,1,5,5,1,285.0
8,500,6.2166061010848646,2,3,80,4.394449154672439,1,2,3,0,3,6,20,0,100.0
3,4800,8.476579508530941,0,5,45,3.828641396489095,0,0,3,5,0,7,15,0,2640.0
9,720,6.580639137284949,0,6,90,4.51085950651685,1,0,6,0,3,10,90,1,72.0
6,2720,7.908754738783246,2,4,50,3.9318256327243257,1,2,1,0,0,4,10,0,1360.0
3,4700,8.45553053102413,2,3,65,4.189654742026425,0,2,2,5,0,9,5,0,1645.0
5,360,5.8888779583328805,0,3,70,4.2626798770413155,1,1,0,0,2,9,10,0,108.0
1,4720,8.459775920546287,1,2,55,4.02535169073515,0,1,6,5,2,5,5,0,2124.0
7,940,6.846943139585379,1,2,30,3.4339872044851463,1,0,2,0,3,1,10,0,658.0
1,2220,7.7057128238944275,0,1,90,4.51085950651685,1,0,6,0,1,0,30,0,222.0
7,4120,8.323851131338817,1,4,90,4.51085950651685,1,0,6,0,0,4,10,0,412.0
0,760,6.634633357861686,1,4,30,3.4339872044851463,1,0,2,0,1,5,10,0,532.0
0,860,6.7580945044277305,2,6,85,4.454347296253507,0,1,1,5,1,1,5,0,129.0
8,4160,8.333510708982942,2,2,50,3.9318256327243257,1,2,1,0,2,7,10,0,2080.0
3,540,6.293419278846481,0,1,5,1.791759469228055,0,2,5,5,2,10,5,1,513.0
3,5000,8.517393171418904,2,2,85,4.454347296253507,0,1,1,5,0,9,5,0,750.0
3,1300,7.170888478512505,1,5,80,4.394449154672439,1,2,3,0,3,4,20,0,260.0
6,720,6.580639137284949,0,6,35,3.58351893845611,0,2,0,5,1,8,5,0,468.0
2,3840,8.253488028345904,0,4,85,4.454347296253507,0,1,1,5,3,10,5,0,576.0
0,1860,7.528869256642251,0,5,90,4.51085950651685,1,0,6,0,1,7,30,0,186.0
