slot_person_name,slot_item_name,slot_finds_per_day,slot_finds_per_day_abs_log1p,slot_finds_per_day_is_even,slot_finds_per_day_mod3,slot_finds_per_day_mod5,slot_finds_per_day_mod7,slot_finds_per_day_mod10,slot_per_item_cents,slot_per_item_cents_abs_log1p,slot_per_item_cents_is_even,slot_per_item_cents_mod3,slot_per_item_cents_mod7,slot_per_item_cents_mod10,slot_days,slot_days_abs_log1p,slot_days_is_even,slot_days_mod3,slot_days_mod5,slot_days_mod7,slot_days_mod10,slot_currency_symbol,slot_per_item_value_text,slot_period_label,gcd_all,n_multiple_pairs,y
0,0,22,3.1354942159291497,1,1,2,1,2,200,5.303304908059076,1,2,4,0,37,3.6375861597263857,0,1,2,2,7,0,0,0,1,0,1628.0
0,1,15,2.772588722239781,0,0,0,1,5,150,5.017279836814924,1,0,3,0,7,2.0794415416798357,0,1,2,0,7,1,1,1,1,1,157.5
1,2,4,1.6094379124341003,1,1,4,4,4,50,3.9318256327243257,1,2,1,0,12,2.5649493574615367,1,0,2,5,2,0,2,1,2,1,24.0
2,3,34,3.5553480614894135,1,1,4,6,4,5,1.791759469228055,0,2,5,5,9,2.302585092994046,0,0,4,2,9,0,3,0,1,0,15.3
1,3,5,1.791759469228055,0,2,0,5,5,150,5.017279836814924,1,0,3,0,12,2.5649493574615367,1,0,2,5,2,2,4,1,1,1,90.0
3,2,23,3.1780538303479458,0,2,3,2,3,80,4.394449154672439,1,2,3,0,20,3.044522437723423,1,2,0,6,0,1,5,2,1,1,368.0
2,0,12,2.5649493574615367,1,0,2,5,2,125,4.836281906951478,0,2,6,5,28,3.367295829986474,1,1,3,0,8,1,6,3,1,0,420.0
2,2,32,3.4965075614664802,1,2,2,4,2,125,4.836281906951478,0,2,6,5,16,2.833213344056216,1,1,1,2,6,1,6,0,1,1,640.0
4,4,29,3.4011973816621555,0,2,4,1,9,125,4.836281906951478,0,2,6,5,15,2.772588722239781,0,0,0,1,5,0,7,4,1,0,543.75
1,5,40,3.713572066704308,1,1,0,5,0,100,4.61512051684126,1,1,2,0,20,3.044522437723423,1,2,0,6,0,1,8,4,20,2,800.0
1,3,39,3.6888794541139363,0,0,4,4,9,75,4.330733340286331,0,0,5,5,24,3.2188758248682006,1,0,4,3,4,1,9,5,3,0,702.0
5,1,29,3.4011973816621555,0,2,4,1,9,40,3.713572066704308,1,1,5,0,12,2.5649493574615367,1,0,2,5,2,0,10,4,1,0,139.2
2,1,37,3.6375861597263857,0,1,2,2,7,25,3.258096538021482,0,1,4,5,19,2.995732273553991,0,1,4,5,9,2,11,3,1,0,175.75
0,6,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,0,2,5,5,6,1.9459101490553132,1,0,1,6,6,1,12,4,1,1,7.5
2,7,38,3.6635616461296463,1,2,3,3,8,80,4.394449154672439,1,2,3,0,17,2.8903717578961645,0,2,2,3,7,1,5,4,1,0,516.8
2,0,30,3.4339872044851463,1,0,0,2,0,75,4.330733340286331,0,0,5,5,17,2.8903717578961645,0,2,2,3,7,0,13,2,1,0,382.5
4,5,7,2.0794415416798357,0,1,2,0,7,25,3.258096538021482,0,1,4,5,25,3.258096538021482,0,1,0,4,5,2,11,4,1,1,43.75
5,5,14,2.70805020110221,1,2,4,0,4,15,2.772588722239781,0,0,1,5,30,3.4339872044851463,1,0,0,2,0,1,14,4,1,1,63.0
1,3,27,3.332204510175204,0,0,2,6,7,40,3.713572066704308,1,1,5,0,36,3.6109179126442243,1,0,1,1,6,2,15,2,1,0,388.8
3,7,33,3.5263605246161616,0,0,3,5,3,5,1.791759469228055,0,2,5,5,14,2.70805020110221,1,2,4,0,4,1,12,0,1,0,23.1
2,0,9,2.302585092994046,0,0,4,2,9,75,4.330733340286331,0,0,5,5,21,3.091042453358316,0,0,1,0,1,0,13,2,3,0,141.75
3,5,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,3,0,32,3.4965075614664802,1,2,2,4,2,1,16,6,2,0,19.2
2,0,28,3.367295829986474,1,1,3,0,8,20,3.044522437723423,1,2,6,0,30,3.4339872044851463,1,0,0,2,0,0,17,2,2,0,168.0
6,7,26,3.295836866004329,1,2,1,5,6,25,3.258096538021482,0,1,4,5,27,3.332204510175204,0,0,2,6,7,0,18,6,1,0,175.5
3,5,4,1.6094379124341003,1,1,4,4,4,150,5.017279836814924,1,0,3,0,33,3.5263605246161616,0,0,3,5,3,0,19,0,1,0,198.0
5,5,8,2.1972245773362196,1,2,3,1,8,15,2.772588722239781,0,0,1,5,7,2.0794415416798357,0,1,2,0,7,0,20,6,1,0,8.4
4,7,26,3.295836866004329,1,2,1,5,6,150,5.017279836814924,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,0,19,0,2,1,234.0
7,6,14,2.70805020110221,1,2,4,0,4,125,4.836281906951478,0,2,6,5,21,3.091042453358316,0,0,1,0,1,2,21,3,1,0,367.5
0,7,20,3.044522437723423,1,2,0,6,0,10,2.3978952727983707,1,1,3,0,18,2.9444389791664403,1,0,3,4,8,2,22,6,2,1,36.0
2,1,35,3.58351893845611,0,2,0,0,5,25,3.258096538021482,0,1,4,5,28,3.367295829986474,1,1,3,0,8,0,18,1,1,0,245.0
1,7,15,2.772588722239781,0,0,0,1,5,125,4.836281906951478,0,2,6,5,18,2.9444389791664403,1,0,3,4,8,1,6,0,1,0,337.5
6,6,5,1.791759469228055,0,2,0,5,5,200,5.303304908059076,1,2,4,0,37,3.6375861597263857,0,1,2,2,7,0,0,0,1,1,370.0
7,1,30,3.4339872044851463,1,0,0,2,0,40,3.713572066704308,1,1,5,0,13,2.6390573296152584,0,1,3,6,3,0,10,5,1,0,156.0
1,2,34,3.5553480614894135,1,1,4,6,4,40,3.713572066704308,1,1,5,0,17,2.8903717578961645,0,2,2,3,7,2,15,1,1,1,231.2
1,2,21,3.091042453358316,0,0,1,0,1,40,3.713572066704308,1,1,5,0,22,3.1354942159291497,1,1,2,1,2,2,15,3,1,0,184.8
2,2,10,2.3978952727983707,1,1,0,3,0,15,2.772588722239781,0,0,1,5,11,2.4849066497880004,0,2,1,4,1,2,23,4,1,0,16.5
0,2,27,3.332204510175204,0,0,2,6,7,40,3.713572066704308,1,1,5,0,35,3.58351893845611,0,2,0,0,5,1,24,3,1,0,378.0
1,5,18,2.9444389791664403,1,0,3,4,8,200,5.303304908059076,1,2,4,0,6,1.9459101490553132,1,0,1,6,6,0,0,3,2,1,216.0
7,3,10,2.3978952727983707,1,1,0,3,0,200,5.303304908059076,1,2,4,0,18,2.9444389791664403,1,0,3,4,8,1,25,6,2,1,360.0
2,1,38,3.6635616461296463,1,2,3,3,8,40,3.713572066704308,1,1,5,0,26,3.295836866004329,1,2,1,5,6,1,24,4,2,0,395.2
2,2,8,2.1972245773362196,1,2,3,1,8,200,5.303304908059076,1,2,4,0,36,3.6109179126442243,1,0,1,1,6,1,25,2,4,1,576.0
