slot_a,slot_a_abs_log1p,slot_a_mod3,slot_a_mod5,slot_a_mod7,slot_a_mod10,slot_d,slot_d_abs_log1p,slot_d_sign,slot_d_is_even,slot_d_mod3,slot_d_mod5,slot_d_mod7,slot_d_mod10,slot_name1,slot_name2,gcd_all,n_multiple_pairs,y
1030,6.93828448401696,1,0,1,0,46,3.8501476017100584,1,1,1,1,4,6,0,0,2,0,1591.0
1000,6.90875477931522,1,0,6,0,47,3.871201010907891,1,0,2,2,5,7,0,1,1,0,1547.0
1172,7.067319848653476,2,2,3,2,38,3.6635616461296463,1,1,2,3,3,8,1,2,2,0,1796.0
692,6.541029999189903,2,2,6,2,40,3.713572066704308,1,1,1,0,5,0,0,2,4,0,1078.0
650,6.478509642208569,2,0,6,0,33,3.5263605246161616,1,0,0,3,5,3,2,3,1,0,1008.0
748,6.618738983517219,1,3,6,8,38,3.6635616461296463,1,1,2,3,3,8,1,4,2,0,1160.0
896,6.799055862058796,2,1,0,6,30,3.4339872044851463,1,1,0,0,2,0,1,5,2,0,1374.0
484,6.184148890937483,1,4,1,4,47,3.871201010907891,1,0,2,2,5,7,3,4,1,0,773.0
488,6.192362489474872,2,3,5,8,5,1.791759469228055,1,0,2,0,5,5,4,6,1,0,737.0
778,6.658011045870748,1,3,1,8,1,0.6931471805599453,1,0,1,1,1,1,5,7,1,1,1168.0
570,6.3473892096560105,0,0,3,0,15,2.772588722239781,1,0,0,0,1,5,6,0,15,1,870.0
586,6.375024819828097,1,1,5,6,50,3.9318256327243257,1,1,2,0,1,0,0,8,2,0,929.0
294,5.68697535633982,0,4,0,4,0,0.0,0,1,0,0,0,0,3,9,294,0,441.0
152,5.030437921392435,2,2,5,2,22,3.1354942159291497,1,1,1,2,1,2,7,10,2,0,250.0
452,6.115892125483034,2,2,4,2,45,3.828641396489095,1,0,0,0,3,5,2,11,1,0,723.0
1160,7.057036981697891,2,0,5,0,34,3.5553480614894135,1,1,1,4,6,4,8,12,2,0,1774.0
396,5.983936280687191,0,1,4,6,23,3.1780538303479458,1,0,2,3,2,3,1,13,1,0,617.0
298,5.700443573390687,1,3,4,8,39,3.6888794541139363,1,0,0,4,4,9,9,13,1,0,486.0
534,6.282266746896006,0,4,2,4,27,3.332204510175204,1,0,0,2,6,7,10,8,3,0,828.0
720,6.580639137284949,0,0,6,0,22,3.1354942159291497,1,1,1,2,1,2,3,13,2,0,1102.0
282,5.645446897643238,0,2,2,2,16,2.833213344056216,1,1,1,1,2,6,11,4,2,0,439.0
198,5.293304824724492,0,3,2,8,45,3.828641396489095,1,0,0,0,3,5,2,13,9,0,342.0
658,6.490723534502507,1,3,0,8,16,2.833213344056216,1,1,1,1,2,6,12,14,2,0,1003.0
334,5.814130531825066,1,4,5,4,10,2.3978952727983707,1,1,1,0,3,0,13,12,2,0,511.0
338,5.82600010738045,2,3,2,8,47,3.871201010907891,1,0,2,2,5,7,4,13,1,0,554.0
242,5.493061443340548,2,2,4,2,18,2.9444389791664403,1,1,0,3,4,8,4,11,2,0,381.0
604,6.405228458030842,1,4,2,4,40,3.713572066704308,1,1,1,0,5,0,10,14,4,0,946.0
136,4.919980925828125,1,1,3,6,36,3.6109179126442243,1,1,0,1,1,6,9,10,4,0,240.0
552,6.315358001522335,0,2,6,2,36,3.6109179126442243,1,1,0,1,1,6,14,5,12,0,864.0
1036,6.9440872082295275,1,1,0,6,42,3.7612001156935624,1,1,0,2,0,2,14,9,14,0,1596.0
