slot_n_people,slot_n_people_abs_log1p,slot_n_people_is_even,slot_n_people_mod3,slot_n_people_mod5,slot_n_people_mod7,slot_n_people_mod10,slot_total_amount,slot_total_amount_abs_log1p,slot_total_amount_is_even,slot_total_amount_mod3,slot_total_amount_mod7,slot_total_amount_mod10,slot_external_contrib,slot_external_contrib_abs_log1p,slot_external_contrib_mod3,slot_external_contrib_mod7,slot_currency,slot_org_source,slot_group_label,gcd_all,n_multiple_pairs,y
38,3.6635616461296463,1,2,3,3,8,380190,12.848429037004577,1,0,6,0,133000,11.798111925972618,1,0,0,0,0,38,2,6505.0
21,3.091042453358316,0,0,1,0,1,163035,12.00172631429887,0,0,5,5,51000,10.839600519357369,0,5,1,1,1,3,0,5335.0
42,3.7612001156935624,1,0,2,0,2,129730,11.773218354852624,1,1,6,0,106000,11.571203807011969,1,6,1,2,0,2,0,565.0
19,2.995732273553991,0,1,4,5,9,81720,11.311066285763198,1,0,2,0,27000,10.203629181337648,0,1,2,1,2,1,0,2880.0
57,4.060443010546419,0,0,2,1,7,660645,13.40097342318088,0,0,6,5,120000,11.695255355062795,0,6,1,2,3,3,0,9485.0
15,2.772588722239781,0,0,0,1,5,213850,12.273034789819011,1,1,0,0,70000,11.156264806643742,1,0,0,2,4,5,0,9590.0
21,3.091042453358316,0,0,1,0,1,220130,12.30197810266724,1,2,1,0,146000,11.891368749982085,2,1,0,1,5,1,0,3530.0
37,3.6375861597263857,0,1,2,2,7,116365,11.664495675391134,0,1,4,5,74000,11.211833885608513,2,3,2,3,5,37,2,1145.0
39,3.6888794541139363,0,0,4,4,9,351355,12.769555233463292,0,1,4,5,100000,11.51293546492023,1,5,3,1,5,1,0,6445.0
47,3.871201010907891,0,2,2,5,7,261505,12.474212506774562,0,1,6,5,148000,11.904974309480183,1,6,2,4,5,1,0,2415.0
49,3.912023005428146,0,1,4,0,9,595095,13.296478016050951,0,0,4,5,122000,11.711784520403112,2,4,2,0,2,1,0,9655.0
51,3.9512437185814275,0,0,1,2,1,547505,13.213128699516854,0,2,0,5,50000,10.819798284210286,2,6,2,5,5,1,0,9755.0
5,1.791759469228055,0,2,0,5,5,49775,10.815288219137418,0,2,5,5,16000,9.680406499268875,1,5,0,5,6,5,2,6755.0
58,4.07753744390572,1,1,3,2,8,155360,11.95350672016767,1,2,2,0,131000,11.782960235741939,2,2,0,5,2,2,0,420.0
60,4.110873864173311,1,0,0,4,0,111700,11.623580937568695,1,1,1,0,37000,10.518700218288165,1,5,0,4,0,20,0,1245.0
45,3.828641396489095,0,0,0,3,5,127250,11.75391679292806,1,2,4,0,62000,11.034905792929415,2,1,0,3,3,5,0,1450.0
49,3.912023005428146,0,1,4,0,9,301435,12.616313000643027,0,1,1,5,139000,11.842236406331555,1,1,4,0,1,1,0,3315.0
33,3.5263605246161616,0,0,3,5,3,208975,12.249974691817302,0,1,4,5,190000,12.154784614286667,1,6,0,1,7,1,0,575.0
