slot_player_a,slot_player_b,slot_sport,slot_score_unit,slot_a_first_score,slot_a_first_score_abs_log1p,slot_a_first_score_is_even,slot_a_first_score_mod3,slot_a_first_score_mod5,slot_a_first_score_mod7,slot_a_first_score_mod10,slot_b_fewer_in_first,slot_b_fewer_in_first_abs_log1p,slot_b_fewer_in_first_is_even,slot_b_fewer_in_first_mod3,slot_b_fewer_in_first_mod5,slot_b_fewer_in_first_mod7,slot_b_fewer_in_first_mod10,slot_a_fewer_in_second_vs_b_first,slot_a_fewer_in_second_vs_b_first_abs_log1p,slot_a_fewer_in_second_vs_b_first_is_even,slot_a_fewer_in_second_vs_b_first_mod3,slot_a_fewer_in_second_vs_b_first_mod5,slot_a_fewer_in_second_vs_b_first_mod7,slot_a_fewer_in_second_vs_b_first_mod10,gcd_all,n_multiple_pairs,y
0,0,0,0,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,1,3,20.0
0,1,1,1,30,3.4339872044851463,1,0,0,2,0,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,2,2,34.0
1,0,2,1,22,3.1354942159291497,1,1,2,1,2,21,3.091042453358316,0,0,1,0,1,1,0.6931471805599453,0,1,1,1,1,1,2,22.0
2,2,3,1,38,3.6635616461296463,1,2,3,3,8,25,3.258096538021482,0,1,0,4,5,3,1.3862943611198906,0,0,3,3,3,1,0,48.0
3,3,4,1,60,4.110873864173311,1,0,0,4,0,52,3.970291913552122,1,1,2,3,2,6,1.9459101490553132,1,0,1,6,6,2,1,62.0
4,4,1,1,16,2.833213344056216,1,1,1,2,6,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,1,1,20.0
3,1,0,0,40,3.713572066704308,1,1,0,5,0,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,1,1,65.0
5,2,2,1,55,4.02535169073515,0,1,0,6,5,47,3.871201010907891,0,2,2,5,7,6,1.9459101490553132,1,0,1,6,6,1,0,57.0
6,1,3,1,53,3.9889840465642745,0,2,3,4,3,3,1.3862943611198906,0,0,3,3,3,17,2.8903717578961645,0,2,2,3,7,1,0,86.0
7,4,5,0,15,2.772588722239781,0,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,1,17.0
8,5,2,1,29,3.4011973816621555,0,2,4,1,9,2,1.0986122886681098,1,2,2,2,2,23,3.1780538303479458,0,2,3,2,3,1,0,33.0
1,0,0,0,25,3.258096538021482,0,1,0,4,5,19,2.995732273553991,0,1,4,5,9,1,0.6931471805599453,0,1,1,1,1,1,2,30.0
1,6,2,1,8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,1,2,8.0
6,7,3,1,47,3.871201010907891,0,2,2,5,7,27,3.332204510175204,0,0,2,6,7,15,2.772588722239781,0,0,0,1,5,1,0,52.0
2,8,1,1,29,3.4011973816621555,0,2,4,1,9,21,3.091042453358316,0,0,1,0,1,1,0.6931471805599453,0,1,1,1,1,1,2,36.0
3,9,4,1,57,4.060443010546419,0,0,2,1,7,12,2.5649493574615367,1,0,2,5,2,25,3.258096538021482,0,1,0,4,5,1,0,77.0
6,10,5,0,34,3.5553480614894135,1,1,4,6,4,28,3.367295829986474,1,1,3,0,8,1,0.6931471805599453,0,1,1,1,1,1,2,39.0
2,11,2,1,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,1,16.0
2,4,0,0,46,3.8501476017100584,1,1,1,4,6,39,3.6888794541139363,0,0,4,4,9,2,1.0986122886681098,1,2,2,2,2,1,1,51.0
