slot_name1,slot_name2,slot_item_a,slot_item_b,slot_j_ratio,slot_j_ratio_abs_log1p,slot_j_ratio_is_even,slot_j_ratio_mod3,slot_j_ratio_mod5,slot_j_ratio_mod7,slot_j_ratio_mod10,slot_p_s_ratio,slot_p_s_ratio_abs_log1p,slot_p_s_ratio_is_even,slot_p_s_ratio_mod3,slot_p_s_ratio_mod5,slot_p_s_ratio_mod7,slot_p_s_ratio_mod10,slot_p_d_num,slot_p_d_num_abs_log1p,slot_p_d_num_is_even,slot_p_d_num_mod3,slot_p_d_num_mod5,slot_p_d_num_mod7,slot_p_d_num_mod10,slot_p_d_den,slot_p_d_den_abs_log1p,slot_p_d_den_is_even,slot_p_d_den_mod3,slot_p_d_den_mod5,slot_p_d_den_mod7,slot_p_d_den_mod10,slot_given_b_amount,slot_given_b_amount_abs_log1p,slot_given_b_amount_is_even,slot_given_b_amount_mod3,slot_given_b_amount_mod5,slot_given_b_amount_mod7,slot_given_b_amount_mod10,gcd_all,n_multiple_pairs,y
0,0,0,0,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,26,3.295836866004329,1,2,1,5,6,1,7,117.0
1,1,1,1,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,800,6.68586094706836,1,2,0,2,0,1,6,1640.0
2,2,2,2,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,546,6.304448802421981,1,0,1,0,6,1,4,1456.0
1,3,3,3,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,560,6.329720905522696,1,2,0,0,0,1,5,1056.0
2,4,3,3,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,220,5.3981627015177525,1,1,0,3,0,1,7,671.0
2,3,3,3,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,322,5.777652323222656,1,1,2,0,2,1,3,782.0
0,5,4,4,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1505,7.317212408359839,0,2,0,0,5,1,4,3999.0
0,0,5,5,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,270,5.602118820879701,1,0,0,4,0,1,4,846.0
3,6,6,6,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,0,1,0,1,7,250.0
4,1,6,6,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,490,6.19644412779452,1,1,0,0,0,1,6,1645.0
0,6,1,1,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,1036,6.9440872082295275,1,1,1,0,6,1,5,3145.0
