slot_seller,slot_total_items,slot_total_items_abs_log1p,slot_total_items_is_even,slot_total_items_mod3,slot_total_items_mod5,slot_total_items_mod7,slot_total_items_mod10,slot_item_name,slot_container_name,slot_capacity_per_container,slot_capacity_per_container_abs_log1p,slot_capacity_per_container_is_even,slot_capacity_per_container_mod3,slot_capacity_per_container_mod5,slot_capacity_per_container_mod7,slot_capacity_per_container_mod10,slot_price_per_container,slot_price_per_container_abs_log1p,slot_price_per_container_frac,slot_price_per_container_n_decimals,slot_currency_symbol,gcd_all,y
0,6512,8.781555458546402,1,2,2,2,2,0,0,44,3.8066624897703196,1,2,4,2,4,11.5,2.5257286443082556,0.5,1,0,44,1702.0
1,6258,8.7417757069247,1,0,3,0,8,0,1,42,3.7612001156935624,1,0,2,0,2,19.25,3.0081547935525483,0.25,2,1,42,2868.25
2,2425,7.793999089503996,0,1,0,3,5,1,2,25,3.258096538021482,0,1,0,4,5,19.25,3.0081547935525483,0.25,2,2,25,1867.25
2,72,4.290459441148391,1,0,2,2,2,2,3,9,2.302585092994046,0,0,4,2,9,6.75,2.0476928433652555,0.75,2,2,9,54.0
3,3240,8.083637203141548,1,0,0,6,0,3,3,36,3.6109179126442243,1,0,1,1,6,1.0,0.6931471805599453,0.0,1,1,36,90.0
1,1140,7.039660349862076,1,0,0,6,0,3,4,10,2.3978952727983707,1,1,0,3,0,1.5,0.9162907318741551,0.5,1,0,10,171.0
4,3245,8.085178748074537,0,2,0,4,5,4,3,55,4.02535169073515,0,1,0,6,5,19.25,3.0081547935525483,0.25,2,2,55,1135.75
4,837,6.731018100482083,0,0,2,4,7,4,4,31,3.4657359027997265,0,1,1,3,1,16.25,2.847812143477369,0.25,2,1,31,438.75
1,3120,8.045908742270779,1,0,0,5,0,5,0,60,4.110873864173311,1,0,0,4,0,8.75,2.277267285009756,0.75,2,2,60,455.0
5,300,5.707110264748875,1,0,0,6,0,6,2,50,3.9318256327243257,1,2,0,1,0,19.5,3.0204248861443626,0.5,1,2,50,117.0
6,507,6.230481447578482,0,0,2,3,7,5,5,39,3.6888794541139363,0,0,4,4,9,9.5,2.3513752571634776,0.5,1,0,39,123.5
4,4068,8.31115254800169,1,0,3,1,8,3,6,36,3.6109179126442243,1,0,1,1,6,11.5,2.5257286443082556,0.5,1,3,36,1299.5
1,273,5.6131281063880705,0,0,3,0,3,0,0,13,2.6390573296152584,0,1,3,6,3,5.25,1.8325814637483102,0.25,2,2,13,110.25
4,1785,7.487733761436444,0,0,0,0,5,1,3,51,3.9512437185814275,0,0,1,2,1,6.5,2.0149030205422647,0.5,1,2,51,227.5
1,1075,6.98100574072173,0,1,0,4,5,5,1,25,3.258096538021482,0,1,0,4,5,18.0,2.9444389791664403,0.0,1,3,25,774.0
4,125,4.836281906951478,0,2,0,6,5,6,5,5,1.791759469228055,0,2,0,5,5,19.75,3.0325462466767075,0.75,2,3,5,493.75
1,495,6.206575926724928,0,0,0,5,5,3,6,45,3.828641396489095,0,0,0,3,5,11.0,2.4849066497880004,0.0,1,2,45,121.0
0,441,6.091309882077698,0,0,1,0,1,6,4,49,3.912023005428146,0,1,4,0,9,17.0,2.8903717578961645,0.0,1,0,49,153.0
4,2520,7.83241092718792,1,0,0,0,0,1,0,21,3.091042453358316,0,0,1,0,1,11.5,2.5257286443082556,0.5,1,0,21,1380.0
6,1978,7.590346945602565,1,1,3,4,8,5,6,46,3.8501476017100584,1,1,1,4,6,9.75,2.3749057545736716,0.75,2,3,46,419.25
1,7620,8.938662873666118,1,0,0,4,0,5,4,60,4.110873864173311,1,0,0,4,0,14.0,2.70805020110221,0.0,1,0,60,1778.0
5,1840,7.518064181233078,1,1,0,6,0,3,6,16,2.833213344056216,1,1,1,2,6,10.5,2.4423470353692043,0.5,1,2,16,1207.5
0,1260,7.13966033596492,1,0,0,0,0,5,5,20,3.044522437723423,1,2,0,6,0,8.25,2.224623551524334,0.25,2,3,20,519.75
3,1054,6.961296045910167,1,1,4,4,4,2,5,17,2.8903717578961645,0,2,2,3,7,15.25,2.7880929087757464,0.25,2,3,17,945.5
0,2500,7.824445930877619,1,1,0,1,0,0,4,25,3.258096538021482,0,1,0,4,5,20.0,3.044522437723423,0.0,1,0,25,2000.0
4,468,6.150602768446279,1,0,3,6,8,5,1,4,1.6094379124341003,1,1,4,4,4,2.0,1.0986122886681098,0.0,1,1,4,234.0
3,1470,7.293697720601438,1,0,0,0,0,2,3,42,3.7612001156935624,1,0,2,0,2,0.5,0.4054651081081644,0.5,1,1,42,17.5
6,1332,7.195187320178709,1,0,2,2,2,2,1,12,2.5649493574615367,1,0,2,5,2,2.5,1.252762968495368,0.5,1,3,12,277.5
