slot_name,slot_monthly_qty,slot_monthly_qty_abs_log1p,slot_monthly_qty_is_even,slot_monthly_qty_mod3,slot_monthly_qty_mod5,slot_monthly_qty_mod7,slot_monthly_qty_mod10,slot_annual_spend,slot_annual_spend_abs_log1p,slot_annual_spend_mod7,slot_currency,slot_item_singular,slot_item_plural,gcd_all,y
0,7,2.0794415416798357,0,1,2,0,7,10920,9.298442820197728,0,0,0,0,7,130.0
1,8,2.1972245773362196,1,2,3,1,8,2400,7.783640596221253,6,1,1,1,8,25.0
2,5,1.791759469228055,0,2,0,5,5,7500,8.922791623969637,3,0,2,2,5,125.0
3,6,1.9459101490553132,1,0,1,6,6,1080,6.985641817639208,2,2,3,3,6,15.0
4,9,2.302585092994046,0,0,4,2,9,28620,10.261895993101012,4,1,4,4,9,265.0
5,4,1.6094379124341003,1,1,4,4,4,10320,9.241935933565934,2,2,4,4,4,215.0
2,1,0.6931471805599453,0,1,1,1,1,240,5.484796933490655,2,3,4,4,1,20.0
6,10,2.3978952727983707,1,1,0,3,0,34800,10.457401400981889,3,1,5,5,10,290.0
5,11,2.4849066497880004,0,2,1,4,1,9900,9.200391041122515,2,4,6,6,11,75.0
1,11,2.4849066497880004,0,2,1,4,1,660,6.493753839851686,2,5,1,1,11,5.0
1,11,2.4849066497880004,0,2,1,4,1,37620,10.535317684107266,2,5,7,7,11,285.0
1,8,2.1972245773362196,1,2,3,1,8,13440,9.506065016071148,0,3,1,1,8,140.0
7,4,1.6094379124341003,1,1,4,4,4,12480,9.431962766918454,6,0,6,6,4,260.0
4,11,2.4849066497880004,0,2,1,4,1,12540,9.43675855582405,3,2,2,2,11,95.0
8,8,2.1972245773362196,1,2,3,1,8,19680,9.887408982323437,3,1,5,5,8,205.0
3,2,1.0986122886681098,1,2,2,2,2,4200,8.343077871169383,0,6,8,8,2,175.0
1,7,2.0794415416798357,0,1,2,0,7,8400,9.036106025364846,0,0,7,7,7,100.0
3,7,2.0794415416798357,0,1,2,0,7,19320,9.868947866261383,0,2,4,4,7,230.0
5,5,1.791759469228055,0,2,0,5,5,8100,8.999742789830492,1,0,4,4,5,135.0
4,8,2.1972245773362196,1,2,3,1,8,16800,9.729193687429403,0,0,4,4,8,175.0
7,3,1.3862943611198906,0,0,3,3,3,2880,7.9658927350845286,3,2,7,7,3,80.0
1,9,2.302585092994046,0,0,4,2,9,26460,10.183427229849748,0,6,7,7,9,245.0
9,10,2.3978952727983707,1,1,0,3,0,19200,9.862717639992917,6,6,3,3,10,160.0
7,12,2.5649493574615367,1,0,2,5,2,24480,10.10565258546514,1,1,2,2,12,170.0
4,6,1.9459101490553132,1,0,1,6,6,16200,9.692828247710418,2,6,1,1,6,225.0
6,2,1.0986122886681098,1,2,2,2,2,2400,7.783640596221253,6,1,4,4,2,100.0
5,7,2.0794415416798357,0,1,2,0,7,18060,9.801510196423664,0,4,4,4,7,215.0
4,1,0.6931471805599453,0,1,1,1,1,1860,7.528869256642251,5,4,4,4,1,155.0
9,3,1.3862943611198906,0,0,3,3,3,10800,9.287394001418473,6,1,4,4,3,300.0
2,7,2.0794415416798357,0,1,2,0,7,6720,8.812992231969966,0,2,6,6,7,80.0
1,2,1.0986122886681098,1,2,2,2,2,1440,7.273092595999522,5,0,0,0,2,60.0
7,5,1.791759469228055,0,2,0,5,5,8400,9.036106025364846,0,3,2,2,5,140.0
7,6,1.9459101490553132,1,0,1,6,6,10800,9.287394001418473,6,0,6,6,6,150.0
3,6,1.9459101490553132,1,0,1,6,6,18720,9.837401167408268,2,4,7,7,6,260.0
3,7,2.0794415416798357,0,1,2,0,7,4200,8.343077871169383,0,6,9,9,7,50.0
5,5,1.791759469228055,0,2,0,5,5,4200,8.343077871169383,0,0,5,5,5,70.0
4,2,1.0986122886681098,1,2,2,2,2,1680,7.427144133408616,0,1,8,8,2,70.0
5,11,2.4849066497880004,0,2,1,4,1,18480,9.824498456285756,0,2,5,5,11,140.0
1,6,1.9459101490553132,1,0,1,6,6,360,5.8888779583328805,3,0,2,2,6,5.0
8,6,1.9459101490553132,1,0,1,6,6,15480,9.647368744540465,3,2,0,0,6,215.0
2,7,2.0794415416798357,0,1,2,0,7,1260,7.13966033596492,0,2,6,6,7,15.0
1,3,1.3862943611198906,0,0,3,3,3,4320,8.371242135931933,1,6,9,9,3,120.0
2,4,1.6094379124341003,1,1,4,4,4,5040,8.525359754082631,0,6,8,8,4,105.0
4,6,1.9459101490553132,1,0,1,6,6,13680,9.523763287920113,2,0,2,2,6,190.0
0,8,2.1972245773362196,1,2,3,1,8,2880,7.9658927350845286,3,0,8,8,8,30.0
9,3,1.3862943611198906,0,0,3,3,3,2160,7.6783263565068856,4,5,1,1,3,60.0
3,10,2.3978952727983707,1,1,0,3,0,29400,10.288783966353765,0,1,1,1,10,245.0
6,7,2.0794415416798357,0,1,2,0,7,8820,9.084890521258767,0,4,2,2,7,105.0
1,7,2.0794415416798357,0,1,2,0,7,21840,9.991544216356411,0,7,2,2,7,260.0
3,3,1.3862943611198906,0,0,3,3,3,10080,9.218407743053941,0,1,8,8,3,280.0
6,7,2.0794415416798357,0,1,2,0,7,18900,9.846970109700957,0,2,9,9,7,225.0
6,3,1.3862943611198906,0,0,3,3,3,5400,8.594339400592892,3,6,4,4,3,150.0
