slot_person_name,slot_years_ahead,slot_years_ahead_abs_log1p,slot_years_ahead_is_even,slot_years_ahead_mod3,slot_years_ahead_mod5,slot_years_ahead_mod7,slot_years_ahead_mod10,slot_future_age,slot_future_age_abs_log1p,slot_future_age_is_even,slot_future_age_mod3,slot_future_age_mod5,slot_future_age_mod7,slot_future_age_mod10,slot_k,slot_k_abs_log1p,slot_k_is_even,slot_k_mod3,slot_k_mod5,slot_k_mod7,slot_k_mod10,gcd_all,n_multiple_pairs,y
0,17,2.8903717578961645,0,2,2,3,7,25,3.258096538021482,0,1,0,4,5,2,1.0986122886681098,1,2,2,2,2,1,0,8.0
1,15,2.772588722239781,0,0,0,1,5,26,3.295836866004329,1,2,1,5,6,5,1.791759469228055,0,2,0,5,5,1,1,44.0
2,12,2.5649493574615367,1,0,2,5,2,16,2.833213344056216,1,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,1,1,8.0
3,5,1.791759469228055,0,2,0,5,5,62,4.143134726391533,1,2,2,6,2,4,1.6094379124341003,1,1,4,4,4,1,0,171.0
3,34,3.5553480614894135,1,1,4,6,4,41,3.7376696182833684,0,2,1,6,1,5,1.791759469228055,0,2,0,5,5,1,0,28.0
4,38,3.6635616461296463,1,2,3,3,8,72,4.290459441148391,1,0,2,2,2,6,1.9459101490553132,1,0,1,6,6,2,1,170.0
5,28,3.367295829986474,1,1,3,0,8,88,4.48863636973214,1,1,3,4,8,5,1.791759469228055,0,2,0,5,5,1,0,240.0
0,12,2.5649493574615367,1,0,2,5,2,28,3.367295829986474,1,1,3,0,8,6,1.9459101490553132,1,0,1,6,6,2,1,80.0
4,27,3.332204510175204,0,0,2,6,7,57,4.060443010546419,0,0,2,1,7,2,1.0986122886681098,1,2,2,2,2,1,0,30.0
0,37,3.6375861597263857,0,1,2,2,7,69,4.248495242049359,0,0,4,6,9,2,1.0986122886681098,1,2,2,2,2,1,0,32.0
3,32,3.4965075614664802,1,2,2,4,2,87,4.477336814478207,0,0,2,3,7,2,1.0986122886681098,1,2,2,2,2,1,1,55.0
1,32,3.4965075614664802,1,2,2,4,2,83,4.430816798843313,0,2,3,6,3,5,1.791759469228055,0,2,0,5,5,1,0,204.0
6,21,3.091042453358316,0,0,1,0,1,49,3.912023005428146,0,1,4,0,9,6,1.9459101490553132,1,0,1,6,6,1,0,140.0
7,30,3.4339872044851463,1,0,0,2,0,57,4.060443010546419,0,0,2,1,7,2,1.0986122886681098,1,2,2,2,2,1,1,27.0
8,4,1.6094379124341003,1,1,4,4,4,53,3.9889840465642745,0,2,3,4,3,2,1.0986122886681098,1,2,2,2,2,1,1,49.0
3,38,3.6635616461296463,1,2,3,3,8,68,4.23410650459726,1,2,3,5,8,6,1.9459101490553132,1,0,1,6,6,2,0,150.0
2,39,3.6888794541139363,0,0,4,4,9,67,4.219507705176107,0,1,2,4,7,4,1.6094379124341003,1,1,4,4,4,1,0,84.0
1,40,3.713572066704308,1,1,0,5,0,78,4.3694478524670215,1,0,3,1,8,3,1.3862943611198906,0,0,3,3,3,1,1,76.0
6,11,2.4849066497880004,0,2,1,4,1,36,3.6109179126442243,1,0,1,1,6,2,1.0986122886681098,1,2,2,2,2,1,1,25.0
0,32,3.4965075614664802,1,2,2,4,2,70,4.2626798770413155,1,1,0,0,0,2,1.0986122886681098,1,2,2,2,2,2,2,38.0
