slot_name_a,slot_name_b,slot_a_yesterday,slot_a_yesterday_abs_log1p,slot_a_yesterday_is_even,slot_a_yesterday_mod3,slot_a_yesterday_mod5,slot_a_yesterday_mod7,slot_a_yesterday_mod10,slot_b_yesterday,slot_b_yesterday_abs_log1p,slot_b_yesterday_is_even,slot_b_yesterday_mod3,slot_b_yesterday_mod5,slot_b_yesterday_mod7,slot_b_yesterday_mod10,slot_delta,slot_delta_abs_log1p,slot_delta_is_even,slot_delta_mod3,slot_delta_mod5,slot_delta_mod7,slot_delta_mod10,gcd_all,n_multiple_pairs,y
0,0,59,4.0943445622221,0,2,4,3,9,35,3.58351893845611,0,2,0,0,5,9,2.302585092994046,0,0,4,2,9,1,0,68.0
1,1,69,4.248495242049359,0,0,4,6,9,66,4.204692619390966,1,0,1,3,6,9,2.302585092994046,0,0,4,2,9,3,0,78.0
2,2,40,3.713572066704308,1,1,0,5,0,39,3.6888794541139363,0,0,4,4,9,8,2.1972245773362196,1,2,3,1,8,1,1,48.0
3,3,67,4.219507705176107,0,1,2,4,7,11,2.4849066497880004,0,2,1,4,1,1,0.6931471805599453,0,1,1,1,1,1,2,68.0
4,0,65,4.189654742026425,0,2,0,2,5,17,2.8903717578961645,0,2,2,3,7,13,2.6390573296152584,0,1,3,6,3,1,1,78.0
5,3,8,2.1972245773362196,1,2,3,1,8,65,4.189654742026425,0,2,0,2,5,13,2.6390573296152584,0,1,3,6,3,1,1,21.0
1,2,36,3.6109179126442243,1,0,1,1,6,27,3.332204510175204,0,0,2,6,7,5,1.791759469228055,0,2,0,5,5,1,0,41.0
6,4,55,4.02535169073515,0,1,0,6,5,59,4.0943445622221,0,2,4,3,9,13,2.6390573296152584,0,1,3,6,3,1,0,68.0
7,5,68,4.23410650459726,1,2,3,5,8,46,3.8501476017100584,1,1,1,4,6,25,3.258096538021482,0,1,0,4,5,1,0,93.0
2,2,46,3.8501476017100584,1,1,1,4,6,21,3.091042453358316,0,0,1,0,1,11,2.4849066497880004,0,2,1,4,1,1,0,57.0
3,6,78,4.3694478524670215,1,0,3,1,8,73,4.30406509320417,0,1,3,3,3,24,3.2188758248682006,1,0,4,3,4,1,0,102.0
4,7,30,3.4339872044851463,1,0,0,2,0,73,4.30406509320417,0,1,3,3,3,12,2.5649493574615367,1,0,2,5,2,1,0,42.0
8,3,40,3.713572066704308,1,1,0,5,0,19,2.995732273553991,0,1,4,5,9,1,0.6931471805599453,0,1,1,1,1,1,2,41.0
0,0,47,3.871201010907891,0,2,2,5,7,67,4.219507705176107,0,1,2,4,7,11,2.4849066497880004,0,2,1,4,1,1,0,58.0
6,8,54,4.007333185232471,1,0,4,5,4,69,4.248495242049359,0,0,4,6,9,11,2.4849066497880004,0,2,1,4,1,1,0,65.0
7,9,9,2.302585092994046,0,0,4,2,9,17,2.8903717578961645,0,2,2,3,7,21,3.091042453358316,0,0,1,0,1,1,0,30.0
4,10,38,3.6635616461296463,1,2,3,3,8,31,3.4657359027997265,0,1,1,3,1,3,1.3862943611198906,0,0,3,3,3,1,0,41.0
9,4,14,2.70805020110221,1,2,4,0,4,50,3.9318256327243257,1,2,0,1,0,1,0.6931471805599453,0,1,1,1,1,1,2,15.0
5,2,77,4.356708826689592,0,2,2,0,7,12,2.5649493574615367,1,0,2,5,2,22,3.1354942159291497,1,1,2,1,2,1,0,99.0
10,2,35,3.58351893845611,0,2,0,0,5,8,2.1972245773362196,1,2,3,1,8,24,3.2188758248682006,1,0,4,3,4,1,1,59.0
11,2,60,4.110873864173311,1,0,0,4,0,76,4.343805421853684,1,1,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,0,67.0
11,3,62,4.143134726391533,1,2,2,6,2,47,3.871201010907891,0,2,2,5,7,20,3.044522437723423,1,2,0,6,0,1,0,82.0
2,2,12,2.5649493574615367,1,0,2,5,2,25,3.258096538021482,0,1,0,4,5,14,2.70805020110221,1,2,4,0,4,1,0,26.0
2,0,51,3.9512437185814275,0,0,1,2,1,43,3.784189633918261,0,1,3,1,3,15,2.772588722239781,0,0,0,1,5,1,0,66.0
5,11,63,4.1588830833596715,0,0,3,0,3,23,3.1780538303479458,0,2,3,2,3,3,1.3862943611198906,0,0,3,3,3,1,1,66.0
0,7,52,3.970291913552122,1,1,2,3,2,27,3.332204510175204,0,0,2,6,7,8,2.1972245773362196,1,2,3,1,8,1,0,60.0
9,12,46,3.8501476017100584,1,1,1,4,6,44,3.8066624897703196,1,2,4,2,4,11,2.4849066497880004,0,2,1,4,1,1,1,57.0
6,0,6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,0,1,0,20,3.044522437723423,1,2,0,6,0,2,0,26.0
1,8,78,4.3694478524670215,1,0,3,1,8,77,4.356708826689592,0,2,2,0,7,13,2.6390573296152584,0,1,3,6,3,1,1,91.0
