slot_group_count,slot_group_count_abs_log1p,slot_group_count_mod3,slot_group_count_mod7,slot_avg_units_per_member,slot_avg_units_per_member_abs_log1p,slot_avg_units_per_member_mod3,slot_avg_units_per_member_mod7,slot_unit_price,slot_unit_price_abs_log1p,slot_unit_price_frac,slot_unit_price_n_decimals,slot_unit_cost,slot_unit_cost_abs_log1p,slot_unit_cost_frac,slot_unit_cost_n_decimals,slot_group_label,slot_item_name,slot_currency_symbol,slot_fund_purpose,gcd_all,n_multiple_pairs,y
180,5.198497031265826,0,5,10,2.3978952727983707,1,3,5.79,1.9154509415706047,0.79,2,4.91,1.776645831418007,0.9100000000000001,2,0,0,0,0,10,1,1584.0
170,5.14166355650266,2,2,60,4.110873864173311,0,4,4.82,1.7613002617433464,0.8200000000000003,2,3.12,1.415853163361435,0.1200000000000001,2,0,1,1,1,10,0,17340.0
180,5.198497031265826,0,5,60,4.110873864173311,0,4,4.07,1.623340817603092,0.07000000000000028,2,2.29,1.1908875647772805,0.29000000000000004,2,1,2,1,2,60,1,19224.0
20,3.044522437723423,2,6,100,4.61512051684126,1,2,6.51,2.0162354657760435,0.5099999999999998,2,4.59,1.7209792871670078,0.5899999999999999,2,2,1,0,3,20,1,3840.0
170,5.14166355650266,2,2,100,4.61512051684126,1,2,4.92,1.7783364488959144,0.9199999999999999,2,4.7,1.7404661748405046,0.7000000000000002,1,3,2,2,4,10,0,3740.0
80,4.394449154672439,2,3,40,3.713572066704308,1,5,5.7,1.9021075263969205,0.7000000000000002,1,4.48,1.7011051009599243,0.4800000000000004,2,1,2,0,0,40,1,3904.0
110,4.709530201312334,2,5,70,4.2626798770413155,1,0,4.78,1.7544036826842861,0.7800000000000002,2,4.37,1.6808279085207734,0.3700000000000001,2,1,3,2,5,10,0,3157.0
150,5.017279836814924,0,3,100,4.61512051684126,1,2,5.77,1.9125010869241836,0.7699999999999996,2,4.06,1.6213664832993742,0.05999999999999961,2,2,3,0,4,50,0,25650.0
170,5.14166355650266,2,2,80,4.394449154672439,2,3,5.82,1.9198594718553708,0.8200000000000003,2,4.95,1.7833912195575383,0.9500000000000002,2,4,1,3,1,10,0,11832.0
170,5.14166355650266,2,2,60,4.110873864173311,0,4,4.38,1.682688374173693,0.3799999999999999,2,2.92,1.366091653802371,0.9199999999999999,2,4,4,1,5,10,0,14892.0
70,4.2626798770413155,1,0,80,4.394449154672439,2,3,4.9,1.7749523509116738,0.9000000000000004,1,3.57,1.5195132049061133,0.5699999999999998,2,4,1,1,4,10,0,7448.0
50,3.9318256327243257,2,1,50,3.9318256327243257,2,1,5.07,1.803358605071407,0.07000000000000028,2,3.9,1.589235205116581,0.8999999999999999,1,5,4,0,0,50,1,2925.0
50,3.9318256327243257,2,1,30,3.4339872044851463,0,2,5.16,1.8180767775454285,0.16000000000000014,2,4.94,1.7817091333745536,0.9400000000000004,2,5,1,3,5,10,0,330.0
40,3.713572066704308,1,5,50,3.9318256327243257,2,1,1.09,0.7371640659767197,0.09000000000000008,2,0.73,0.5481214085096876,0.73,2,2,2,1,0,10,0,720.0
140,4.948759890378168,2,0,70,4.2626798770413155,1,0,2.22,1.169381359556317,0.2200000000000002,2,1.05,0.7178397931503169,0.050000000000000044,2,0,4,3,4,70,1,11466.0
110,4.709530201312334,2,5,30,3.4339872044851463,0,2,6.08,1.9572739077056285,0.08000000000000007,2,4.84,1.7647307968401356,0.8399999999999999,2,4,5,0,2,10,0,4092.0
190,5.25227342804663,1,1,40,3.713572066704308,1,5,5.55,1.8794650496471605,0.5499999999999998,2,4.31,1.6695918352538475,0.3099999999999996,2,4,2,2,5,10,0,9424.0
120,4.795790545596741,0,1,50,3.9318256327243257,2,1,3.84,1.5769147207285403,0.8399999999999999,2,2.89,1.358409157630355,0.8900000000000001,2,1,5,3,4,10,0,5700.0
90,4.51085950651685,0,6,90,4.51085950651685,0,6,1.13,0.7561219797213337,0.1299999999999999,2,0.86,0.6205764877251099,0.86,2,4,2,0,2,90,1,2187.0
